날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,상장주식수,보유수량,지분율,한도수량,한도소진률
2022-01-03,79400,79800,78200,78600,13502112,0.38314176245210724,39406,20.46,1.99,3841,3.81,2994,5969782550,3099478430,51.9,5969782550,51.9
2022-01-04,78800,79200,78300,78700,12427416,0.1272264631043257,39406,20.49,2.0,3841,3.8,2994,5969782550,3102550526,51.97,5969782550,51.97
2022-01-05,78800,79000,76400,77400,25470640,-1.6518424396442184,39406,20.15,1.96,3841,3.87,2994,5969782550,3103048671,51.97,5969782550,51.97
2022-01-06,76700,77600,76600,76900,12931954,-0.6459948320413437,39406,20.02,1.95,3841,3.89,2994,5969782550,3103895896,52.0,5969782550,52.0
2022-01-07,78100,78400,77400,78300,15163757,1.8205461638491547,39406,20.39,1.99,3841,3.82,2994,5969782550,3106253145,52.03,5969782550,52.03
2022-01-10,78100,78100,77100,78000,9947422,-0.38314176245210724,39406,20.31,1.98,3841,3.84,2994,5969782550,3111061474,52.12,5969782550,52.12
2022-01-11,78400,79000,78000,78900,13221123,1.153846153846154,39406,20.54,2.0,3841,3.79,2994,5969782550,3113132717,52.16,5969782550,52.16
2022-01-12,79500,79600,78600,78900,11000502,0.0,39406,20.54,2.0,3841,3.79,2994,5969782550,3116356289,52.2,5969782550,52.2
2022-01-13,79300,79300,77900,77900,13889401,-1.2674271229404308,39406,20.28,1.98,3841,3.84,2994,5969782550,3115915421,52.2,5969782550,52.2
2022-01-14,77700,78100,77100,77300,10096725,-0.7702182284980745,39406,20.12,1.96,3841,3.87,2994,5969782550,3116075243,52.2,5969782550,52.2
2022-01-17,77600,77800,76900,77500,8785122,0.258732212160414,39406,20.18,1.97,3841,3.86,2994,5969782550,3117552257,52.22,5969782550,52.22
2022-01-18,77600,77800,76600,77000,9592788,-0.6451612903225806,39406,20.05,1.95,3841,3.89,2994,5969782550,3117959691,52.22,5969782550,52.22
2022-01-19,76500,76900,76100,76300,10598290,-0.9090909090909091,39406,19.86,1.94,3841,3.92,2994,5969782550,3118023630,52.22,5969782550,52.22
2022-01-20,76200,76700,75900,76500,9708168,0.2621231979030144,39406,19.92,1.94,3841,3.91,2994,5969782550,3118392997,52.25,5969782550,52.25
2022-01-21,75800,75800,74700,75600,15774888,-1.1764705882352942,39406,19.68,1.92,3841,3.96,2994,5969782550,3117795313,52.22,5969782550,52.22
2022-01-24,75400,75800,74700,75100,13691134,-0.6613756613756614,39406,19.55,1.91,3841,3.99,2994,5969782550,3117247105,52.22,5969782550,52.22
2022-01-25,74800,75000,73200,74000,17766704,-1.4647137150466045,39406,19.27,1.88,3841,4.05,2994,5969782550,3116047012,52.2,5969782550,52.2
2022-01-26,73900,74400,73100,73300,12976730,-0.945945945945946,39406,19.08,1.86,3841,4.08,2994,5969782550,3114698940,52.16,5969782550,52.16
2022-01-27,73800,74000,71300,71300,22274777,-2.728512960436562,39406,18.56,1.81,3841,4.2,2994,5969782550,3114044092,52.16,5969782550,52.16
2022-01-28,71300,73700,71200,73300,21367447,2.805049088359046,39406,19.08,1.86,3841,4.08,2994,5969782550,3112838107,52.12,5969782550,52.12
2022-02-03,74900,74900,73300,73300,17744721,0.0,39406,19.08,1.86,3841,4.08,2994,5969782550,3111153714,52.12,5969782550,52.12
2022-02-04,74300,74600,73400,74000,12730034,0.9549795361527967,39406,19.27,1.88,3841,4.05,2994,5969782550,3109572363,52.1,5969782550,52.1
2022-02-07,73500,73600,72400,73000,14240838,-1.3513513513513513,39406,19.01,1.85,3841,4.1,2994,5969782550,3109609756,52.1,5969782550,52.1
2022-02-08,73800,74200,73000,73500,11736666,0.684931506849315,39406,19.14,1.87,3841,4.07,2994,5969782550,3110031872,52.1,5969782550,52.1
2022-02-09,74300,74700,74000,74700,9699122,1.6326530612244898,39406,19.45,1.9,3841,4.01,2994,5969782550,3111102662,52.12,5969782550,52.12
2022-02-10,75600,75800,74700,75400,17746033,0.9370816599732262,39406,19.63,1.91,3841,3.97,2994,5969782550,3112900044,52.12,5969782550,52.12
2022-02-11,75000,75500,74600,74900,12205407,-0.6631299734748011,39406,19.5,1.9,3841,4.0,2994,5969782550,3115543854,52.2,5969782550,52.2
2022-02-14,74400,74500,73100,73700,13993255,-1.602136181575434,39406,19.19,1.87,3841,4.06,2994,5969782550,3117353123,52.22,5969782550,52.22
2022-02-15,74100,74200,73100,73700,9320365,0.0,39406,19.19,1.87,3841,4.06,2994,5969782550,3116292643,52.2,5969782550,52.2
2022-02-16,74600,74900,74200,74800,10767386,1.4925373134328357,39406,19.47,1.9,3841,4.0,2994,5969782550,3116067143,52.2,5969782550,52.2
2022-02-17,75000,75600,74500,75000,13605382,0.267379679144385,39406,19.53,1.9,3841,3.99,2994,5969782550,3116571603,52.22,5969782550,52.22
2022-02-18,74600,74800,73700,74300,10122226,-0.9333333333333335,39406,19.34,1.89,3841,4.03,2994,5969782550,3118576239,52.25,5969782550,52.25
2022-02-21,73200,74300,72600,74200,10489717,-0.13458950201884254,39406,19.32,1.88,3841,4.04,2994,5969782550,3117727291,52.22,5969782550,52.22
2022-02-22,73000,73400,72800,73400,11692469,-1.078167115902965,39406,19.11,1.86,3841,4.08,2994,5969782550,3117625028,52.22,5969782550,52.22
2022-02-23,73800,73800,72800,73000,10397964,-0.544959128065395,39406,19.01,1.85,3841,4.1,2994,5969782550,3117822707,52.22,5969782550,52.22
2022-02-24,72300,72300,71300,71500,15759283,-2.054794520547945,39406,18.61,1.81,3841,4.19,2994,5969782550,3117740151,52.22,5969782550,52.22
2022-02-25,72100,72600,71900,71900,13168484,0.5594405594405595,39406,18.72,1.82,3841,4.16,2994,5969782550,3115355464,52.2,5969782550,52.2
2022-02-28,71100,72100,71000,72100,17781783,0.27816411682892905,39406,18.77,1.83,3841,4.15,2994,5969782550,3113269708,52.16,5969782550,52.16
2022-03-02,72300,72400,71500,71700,12481430,-0.5547850208044383,39406,18.67,1.82,3841,4.18,2994,5969782550,3110841967,52.12,5969782550,52.12
2022-03-03,72300,73100,72200,72900,13232638,1.6736401673640167,39406,18.98,1.85,3841,4.11,2994,5969782550,3110034648,52.1,5969782550,52.1
2022-03-04,72700,72700,71200,71500,13409634,-1.9204389574759946,39406,18.61,1.81,3841,4.19,2994,5969782550,3110344369,52.1,5969782550,52.1
2022-03-07,70000,70600,69900,70100,18617138,-1.9580419580419581,39406,18.25,1.78,3841,4.27,2994,5969782550,3107060417,52.06,5969782550,52.06
2022-03-08,68800,70000,68700,69500,15828269,-0.8559201141226819,39406,18.09,1.76,3841,4.31,2994,5969782550,3102408223,51.97,5969782550,51.97
2022-03-10,70800,71200,70500,71200,21159248,2.446043165467626,39406,18.54,1.81,3841,4.21,2994,5969782550,3099620605,51.9,5969782550,51.9
2022-03-11,70500,70700,69700,70000,15787655,-1.6853932584269662,39406,18.22,1.78,3841,4.28,2994,5969782550,3097577483,51.88,5969782550,51.88
2022-03-14,70000,70200,69600,70200,9040993,0.2857142857142857,39406,18.28,1.78,3841,4.26,2994,5969782550,3093568319,51.8,5969782550,51.8
2022-03-15,69800,70100,69500,69500,10258562,-0.9971509971509971,39406,18.09,1.76,3841,4.31,2994,5969782550,3094484038,51.84,5969782550,51.84
2022-03-16,70200,70500,69700,70400,10175750,1.2949640287769784,39406,18.33,1.79,3841,4.25,2994,5969782550,3092555334,51.8,5969782550,51.8
2022-03-17,71200,71800,70900,71200,17646315,1.1363636363636365,39406,18.54,1.81,3841,4.21,2994,5969782550,3091452092,51.78,5969782550,51.78
2022-03-18,70600,70900,70200,70700,14410038,-0.7022471910112359,39406,18.41,1.79,3841,4.23,2994,5969782550,3091552597,51.78,5969782550,51.78
2022-03-21,70900,71000,69900,69900,11169002,-1.1315417256011315,39406,18.2,1.77,3841,4.28,2994,5969782550,3091699762,51.78,5969782550,51.78
2022-03-22,69900,70500,69900,70300,9402666,0.5722460658082975,39406,18.3,1.78,3841,4.26,2994,5969782550,3089271501,51.75,5969782550,51.75
2022-03-23,70600,71200,70300,70500,12398025,0.2844950213371266,39406,18.35,1.79,3841,4.25,2994,5969782550,3089354161,51.75,5969782550,51.75
2022-03-24,69600,70300,69600,69800,37943357,-0.9929078014184398,39406,18.17,1.77,3841,4.29,2994,5969782550,3088812825,51.75,5969782550,51.75
2022-03-25,70100,70200,69600,69800,12986010,0.0,39406,18.17,1.77,3841,4.29,2994,5969782550,3102609703,51.97,5969782550,51.97
2022-03-28,69500,69900,69200,69700,12619289,-0.14326647564469913,39406,18.15,1.77,3841,4.3,2994,5969782550,3098667379,51.9,5969782550,51.9
2022-03-29,70000,70300,69800,70200,13686208,0.7173601147776184,39406,18.28,1.78,3841,4.26,2994,5969782550,3094548397,51.84,5969782550,51.84
2022-03-30,70300,70500,69800,69900,12670187,-0.4273504273504274,39406,18.2,1.77,3841,4.28,2994,5969782550,3091884171,51.78,5969782550,51.78
2022-03-31,69900,70200,69600,69600,12510366,-0.4291845493562232,39406,18.12,1.77,3841,4.3,2994,5969782550,3089790039,51.75,5969782550,51.75
2022-04-01,69500,69500,69000,69100,15916846,-0.7183908045977011,39406,17.99,1.75,3841,4.33,2994,5969782550,3084994797,51.7,5969782550,51.7
2022-04-04,68900,69300,68600,69300,11107905,0.2894356005788712,39406,18.04,1.76,3841,4.32,2994,5969782550,3082137564,51.62,5969782550,51.62
2022-04-05,69400,69600,69100,69200,8467248,-0.1443001443001443,39406,18.02,1.76,3841,4.33,2994,5969782550,3081006161,51.62,5969782550,51.62
2022-04-06,68600,68800,68500,68500,15517308,-1.0115606936416186,39406,17.83,1.74,3841,4.37,2994,5969782550,3081232660,51.62,5969782550,51.62
2022-04-07,68500,68500,68000,68000,20683327,-0.7299270072992701,39406,17.7,1.73,3841,4.4,2994,5969782550,3075816897,51.53,5969782550,51.53
2022-04-08,68100,68300,67700,67800,15453191,-0.29411764705882354,39406,17.65,1.72,3841,4.42,2994,5969782550,3070934667,51.44,5969782550,51.44
2022-04-11,67800,68100,67400,67900,12263735,0.14749262536873156,39406,17.68,1.72,3841,4.41,2994,5969782550,3066657575,51.38,5969782550,51.38
2022-04-12,67600,67700,67000,67000,13924389,-1.3254786450662739,39406,17.44,1.7,3841,4.47,2994,5969782550,3065148043,51.34,5969782550,51.34
2022-04-13,67300,69000,67200,68700,17378619,2.5373134328358207,39406,17.89,1.74,3841,4.36,2994,5969782550,3062235805,51.3,5969782550,51.3
2022-04-14,68700,68700,67500,67500,16409494,-1.7467248908296942,39406,17.57,1.71,3841,4.44,2994,5969782550,3062361353,51.3,5969782550,51.3
2022-04-15,67200,67300,66500,66600,13176415,-1.3333333333333335,39406,17.34,1.69,3841,4.5,2994,5969782550,3059796940,51.25,5969782550,51.25
2022-04-18,66500,67100,66100,66700,10119203,0.15015015015015015,39406,17.37,1.69,3841,4.49,2994,5969782550,3057315064,51.22,5969782550,51.22
2022-04-19,67100,68000,67000,67300,12959434,0.8995502248875562,39406,17.52,1.71,3841,4.45,2994,5969782550,3055918638,51.2,5969782550,51.2
2022-04-20,67000,67400,66500,67400,16693293,0.1485884101040119,39406,17.55,1.71,3841,4.44,2994,5969782550,3054836528,51.16,5969782550,51.16
2022-04-21,67600,68300,67500,67700,12847448,0.44510385756676557,39406,17.63,1.72,3841,4.42,2994,5969782550,3052739125,51.12,5969782550,51.12
2022-04-22,67200,67300,66700,67000,11791478,-1.03397341211226,39406,17.44,1.7,3841,4.47,2994,5969782550,3052732371,51.12,5969782550,51.12
2022-04-25,66500,66700,66300,66300,11016474,-1.0447761194029852,39406,17.26,1.68,3841,4.52,2994,5969782550,3052203489,51.12,5969782550,51.12
2022-04-26,66400,66700,66100,66100,12946923,-0.301659125188537,39406,17.21,1.68,3841,4.53,2994,5969782550,3049261871,51.1,5969782550,51.1
2022-04-27,65400,65500,64900,65000,18122084,-1.6641452344931922,39406,16.92,1.65,3841,4.61,2994,5969782550,3045105055,51.0,5969782550,51.0
2022-04-28,65400,65500,64500,64800,16895527,-0.3076923076923077,39406,16.87,1.64,3841,4.62,2994,5969782550,3040658556,50.94,5969782550,50.94
