날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,4607.77,4617.66,4500.96,4512.71,235548343,2823974578362,777015106303679,,,,,,,
2019-01-03,4508.15,4508.15,4443.82,4451.05,323485990,3701079862147,766401337369553,,,,,,,
2019-01-04,4445.27,4492.1,4419.4,4490.4,304388139,3801439357005,773257840219517,,,,,,,
2019-01-07,4554.29,4592.38,4547.44,4573.79,317912510,3619204848115,788438274083263,,,,,,,
2019-01-08,4560.39,4591.99,4531.27,4536.25,272326472,3351604332153,781447352607615,,,,,,,
2019-01-09,4564.49,4667.23,4561.21,4658.75,271020042,3898453457300,803151752306108,,,,,,,
2019-01-10,4667.23,4687.25,4644.13,4666.99,244240707,3507924812683,804446111103267,,,,,,,
2019-01-11,4688.14,4706.97,4668.89,4703.64,260632735,3013237215115,811021915646074,,,,,,,
2019-01-14,4688.38,4707.97,4657.79,4669.52,327335651,3401617898547,805327218498338,,,,,,,
2019-01-15,4681.99,4752.16,4675.96,4751.64,319663358,3629840552218,819819550458950,,,,,,,
2019-01-16,4753.4,4773.63,4724.83,4773.46,327525083,3437238879503,823875342874406,,,,,,,
2019-01-17,4782.45,4800.56,4760.77,4769.51,321134577,3729482582443,823881880389027,,,,,,,
2019-01-18,4793.63,4819.66,4788.83,4819.27,325277141,3708404573971,832289754000402,,,,,,,
2019-01-21,4847.57,4855.34,4807.22,4849.57,291628115,3699811194836,837586973017667,,,,,,,
2019-01-22,4858.65,4868.39,4798.43,4821.02,327783630,3433226941249,832788458322775,,75.08259043710513,,,,,
2019-01-23,4784.23,4847.81,4777.59,4835.46,259878322,3240373137724,835291929285267,,76.059033198763,,,,,
2019-01-24,4846.16,4892.1,4838.06,4891.7,244888682,4165377538300,845280952413650,,79.43858896265506,,,,,
2019-01-25,4916.79,5001.79,4914.97,5001.16,286168020,5219854378569,864491160668897,,84.13322068428761,,,,,
2019-01-28,5027.2,5039.61,4975.92,5001.86,256025942,4295781076633,864550123547908,,84.15813117635237,,,,,
2019-01-29,4987.28,5027.28,4956.37,5027.26,398809452,4756857289679,868731953644831,4740.2505,85.07384909613984,4404.628225800269,4740.2505,5075.872774199731,14.160529035321266,0.927578146719188
2019-01-30,5025.73,5107.78,5013.57,5107.78,287923578,4615571353438,882102138531139,4770.003999999999,87.53388365866746,4415.374786967571,4770.003999999999,5124.633213032427,14.869136924515296,0.976238261805456
2019-01-31,5149.86,5150.07,5084.53,5087.28,315719024,5268047274171,878877598117405,4801.815500000001,83.74937307844876,4453.246319177888,4801.815500000001,5150.384680822113,14.518224651576581,0.9094804069119379
2019-02-01,5112.83,5126.55,5081.74,5087.05,271186245,4282581979820,878923160075221,4831.647999999999,83.70564635469232,4492.802337693399,4831.647999999999,5170.4936623066,14.02609057226853,0.8768706942585908
2019-02-07,5129.72,5130.46,5076.42,5090.37,244511679,4295619486574,879100603429649,4857.477000000001,83.83683214270297,4522.458942391162,4857.477000000001,5192.4950576088395,13.793912255635535,0.8475827566762401
2019-02-08,5048.88,5055.87,4985.36,4997.61,222841459,3597670121191,862771113560618,4880.545,67.48809656504005,4574.933051836976,4880.545,5186.156948163024,12.52368119392502,0.6915255615882417
2019-02-11,5007.67,5022.66,4973.36,5021.49,199021815,3215425334443,866758873965322,4898.682,69.15566252765834,4605.054082417221,4898.682,5192.309917582778,11.988037499996063,0.7091218045800743
2019-02-12,5023.46,5082.61,5016.27,5067.65,287102872,3844364767978,875481402097482,4918.715,72.13125962501897,4636.605322640292,4918.715,5200.824677359708,11.470869011915033,0.7639664852937633
2019-02-13,5100.28,5109.09,5075.73,5086.61,270102786,3587324596702,878777678287804,4937.8635,73.27183764265813,4664.9065346538155,4937.8635,5210.820465346185,11.055670750970936,0.7724724386705933
2019-02-14,5078.55,5146.01,5049.64,5146.01,420184965,4058104204735,888835691414286,4961.688,76.51475281335476,4703.815116539954,4961.688,5219.560883460046,10.39456263513732,0.8573892639017207
2019-02-15,5103.91,5103.91,5039.68,5061.32,237175289,3110288612671,873816111189456,4977.172,64.49902670939935,4734.889764530706,4977.172,5219.454235469293,9.73573890833162,0.6736569745549194
2019-02-18,5090.78,5118.13,5079.55,5100.54,204092841,2984267328171,880424415805905,4993.526,67.0774732944105,4764.669963907442,4993.526,5222.382036092557,9.16610972257109,0.7338020045857996
2019-02-19,5089.02,5112.33,5051.71,5090.64,231742476,2843587195491,878447496816929,5009.5824999999995,65.77875248130069,4801.752202317015,5009.5824999999995,5217.412797682984,8.297310112488798,0.6950088627685133
2019-02-20,5127.65,5176.05,5124.05,5161.3,215538468,3822462364393,891327178986532,5026.684,70.21183644554807,4828.231341020591,5026.684,5225.13665897941,7.895967161628204,0.8391640119419289
2019-02-21,5143.11,5180.94,5114.17,5158.9,255486585,3652803020653,891074500980328,5042.1505,69.88071314680991,4853.34121077143,5042.1505,5230.959789228569,7.489236556051608,0.8091730827360534
2019-02-22,5134.31,5164.86,5124.06,5164.56,236987891,2825281767323,891998525744397,5059.327499999999,70.23719963344804,4892.936911579267,5059.327499999999,5225.718088420732,6.577577293453823,0.8162213109491261
2019-02-25,5189.93,5192.49,5147.8,5166.59,207425744,3139125309302,892332335498518,5075.884,70.37264233183056,4938.526530541665,5075.884,5213.241469458335,5.412159515794092,0.8301822622304289
2019-02-26,5160.7,5172.3,5123.16,5137.28,186206131,2974046410926,887340610590083,5088.1630000000005,65.72215900317569,4977.5595477754105,5088.1630000000005,5198.7664522245905,4.347480700779043,0.7220409897344927
2019-02-27,5165.29,5175.2,5151.33,5158.43,175825696,3057025831504,890822020249533,5096.0265,67.39647720400545,4988.978048488561,5096.0265,5203.0749515114385,4.201251760030625,0.7914731559350594
2019-02-28,5145.6,5146.79,5037.85,5037.85,277169019,5394937735271,869744821416690,5097.826,51.8474966120184,4996.091771463107,5097.826,5199.560228536893,3.9912789701685845,0.20523195161277602
2019-03-04,5088.96,5097.96,5021.78,5029.47,217873372,4004365546131,868305051767137,5097.936500000001,50.96743928806279,4996.504745154702,5097.936500000001,5199.3682548453,3.9793259427730847,0.16249967722423983
2019-03-05,5006.69,5016.79,4967.63,4984.78,178843033,3252067021208,860410999058594,5091.7865,46.44024919535457,4979.187163008182,5091.7865,5204.385836991818,4.422783123047984,0.024835123994663623
2019-03-06,4981.54,4986.44,4951.22,4974.84,195742596,3142207045219,858726774497166,5086.1645,45.47275602884735,4962.538377279124,5086.1645,5209.790622720876,4.86127110992482,0.04975333064780756
2019-03-07,4958.76,5003.98,4930.72,4955.87,176950629,3243541602974,855958104332816,5079.6055,43.605679773674524,4943.566862771463,5079.6055,5215.644137228536,5.3562678136535045,0.045219275491080825
2019-03-08,4927.83,4948.15,4888.93,4888.99,214480196,2983974599198,844168126354837,5069.5365,37.724694085374615,4910.336466548378,5069.5365,5228.736533451623,6.280654393222039,-0.06704290848928975
2019-03-11,4905.6,4918.17,4857.68,4881.51,157468572,2650026695969,842519503578436,5063.7315,37.12168376519534,4886.966211521188,5063.7315,5240.496788478812,6.98162169454728,-0.015433492537313043
2019-03-12,4927.08,4953.26,4921.3,4941.42,192185037,2776060923887,853139140156162,5059.728,44.74051350171818,4875.833990026869,5059.728,5243.622009973131,7.268928684432474,0.17832557455980683
2019-03-13,4927.43,4936.38,4878.29,4914.49,190701639,2664229313255,848505117963127,5052.07,42.261634268889004,4857.676865450453,5052.07,5246.463134549546,7.69558357463561,0.14612947798078296
2019-03-14,4925.46,4935.88,4882.38,4916.4,235739427,3963835428559,848857294650629,5043.559499999999,42.50494797467346,4841.2190844152765,5043.559499999999,5245.899915584722,8.02371482222914,0.18577829685548855
2019-03-15,4910.12,4962.19,4908.12,4945.61,227375922,4226809059294,853793798302225,5033.5395,46.236363349105176,4832.642406693504,5033.5395,5234.4365933064955,7.982339000478517,0.2811578590989073
2019-03-18,4952.5,4964.66,4924.56,4943.34,156936744,2589640559081,853612833092543,5027.6405,45.98658587074241,4823.451156450933,5027.6405,5231.829843549068,8.122670805482906,0.2935727238876632
2019-03-19,4952.77,4957.57,4930.9,4948.37,230506070,2571649723701,854715958176330,5020.032,46.6740265254825,4815.934900696753,5020.032,5224.129099303247,8.131306704947178,0.3244414049865426
2019-03-20,4934.15,4958.28,4886.34,4955.2,222182155,2760967775709,855923791285007,5013.26,47.64834602003872,4809.997298748641,5013.26,5216.52270125136,8.109002974166886,0.35717989664960215
2019-03-21,4989.55,5056.08,4989.55,5026.44,244350453,4528063515403,869489326794328,5006.517,56.56309916320566,4814.721724552454,5006.517,5198.312275447545,7.661824595723752,0.5519381928295949
2019-03-22,5066.53,5070.71,5024.27,5042.08,191449247,3303828921738,872520538433235,5000.676,58.24419806599061,4821.071467161879,5000.676,5180.280532838122,7.183210143513456,0.6152643514774685
2019-03-25,4955.31,4957.39,4924.45,4928.53,177782507,2722116197590,852380213901087,4988.8745,44.7137877379848,4823.435379538725,4988.8745,5154.313620461275,6.632322399021054,0.31762324463600705
2019-03-26,4948.48,4953.68,4914.57,4933.14,175699094,2705612125146,853291234714834,4977.201999999999,45.2696725572165,4831.840998820176,4977.201999999999,5122.563001179823,5.841073003660439,0.34843940382093747
2019-03-27,4918.78,4942.27,4878.5,4922.47,215470411,2997973174700,851566765566342,4966.461499999999,44.16286182117588,4839.4083125114485,4966.461499999999,5093.51468748855,5.116447091699029,0.32687762161038525
2019-03-28,4873.29,4899.94,4855.29,4873.61,180736857,2553058425923,843230717212809,4952.2205,39.41106456283575,4853.807150605717,4952.2205,5050.633849394284,3.9745140344329823,0.10061058543462797
2019-03-29,4894.96,4912.73,4859.45,4902.15,172624578,3090840815282,847665950006875,4945.4355,43.25199533238343,4853.045180274384,4945.4355,5037.8258197256155,3.7363876134110288,0.26574656236415894
2019-04-01,4938.36,4980.85,4938.36,4972.55,146316126,2637597843763,859741250757620,4942.5895,51.431084411366214,4857.511582189315,4942.5895,5027.667417810685,3.4426455124660866,0.6760768291642263
2019-04-02,4998.35,5016.94,4987.48,5002.24,138043674,2522508380771,865082463952157,4943.4625,54.41507731979867,4856.337117045308,4943.4625,5030.587882954691,3.524872817572352,0.8373155905126225
2019-04-03,5014.11,5091.77,5005.27,5091.69,228059297,3154704570986,880365277285157,4949.304999999999,61.99165630364835,4841.362135576262,4949.304999999999,5057.247864423737,4.361940289545211,1.159538732644046
2019-04-04,5081.96,5131.2,5076.36,5101.17,284370530,3325717901750,882145472169653,4956.570000000001,62.699247149338355,4829.903047403827,4956.570000000001,5083.236952596174,5.111072882907871,1.0707881852222276
2019-04-05,5103.29,5137.67,5096.19,5112.3,274813944,2776580826364,883957789902892,4967.7355,63.55705156592802,4828.154703974898,4967.7355,5107.316296025101,5.619493873017246,1.017852398456027
2019-04-08,5134.4,5134.4,5089.7,5112.71,176860194,2624458485350,884153741099114,4979.2955,63.59026865192227,4832.105765374924,4979.2955,5126.485234625076,5.912070678475547,0.9532058582068756
2019-04-09,5119.38,5153.33,5103.56,5132.59,176750244,2647573381003,887680091049295,4988.854,65.24447282221378,4828.503482894504,4988.854,5149.204517105497,6.428350763742402,0.9481931290107225
2019-04-10,5105.3,5154.32,5097.33,5150.97,234163336,2933080167700,890369204499440,5000.678,66.74863586591314,4829.495702363825,5000.678,5171.860297636174,6.846363538551155,0.938982307386206
2019-04-11,5159.48,5163.46,5130.41,5149.7,213817597,3519891966353,890112172322332,5012.343,66.53436656255074,4834.073414360723,5012.343,5190.612585639276,7.1132237214921865,0.8852507972894994
2019-04-12,5134.8,5177.84,5114.82,5169.87,202171166,2964480290246,893763146332217,5023.5560000000005,68.27613538165936,4835.54160646589,5023.5560000000005,5211.570393534111,7.485310944442949,0.8891031884573629
2019-04-15,5192.92,5208.31,5176.99,5180.21,197661432,3072714408297,895771672792455,5035.3994999999995,69.16221740970896,4839.416051670813,5035.3994999999995,5231.382948329186,7.78422638875768,0.8694457395115522
2019-04-16,5179.91,5199.47,5166.04,5197.47,232588179,2913053944811,898795296276734,5047.8544999999995,70.6365641946432,4844.071413020244,5047.8544999999995,5251.637586979755,8.074047577233273,0.8670949886407016
2019-04-17,5202.07,5217.13,5191.46,5199.22,274017966,3076595302365,899548426910050,5060.0555,70.7890551377583,4850.777167201313,5060.0555,5269.333832798688,8.271780133584985,0.832486641447654
2019-04-18,5209.18,5213.9,5104.91,5113.69,419441514,4126764756091,884874991996051,5064.418,55.59323257081702,4854.487948544764,5064.418,5274.348051455236,8.290391964298209,0.6173533747513665
2019-04-19,5143.64,5155.07,5123.7,5126.4,365835218,2941684337164,886631215229230,5068.634,57.06809009946763,4857.285746408924,5068.634,5279.982253591076,8.339456097681394,0.6366606986773765
2019-04-22,5133.02,5163.3,5104.93,5130.3,318470371,2570435391353,887264700100808,5078.7225,57.534152900525946,4876.001790858094,5078.7225,5281.443209141906,7.983137851769058,0.6272131994267436
2019-04-23,5127.34,5147.32,5115.69,5132.03,329601056,3113829142834,885643920956415,5088.6669999999995,57.75324351960768,4896.2362367525475,5088.6669999999995,5281.097763247451,7.563110859777305,0.6126716936216654
2019-04-24,5158.28,5158.28,5046.31,5079.01,415929780,4152435619795,877599878047133,5096.494000000001,49.349958628631846,4919.635542763722,5096.494000000001,5273.352457236279,6.940396956663887,0.4505706419890281
2019-04-25,5057.11,5087.46,5034.41,5051.92,308770998,3675490756483,872939984425702,5105.4095,45.69178123797212,4959.043922971122,5105.4095,5251.775077028878,5.733744845692705,0.31727431720695426
2019-04-26,5009.36,5047.97,4993.98,5029.34,433954070,3599512914777,869389894619732,5111.769,42.841164373037834,4992.791951473841,5111.769,5230.746048526159,4.655024455375773,0.15359285248248153
2019-04-29,5051.12,5135.54,5049.8,5135.54,289169077,3488938993760,887310877792864,5119.9185,56.56620890153984,5019.287954085771,5119.9185,5220.549045914228,3.9309432724067235,0.5776180823530214
2019-04-30,5120.46,5124.62,5055.11,5097.73,252727010,3702104830607,881272274896813,5124.693,51.79744751924623,5038.878412638669,5124.693,5210.507587361331,3.3490625628240043,0.3428996699216757
2019-05-02,5070.2,5130.5,5066.07,5111.32,250121294,3228776224822,918838420506943,5125.6745,53.32069464108142,5040.950135977628,5125.6745,5210.398864022372,3.3058815585099035,0.41528705959828793
2019-05-03,5102.19,5110.53,5058.7,5065.48,459627527,3431992734178,910721383551033,5123.889999999999,47.83018990098515,5035.742047329529,5123.889999999999,5212.03795267047,3.4406653019666957,0.16868203837723927
2019-05-07,5010.2,5026.96,4972.81,5012.72,357673581,3687734581884,901147691789557,5118.911,42.416469181969894,5018.333726443814,5118.911,5219.488273556186,3.92963556335267,-0.0279075294314768
2019-05-08,4945.56,5010.17,4945.56,4975.75,345604409,3489625833966,894288032235222,5112.063,39.078651162443634,4993.658897689328,5112.063,5230.467102310672,4.632341280249167,-0.07562617063021283
2019-05-09,4953.95,4969.97,4805.76,4805.76,507625484,5298498504799,863708118418351,5095.721500000001,28.12099932471822,4917.869350811421,5095.721500000001,5273.57364918858,6.9804501360044675,-0.3151756988119091
2019-05-10,4843.11,4861.93,4763.26,4806.32,558736152,4176242452858,864246480407391,5078.489,28.192432093855796,4862.6563865329945,5078.489,5294.321613467005,8.499875197800177,-0.13050943883790542
2019-05-13,4766.43,4795.64,4730.72,4730.74,367314993,2928663857563,850766809512196,5057.541,24.63417716189268,4796.772684601065,5057.541,5318.309315398936,10.312059374266488,-0.12661178659693556
2019-05-14,4675.82,4776.75,4670.83,4743.19,514591570,3652286682813,852276960664993,5036.207,26.284654514653635,4747.382995658257,5036.207,5325.031004341744,11.46990202514486,-0.007258738185237328
2019-05-15,4754.02,4802.26,4742.6,4777.62,413785094,2888453453938,857938235330012,5016.0775,30.7980736219026,4714.374677813995,5016.0775,5317.780322186006,12.029432248046625,0.10481393864292912
2019-05-16,4791.03,4795.04,4688.24,4701.7,585247073,4165836697095,844072293832196,4991.289,26.88858804412874,4672.30199607037,4991.289,5310.27600392963,12.781748519455805,0.04608025337627167
2019-05-17,4742.94,4744.62,4662.56,4672.21,352010843,3069394718215,838542999347666,4964.9385,25.532782324273466,4632.236629294404,4964.9385,5297.640370705596,13.402054051851634,0.06007385924945352
2019-05-20,4701.32,4725.17,4665.66,4676.57,435168986,3258324190488,839522909049066,4943.0824999999995,26.125869111547992,4595.252552417845,4943.0824999999995,5290.912447582154,14.07340248042205,0.11689253347420275
2019-05-21,4689.24,4754.55,4679.41,4705.07,370047160,3649832112159,845211150030280,4922.0160000000005,30.04777962094199,4570.1361744686055,4922.0160000000005,5273.8958255313955,14.298199174134949,0.19173282430673946
2019-05-22,4726.0,4739.16,4674.81,4721.39,352626906,3008192843596,848176205995333,4901.5705,32.265343829626076,4552.971803532262,4901.5705,5250.1691964677375,14.223959299075172,0.2415645815292443
2019-05-23,4719.98,4731.5,4687.65,4716.51,341806980,3210060923056,847830291762642,4880.7945,31.939293714038392,4540.174999708242,4880.7945,5221.414000291758,13.95754319473022,0.25884454668731316
2019-05-24,4681.95,4704.08,4635.51,4660.19,304574994,2972114858627,837221704329066,4859.8535,28.375452364867144,4519.056002575198,4859.8535,5200.650997424802,14.025011141788609,0.20706431017138405
2019-05-27,4660.34,4696.77,4641.6,4665.61,185573324,2163869728770,838365407759307,4840.538,29.19426178986792,4501.6888012935415,4840.538,5179.387198706458,14.000476753057539,0.24187927746652518
2019-05-28,4664.98,4704.41,4645.54,4673.29,267742990,5141752510687,839525652960428,4822.7355,30.408279799764298,4488.0472822524835,4822.7355,5157.423717747516,13.879600809437562,0.27673922762237896
2019-05-29,4660.96,4661.8,4598.27,4619.19,255398730,3139020200578,833590843962860,4796.918,26.90831336354672,4483.761724405832,4796.918,5110.074275594167,13.05656155031909,0.21623113785156073
2019-05-30,4630.22,4669.6,4627.77,4659.56,306974166,3138189003675,841550498399727,4775.009499999999,33.09654733180857,4488.962658348128,4775.009499999999,5061.056341651871,11.980995709092165,0.2981982612824919
2019-05-31,4636.6,4692.87,4618.0,4670.68,318584673,3268095615838,843871950106702,4752.9775,34.73564750654738,4509.180170328382,4752.9775,4996.774829671618,10.258720125294857,0.33121738841264187
2019-06-03,4647.01,4749.43,4641.46,4742.77,252211116,3022079052613,857625617125955,4736.842,44.26830780956585,4539.649209502953,4736.842,4934.034790497046,8.325918006006795,0.5150309754861184
2019-06-04,4737.2,4751.4,4718.64,4737.7,311844304,3015818578208,856547336215434,4723.091,43.783945219873836,4571.740249502976,4723.091,4874.441750497024,6.408970333073146,0.5482620665970426
2019-06-05,4789.33,4795.66,4743.07,4753.01,285066024,3009060747256,859574278970347,4711.954,45.715493122818124,4612.844798328245,4711.954,4811.0632016717545,4.206713464170271,0.7071250666309274
2019-06-07,4755.58,4789.54,4730.58,4764.12,266384608,2950509200262,861572940036434,4709.871999999999,47.13499811163429,4617.1916884769325,4709.871999999999,4802.552311523066,3.935576657839825,0.7926619424800861
2019-06-10,4804.26,4832.05,4769.05,4832.05,246758821,2676948434889,873800497989626,4711.1585,54.90043078568476,4612.628965285719,4711.1585,4809.688034714281,4.182815531011364,1.1134784882044026
2019-06-11,4827.82,4865.99,4823.33,4858.62,210948368,2536300416387,878435192475199,4717.5525,57.52834517334097,4600.0074957037195,4717.5525,4835.09750429628,4.983304554481598,1.1000574028838768
2019-06-12,4860.23,4872.56,4828.86,4842.04,362473105,2939645888820,875517874389415,4722.495,55.36055660279334,4593.316495363925,4722.495,4851.6735046360745,5.470773590488699,0.9627124316726906
2019-06-13,4828.52,4836.42,4771.85,4819.28,249226465,3748905370636,871169909774867,4724.5779999999995,52.439334187633946,4590.65472112731,4724.5779999999995,4858.501278872689,5.669216546861518,0.8535681055495442
2019-06-14,4803.03,4827.65,4779.71,4803.38,282465101,3070190833824,868426711192921,4729.662,50.4370602608027,4591.932820578892,4729.662,4867.391179421109,5.824060130347949,0.7676193973922045
2019-06-17,4791.44,4819.98,4778.65,4795.21,244641152,2823799897425,866486872559701,4735.812,49.39343362132997,4597.9091412043545,4735.812,4873.714858795645,5.823831638403106,0.715361742746829
2019-06-18,4790.11,4833.43,4790.11,4819.37,286863064,2736987369264,871285782349968,4742.952,52.52201344754619,4603.281870680909,4742.952,4882.622129319091,5.8895864566662635,0.773566010042902
2019-06-19,4879.02,4896.94,4869.45,4891.51,415109889,3297105226549,884203825609946,4752.273999999999,60.39522332940637,4599.673105585808,4752.273999999999,4904.874894414191,6.422226261120101,0.9562096458690623
2019-06-20,4880.71,4912.13,4875.88,4912.13,632251453,2561073316507,888288259655369,4761.811,62.31868186527505,4594.948064163395,4761.811,4928.673935836604,7.00838130016518,0.9504265709048653
2019-06-21,4917.8,4919.51,4879.92,4898.27,428886404,3057634017065,885694800378798,4770.898999999999,60.20223614102854,4595.323808141895,4770.898999999999,4946.474191858104,7.360256079959124,0.862724934690486
2019-06-24,4906.89,4920.77,4893.41,4899.03,320152158,2338112505163,885966861177836,4782.840999999999,60.28189103888921,4606.52192378869,4782.840999999999,4959.1600762113085,7.372985061025823,0.829485052033604
2019-06-25,4892.28,4925.53,4878.06,4895.37,315965065,2375560141261,885242905712507,4794.329,59.6625811300338,4620.132404866774,4794.329,4968.525595133226,7.266776857959721,0.7900200199743395
2019-06-26,4899.53,4916.46,4888.52,4898.31,280814990,2792032001554,886095861791606,4805.58,60.01791574749009,4635.079455953923,4805.58,4976.080544046077,7.095940304649065,0.7719346161585867
2019-06-27,4903.74,4955.31,4896.74,4936.59,360389712,3248234796427,892704552482726,4821.45,64.41356634057637,4664.773628073639,4821.45,4978.126371926361,6.499139135586218,0.8674453224322716
2019-06-28,4945.28,4953.85,4917.46,4945.3,242351879,2698518469570,894465820693882,4835.737,65.34709632968799,4688.913629503315,4835.737,4982.560370496685,6.072429931432794,0.8731115817235435
2019-07-01,4985.23,4985.23,4932.32,4944.8,227079914,3141302058214,894558339861054,4849.443,65.24129213311373,4716.266916095997,4849.443,4982.619083904004,5.492428054273592,0.8580109776644866
2019-07-02,4922.81,4957.32,4897.34,4922.29,278470700,2582986169706,890409641769288,4858.419,60.49265059196876,4731.1432901571325,4858.419,4985.694709842867,5.239387950807347,0.7509159056305961
2019-07-03,4914.27,4939.56,4852.1,4860.37,252595671,2884458886817,879357568859383,4864.5525,49.762838540191616,4749.945463065064,4864.5525,4979.159536934935,4.711925174409585,0.4817528656535533
2019-07-04,4876.82,4905.32,4852.43,4903.63,213960115,2654756534106,887053262416763,4872.0835,55.677789679641606,4768.5220524869155,4872.0835,4975.644947513084,4.251218088240245,0.6523081260331685
2019-07-05,4906.21,4912.87,4865.64,4896.45,186023947,2347542407217,885355481203597,4878.7,54.53020223075956,4787.390729276786,4878.7,4970.009270723213,3.743180385070349,0.5971971403309402
2019-07-08,4837.91,4842.61,4779.96,4782.6,219080655,2557043724614,865100711433753,4876.2275,40.33409201644725,4777.613467555296,4876.2275,4974.841532444704,4.044685464109466,0.025283077474297096
2019-07-09,4804.94,4821.47,4765.3,4765.31,220402557,2762520585421,862441137665203,4871.562,38.68690510035161,4761.852413436175,4871.562,4981.271586563825,4.504082533028414,0.015757905357768463
2019-07-10,4797.23,4821.65,4790.98,4794.47,180379413,2498467278610,868041745126836,4869.1835,42.92066943374682,4755.043717579472,4869.1835,4983.323282420528,4.688251425337649,0.17271052031301767
