날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,1681.28,1685.75,1613.76,1623.3,12382312,66282985732,20214074655591,,,,,,,
2019-01-03,1629.23,1637.28,1597.08,1600.3,10031823,56177653323,19943792906191,,,,,,,
2019-01-04,1596.93,1619.66,1583.17,1617.5,9871921,56792132595,20140705213715,,,,,,,
2019-01-07,1653.39,1688.63,1652.96,1671.21,22363405,83917949499,20772046121793,,,,,,,
2019-01-08,1676.11,1676.11,1644.85,1648.45,7399005,39210555114,20501100243110,,,,,,,
2019-01-09,1655.08,1686.31,1655.08,1680.39,9136676,59276519098,20876500445236,,,,,,,
2019-01-10,1682.98,1690.23,1665.46,1682.82,7096378,44183744373,20896076428934,,,,,,,
2019-01-11,1682.13,1692.37,1668.57,1675.02,6598203,40177557209,20802439237539,,,,,,,
2019-01-14,1669.95,1674.96,1664.39,1672.44,8833669,40097520979,20768154034928,,,,,,,
2019-01-15,1672.23,1737.17,1672.13,1732.19,17818988,100862792097,21472970110439,,,,,,,
2019-01-16,1739.26,1781.84,1738.71,1763.68,16403349,102599663492,21847327775522,,,,,,,
2019-01-17,1776.79,1778.5,1745.55,1753.13,11374964,60863927467,21724323712325,,,,,,,
2019-01-18,1767.55,1788.38,1761.46,1786.17,13206576,66336420471,22120300940426,,,,,,,
2019-01-21,1800.16,1801.13,1769.26,1772.21,9321213,49637573680,21960196348398,,,,,,,
2019-01-22,1772.54,1778.61,1739.93,1758.38,8101710,44108915178,21799362073805,,69.85445692133247,,,,,
2019-01-23,1753.21,1769.24,1746.3,1758.79,7240698,42296083700,21812214815865,,69.91992023624417,,,,,
2019-01-24,1792.65,1824.1,1785.86,1823.64,18932628,134344053686,22576747027649,,78.04215315774687,,,,,
2019-01-25,1811.21,1832.84,1801.27,1829.19,11148338,71919524562,22643988438630,,78.57533839143505,,,,,
2019-01-28,1829.8,1829.8,1803.47,1809.81,8576825,58332519212,22412645156072,,72.00071828184561,,,,,
2019-01-29,1802.21,1804.97,1781.33,1804.01,8349877,60131905983,22341742997299,1723.1315,70.1100150425929,1581.8878608122475,1723.1315,1864.3751391877524,16.39383171716755,0.7863084683498199
2019-01-30,1807.33,1820.8,1786.88,1820.63,9106784,61388034235,22530640517181,1732.998,72.35059305150358,1593.4691494206304,1732.998,1872.5268505793697,16.1025979925389,0.8140282444674459
2019-01-31,1859.25,1863.53,1829.77,1833.75,30384754,120640166662,22692599220647,1744.6705000000002,74.00704028283295,1612.64113819362,1744.6705000000002,1876.6998618063803,15.135162978497103,0.8373473096485693
2019-02-01,1839.51,1851.23,1835.08,1837.57,9476014,58144335964,22734658352794,1755.6740000000002,74.48630922181187,1631.4200643037816,1755.6740000000002,1879.9279356962188,14.15455667694784,0.8295509294780916
2019-02-07,1855.43,1875.8,1846.29,1871.9,11341908,70569166656,23143927982821,1765.7085000000002,78.3498053329721,1637.9934306816147,1765.7085000000002,1893.4235693183857,14.466155576459593,0.9157359838848431
2019-02-08,1856.39,1857.59,1817.22,1823.8,10422707,71902112311,22582038933716,1774.4759999999999,63.77743507298911,1656.4561880360757,1774.4759999999999,1892.495811963924,13.301933862607804,0.7089649152088008
2019-02-11,1825.78,1836.27,1815.31,1818.23,6773987,49443728544,22516171673573,1781.368,62.33167614338441,1670.2323856182904,1781.368,1892.5036143817094,12.477558189179272,0.6658424268632412
2019-02-12,1821.55,1831.97,1815.24,1824.75,6757622,46213648545,22591712794401,1788.4645,63.378191733647895,1685.587187345557,1788.4645,1891.3418126544432,11.504540644160745,0.6763532651843275
2019-02-13,1840.87,1840.87,1802.45,1807.44,10838229,78537523302,22391193163228,1795.0855000000004,58.71431005152865,1706.1671447576769,1795.0855000000004,1884.0038552423239,9.906865744536793,0.5694710330973327
2019-02-14,1804.79,1827.84,1800.09,1827.84,7970482,56205526397,22624128879709,1802.8555000000001,62.24084156795096,1733.0617322338157,1802.8555000000001,1872.6492677661845,7.7425803417061845,0.6789880443458806
2019-02-15,1818.23,1818.23,1791.48,1795.67,7394113,51791706851,22246341555910,1806.0294999999999,54.35586810991397,1744.0417865480579,1806.0294999999999,1868.0172134519419,6.864529450038552,0.41643908588408135
2019-02-18,1813.54,1825.02,1806.04,1811.49,6843279,49326667144,22437572834906,1808.4199999999996,57.225646342153254,1749.539731318547,1808.4199999999996,1867.3002686814523,6.511791362786595,0.5260698538640284
2019-02-19,1812.38,1814.55,1795.06,1799.3,5320368,40867003907,22290318305701,1810.7285,54.38806137764751,1757.3355471784892,1810.7285,1864.1214528215107,5.897400170319382,0.3929774493067959
