날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,1308.1,1312.22,1274.86,1280.97,6516516,330060417525,132673490721610,,,,,,,
2019-01-03,1287.72,1308.21,1275.88,1295.09,10763675,361812495881,133973921010940,,,,,,,
2019-01-04,1294.66,1335.5,1294.66,1331.07,12538882,571354888309,137592917130840,,,,,,,
2019-01-07,1340.05,1341.96,1320.92,1327.13,8761960,335610953483,137351062467620,,,,,,,
2019-01-08,1336.85,1339.89,1303.06,1307.62,9568181,381668794145,135411052191690,,,,,,,
2019-01-09,1307.75,1349.74,1307.31,1341.84,11187835,477150380144,138811214848890,,,,,,,
2019-01-10,1333.22,1334.66,1320.31,1329.12,9059323,404806264080,137626448107880,,,,,,,
2019-01-11,1328.71,1338.54,1323.83,1333.95,9876392,332707004045,138157510891550,,,,,,,
2019-01-14,1330.28,1342.73,1326.14,1333.48,8266817,397864450445,138021810601370,,,,,,,
2019-01-15,1339.82,1368.39,1336.56,1363.01,10460798,463141240130,140970061998370,,,,,,,
2019-01-16,1361.74,1365.87,1349.84,1360.26,9810749,357608638734,140679730839310,,,,,,,
2019-01-17,1361.43,1379.31,1354.42,1372.44,9519165,458517496621,141803159713200,,,,,,,
2019-01-18,1380.37,1403.88,1377.69,1403.34,11428171,498128352845,144993997009260,,,,,,,
2019-01-21,1405.62,1416.35,1382.84,1385.71,10143253,442998295805,143231246999900,,,,,,,
2019-01-22,1386.68,1393.59,1380.56,1390.33,9034737,399640941225,143622621667000,,73.49533982010283,,,,,
2019-01-23,1391.45,1424.95,1391.45,1422.41,10348635,556626712209,146729486697770,,78.77751870781366,,,,,
2019-01-24,1405.31,1422.65,1398.87,1420.72,10106749,466759831835,146517114520040,,77.89677936829104,,,,,
2019-01-25,1406.72,1416.91,1401.94,1407.01,9468386,495371562930,145230831776450,,70.96529070335009,,,,,
2019-01-28,1418.43,1420.36,1406.71,1411.98,9398685,561941335223,145619460435920,,71.94005030238282,,,,,
2019-01-29,1404.59,1423.69,1400.01,1422.44,8886573,418232847515,146674043728820,1361.9959999999999,73.92421368747776,1275.1382101593645,1361.9959999999999,1448.8537898406353,12.754485305483339,0.8479480660911439
2019-01-30,1425.42,1439.03,1416.88,1438.4,9441929,402618388183,148210657285490,1369.8674999999998,76.638620369331,1285.3044743031862,1369.8674999999998,1454.4305256968134,12.34616131805647,0.9052155149090332
2019-01-31,1449.16,1450.84,1424.64,1440.74,9614231,426528581570,148491421193320,1377.15,77.016386883419,1294.5363604481686,1377.15,1459.7636395518316,11.997769241089424,0.8848638090814518
2019-02-01,1438.97,1445.33,1424.81,1430.63,10848642,406297427187,147407595505670,1382.128,71.62720365218449,1299.2229922863526,1382.128,1465.0330077136473,11.99671922045532,0.7925155026070642
2019-02-07,1432.82,1433.62,1415.75,1421.3,7483821,351093189233,146448895144740,1386.8365000000001,66.96989922970562,1306.2977296406266,1386.8365000000001,1467.3752703593736,11.614746274614712,0.7139559608758591
2019-02-08,1417.36,1420.04,1401.89,1408.13,6979997,342458970948,145210076359370,1391.8619999999999,60.94583648691424,1319.6048011614073,1391.8619999999999,1464.1191988385924,10.382810772704847,0.6125700986301694
2019-02-11,1413.49,1423.53,1406.67,1416.17,7680796,370256118750,145983464096120,1395.5785,63.126454980205544,1326.415005503265,1395.5785,1464.741994496735,9.911802811054338,0.6488610440365478
2019-02-12,1422.08,1427.84,1414.62,1421.97,9260687,395450365967,146595595800810,1400.221,64.65945520647611,1337.3454597955622,1400.221,1463.0965402044378,8.980802345406591,0.672952788391828
2019-02-13,1420.79,1426.28,1409.53,1415.24,9996629,431118913563,146066080079280,1404.2855,61.46618730593155,1349.0225114905115,1404.2855,1459.5484885094884,7.870620113856965,0.5991124466433734
2019-02-14,1404.33,1415.1,1382.32,1415.1,11672538,558677906797,146016333715250,1408.3664999999999,61.39825802478735,1363.5548210423906,1408.3664999999999,1453.1781789576091,6.36363886212989,0.5751310836441742
2019-02-15,1402.49,1405.5,1391.3,1399.61,9511074,456747548220,144336792637500,1410.1965,54.25394998284602,1370.214206281407,1410.1965,1450.178793718593,5.670457091418526,0.3676101467000493
2019-02-18,1397.62,1401.1,1385.94,1397.94,8079607,424523897500,144265505379500,1412.0805,53.53075200458799,1378.6784111581353,1412.0805,1445.4825888418648,4.730904341765887,0.2883291061983392
2019-02-19,1399.77,1399.82,1384.89,1388.65,7408583,358415312400,143366269059910,1412.891,49.57210203966229,1382.7480785092118,1412.891,1443.0339214907883,4.266843159279554,0.09789896265681974
2019-02-20,1395.14,1415.76,1391.16,1398.72,10087955,575393881820,144269055497570,1412.66,53.579411140514736,1382.1591573886913,1412.66,1443.160842611309,4.318214235740918,0.2714817230191616
2019-02-21,1400.9,1414.1,1398.5,1407.27,8760537,466196695420,145008692146170,1413.738,56.72390918085828,1385.69868859619,1413.738,1441.77731140381,3.966691339386783,0.384661932191366
2019-02-22,1404.81,1413.96,1402.3,1409.95,6138468,309368891196,145297496706990,1414.719,57.69134739992393,1388.7259925556925,1414.719,1440.7120074443076,3.674653050437228,0.4082637895938352
2019-02-25,1415.62,1422.27,1407.35,1413.36,6964759,345949781980,145637058620610,1414.2665,58.94883854134786,1388.510792069527,1414.2665,1440.0222079304729,3.6422708068773333,0.48240195916091433
2019-02-26,1415.28,1428.32,1413.41,1419.06,9628611,533187230367,146164708802270,1414.1835,61.03366750424755,1388.5009196973938,1414.1835,1439.8660803026064,3.632142547640573,0.5949378906352524
2019-02-27,1438.44,1452.43,1433.57,1448.27,8664364,550368088950,149038689171180,1416.2465,69.56412247933281,1386.8414471859032,1416.2465,1445.6515528140967,4.152533166238608,1.0445237626753725
2019-02-28,1445.22,1453.74,1433.62,1435.88,11086213,592830612234,147797721756090,1417.4415000000001,63.24001741115341,1386.9062860495492,1417.4415000000001,1447.976713950451,4.308497239632246,0.8019219061297533
2019-03-04,1430.61,1432.65,1401.53,1407.97,10580491,576278114376,145155961713030,1416.718,51.813154590016076,1386.0056190437829,1416.718,1447.4303809562173,4.335708441089504,0.3575818655598376
2019-03-05,1397.97,1400.72,1387.81,1400.72,8203465,402202126461,144422208163250,1414.834,49.32015438763797,1385.0645879130975,1414.834,1444.6034120869026,4.2081844353334095,0.2629445963057887
2019-03-06,1398.55,1413.29,1392.23,1404.7,7866448,446990496681,144757252507140,1413.032,50.72188988546434,1385.4721650222677,1413.032,1440.591834977732,3.9008083295682168,0.3488379918324624
2019-03-07,1414.86,1418.35,1391.02,1401.8,8289303,480491229131,144491759920350,1411.5905,49.644430446300305,1384.8598722670072,1411.5905,1438.3211277329929,3.787306266653515,0.31686737592181696
2019-03-08,1392.8,1397.63,1370.02,1371.43,7023206,387041680350,141449805274880,1409.097,40.04963815910409,1377.579154832542,1409.097,1440.614845167458,4.473481267429859,-0.09755036868590891
2019-03-11,1368.43,1383.12,1368.43,1382.7,7775908,398883415644,142616210758655,1407.8255000000001,44.34806116003562,1374.2683693270737,1407.8255000000001,1441.3826306729266,4.767228704541352,0.12563098369624415
2019-03-12,1389.51,1400.13,1388.72,1398.93,6955996,378419778615,144279103637000,1406.9635,49.91716752612763,1373.4223507799768,1406.9635,1440.5046492200233,4.7678776627856045,0.3802441152611999
2019-03-13,1400.22,1401.02,1369.85,1388.61,6418414,339736371329,143194284250285,1405.2955000000002,46.715942595464085,1371.5877712275083,1405.2955000000002,1439.003228772492,4.7972442482726105,0.2524974151682252
2019-03-14,1395.3,1396.85,1358.67,1372.87,11032664,582909194833,141720601340610,1403.1770000000001,42.2640277066415,1367.0001731076386,1403.1770000000001,1439.3538268923617,5.156416744624738,0.08112688973283971
2019-03-15,1371.22,1402.19,1370.05,1400.86,14579596,649200670905,144444080614780,1402.4650000000001,51.17468332777035,1366.696618152342,1402.4650000000001,1438.2333818476584,5.100787805422344,0.4775639836485177
2019-03-18,1404.81,1430.52,1402.86,1428.2,8130265,478957404714,147078724988680,1403.8944999999999,57.99418832022634,1366.450794267262,1403.8944999999999,1441.3382057327378,5.334262045009502,0.8245605573001455
2019-03-19,1422.44,1431.95,1412.91,1426.39,6666887,325922448013,146883093243680,1405.317,57.42237576385787,1366.7416793402845,1405.317,1443.8923206597156,5.489910199579959,0.7731409569591312
2019-03-20,1414.15,1432.67,1412.06,1432.66,7076659,342201086690,147414330199775,1407.5175000000002,58.932930865338406,1367.9870469922257,1407.5175000000002,1447.0479530077746,5.617046041384841,0.8180143166466517
2019-03-21,1427.32,1435.77,1404.78,1415.81,8143252,390496446100,145595752627690,1408.3719999999998,53.44533639512787,1368.900365323946,1408.3719999999998,1447.8436346760536,5.605285347344847,0.5942195586912505
2019-03-22,1413.49,1422.82,1397.71,1411.69,23983769,2068018051855,144979241317270,1408.593,52.16626235363212,1369.099031802314,1408.593,1448.0869681976862,5.60757695057212,0.539208518937601
2019-03-25,1395.67,1395.67,1378.89,1379.28,6488508,286730499295,141724505983330,1407.0594999999998,43.372633007158974,1365.564329931667,1407.0594999999998,1448.5546700683326,5.898140067045176,0.16526827153312557
2019-03-26,1388.33,1395.47,1382.58,1387.8,6153808,331363918085,142513124969700,1405.7815,45.95194428777433,1363.572941495831,1405.7815,1447.9900585041692,6.004995584899802,0.28699225184124694
2019-03-27,1392.89,1395.97,1385.63,1389.35,6977599,323800480040,142749967645430,1404.296,46.429997065272936,1361.9702313005437,1404.296,1446.6217686994564,6.028040911525259,0.32344089122010317
2019-03-28,1386.9,1388.03,1372.82,1380.61,6366208,283386618600,141725572301685,1400.913,44.0633282626156,1362.557365159733,1400.913,1439.268634840267,5.4758053983747645,0.235332238867216
2019-03-29,1390.15,1397.14,1383.88,1389.51,7455065,370076445545,142639785633930,1398.5945,47.024587537073614,1363.5071743823369,1398.5945,1433.681825617663,5.017512312205297,0.37054442252180697
2019-04-01,1392.41,1404.82,1392.23,1400.47,6501784,353775038618,143830982854225,1398.2195,50.49987952170838,1363.3815692491658,1398.2195,1433.057430750834,4.983184793350998,0.5322995647487792
2019-04-02,1394.88,1397.12,1383.37,1388.72,6981897,363626479410,142808302603955,1397.6195,46.94428919990976,1362.5618472120577,1397.6195,1432.6771527879423,5.0167664071576406,0.3730733621296392
2019-04-03,1386.2,1423.38,1382.45,1423.38,10687436,566914508835,146270788839335,1398.5535,56.641940891698916,1361.835063609,1398.5535,1435.271936391,5.250916234666756,0.8380658660901648
2019-04-04,1420.36,1442.46,1418.01,1434.27,8729801,442346570370,147254046620910,1400.1770000000001,59.167318636184504,1360.293089910844,1400.1770000000001,1440.0609100891563,5.696981180115968,0.9274029291986244
2019-04-05,1437.69,1453.29,1435.7,1451.6,7685917,351460200155,148926480746660,1404.1855,62.873261204014646,1360.710898460712,1404.1855,1447.660101539288,6.192145060504892,1.0453126460187498
2019-04-08,1455.18,1463.79,1451.95,1460.8,8397549,421945331269,149906884042325,1408.0904999999998,64.70465670624765,1359.3282209412866,1408.0904999999998,1456.852779058713,6.92601492002299,1.0404741228002723
2019-04-09,1453.63,1469.53,1449.05,1460.79,7647028,427393637161,149881353369715,1411.1834999999999,64.70092074246213,1357.53503524098,1411.1834999999999,1464.8319647590197,7.603329369854427,0.9623291665737728
2019-04-10,1458.32,1474.86,1455.5,1472.4,10723441,440314238657,150992488533355,1415.373,67.0776251875305,1356.5892477890384,1415.373,1474.1567522109617,8.306467936149929,0.9850575019041228
2019-04-11,1470.84,1477.4,1464.89,1475.52,11916830,552010094555,151377634907525,1420.5055,67.70688329642991,1359.5761095632026,1420.5055,1481.4348904367973,8.578550443739548,0.9514611060902298
2019-04-12,1474.32,1478.09,1464.28,1474.59,8641830,394909984010,151342413823555,1424.192,67.29400025123877,1359.6484721757506,1424.192,1488.7355278242494,9.063880126310131,0.8904186964898522
2019-04-15,1475.18,1480.0,1463.2,1466.75,12677602,412451846680,150660374548700,1426.1195000000002,63.76390110190641,1358.9627444276853,1426.1195000000002,1493.2762555723152,9.41811055417375,0.8025049353095124
2019-04-16,1466.77,1491.08,1465.87,1488.31,34988282,643764448288,153066196144855,1429.2154999999998,68.63642031573345,1356.7917057124894,1429.2154999999998,1501.6392942875102,10.134761942829535,0.9079771060143909
2019-04-17,1489.43,1502.41,1483.14,1501.88,16580598,476263719090,154455582445465,1432.6765,71.25624041823497,1353.6135827062421,1432.6765,1511.739417293758,11.037092783159057,0.9376482829673157
2019-04-18,1506.05,1532.18,1505.2,1506.1,15572663,713102999333,154829034939300,1437.191,72.03845217675978,1352.3928375434966,1437.191,1521.9891624565034,11.800541814762743,0.9063118704685744
2019-04-19,1510.46,1515.34,1498.68,1503.17,7811608,279437298660,154554827711065,1441.7649999999999,70.60184940924528,1353.1781615870646,1441.7649999999999,1530.3518384129352,12.288665408431378,0.8465808301780072
2019-04-22,1497.5,1506.25,1490.99,1502.59,7493136,261745970640,154460990763510,1447.9305,70.30297338616178,1360.439726435015,1447.9305,1535.4212735649849,12.084941033424592,0.8123729381555926
2019-04-23,1503.1,1519.54,1500.3,1518.16,6410395,332999661395,156008054860400,1454.4485,73.54108843749745,1366.425779688711,1454.4485,1542.471220311289,12.103930845442662,0.8619037208500645
2019-04-24,1527.48,1527.73,1502.16,1515.57,10105688,606626124582,155746369441670,1460.7595,72.13211180915616,1374.2245994164819,1460.7595,1547.294400583518,11.847932610880578,0.8166959205500005
