날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,0.0,0.0,0.0,255.99,0,0,0,,,,,,,
2019-01-03,0.0,0.0,0.0,254.02,0,0,0,,,,,,,
2019-01-04,0.0,0.0,0.0,256.41,0,0,0,,,,,,,
2019-01-07,0.0,0.0,0.0,259.6,0,0,0,,,,,,,
2019-01-08,0.0,0.0,0.0,257.92,0,0,0,,,,,,,
2019-01-09,0.0,0.0,0.0,263.45,0,0,0,,,,,,,
2019-01-10,0.0,0.0,0.0,263.28,0,0,0,,,,,,,
2019-01-11,0.0,0.0,0.0,264.55,0,0,0,,,,,,,
2019-01-14,0.0,0.0,0.0,262.51,0,0,0,,,,,,,
2019-01-15,0.0,0.0,0.0,267.23,0,0,0,,,,,,,
2019-01-16,0.0,0.0,0.0,268.42,0,0,0,,,,,,,
2019-01-17,0.0,0.0,0.0,268.81,0,0,0,,,,,,,
2019-01-18,0.0,0.0,0.0,270.76,0,0,0,,,,,,,
2019-01-21,0.0,0.0,0.0,270.63,0,0,0,,,,,,,
2019-01-22,0.0,0.0,0.0,269.59,0,0,0,,74.66218332409134,,,,,
2019-01-23,0.0,0.0,0.0,270.95,0,0,0,,76.75826351577714,,,,,
2019-01-24,0.0,0.0,0.0,273.27,0,0,0,,79.82444559904019,,,,,
2019-01-25,0.0,0.0,0.0,277.71,0,0,0,,84.13746670995761,,,,,
2019-01-28,0.0,0.0,0.0,277.5,0,0,0,,83.23118504762759,,,,,
2019-01-29,0.0,0.0,0.0,278.69,0,0,0,266.5645,84.26546928363697,252.11625515849758,266.5645,281.0127448415024,10.840336835176787,0.9196184426903413
2019-01-30,0.0,0.0,0.0,282.06,0,0,0,267.86800000000005,86.75663927958114,252.78113737054653,267.86800000000005,282.9548626294536,11.264400846277669,0.9703429847731698
