날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,1732.45,1735.81,1696.01,1701.16,29716410,2048819702505,870917401429300,,,,,,,
2019-01-03,1699.38,1704.72,1681.52,1684.17,38472787,2421260305986,864086371718550,,,,,,,
2019-01-04,1683.37,1697.42,1676.71,1696.43,42603971,2728358577010,870601420214400,,,,,,,
2019-01-07,1717.45,1730.1,1715.12,1721.79,45409702,2543652922474,882786702847100,,,,,,,
2019-01-08,1716.59,1729.81,1707.42,1709.31,41099430,2169774759386,876783974287100,,,,,,,
2019-01-09,1718.42,1754.38,1717.53,1752.09,43194850,2758485467366,896419714020150,,,,,,,
2019-01-10,1753.72,1761.91,1748.0,1754.61,45048015,2762244400820,897669766900000,,,,,,,
2019-01-11,1761.74,1768.84,1755.43,1766.31,32075913,2010276026131,903556743000300,,,,,,,
2019-01-14,1759.75,1762.83,1743.13,1748.57,30645160,1998464495108,896030750924500,,,,,,,
2019-01-15,1752.18,1784.71,1749.78,1784.62,32854187,2229634150509,913172273024600,,,,,,,
2019-01-16,1784.17,1794.86,1776.94,1794.46,28947138,2153391200215,917208287616350,,,,,,,
2019-01-17,1796.47,1808.82,1793.92,1802.28,35991301,2589897750896,920112135679950,,,,,,,
2019-01-18,1808.68,1815.37,1806.67,1813.66,31821916,2269162559409,926444786298300,,,,,,,
2019-01-21,1820.23,1821.83,1801.03,1815.26,35464079,2355117111475,926494200944200,,,,,,,
2019-01-22,1815.23,1818.66,1797.4,1806.43,31717976,2191541934435,923284146287750,,74.69728007082722,,,,,
2019-01-23,1795.9,1817.22,1792.83,1811.48,32494581,2202699707621,926262943889200,,75.72106830676508,,,,,
2019-01-24,1815.45,1834.19,1813.37,1834.19,41446531,2830825405734,936176166467750,,79.69910320932142,,,,,
2019-01-25,1841.56,1871.84,1840.68,1871.84,50990145,3366986595553,954004580045550,,84.29368386930204,,,,,
2019-01-28,1878.14,1884.26,1863.24,1871.68,41589700,2933459111197,953749425727350,,84.2064639314523,,,,,
2019-01-29,1867.7,1883.79,1858.95,1883.79,37917264,2546463151152,959094882452850,1781.2064999999998,85.43487520287741,1664.0060827183195,1781.2064999999998,1898.40691728168,13.159666471201438,0.9376413598999834
2019-01-30,1881.33,1910.25,1876.78,1910.25,47067811,3191193827181,971165575895200,1791.6609999999996,87.68816733566416,1667.7751328641557,1791.6609999999996,1915.5468671358435,13.829163791123872,0.9786219878897269
2019-01-31,1924.09,1925.93,1902.81,1902.81,57411143,3853687590581,968276056348850,1802.593,83.7641643462566,1679.9976061061022,1802.593,1925.188393893898,13.602115829130351,0.9087306905132762
2019-02-01,1911.85,1922.33,1900.29,1903.0,40385112,2951996542360,967106278058650,1812.9215,83.78412129638158,1693.066939924048,1812.9215,1932.7760600759518,13.222255908593052,0.8757825315236955
2019-02-07,1914.98,1916.39,1898.52,1900.95,38810530,2809968843282,965756715697900,1821.8794999999998,82.60432439170916,1703.8416000737475,1821.8794999999998,1939.917399926252,12.957816356817485,0.8349369145393214
2019-02-08,1887.48,1888.5,1866.3,1869.36,36129907,2590177056658,950663871518850,1829.882,66.95752911723599,1722.2098731332944,1829.882,1937.5541268667057,11.768204383310579,0.6833250681899886
2019-02-11,1869.56,1874.55,1858.11,1874.3,36367409,2488929495713,953396786430500,1835.9925000000003,67.9789852351322,1732.8993054864925,1835.9925000000003,1939.085694513508,11.230241355943207,0.6857906342934228
2019-02-12,1873.72,1891.73,1868.12,1887.42,39288902,2788729947138,959405594895850,1842.6330000000003,70.58021250823194,1744.3672527428814,1842.6330000000003,1940.898747257119,10.665796960883567,0.7278871389580525
2019-02-13,1897.62,1901.14,1890.14,1895.65,37944013,2478070198151,963664893515000,1849.1,72.1107057489799,1754.834475443034,1849.1,1943.3655245569657,10.195827652043246,0.7469089320765909
2019-02-14,1891.21,1924.0,1883.15,1924.0,49559535,3282983492765,977129250646650,1857.8715,76.62231343201643,1770.2417214370028,1857.8715,1945.5012785629972,9.433351936664858,0.877317511720403
2019-02-15,1907.83,1907.83,1879.96,1888.28,34839602,2404731085280,960514101055050,1863.0545000000002,62.83086415724428,1781.3030287043719,1863.0545000000002,1944.8059712956285,8.77606868673228,0.6542816269861355
2019-02-18,1899.52,1909.28,1891.25,1899.99,29930451,2221366573101,966879689765050,1868.3310000000001,65.05167293683421,1791.495185460165,1868.3310000000001,1945.1668145398353,8.225075164929036,0.706017208183473
2019-02-19,1895.11,1899.64,1879.51,1891.84,23893774,1850676441200,963152534239900,1872.809,62.26332842475665,1801.6646386211814,1872.809,1943.9533613788185,7.59760994087689,0.6337491800556521
2019-02-20,1903.85,1922.27,1902.48,1916.4,39638657,2785134907460,975836509265600,1877.946,66.87165398381596,1809.8557709212257,1877.946,1946.036229078774,7.2515641108715805,0.7823753166956774
2019-02-21,1908.78,1924.41,1901.0,1918.64,33638968,2393811132495,976174788217100,1883.1149999999998,67.26430387399368,1819.2816352132368,1883.1149999999998,1946.9483647867628,6.77955035000656,0.778263570459371
2019-02-22,1909.1,1919.8,1903.13,1919.8,27535234,1991072622372,976518766853650,1888.7835,67.47926539590198,1833.654461454058,1888.7835,1943.912538545942,5.83751801579609,0.7813081890966795
2019-02-25,1927.74,1928.63,1911.25,1920.08,26854513,2035705567330,976189151344300,1894.2135000000003,67.53468246180763,1850.372888108742,1894.2135000000003,1938.0541118912586,4.6288986844680675,0.7950061470875291
2019-02-26,1916.14,1920.84,1904.96,1911.29,31229688,2336119527247,972506308402750,1898.0685,63.85593499340714,1863.4229748776997,1898.0685,1932.7140251223004,3.6506085130542276,0.6908110781021122
2019-02-27,1918.04,1922.93,1913.24,1916.39,32568187,2347559945652,975835958562050,1900.2959999999998,65.04564308367412,1866.9791271575505,1900.2959999999998,1933.6128728424492,3.5064929718790503,0.7415292707107666
2019-02-28,1910.57,1912.16,1884.17,1884.17,62334295,4046584965443,960728527419650,1900.9205000000002,53.144206417200834,1869.3501262454824,1900.9205000000002,1932.490873754518,3.321588015334437,0.23471172482392452
2019-03-04,1901.85,1904.23,1870.47,1872.81,46357782,3110962821084,955056467139750,1900.3715,49.69193773044714,1867.2832523733887,1900.3715,1933.4597476266113,3.4822925545464445,0.08351526634136965
2019-03-05,1866.16,1869.63,1852.36,1857.36,34467666,2380963408386,948418614012250,1897.727,45.37477895866211,1860.0794305698237,1897.727,1935.3745694301765,3.9676486059561165,-0.03611694740170943
2019-03-06,1855.32,1856.7,1847.43,1855.36,35189097,2316197645456,947448393524200,1895.3545,44.83179819672148,1853.5376419281654,1895.3545,1937.1713580718344,4.412563251026078,0.021789753652749343
2019-03-07,1850.66,1866.42,1842.44,1851.65,34606337,2358443258701,944537776354900,1892.7869999999998,43.785092026341204,1847.0419748715778,1892.7869999999998,1938.5320251284218,4.8336157347257735,0.050366407226643074
2019-03-08,1840.34,1846.23,1824.64,1824.68,31539529,2173190311990,931101331994400,1888.9735,37.01877438147375,1834.6704432628333,1888.9735,1943.2765567371669,5.749477876441019,-0.09198785356769251
2019-03-11,1830.76,1836.16,1819.54,1824.76,30497494,2032759778453,930332440897350,1886.7435,37.049849773050354,1826.1079723697405,1886.7435,1947.3790276302595,6.4275326911431785,-0.011115367693014475
2019-03-12,1840.99,1850.71,1838.29,1845.0,30937643,2020923038795,939942176947850,1885.2785,44.5096647392747,1822.1467478383502,1885.2785,1948.4102521616496,6.697339640976093,0.18099649842708124
2019-03-13,1838.17,1839.15,1816.95,1830.61,27437116,1894738840085,933481694792650,1882.438,40.80710527605008,1814.9831547774368,1882.438,1949.8928452225634,7.166753457225505,0.11583189592240015
