날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,4894.36,4908.32,4727.31,4742.22,17266614,534164485635,127858797749740,,,,,,,
2019-01-03,4767.32,4767.32,4675.6,4681.3,22308724,542193638907,126315354217795,,,,,,,
2019-01-04,4669.2,4685.76,4578.9,4662.2,14922410,518845836055,126099297254760,,,,,,,
2019-01-07,4737.86,4820.87,4725.56,4755.79,14691786,580681827593,128613594532740,,,,,,,
2019-01-08,4803.07,4803.07,4720.57,4732.05,15562338,440438963956,128027556429980,,,,,,,
2019-01-09,4732.24,4791.98,4721.48,4777.56,15216819,505826356850,129284051744340,,,,,,,
2019-01-10,4775.93,4785.11,4735.02,4754.54,13105436,439172687262,128660062604005,,,,,,,
2019-01-11,4767.23,4798.81,4748.81,4791.46,17043993,481726532205,129600153192515,,,,,,,
2019-01-14,4796.63,4836.04,4796.03,4808.9,26064887,632881262170,130063464154065,,,,,,,
2019-01-15,4810.71,4872.6,4807.12,4867.57,26396947,616651729922,131693384098540,,,,,,,
2019-01-16,4871.32,4894.3,4852.65,4890.46,44889475,674276696090,132337436673300,,,,,,,
2019-01-17,4918.34,4926.7,4847.33,4856.14,36392730,650251942825,131414695743170,,,,,,,
2019-01-18,4900.06,4918.7,4873.45,4907.13,36852355,692793273366,132778803906530,,,,,,,
2019-01-21,4939.66,4954.86,4917.45,4943.17,27084711,623271248202,133688730342060,,,,,,,
2019-01-22,4949.26,4974.82,4924.1,4940.72,41248474,684579429953,133615731120550,,73.24651075154878,,,,,
2019-01-23,4926.81,4978.22,4909.72,4965.72,37718799,724817719515,134313336713205,,75.33506520203439,,,,,
2019-01-24,4940.95,4979.58,4929.08,4959.35,37229658,796446481984,134206773522390,,73.75512132810816,,,,,
