날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,773.19,774.09,743.98,749.02,17723913,186184532362,17660726766360
2019-01-03,753.72,761.75,745.43,753.27,19918221,259824083623,17761195197417
2019-01-04,748.46,769.28,741.69,768.41,16499501,161740071966,18117815119862
2019-01-07,779.33,779.33,768.19,773.21,70756403,340878868949,18231091825641
2019-01-08,777.73,780.09,761.64,764.28,54667564,325981963971,18160231572092
2019-01-09,773.32,793.28,773.32,788.27,37406028,235190787895,18730087700411
2019-01-10,791.94,793.26,776.79,779.7,33293582,204847048176,18526466323980
2019-01-11,780.5,796.92,774.46,795.0,34096708,229963730196,18890159074246
2019-01-14,796.37,806.35,794.29,803.7,29190857,248019753907,19096982626705
2019-01-15,808.93,823.2,804.26,820.39,23144353,193866486064,19494773363634
2019-01-16,823.58,826.75,816.87,822.42,38851441,227431871792,19542932668670
2019-01-17,827.13,828.0,814.9,817.65,30062111,237210960019,19428824820482
2019-01-18,829.44,842.87,826.14,836.91,42515101,278809022502,19886675056425
2019-01-21,849.06,854.98,836.26,839.53,27485953,210841373120,19948653916307
2019-01-22,844.42,845.68,822.27,825.19,28246684,190577222135,19618186985722
2019-01-23,820.48,841.23,819.4,840.79,35015209,191304841888,19988986196120
2019-01-24,835.83,839.36,827.92,830.65,33200696,190281701293,19747975212654
2019-01-25,830.29,840.67,827.19,837.31,23365114,172259338803,19906368916313
2019-01-28,840.92,850.24,839.24,845.04,42489338,226809614735,20089635058253
2019-01-29,837.49,842.06,830.14,834.17,56163854,330353179998,19836305752393
2019-01-30,840.07,843.65,834.02,843.17,21743287,184330053645,20050347472815
2019-01-31,853.26,856.21,837.26,848.14,26595878,211803440852,20168456828468
2019-02-01,850.08,855.66,846.65,851.64,26040318,252298317748,20256419343419
2019-02-07,860.54,867.18,855.01,863.5,19339549,220132202952,20540434442280
2019-02-08,857.33,865.8,856.05,859.72,21648734,188828052570,20451127325152
2019-02-11,864.16,864.16,847.56,851.19,19440883,161733790986,20252030893203
2019-02-12,855.05,859.87,849.95,851.36,33836378,199636761879,20255249750700
2019-02-13,856.02,860.06,847.46,855.68,37653124,249045223475,20358554670433
2019-02-14,848.48,851.0,829.75,841.31,28042979,253315010399,20017751780419
2019-02-15,839.15,844.02,832.43,838.41,19679729,184622640189,19948832462892
2019-02-18,841.31,846.72,837.68,844.7,20177638,167663798615,20104914770670
2019-02-19,848.8,852.28,844.68,847.05,19928653,201609783686,20159680219605
2019-02-20,852.65,853.74,844.11,847.08,16606807,173442311690,20160851832399
2019-02-21,847.53,850.4,836.02,838.05,17165547,214935115258,19945140601066
2019-02-22,836.89,845.71,835.51,839.19,20749031,198897908447,19972261980367
2019-02-25,842.7,842.7,827.56,830.51,20731610,298409757825,19765324518074
2019-02-26,833.34,836.79,826.48,829.9,14178201,179277332298,19750947293103
2019-02-27,833.94,836.46,830.57,834.65,13037414,162043426799,19863669509685
2019-02-28,838.45,838.45,796.47,796.47,26160797,422438520131,18953545887813
2019-03-04,789.29,799.88,787.63,788.57,16771631,313540345420,18765578872434
2019-03-05,789.24,789.24,780.14,785.55,18675032,216342242462,18699442881359
2019-03-06,784.71,789.45,780.79,787.7,17481227,219926817313,18750561025156
2019-03-07,785.0,789.13,776.6,779.5,17706560,194330400248,18555006992594
