날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,1674.04,1675.39,1618.88,1627.53,4201198,36574107690,8179762533325
2019-01-03,1641.52,1645.72,1608.32,1611.14,5398584,56938631360,8097952994965
2019-01-04,1608.41,1614.18,1586.63,1594.08,3602210,28740144335,8012195145620
2019-01-07,1609.94,1631.91,1605.78,1614.72,5385214,38294441170,8115796699400
2019-01-08,1625.41,1679.93,1617.75,1652.66,7462192,83819422620,8306315895415
2019-01-09,1660.33,1673.46,1653.69,1660.55,5372220,41960175040,8345943768490
2019-01-10,1668.15,1675.76,1647.39,1647.39,4870942,37904218565,8279689352455
2019-01-11,1650.99,1684.28,1640.94,1682.54,17550077,129914261270,8456522267870
2019-01-14,1694.6,1716.5,1690.55,1716.5,34004687,213673311345,8626723563350
2019-01-15,1718.0,1728.28,1706.34,1723.81,29857473,247950474475,8663992027485
2019-01-16,1736.28,1762.85,1725.96,1759.71,19030085,169510336370,8843500695350
2019-01-17,1769.94,1777.24,1709.04,1712.6,12097411,107067500550,8607375929945
2019-01-18,1721.5,1738.68,1707.64,1734.72,8132220,74999142195,8717975730995
2019-01-21,1746.85,1749.44,1728.79,1733.46,7982139,71914489805,8711537084910
2019-01-22,1733.76,1746.99,1730.71,1737.59,10633443,87340503540,8731603411655
2019-01-23,1730.15,1768.78,1726.98,1762.33,25371914,187742257985,8855970628680
2019-01-24,1776.07,1807.63,1770.41,1782.53,11903401,92309108750,8957252849555
2019-01-25,1786.33,1791.92,1775.47,1785.31,16131078,144483431150,8971100515660
2019-01-28,1785.79,1788.04,1768.13,1780.33,10473230,99467792625,8945994857990
2019-01-29,1775.13,1775.13,1734.08,1749.99,16223764,145910971250,8793425526020
2019-01-30,1764.15,1869.33,1764.15,1827.88,24131952,293817440160,9188095545355
2019-01-31,1847.18,1847.6,1795.61,1817.81,9111573,93098637740,9135825855565
2019-02-01,1833.19,1874.93,1823.34,1867.49,13025191,155259240355,9386548456170
2019-02-07,1917.32,1921.65,1888.1,1897.93,12145788,132962633580,9544053146490
2019-02-08,1877.52,1905.97,1872.11,1889.35,11273987,113580755315,9500059882790
2019-02-11,1902.06,1913.05,1870.32,1873.88,6467117,68631772475,9421250290765
2019-02-12,1877.46,1882.81,1855.07,1857.82,7931227,72487791445,9339450593100
2019-02-13,1864.45,1894.63,1864.45,1893.49,13382552,130501213635,9518465156515
2019-02-14,1892.58,1893.05,1856.55,1885.85,7271249,73140136685,9479414583280
2019-02-15,1887.39,1893.59,1865.88,1887.24,7960579,78753995335,9487588967155
2019-02-18,1895.04,1902.6,1886.43,1897.05,4482235,46951211785,9537611993340
2019-02-19,1901.25,1913.2,1892.37,1893.17,5274184,56521432515,9517258989425
2019-02-20,1907.72,1909.91,1889.77,1891.24,4616791,49016178760,9507468667120
2019-02-21,1890.76,1892.61,1851.4,1856.28,5749980,59867971040,9331129629160
2019-02-22,1855.85,1881.66,1855.85,1874.57,7027427,55306208470,9423173566645
2019-02-25,1885.2,1885.49,1830.79,1854.28,6152098,53417130620,9321090609880
2019-02-26,1859.73,1880.86,1853.41,1865.23,9346725,71098498900,9376602493845
2019-02-27,1875.79,1878.17,1856.2,1869.26,5360538,42853942565,9396636904335
2019-02-28,1869.27,1869.93,1743.8,1747.23,10884947,100136484890,8781842437940
2019-03-04,1708.06,1754.88,1701.17,1729.25,7982943,78904527360,8690848033660
2019-03-05,1719.31,1741.24,1709.28,1736.01,5133063,45460366560,8725479811370
2019-03-06,1731.76,1753.94,1727.73,1733.25,8840583,50289259945,8711176314480
2019-03-07,1725.25,1728.61,1684.64,1695.95,6297792,41805232685,8523829200410
2019-03-08,1687.62,1704.56,1676.43,1685.87,3362210,26518040660,8472998799855
2019-03-11,1679.27,1689.79,1651.74,1677.57,2783012,22599183445,8431139165110
2019-03-12,1684.3,1707.58,1678.86,1705.21,4464795,31520707895,8569897375840
2019-03-13,1706.71,1710.32,1688.24,1709.52,3965014,29560157115,8591231975825
2019-03-14,1708.5,1730.69,1702.79,1721.63,5286178,38888323920,8652100474335
2019-03-15,1720.59,1742.89,1691.0,1699.77,7250373,56693172655,8541694014615
2019-03-18,1712.11,1723.72,1704.77,1716.78,3473185,29572990440,8627422957125
2019-03-19,1718.53,1723.59,1704.8,1709.32,3218762,24193519090,8590394720440
2019-03-20,1707.7,1708.3,1673.52,1693.57,2629918,25350587720,8511064431255
2019-03-21,1684.22,1703.69,1668.34,1669.62,3631949,32194253055,8395847060290
2019-03-22,1668.3,1670.06,1645.89,1658.75,3847215,30147910075,8340232474200
2019-03-25,1642.9,1660.88,1635.21,1643.16,3576733,26258340035,8261769278085
2019-03-26,1655.47,1662.34,1641.47,1653.59,2197133,17235157875,8314201480595
2019-03-27,1658.36,1669.55,1651.54,1663.81,3666862,24244616545,8365162698220
2019-03-28,1656.34,1708.03,1656.28,1690.08,4805898,35262418105,8496671770125
2019-03-29,1690.6,1736.29,1666.37,1730.43,5735601,53322810255,8699715296775
2019-04-01,1741.04,1755.03,1728.12,1735.51,2762607,24773802900,8725527160455
2019-04-02,1741.55,1742.97,1716.11,1718.42,3413245,24980073215,8639907325225
2019-04-03,1723.22,1740.48,1722.54,1740.47,4834299,36052068825,8750444722135
2019-04-04,1734.67,1735.41,1716.67,1722.59,2682576,19953176690,8660442990905
2019-04-05,1723.13,1751.32,1722.63,1747.6,4448462,31459776760,8785957812800
2019-04-08,1749.8,1759.79,1740.38,1749.85,2994844,30001615460,8797138602235
2019-04-09,1749.33,1757.1,1737.76,1749.24,2438428,21788342970,8794259785990
2019-04-10,1747.27,1767.81,1743.23,1765.48,3496065,23911619645,8875389156155
2019-04-11,1767.28,1803.45,1760.59,1798.83,4072898,53857797150,9043724895755
2019-04-12,1786.79,1799.12,1775.43,1794.93,3537549,54047330045,9023436913800
2019-04-15,1806.57,1809.06,1776.6,1781.18,2808513,35390694335,8954936828185
2019-04-16,1776.1,1782.1,1758.17,1768.09,3228278,41117969685,8889745177355
2019-04-17,1768.87,1770.83,1752.32,1759.16,2273419,28554432430,8845602847705
2019-04-18,1762.39,1766.4,1738.92,1740.54,4294096,28650010745,8751826525880
2019-04-19,1743.65,1747.81,1738.79,1741.99,3146659,23856351680,8759452620095
2019-04-22,1748.83,1757.89,1738.52,1743.65,2976432,21095854545,8767963482195
2019-04-23,1740.76,1754.68,1730.68,1741.08,7093764,41786099005,8756717762900
2019-04-24,1746.88,1753.81,1718.44,1725.45,15843663,65120717305,8677220266460
2019-04-25,1727.33,1731.06,1685.14,1691.33,6961101,39927999740,8505739458345
2019-04-26,1695.53,1699.12,1677.98,1681.58,12213296,74491233720,8457478207505
2019-04-29,1682.37,1702.65,1670.98,1698.42,3541512,24354526680,8541275304185
2019-04-30,1703.45,1705.86,1679.25,1691.35,3334797,33172585340,8506116593980
2019-05-02,1683.76,1707.02,1679.84,1702.31,15529364,59340939855,8561777958440
2019-05-03,1694.72,1699.48,1676.97,1686.82,4099068,20490183700,8484611922090
2019-05-07,1675.11,1734.84,1656.03,1694.41,9802430,63015644240,8522918957615
2019-05-08,1683.76,1734.47,1681.12,1722.03,11707279,50702162330,8660953732540
2019-05-09,1720.96,1728.7,1680.84,1689.5,5003101,36090852005,8496992496705
2019-05-10,1676.05,1688.72,1634.63,1652.18,24035148,87967328585,8308477080565
2019-05-13,1642.87,1654.62,1623.0,1627.04,16303054,72292376985,8182196077445
2019-05-14,1615.11,1641.12,1609.49,1635.04,7131111,36845939915,8221920497790
2019-05-15,1631.12,1651.99,1623.73,1644.85,5154393,26511676105,8271594135755
2019-05-16,1650.7,1653.83,1626.28,1635.51,6362321,34759425230,8224529952745
2019-05-17,1651.27,1657.04,1635.12,1638.4,5311620,28375969990,8239594343820
2019-05-20,1642.3,1648.08,1620.35,1626.06,3835401,20253042270,8177097341130
2019-05-21,1628.81,1643.73,1616.94,1617.83,31303223,119115454910,8135631364960
2019-05-22,1623.37,1635.02,1614.49,1622.32,28870024,148144420695,8157677477185
2019-05-23,1627.82,1630.88,1600.33,1618.32,55778658,290051448660,8444677807055
2019-05-24,1607.06,1618.76,1590.97,1595.49,52329949,223766468295,8325471707635
2019-05-27,1591.4,1594.06,1577.74,1586.69,7516771,42890215480,8279424035670
2019-05-28,1592.51,1626.2,1590.04,1620.3,8064739,63808725890,8454983258310
2019-05-29,1622.25,1631.06,1604.98,1622.85,23226727,159336621595,11699229008180
2019-05-30,1630.89,1659.36,1630.89,1642.05,55014638,299274944530,11837718959240
2019-05-31,1643.73,1654.49,1633.04,1651.96,46592729,204122419905,11908819890525
2019-06-03,1638.09,1657.27,1632.86,1646.87,19882896,101612622295,11872231597210
2019-06-04,1662.41,1703.4,1662.41,1688.61,50132230,291162738310,12173927611105
2019-06-05,1703.68,1704.5,1681.76,1684.52,26589028,136316818945,12143846942190
2019-06-07,1695.52,1714.71,1688.54,1706.58,51240670,269269771090,12302815336315
2019-06-10,1719.58,1720.57,1693.77,1698.93,40653933,236164890480,12247811585550
2019-06-11,1702.4,1736.56,1700.22,1732.48,13326076,83116640130,12489567919655
2019-06-12,1760.07,1760.9,1739.69,1743.73,62462204,274125447385,12570786432130
2019-06-13,1746.47,1772.41,1745.52,1764.07,23609011,150309470535,12717175089735
2019-06-14,1768.61,1768.61,1740.26,1751.09,16337145,97866362795,12623475356845
2019-06-17,1751.82,1751.82,1724.83,1729.32,29700175,130601174915,12466701298770
2019-06-18,1732.45,1736.0,1715.98,1718.44,20913863,103508395400,12388326979880
2019-06-19,1731.23,1747.76,1729.52,1742.67,14062069,79497633325,12563074405140
2019-06-20,1746.96,1751.15,1732.95,1743.8,8075774,46935320415,12571286680445
2019-06-21,1744.32,1747.22,1714.48,1719.53,8472897,52339104730,12396547976680
2019-06-24,1730.36,1732.14,1712.93,1721.23,8481435,71283807690,12409098632040
2019-06-25,1731.28,1742.37,1710.23,1716.37,6007869,56296087385,12373820890285
2019-06-26,1716.95,1725.4,1703.67,1715.66,5937490,37684009800,12369022712140
2019-06-27,1707.11,1728.21,1686.61,1709.79,7159758,45488939510,12326127624555
