날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,254.25,257.83,253.08,254.64,9035089,28706060305,5270578854260
2019-01-03,254.15,255.4,251.45,253.51,42007897,114534807930,5246480542525
2019-01-04,252.94,255.48,252.0,254.63,40096026,131067132449,5270694665190
2019-01-07,257.18,262.83,256.4,261.77,21163632,71431183863,5417604139380
2019-01-08,263.54,268.37,262.4,267.0,17344068,64773921210,5526206498140
2019-01-09,266.87,270.45,266.87,268.72,11168285,45893387923,5562369471830
2019-01-10,267.92,271.34,267.92,269.64,8787996,36033183594,5582133870240
2019-01-11,268.96,269.02,264.54,265.6,13517298,54834843822,5497576451090
2019-01-14,265.77,266.77,261.83,263.83,12449206,41974280907,5461536359730
2019-01-15,264.21,266.24,262.34,263.12,13535545,48751944950,5446817409355
2019-01-16,265.06,266.37,262.03,263.09,40283080,133499586183,5446733170500
2019-01-17,264.54,266.44,262.5,265.99,23712346,80882753037,5506674596595
2019-01-18,266.03,267.03,262.85,266.43,22456506,82573979949,5516149579945
2019-01-21,266.38,268.26,265.05,267.76,11631595,40639824915,5541851886335
2019-01-22,267.45,268.39,265.31,265.71,25506140,89081297107,5500458149610
2019-01-23,264.99,269.41,264.21,268.78,12389833,49828898583,5562707701130
2019-01-24,269.11,270.32,266.51,268.28,13809682,54973951646,5552708739310
2019-01-25,267.87,271.63,267.56,271.63,9184514,44411036266,5634040953230
2019-01-28,271.71,271.71,269.28,270.45,7062374,34021453854,5608633646570
2019-01-29,268.85,268.88,265.94,267.16,8698500,37466793322,5540925584880
2019-01-30,267.29,267.88,264.89,267.75,8742457,41888905008,5553477984555
2019-01-31,268.74,269.28,265.69,267.78,5895904,27895309330,5553750950485
2019-02-01,268.61,271.6,267.48,270.92,14453944,55759204282,5618721704785
2019-02-07,273.06,279.32,271.25,277.39,12040963,71433773721,5751608754360
2019-02-08,276.52,276.75,273.92,275.0,8380597,43799880597,5702756622055
2019-02-11,275.84,276.31,271.65,273.47,6738835,38516388670,5671296314030
2019-02-12,273.77,274.84,271.9,272.12,12797831,47061868417,5639220733890
2019-02-13,275.14,281.38,274.97,281.23,8008557,56804247523,5828765431850
2019-02-14,280.48,287.68,278.93,287.68,33385792,131373406553,5961954457860
2019-02-15,286.26,296.4,285.05,290.97,14337749,115249079019,6030775789850
2019-02-18,294.62,296.64,293.51,294.51,7044104,60462413475,6104511332880
2019-02-19,295.18,296.69,290.9,292.25,13171733,60456514525,6060786110620
2019-02-20,293.13,293.33,289.42,292.4,11285704,55340851385,6063662532340
2019-02-21,292.52,293.38,287.98,288.42,10565260,47191902405,6004646623725
2019-02-22,288.64,292.67,288.64,290.91,8538571,36525348070,6056296091745
2019-02-25,292.95,293.93,289.84,292.45,7282841,41614540988,6088219950555
2019-02-26,293.02,294.93,289.95,291.16,11659982,51335750879,6061617129965
2019-02-27,292.53,296.19,289.74,292.53,8992400,50581663627,6090026318755
2019-02-28,292.9,294.7,286.28,286.28,17423459,65263587281,5959507657760
2019-03-04,286.38,293.84,286.38,291.08,11891809,47512343098,6058872543555
2019-03-05,290.84,291.02,285.37,286.75,8479077,37969080725,5969106448260
2019-03-06,285.89,295.77,285.26,294.28,5964935,54957769115,6125235367125
2019-03-07,294.39,296.13,291.84,293.75,6792773,40790194252,6114146364115
2019-03-08,291.45,293.69,289.61,293.14,5148874,31789527840,6101285942675
2019-03-11,290.98,291.35,287.83,290.22,4462420,30264263880,6040690226350
2019-03-12,291.66,294.12,290.17,294.12,6032597,35139451759,6121587591545
2019-03-13,294.48,297.36,293.19,296.42,3459070,28080002320,6169307623915
2019-03-14,297.99,300.82,297.58,299.08,5261468,41989593391,6224342285510
2019-03-15,299.23,302.82,298.31,302.31,9235979,46378224716,6290837897210
2019-03-18,302.17,306.36,301.64,305.31,6291814,38713834586,6353179089385
2019-03-19,307.29,309.43,305.58,307.44,7025677,46969606670,6397027640445
2019-03-20,306.41,308.3,302.71,307.67,5082579,37325963611,6402149241365
2019-03-21,307.03,307.43,299.54,300.87,5778566,44807281733,6268725669605
2019-03-22,301.29,302.45,296.76,298.92,4875255,32431497656,6226483994450
2019-03-25,296.62,299.39,294.79,295.71,9311049,45419408565,6156731592780
2019-03-26,297.0,306.98,296.65,305.09,4254197,36482304410,6350325834305
2019-03-27,306.69,311.32,306.17,309.65,4336525,42029293659,6445030831094
2019-03-28,308.69,312.37,305.07,305.07,3404315,28201981214,6350204676444
2019-03-29,307.82,313.79,306.39,312.5,8632374,41640825519,6503922134650
2019-04-01,314.0,316.04,309.01,311.23,6502369,41853766865,6478050907030
2019-04-02,312.28,312.3,308.08,309.49,4620350,34811396598,6442116127525
2019-04-03,308.21,311.04,307.67,309.17,8553389,35931247860,6435408816345
2019-04-04,309.97,313.01,308.67,312.43,6372399,36722879329,6503174442750
2019-04-05,313.07,314.05,311.26,312.33,6233731,27831734045,6501288039560
2019-04-08,313.15,321.68,313.04,318.64,8814002,46411151430,6633075476205
2019-04-09,319.43,322.07,316.22,320.12,26194914,82675217013,6668161301095
2019-04-10,320.81,324.62,319.79,322.87,21202752,79499775208,6723582581575
2019-04-11,322.87,327.74,322.72,326.27,12123826,60852839269,6793003317860
2019-04-12,325.98,335.37,324.93,334.61,8830521,51391870300,6966377681910
2019-04-15,336.27,340.43,335.57,340.22,5471212,41351648393,7081781800360
2019-04-16,338.73,338.73,331.81,332.02,6870497,35494646384,6912091315095
2019-04-17,332.1,332.28,322.78,323.41,5406529,36720519262,6734214961635
2019-04-18,324.59,324.59,319.57,323.01,4296205,27527449200,6726024053355
2019-04-19,324.0,324.89,321.62,321.84,4953959,27195355169,6701584842180
2019-04-22,322.67,324.4,319.47,319.76,4054278,28055974175,6664313004460
2019-04-23,320.85,323.68,319.21,322.66,4596615,26519066026,6723932916480
2019-04-24,322.51,323.14,318.62,319.84,3933870,24674613527,6669730075110
2019-04-25,321.02,322.74,319.35,319.95,5182992,27007527845,6671482493215
2019-04-26,319.95,320.74,313.3,314.18,4390407,27354388971,6551313561190
2019-04-29,315.03,319.72,314.58,319.53,3163444,21171124708,6667518756600
2019-04-30,320.01,320.37,314.29,318.99,3334396,19848963005,6656948826522
2019-05-02,317.41,321.22,315.55,320.32,5100048,31055297085,6521256699770
2019-05-03,320.64,326.06,319.84,324.79,3188150,47573222699,6612097352365
2019-05-07,319.22,325.46,318.37,324.55,3123016,27745430550,6606164451745
2019-05-08,322.33,331.35,321.49,328.95,4091370,40764318172,6695673770904
2019-05-09,328.39,328.87,320.26,321.3,4536239,31558453717,6540777080095
2019-05-10,323.43,327.82,318.58,324.09,4068374,40482113116,6597011550915
2019-05-13,322.11,328.73,321.42,322.2,3561516,27076585150,6558367439652
2019-05-14,319.79,323.1,316.6,318.4,4727504,27861302728,6481132997353
2019-05-15,318.13,322.03,316.68,319.08,4696969,37231316039,6494724432829
2019-05-16,316.11,316.77,307.2,312.38,6482915,57984075092,6358776380911
2019-05-17,314.63,318.57,313.03,313.8,43629392,126844147710,6388291867178
2019-05-20,315.06,323.54,315.06,317.87,37621356,130231289220,6471615343759
2019-05-21,317.43,318.26,311.63,313.1,9112226,42873272955,6374121244297
2019-05-22,313.57,315.35,311.82,313.34,17750299,51265404096,6379368416015
2019-05-23,312.67,313.03,298.88,299.58,65512368,167910364793,6100289529045
2019-05-24,298.2,299.55,292.73,299.12,21692961,77272551241,6091173585145
2019-05-27,299.05,304.33,296.57,299.04,13070682,41020986756,6089326396540
2019-05-28,299.94,305.67,299.4,303.86,15155745,56211926458,6186787287720
2019-05-29,305.44,305.87,297.55,300.37,19119005,49273068417,6114986039500
2019-05-30,297.14,299.38,285.79,290.95,19232291,64524360089,5924540810110
2019-05-31,289.83,293.8,288.37,292.8,8474127,36411466745,5962127130290
2019-06-03,290.49,294.28,290.34,292.57,6376283,30021052865,5962013964995
2019-06-04,291.98,293.07,286.8,289.78,7251048,36554875884,5905806853049
2019-06-05,292.27,294.63,291.61,292.67,8031901,32670310803,5965578166693
2019-06-07,293.44,295.98,291.61,295.26,6479334,31875745739,6017465654885
2019-06-10,296.36,299.49,295.86,297.7,7614728,38187681329,6067075461105
2019-06-11,297.93,300.9,296.38,300.13,7683759,31188114617,6116245908945
2019-06-12,301.7,301.7,298.18,299.4,16149514,47729402498,6101112839080
2019-06-13,299.6,301.55,298.02,300.55,9707733,34678346280,6124161504520
2019-06-14,300.86,303.03,300.18,300.64,11029726,42654413140,6126071804910
2019-06-17,300.41,302.82,297.33,297.72,7643675,35603514623,6066420702125
2019-06-18,299.49,299.68,296.52,297.47,6633466,32059807451,6060512588420
2019-06-19,301.56,304.15,298.53,300.56,14176012,63610291971,6123409924870
2019-06-20,301.75,304.25,299.46,301.75,9450930,36014297980,6148093121675
2019-06-21,301.61,301.73,298.8,300.5,10434772,46374606461,6122879497020
2019-06-24,301.61,301.79,297.17,299.69,10634536,35109987566,6110010651560
2019-06-25,299.83,301.11,295.33,298.28,8937409,32466306688,6081128650395
2019-06-26,296.53,299.17,294.62,297.17,6781697,29022848151,6058450817490
2019-06-27,298.47,299.78,295.6,297.26,10890813,39812304113,6060701419275
2019-06-28,296.96,299.06,295.13,298.43,6627438,45176082412,6084151016780
2019-07-01,303.5,305.43,298.95,302.63,36794788,119087720362,6169402354025
2019-07-02,303.23,303.55,300.53,301.54,56279108,153771391465,6147642385005
2019-07-03,302.42,303.0,297.09,297.61,16248726,49602843753,6068072475295
2019-07-04,298.81,299.48,296.41,298.78,14083389,40338646031,6091701731160
2019-07-05,299.44,304.47,299.28,300.25,20244589,61383812223,6121837960570
2019-07-08,297.94,299.53,293.69,293.79,18937580,41476754745,5990351056260
2019-07-09,294.57,295.9,287.6,288.5,10562932,38096189941,5881595352425
2019-07-10,287.65,292.21,286.18,291.37,7902138,26835193137,5940521008940
2019-07-11,292.88,297.09,291.76,296.46,36716594,118681463461,6044123065735
2019-07-12,296.05,298.66,294.99,296.45,51911285,180393097019,6043606502475
2019-07-15,296.87,297.53,291.64,291.86,16786932,64329788272,5950522178545
2019-07-16,292.42,293.78,289.22,292.48,20722459,75882624951,5962990543585
2019-07-17,291.16,292.02,286.81,288.55,12814148,42807688341,5882831516225
2019-07-18,286.89,290.33,286.53,288.07,15679244,55719904345,5882783081270
2019-07-19,289.24,293.56,288.7,292.99,13385743,48024268290,5982797359520
2019-07-22,292.55,293.27,290.82,292.0,5500195,22481781808,5961604509905
2019-07-23,291.51,294.06,288.18,288.96,12310159,47262643623,5900454912645
2019-07-24,290.43,292.17,283.52,284.04,8701283,56980383310,5800943461575
2019-07-25,283.93,286.21,279.19,284.43,12806317,86338751728,5808339041495
2019-07-26,283.87,285.3,279.64,283.17,10676663,74681533940,5782317040910
2019-07-29,281.19,285.3,277.38,277.69,11332951,63355916494,5670225007575
2019-07-30,278.21,288.91,278.21,284.7,79736628,154560830967,5815061263285
2019-07-31,287.63,290.77,281.69,285.99,67155664,158456828269,5839271565205
2019-08-01,284.63,295.81,283.46,284.11,49542416,203103734494,5800296542740
2019-08-02,282.99,287.61,281.83,284.52,27984173,139767348048,5808975756950
2019-08-05,284.69,285.27,270.57,272.63,96765085,190430526989,5567530925140
2019-08-06,267.54,276.93,264.33,270.04,90212785,198138309411,5519038872510
2019-08-07,272.59,273.48,265.91,268.8,30688804,105848312834,5494349389510
2019-08-08,270.29,274.19,267.15,274.19,32316002,90658317494,5601617497785
2019-08-09,274.8,276.89,273.87,275.98,29960991,88212913712,5637965659755
2019-08-12,276.73,282.94,275.62,280.24,24167926,78131056107,5724032294690
2019-08-13,277.71,283.58,276.58,283.17,18585119,60374888393,5783176738795
2019-08-14,285.24,288.16,282.74,287.45,16671116,87544746403,5869449756280
2019-08-16,284.94,285.29,280.1,281.78,12436272,54307011605,5754142121980
2019-08-19,283.49,283.92,276.67,280.34,13769023,61626002813,5725197853780
2019-08-20,280.31,281.29,277.45,279.25,10761297,42992896375,5703140233380
2019-08-21,277.76,279.91,275.82,276.84,14199977,48003485931,5654162344940
2019-08-22,277.28,277.86,272.94,273.59,14441692,61284534673,5588035175980
2019-08-23,274.2,274.22,271.41,272.8,18149577,70966442457,5572310445295
2019-08-26,266.66,270.15,265.15,267.23,9688953,40422614305,5458316110660
2019-08-27,270.27,271.01,266.78,267.41,18077341,51336019321,5462074393630
2019-08-28,269.16,270.22,265.41,267.56,9804065,52263086339,5465157701785
2019-08-29,267.41,268.0,264.24,266.01,11115943,38657488549,5433410275450
2019-08-30,268.38,269.51,266.4,266.49,6525651,31752487641,5443644971600
2019-09-02,266.98,273.77,266.31,272.81,7922825,36438268837,5572005955045
2019-09-03,272.92,277.74,269.96,272.37,6168732,30756462451,5563061527095
2019-09-04,272.2,275.25,271.58,273.2,5079069,25930301723,5579873921735
2019-09-05,274.05,275.47,271.83,272.4,5848702,23737853659,5563458676490
2019-09-06,274.41,274.6,271.76,273.09,5060823,20848140068,5577287228205
2019-09-09,275.14,279.15,275.14,276.09,5047020,35836326000,5638123254935
2019-09-10,278.28,279.4,274.39,278.3,21720169,71637318539,5683323706050
2019-09-11,280.36,280.41,276.61,280.36,13804104,51609112545,5725177502300
2019-09-16,281.39,284.66,280.57,282.24,19846880,72712110349,5764338754430
2019-09-17,280.82,287.05,280.17,286.56,9951157,38391650853,5851925154375
2019-09-18,286.84,287.37,284.62,284.98,19790690,64357767494,5819682748960
2019-09-19,285.13,285.89,281.76,282.54,7603960,31276034847,5770049624290
2019-09-20,282.18,287.23,281.36,286.89,10529083,44148410784,5859322098105
2019-09-23,286.56,290.43,286.56,289.38,10686511,44219120874,5910821722500
2019-09-24,286.99,287.86,284.48,286.1,9331204,37599079549,5843858267275
2019-09-25,285.93,286.92,282.47,282.83,10236294,40609263942,5776896724075
2019-09-26,284.47,289.51,282.96,285.94,8553029,39533100206,5839147141115
2019-09-27,285.83,287.96,283.95,284.65,5882851,23989976618,5813086302520
2019-09-30,284.34,286.3,280.52,285.42,5357108,20739281049,5828516203865
2019-10-01,286.66,287.04,284.68,285.7,4314828,18251730156,5834260565055
2019-10-02,285.37,288.09,283.99,285.73,18015677,69133433399,5834546543635
2019-10-04,284.45,285.75,280.35,280.51,10723659,42429960704,5728460396105
2019-10-07,280.99,281.03,275.35,276.18,13401917,40047775004,5639783936172
2019-10-08,277.54,278.93,275.58,278.8,5438161,24854820871,5693321868159
2019-10-10,277.76,277.76,271.59,273.37,4709695,34730986722,5582832999739
2019-10-11,274.54,276.91,272.91,273.47,3881588,19847339681,5584882263540
2019-10-14,276.26,279.29,275.58,276.97,5347849,26189079401,5656636485860
2019-10-15,276.59,278.16,275.6,277.07,13416725,34113133251,5658529064475
2019-10-16,278.92,280.98,276.98,277.79,4611327,21353264583,5672780277190
2019-10-17,278.16,279.57,276.48,278.33,4322983,23254930417,5683349240555
2019-10-18,279.7,280.86,278.09,279.67,7831524,50725009895,5710853143200
2019-10-21,279.76,282.14,278.12,279.33,23902991,94933796219,5703467786680
2019-10-22,282.34,283.35,279.41,280.12,9583744,95071605963,5719538132675
2019-10-23,279.15,281.31,276.86,277.25,8606861,56351212037,5661369584660
2019-10-24,277.63,278.93,275.5,277.89,5985680,33113979359,5674205201270
2019-10-25,278.18,278.58,275.46,276.19,7338543,24485326739,5639775289565
2019-10-28,277.0,278.2,275.51,275.97,3919716,19357340962,5635020574080
2019-10-29,277.12,279.23,275.78,278.51,3979417,20828815933,5686663800245
2019-10-30,278.87,280.12,276.3,277.95,3844382,20932956825,5675433758170
2019-10-31,278.78,283.19,278.22,282.12,3220206,28045382922,5760025335905
2019-11-01,281.63,286.22,280.68,284.52,6235576,27483441634,5808962475495
2019-11-04,284.82,287.86,283.72,286.31,3703178,21511283205,5845207021640
2019-11-05,287.65,288.35,284.57,286.01,5840871,20687828270,5839092996880
2019-11-06,286.74,298.04,286.66,296.68,5936671,57707416281,6055834792450
2019-11-07,299.01,299.45,292.96,294.74,3434125,26293083052,6016470390740
2019-11-08,296.35,301.11,293.83,300.91,3267131,27823395433,6141507176295
2019-11-11,305.37,307.49,300.19,303.35,3886583,51174395086,6191103061930
2019-11-12,303.54,307.32,302.46,305.62,3774227,41744443729,6237133817165
2019-11-13,306.57,309.06,304.47,307.47,8085152,79989214219,6274729180665
2019-11-14,307.46,308.46,300.86,301.66,6644235,53942087869,6156908606830
2019-11-15,299.37,306.54,298.94,305.16,5660499,43450252788,6227837626100
2019-11-18,305.0,306.28,299.69,301.23,10607069,56916495866,6148135234325
2019-11-19,301.06,303.31,299.78,302.55,19384175,45022848875,6175132315885
2019-11-20,301.99,302.59,297.02,297.92,27878788,42761694807,6080929529930
2019-11-21,296.57,296.64,284.7,293.95,32907945,75228707348,6000121858390
2019-11-22,293.78,295.42,290.19,292.66,33464463,54959092251,5974173921250
2019-11-25,292.52,294.64,289.59,293.57,10053482,28809145383,5992394274460
2019-11-26,293.0,296.98,291.33,295.03,7651767,24527961457,6022097297190
2019-11-27,296.09,296.56,291.24,291.39,7815012,26340995350,5948280430975
2019-11-28,289.72,290.58,285.7,287.71,6231670,24900600125,5873368724270
2019-11-29,290.59,292.13,285.78,287.74,8595989,26829207677,5874214746360
2019-12-02,287.41,288.86,285.47,287.89,4302523,15000588654,5877019514560
2019-12-03,286.81,287.77,283.04,286.61,33199460,35713083746,5851198341330
2019-12-04,285.23,285.62,279.73,282.3,12713185,25100487652,5763683970200
2019-12-05,283.08,283.88,279.92,282.46,9332491,22830405117,5766858912585
2019-12-06,281.59,283.68,278.37,282.02,20704468,47361920447,5757757946490
2019-12-09,281.57,281.97,277.0,278.04,4474140,19793986290,5676880254970
2019-12-10,277.82,282.16,276.82,281.59,4808993,18315009323,5748578017135
2019-12-11,284.31,286.95,281.18,282.94,5706510,25026799558,5776059251235
2019-12-12,283.67,286.96,283.67,286.63,8722562,76500966617,5851133923905
2019-12-13,287.11,288.0,281.96,282.96,5251075,27531298160,5776426110100
2019-12-16,284.24,285.28,281.91,283.94,6015116,20795811072,5796479840155
2019-12-17,283.43,284.31,280.58,281.49,7631065,29297788383,5746713587845
2019-12-18,281.75,282.34,277.73,279.88,5238807,20088050823,5714049511480
2019-12-19,280.2,285.59,279.81,284.82,16810239,32391375123,5814003249015
2019-12-20,287.42,287.79,284.29,286.21,29943425,39858859559,5842396868890
2019-12-23,285.41,285.83,281.71,282.2,7248374,19387447358,5760921293010
2019-12-24,282.5,283.65,281.19,282.43,8537591,37429074064,5765508168210
2019-12-26,282.85,287.22,281.52,286.49,6821287,25517820920,5848121710020
2019-12-27,285.4,289.42,285.37,288.37,4509447,23618520349,5886069922300
2019-12-30,288.71,291.01,287.52,289.14,23556897,29122083485,5901909373790
2020-01-02,289.71,291.83,288.17,291.06,13106777,24927077566,5940815111220
2020-01-03,292.44,294.0,289.91,292.89,10442592,27596504332,5977930760235
2020-01-06,289.49,290.48,285.63,288.2,6572631,22353118380,5882307945530
2020-01-07,288.33,291.17,286.53,288.07,6720773,29204498378,5879582165495
2020-01-08,285.32,285.79,276.39,278.73,7830564,31898616109,5689520774895
2020-01-09,282.51,284.98,281.86,284.23,7123635,25647963336,5801212927525
2020-01-10,286.0,289.98,285.18,289.66,3740268,31169392616,5911837522625
2020-01-13,289.6,295.74,288.24,292.4,8308101,35276339948,5967545293300
2020-01-14,293.0,294.07,287.7,288.27,7072418,31540707372,5883622207315
2020-01-15,288.64,291.95,288.29,291.89,8222747,21924110213,5957265248330
2020-01-16,291.73,292.87,289.9,290.76,8621600,24670837195,5934263282320
2020-01-17,290.86,293.33,290.39,290.77,4155969,19907697341,5934345112600
2020-01-20,291.07,292.61,283.56,283.84,3757328,25804547496,5793547318715
2020-01-21,285.08,286.48,280.94,282.43,4589414,23697715296,5764889183360
2020-01-22,282.16,284.77,280.14,284.35,6233790,49902136390,5803657991535
2020-01-23,283.62,287.52,282.8,285.83,11797329,41236813945,5833947535060
2020-01-28,276.84,277.18,262.43,268.35,65343129,183008532827,5478691650790
2020-01-29,271.02,271.42,267.03,268.57,86011649,156565074925,5482947671605
2020-01-30,268.88,269.34,260.75,261.76,31948805,74298543417,5344599572305
2020-01-31,263.38,263.86,258.94,259.04,68208786,120190942422,5289459066625
2020-02-03,253.15,264.91,252.11,264.67,59264970,120512689986,5403695224870
2020-02-04,265.23,265.23,258.9,260.45,20981158,54620395087,5317780263555
2020-02-05,261.98,262.52,257.52,258.91,28737164,55036082776,5286696400735
2020-02-06,260.37,263.33,259.93,261.72,20446140,44685790399,5343762091945
2020-02-07,261.97,262.51,256.71,259.22,13632695,31613422617,5292952590765
2020-02-10,258.22,260.0,257.56,259.06,11113844,27734776690,5289703872555
2020-02-11,260.25,263.78,260.23,263.34,13050288,33436482999,5376522940370
