날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,1342.72,1348.05,1316.97,1327.64,12941716,100551732057,20386096146700
2019-01-03,1334.71,1340.17,1317.39,1324.44,9083195,106680362541,20336517408180
2019-01-04,1309.88,1341.28,1303.22,1338.21,9834519,123074778967,20548083511410
2019-01-07,1349.1,1357.43,1335.71,1348.4,7115900,81246363841,20704924175885
2019-01-08,1356.52,1358.82,1342.48,1350.66,6380127,71364730406,20739629015675
2019-01-09,1356.05,1374.29,1354.57,1372.09,21697970,119381421033,21067853894035
2019-01-10,1364.38,1364.38,1348.54,1360.58,7439964,64674821044,20891337341280
2019-01-11,1362.72,1366.79,1349.8,1366.52,8175564,72474502581,20990047373235
2019-01-14,1361.53,1371.64,1359.35,1370.51,9669694,64103336740,21051639273475
2019-01-15,1370.08,1389.83,1368.64,1389.18,12087765,86640399497,21338032295570
2019-01-16,1386.56,1408.59,1384.88,1401.72,14795484,138699545913,21530686734805
2019-01-17,1403.93,1413.61,1401.56,1409.88,9949353,116193178535,21656606409605
2019-01-18,1415.02,1416.53,1402.71,1414.36,6338351,72173469613,21725363549310
2019-01-21,1421.61,1425.26,1405.01,1406.3,6185055,73024870264,21601420690010
2019-01-22,1407.67,1410.59,1385.5,1398.25,4832460,63349043663,21478078202950
2019-01-23,1392.92,1411.1,1392.92,1410.81,6008860,75751669335,21670681804930
2019-01-24,1396.76,1418.38,1394.82,1414.67,11605315,98484374984,21729910739055
2019-01-25,1409.34,1415.84,1382.19,1384.94,9473923,126540251943,21273974288115
2019-01-28,1389.71,1390.66,1380.54,1382.58,6706721,70313330708,21237948059000
2019-01-29,1387.35,1396.98,1379.65,1394.91,7612876,80247662865,21427205806995
2019-01-30,1391.02,1411.01,1389.16,1408.41,7277517,104889191558,21634516354540
2019-01-31,1417.55,1420.82,1393.01,1402.56,5827939,75766373555,21544475581275
2019-02-01,1400.28,1405.57,1389.4,1396.2,10640295,96573042784,21447148459630
2019-02-07,1400.24,1400.24,1375.45,1382.72,13203970,99541575068,21240501874880
2019-02-08,1384.75,1396.32,1370.29,1394.96,7493998,89591033567,21427830212415
2019-02-11,1398.84,1406.28,1382.86,1402.24,27051155,145318666791,21539683016920
2019-02-12,1406.48,1410.78,1393.79,1398.61,13845453,95927924363,21483775250630
2019-02-13,1405.58,1419.03,1403.87,1413.78,11713309,93946612408,21716473944250
2019-02-14,1413.76,1425.95,1405.03,1425.95,12827900,97436936594,21903539100260
2019-02-15,1417.14,1420.7,1404.33,1412.05,7216279,57013971912,21690839720790
2019-02-18,1413.66,1418.52,1396.45,1407.23,7040021,72054285062,21616371188290
2019-02-19,1406.35,1427.73,1403.51,1424.3,7325606,86394819917,21878304058625
2019-02-20,1432.85,1449.85,1432.72,1438.05,7076158,105577259652,22089283005620
2019-02-21,1439.96,1445.83,1425.03,1444.34,10242913,101070015401,22185673049315
2019-02-22,1445.76,1453.03,1443.5,1452.3,10676026,93352938255,22307507083640
2019-02-25,1463.36,1472.32,1459.93,1468.97,8310531,112452686835,22562923702530
2019-02-26,1469.33,1484.59,1469.25,1481.95,11478180,123104259204,22762137737665
2019-02-27,1489.09,1489.6,1456.92,1462.16,8892922,121755782583,22458783321975
2019-02-28,1460.51,1466.46,1431.98,1435.11,14146062,138037648801,22043417652335
2019-03-04,1438.55,1448.84,1430.84,1435.78,11570953,98429635968,22053961325400
2019-03-05,1427.57,1432.45,1412.71,1420.2,7617696,79343708335,21814922109440
2019-03-06,1418.2,1421.21,1402.78,1411.95,5535813,62630900348,21688409089720
2019-03-07,1409.81,1414.15,1385.95,1395.87,8046268,100361531982,21442047575325
2019-03-08,1387.4,1389.52,1370.44,1377.28,6829770,90944580965,21156765575610
2019-03-11,1376.17,1376.57,1355.55,1365.7,7683264,89400303875,20979153744465
2019-03-12,1375.48,1380.64,1360.38,1368.37,17147955,75020792573,21020069100175
2019-03-13,1367.97,1368.04,1345.27,1358.43,8929802,124938393546,20867344541070
2019-03-14,1361.95,1368.0,1354.18,1361.96,6159081,86899982934,20921619545980
2019-03-15,1366.62,1375.46,1356.89,1371.13,8409140,104860985820,21062123274815
2019-03-18,1381.07,1388.79,1374.26,1379.75,6854878,101520336025,21194319911725
2019-03-19,1379.27,1381.74,1363.72,1365.68,5265410,78158581649,20978598942950
2019-03-20,1364.03,1366.14,1346.6,1360.08,5704928,70227847799,20892602154640
2019-03-21,1357.6,1363.24,1327.11,1335.08,6014747,92922952796,20508742496050
2019-03-22,1331.29,1338.79,1323.38,1334.74,5132428,65081179274,20503674565135
2019-03-25,1319.71,1323.01,1308.11,1310.5,22264677,58204914122,20131498424815
2019-03-26,1312.42,1313.16,1297.9,1304.55,34662255,146273421278,20040113827095
2019-03-27,1312.28,1322.48,1301.42,1304.46,28522512,152009603670,20039450037465
2019-03-28,1301.45,1301.81,1278.33,1283.91,22871826,133508222361,19723808277230
2019-03-29,1292.27,1316.31,1288.38,1312.44,10196462,84335785566,20161290126930
2019-04-01,1319.52,1340.95,1316.94,1337.05,11628728,79533574386,20539289511455
2019-04-02,1337.6,1342.36,1326.58,1338.51,10517060,78124720317,20561286712350
2019-04-03,1331.74,1351.77,1327.54,1351.54,7571429,69533976019,20761009532705
2019-04-04,1349.19,1351.94,1343.08,1347.59,8538638,70493825536,20700578787910
2019-04-05,1346.08,1355.98,1344.25,1351.76,13045854,64157205953,20764617214850
2019-04-08,1368.83,1370.83,1354.97,1364.31,10868565,216197596372,20959126902015
2019-04-09,1366.4,1373.83,1352.5,1358.59,10234595,145267683502,20874371377400
2019-04-10,1353.57,1382.76,1351.24,1381.56,24575327,169678199288,21233212872645
2019-04-11,1389.4,1406.63,1386.28,1401.62,63663749,339827788395,21549095387710
2019-04-12,1403.25,1449.25,1394.73,1449.25,125447666,941621114186,22290302871980
2019-04-15,1472.94,1521.88,1472.94,1499.87,77374130,1041440753421,23070824084900
2019-04-16,1502.91,1518.55,1461.52,1486.15,137700016,1269447669824,22860794802535
2019-04-17,1481.27,1483.94,1453.21,1459.85,31753833,349658442848,22443409034065
2019-04-18,1458.1,1481.29,1455.24,1470.74,22921105,244987026659,22605939252395
2019-04-19,1476.73,1500.99,1466.11,1490.48,61266011,531091683610,22909127168240
2019-04-22,1500.8,1505.28,1484.39,1495.88,63575493,508596285784,22992692594905
2019-04-23,1494.68,1496.67,1469.8,1481.34,33550257,294519589122,22766544175085
2019-04-24,1475.53,1475.53,1445.92,1458.31,40726221,320565570909,22412421506545
2019-04-25,1460.83,1464.84,1431.51,1435.09,34519470,286771207299,22056370376435
2019-04-26,1427.85,1448.78,1421.05,1444.44,21319987,188975729615,22254784737875
2019-04-29,1452.2,1471.51,1447.23,1469.61,13297343,154123161504,22640832480740
2019-04-30,1476.61,1500.05,1476.6,1487.28,45039089,359310794786,22913435823405
2019-05-02,1480.06,1509.36,1478.47,1507.52,17919167,219248463025,25492823978125
2019-05-03,1506.34,1511.32,1492.38,1506.04,31646459,365340803996,25465902427650
2019-05-07,1481.27,1497.73,1477.07,1484.16,13715333,164163302975,25095126614610
2019-05-08,1470.79,1478.31,1466.18,1470.05,14122788,162767055679,24855889947400
2019-05-09,1478.54,1497.47,1433.31,1436.23,33797134,589858729944,24299524829115
2019-05-10,1439.1,1445.27,1411.51,1425.14,16707928,332915266404,24117097077550
2019-05-13,1411.24,1422.22,1406.67,1412.03,18366113,208458701527,23882904993990
2019-05-14,1396.7,1444.85,1393.32,1440.59,18880956,428664695565,24391014191355
2019-05-15,1446.66,1455.1,1426.5,1452.44,13081763,236233838544,24592090162305
2019-05-16,1464.38,1464.67,1435.21,1437.69,18633985,208530757060,24340845604735
2019-05-17,1436.83,1446.61,1411.52,1414.52,21850263,231351654126,23948310649835
2019-05-20,1421.33,1439.2,1419.0,1420.76,12855100,172151835764,24052023896905
2019-05-21,1420.6,1422.71,1398.92,1402.93,14737564,249940206503,23753221535415
2019-05-22,1409.77,1410.86,1390.79,1398.11,13381829,173535558664,23670776945330
2019-05-23,1398.53,1398.88,1387.66,1398.88,10644587,159450016212,23686028205715
2019-05-24,1401.95,1420.96,1401.94,1418.63,32193880,275372124905,24019682973720
2019-05-27,1423.4,1439.32,1410.33,1411.02,60929267,218957585282,23887795902275
2019-05-28,1416.6,1435.88,1410.03,1430.7,32320630,237139799265,24221422831415
2019-05-29,1438.99,1438.99,1407.72,1420.7,23089208,135355220292,24050949720560
2019-05-30,1413.19,1440.29,1413.19,1437.97,59297647,363488954673,24343042051545
2019-05-31,1429.59,1451.98,1426.0,1447.12,26431986,224533742924,24497037864650
2019-06-03,1435.03,1447.96,1432.03,1442.62,47989190,147810353167,24420214515440
2019-06-04,1447.03,1455.8,1445.0,1450.59,20133151,194772982530,24554640339120
2019-06-05,1463.55,1466.2,1450.69,1454.14,13217365,279621279550,24623412243265
2019-06-07,1458.64,1473.06,1452.69,1462.69,9981793,195080063275,24769351059565
2019-06-10,1468.76,1477.2,1455.56,1467.7,12388050,193758660465,24851705425225
2019-06-11,1466.89,1475.88,1459.34,1472.9,8848593,148446055590,24939121032150
2019-06-12,1475.63,1482.73,1462.76,1464.7,11404963,154532245510,24799262190370
2019-06-13,1463.84,1472.53,1458.44,1472.53,7310821,112818742525,24931765005665
2019-06-14,1465.14,1466.18,1433.31,1438.74,8794820,168203382330,24359921303935
2019-06-17,1438.64,1449.36,1424.39,1425.73,8250306,104310673135,24139239606090
2019-06-18,1429.04,1440.99,1427.4,1431.39,13494154,157855860055,24235764872190
2019-06-19,1436.52,1441.2,1429.14,1436.65,16963463,121508028115,24324748734275
2019-06-20,1433.05,1443.02,1431.91,1440.61,15081511,107495542320,24390426778580
2019-06-21,1443.25,1443.25,1412.3,1418.02,21322128,393610493825,24005254842805
2019-06-24,1419.1,1419.27,1400.81,1406.71,20751642,264141224875,23799576447703
2019-06-25,1409.81,1417.3,1388.1,1391.33,13232719,198036248352,23536950842170
2019-06-26,1389.19,1391.31,1364.77,1369.12,24719059,262081354922,23162043998230
2019-06-27,1369.03,1376.25,1358.91,1364.93,22370529,194547929869,23090385077440
2019-06-28,1364.4,1377.56,1360.08,1363.13,12064411,130719947276,23059441524290
2019-07-01,1376.14,1376.14,1355.02,1364.42,12357740,104001232534,23089400482945
2019-07-02,1367.88,1372.52,1357.69,1362.24,16451243,126798696279,23052623023121
2019-07-03,1371.42,1372.73,1347.71,1351.86,32709345,250970760469,22877074668112
2019-07-04,1356.88,1365.73,1346.92,1365.73,60754252,477888462082,23109755923731
2019-07-05,1368.21,1383.69,1362.43,1382.62,31953904,246167257052,23395297827371
2019-07-08,1373.68,1374.91,1348.34,1349.15,23023901,197554858826,22838020721100
2019-07-09,1350.3,1361.81,1340.13,1344.5,14608579,131109118432,22759133096661
2019-07-10,1351.13,1351.67,1335.71,1347.28,10676473,134315869826,22808402504650
2019-07-11,1345.24,1353.34,1334.64,1349.11,24837618,203463965920,22838280370659
2019-07-12,1356.25,1367.28,1354.23,1358.61,13933301,149273411453,23000013136714
2019-07-15,1358.81,1362.13,1341.33,1343.89,11629935,108264109242,22751042530265
2019-07-16,1348.76,1357.44,1336.74,1341.69,23549744,198251771925,22713645457440
2019-07-17,1341.68,1351.84,1331.93,1348.62,13600291,110170179845,22830665052954
2019-07-18,1336.11,1344.29,1330.09,1335.57,8864607,88184995519,22609356847405
2019-07-19,1343.07,1364.32,1338.97,1362.48,17080496,151846620731,23065058139637
2019-07-22,1359.03,1365.85,1351.48,1357.34,10257264,91136019948,22978513386502
2019-07-23,1360.98,1366.33,1346.66,1352.08,19360514,196990593275,22891375326796
