날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,11730.94,11751.16,11311.72,11338.89,10364526,472267079096,79274110148231
2019-01-03,11399.85,11500.0,11136.57,11155.9,8420275,411530928935,78009450720488
2019-01-04,11228.55,11524.44,11111.16,11512.79,17992724,574247192896,80496198693187
2019-01-07,11722.53,11860.7,11482.06,11525.95,11711402,584037520093,80605318893326
2019-01-08,11567.55,11574.09,11393.13,11467.68,8132169,336059692482,80197898598445
2019-01-09,11545.17,11602.23,11383.06,11515.59,9909561,373563586515,80532773215655
2019-01-10,11557.04,11673.25,11513.66,11555.92,17978433,347119029790,80821086986895
2019-01-11,11609.23,11630.71,11493.27,11577.45,8216832,254267787585,80976088254285
2019-01-14,11582.85,11620.2,11516.27,11527.91,7050688,317222311696,80642622442559
2019-01-15,11569.98,11706.79,11456.94,11501.41,9160544,421656107930,80456397494473
2019-01-16,11557.97,11568.01,11314.79,11347.18,15750130,448171443106,79377305182148
2019-01-17,11335.03,11395.03,11072.14,11076.96,11871958,521858503470,77483350139143
2019-01-18,11151.79,11350.64,11100.36,11347.41,7899209,405663165714,79382372596160
2019-01-21,11448.31,11459.26,11218.08,11219.9,17002903,321481070962,78509975662464
2019-01-22,11291.22,11379.33,11235.51,11342.61,12851018,287393331831,79503459883582
2019-01-23,11307.57,11316.38,11234.91,11277.57,8206885,244198088766,79145583110576
2019-01-24,11280.47,11492.54,11260.84,11491.58,23570444,563273053916,80643151047996
2019-01-25,11476.98,11558.9,11422.57,11529.14,17404089,420029371473,80905823632667
2019-01-28,11605.34,11693.56,11540.47,11586.61,21890761,459898036144,81361339480056
2019-01-29,11566.85,11612.41,11397.6,11458.85,12998033,364821093649,80460944107663
2019-01-30,11485.87,11548.4,11421.78,11526.42,10174547,341255762077,80926944587999
2019-01-31,11641.55,11800.51,11633.76,11773.39,37116215,534360826434,82660761793766
2019-02-01,11782.58,11839.54,11551.19,11574.81,17692594,442450164760,81271577428550
2019-02-07,11618.55,11618.55,11358.75,11458.78,38890816,717472860318,80445376311542
2019-02-08,11483.51,11646.35,11459.01,11551.37,21662994,442470001587,81086733123272
2019-02-11,11688.67,11752.66,11645.77,11651.82,20618880,418167164815,81787767296903
2019-02-12,11661.45,11676.21,11503.33,11534.05,14173177,344869847667,80964580858701
