날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,1055.74,1073.04,1055.71,1066.37,1773402,63281324650,28419220545050
2019-01-03,1073.78,1096.39,1072.57,1087.81,2369081,85115628590,28990393703400
2019-01-04,1094.57,1103.01,1073.15,1078.69,2589363,92641771360,28747503464700
2019-01-07,1063.69,1082.16,1058.07,1078.57,2420937,85380421800,28744233896550
2019-01-08,1089.38,1111.2,1089.38,1107.48,2450865,88464907822,29514582998050
2019-01-09,1106.84,1108.57,1062.44,1064.44,2943540,102507914250,28367587799550
2019-01-10,1057.42,1088.47,1057.42,1088.44,2313039,82137347600,29007284584250
2019-01-11,1090.59,1103.26,1079.59,1103.24,1543746,57783347440,29401730086500
2019-01-14,1098.32,1105.18,1087.78,1102.03,1288476,47318325740,29369496023500
2019-01-15,1096.62,1110.03,1093.79,1105.19,1430746,52434450230,29453624730300
2019-01-16,1102.16,1108.54,1092.85,1100.61,1497289,56453007200,29331622853100
2019-01-17,1100.82,1108.69,1093.09,1104.18,1239847,47522965580,29426633097200
2019-01-18,1104.02,1106.45,1079.83,1090.41,2045590,74893704200,29059696028050
2019-01-21,1090.13,1090.13,1053.04,1058.23,2927213,98051744380,28202086455550
2019-01-22,1056.0,1063.52,1050.87,1060.44,1139991,40127769830,28261192706800
2019-01-23,1067.79,1069.69,1056.67,1065.49,1639342,57099652716,28395637455250
2019-01-24,1058.87,1066.39,1051.03,1062.21,1464945,52064972060,28308363547500
2019-01-25,1058.66,1072.29,1056.55,1067.68,1328625,46167367100,28454147666100
2019-01-28,1056.58,1065.51,1056.12,1062.91,1202664,41881650750,28326867385600
2019-01-29,1063.89,1071.77,1059.75,1066.82,1516298,53195755460,28431189484550
2019-01-30,1068.68,1077.73,1052.85,1076.27,1548031,54775845020,28682929240650
2019-01-31,1085.7,1115.44,1081.6,1107.88,2540326,90854144360,29525308390400
2019-02-01,1105.22,1105.42,1086.02,1092.77,1259097,45328388320,29122578988700
2019-02-07,1098.73,1104.34,1075.99,1082.74,1187323,41841458500,28855330320300
2019-02-08,1080.9,1095.9,1071.53,1087.07,1359657,47887046770,28970781249250
2019-02-11,1087.17,1109.73,1086.23,1103.07,1580664,56367679434,29397284280600
2019-02-12,1095.91,1101.61,1086.91,1093.56,1146991,41662670740,29143606698150
2019-02-13,1086.31,1102.4,1084.05,1095.79,1232034,44781007440,29203198393800
2019-02-14,1086.77,1093.35,1066.03,1093.04,1811340,63312576210,29129740461900
2019-02-15,1090.4,1099.63,1077.9,1084.29,1046318,37179284980,28896693653150
2019-02-18,1083.89,1088.88,1068.22,1071.91,1308110,46325023640,28566788801200
2019-02-19,1078.36,1080.46,1067.63,1071.35,769416,28369465550,28551767789450
2019-02-20,1075.46,1089.54,1075.46,1082.63,1215047,43553373340,28852546684550
2019-02-21,1083.34,1084.35,1072.09,1079.99,1009201,35905337890,28782041043250
2019-02-22,1080.71,1111.31,1076.27,1101.35,2569496,92507668980,29351261426400
2019-02-25,1098.49,1103.3,1087.73,1092.47,1073258,39013792280,29114753396850
2019-02-26,1108.94,1118.41,1100.67,1110.81,1713223,63855093970,29603498009200
2019-02-27,1114.37,1119.21,1105.54,1114.41,1199607,44540736050,29699399146150
2019-02-28,1108.18,1127.36,1100.12,1102.52,2276927,85925232583,29382489078850
2019-03-04,1106.04,1131.42,1105.62,1125.52,2387531,89717518040,29995564389800
2019-03-05,1123.31,1129.97,1112.81,1125.25,836942,31927545550,29988206991650
2019-03-06,1126.71,1133.42,1112.13,1116.1,937580,35642182490,29744530434850
2019-03-07,1124.28,1124.37,1094.91,1098.43,1052533,38698331120,29273398200100
2019-03-08,1096.32,1108.87,1095.94,1098.71,913595,33718585925,29280854331750
2019-03-11,1089.66,1110.37,1089.66,1106.55,873622,32537766330,29489970047500
2019-03-12,1113.69,1119.54,1112.68,1118.86,938797,34954532780,29818060292600
2019-03-13,1103.75,1113.24,1098.44,1111.97,1039564,37963527190,29634328689400
2019-03-14,1113.11,1126.11,1108.92,1123.26,1484017,56645095870,29935357301300
2019-03-15,1114.74,1127.17,1113.5,1119.98,1682604,63504500090,29847752538800
2019-03-18,1113.07,1113.07,1092.8,1097.15,1077666,38688655210,29239310689750
2019-03-19,1092.25,1098.79,1067.4,1071.03,1722545,60035489430,28543324485050
2019-03-20,1068.14,1069.17,1032.47,1041.41,2473960,83795960470,27754020793150
2019-03-21,1035.37,1041.68,1023.49,1027.36,2064881,69906283060,27379437157200
2019-03-22,1027.34,1035.43,1018.95,1025.22,1407508,49110743430,27322392462400
2019-03-25,1020.99,1026.55,1009.29,1011.89,1344225,45791795690,26967212089000
2019-03-26,1017.25,1020.3,1008.43,1011.31,948873,34391266020,26951615106150
2019-03-27,1014.61,1014.61,997.51,1004.59,1065553,38347616110,26772607191950
2019-03-28,999.77,1002.19,980.04,983.95,1551466,52114768800,26222609298650
2019-03-29,972.71,976.71,961.99,965.78,2789702,87866074170,25738428461950
2019-04-01,964.3,985.35,959.25,983.93,2289676,74310258040,26221945168000
2019-04-02,983.33,987.69,971.28,979.29,1492897,49303713489,26098311377300
2019-04-03,977.04,988.98,974.03,987.88,3099831,103831773602,26327395815600
2019-04-04,985.65,988.39,972.3,980.54,1565407,53843891480,26131738581650
2019-04-05,979.83,979.83,953.4,956.1,3782791,115683169034,25480336729950
2019-04-08,943.42,963.57,936.02,963.0,3189973,98442669425,25664315992950
2019-04-09,959.96,964.64,942.94,942.94,1690642,55669456300,25129654658900
2019-04-10,941.87,963.54,925.99,962.9,2803614,89184804920,25661509813750
2019-04-11,960.25,961.77,950.11,952.27,1806181,57648166880,25378390188000
2019-04-12,953.71,956.27,944.68,948.38,1420880,46243161700,25274566424000
2019-04-15,949.52,952.12,945.9,948.65,1163809,38118251713,25281802558450
2019-04-16,946.9,955.7,943.69,953.36,1275228,42789840386,25407395911500
2019-04-17,952.12,952.12,940.04,942.5,1636605,52402403570,25117866081650
2019-04-18,938.85,949.71,938.85,940.38,1595970,50823925360,25061437904900
2019-04-19,938.46,949.67,936.38,945.09,1336882,45617955670,25186894780550
2019-04-22,947.25,951.12,943.56,945.88,981296,32094503190,25208033305600
2019-04-23,947.71,949.15,941.95,947.36,1457743,50827185760,25247413991050
2019-04-24,946.24,946.9,927.5,930.36,2156668,69732450940,24794391007800
2019-04-25,929.49,933.4,914.57,918.69,1380839,45341796840,24483504572300
2019-04-26,923.91,943.86,918.5,920.68,2352734,70503956783,24536295524300
2019-04-29,924.78,940.37,922.16,939.73,2169452,57627459880,25043989676100
2019-04-30,935.32,939.5,925.61,929.36,1313195,40662365570,24767722744950
2019-05-02,922.06,927.79,908.62,912.42,2891896,106207831670,24422340804770
2019-05-03,916.25,917.72,899.54,902.77,2623860,83870208980,24164141376970
2019-05-07,898.81,908.06,892.64,906.2,1303544,39692429340,24255916875230
2019-05-08,897.01,904.89,893.97,901.54,1126212,33570900675,24131184832220
2019-05-09,894.28,896.98,880.81,880.81,2313494,67033181220,23576329288920
2019-05-10,884.95,892.21,878.91,887.48,1506015,45113765595,23754935736090
2019-05-13,880.07,883.23,873.65,877.92,1721727,51819908835,23498850111260
2019-05-14,870.06,880.09,865.05,876.89,1865447,55414370075,23471364034940
2019-05-15,856.82,871.42,851.49,865.4,2913246,79474193150,23163903323160
2019-05-16,860.5,860.76,849.25,851.08,2001543,55031952695,22780525410450
2019-05-17,851.88,854.23,840.93,842.29,1670876,45093802477,22545222462430
2019-05-20,844.34,847.82,832.88,842.21,1525296,43194673230,22543036634000
2019-05-21,840.32,841.52,831.21,833.9,1597302,44170679260,22320652227430
2019-05-22,840.25,848.42,833.39,835.02,1352999,37032514720,22350616783570
2019-05-23,833.63,840.73,824.2,834.76,1412008,39615373040,22343646204820
2019-05-24,844.08,851.61,837.52,840.58,1993692,53187294220,22499449741380
2019-05-27,839.05,840.26,827.02,828.53,1228972,32818945335,22176961511460
2019-05-28,829.92,833.17,823.9,827.67,1874413,53188811945,22153867087100
2019-05-29,828.76,831.44,813.57,818.44,1714816,44715944530,21906956776600
2019-05-30,817.54,827.98,815.28,825.16,1045283,29099464470,22086677664270
2019-05-31,832.63,862.67,828.17,851.31,3338273,89821951585,22786620096820
2019-06-03,855.38,875.07,853.15,867.43,2987362,82629996720,23218099655080
2019-06-04,861.6,868.33,852.36,852.62,1898811,53563282805,22821626934830
2019-06-05,855.88,859.37,840.08,843.58,1622616,45207115505,22579826465120
2019-06-07,845.7,850.08,835.34,846.28,1122023,31606163050,22652007804070
2019-06-10,846.44,849.92,833.5,838.73,1722218,45458255857,22450003439640
2019-06-11,838.9,866.06,837.13,862.46,2174920,61162494600,23085132523020
2019-06-12,860.05,865.93,853.6,865.06,1443356,41680515840,23154694814800
2019-06-13,867.87,872.0,854.92,857.95,2015126,57638616005,22964430359570
2019-06-14,856.42,856.42,843.11,844.92,1777581,47892601620,22615555488150
2019-06-17,845.32,846.94,833.68,838.86,1278276,34191728525,22453511574490
2019-06-18,839.66,843.12,835.77,841.06,814695,23242561460,22512396201970
2019-06-19,848.99,859.25,845.8,845.85,1488790,39951197300,22640489383010
2019-06-20,855.16,857.8,849.51,853.06,1034885,28088861980,22833495317050
2019-06-21,850.48,859.28,848.71,857.6,1901520,52579552465,22955012060100
2019-06-24,857.21,861.1,852.0,856.99,975358,26757546485,22938673181830
2019-06-25,854.54,859.68,844.32,846.45,1196515,32269649207,22656628690260
2019-06-26,844.1,853.53,839.26,850.4,856538,23703269610,22762392182900
2019-06-27,846.13,853.41,844.43,848.27,1092528,30757093735,22705296184630
2019-06-28,846.36,851.26,843.18,844.46,850796,24032040010,22603422039320
2019-07-01,845.74,847.95,838.24,839.58,1325928,35531368590,22472682397270
2019-07-02,838.17,842.61,832.42,841.8,1542415,46157070700,22532268079400
