날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,14583.78,14649.21,14365.3,14417.26,37143781,831805386612,356528364900246
2019-01-03,14311.43,14311.43,13928.86,13970.8,55973659,1310630102301,345639306810219
2019-01-04,13944.52,13985.54,13681.11,13941.19,55844077,1342758923667,344662871100670
2019-01-07,14155.61,14447.44,14103.3,14389.05,42818311,1146377181020,356290681682692
2019-01-08,14150.63,14541.8,14150.63,14226.42,60377226,1350547610514,351567089303520
2019-01-09,14375.05,14831.22,14329.3,14830.7,77142610,1791223004066,366722150365017
2019-01-10,14902.07,15030.9,14840.64,14960.29,71695835,1653664678529,369660846741364
2019-01-11,15070.0,15182.73,14987.89,15159.85,48010887,1181721336754,374766709568588
2019-01-14,15077.15,15169.63,14870.24,14931.63,53052449,1164484342819,369503226396897
2019-01-15,14951.79,15299.88,14901.15,15299.65,63751097,1172275098344,378586943767492
2019-01-16,15287.95,15439.47,15163.48,15439.27,44725878,1007012368240,382196268302794
2019-01-17,15465.75,15598.6,15437.06,15527.03,56832636,1262386308844,384730567370039
2019-01-18,15587.95,15654.65,15534.2,15626.68,52512053,1152182049095,387144675004272
2019-01-21,15698.79,15849.68,15538.77,15845.93,51679150,1358707499761,392585511872135
2019-01-22,15866.78,15905.66,15523.0,15619.31,42261715,1200993838823,387098976988353
2019-01-23,15416.79,15689.28,15393.58,15604.76,40786478,1119286448284,386687360998722
2019-01-24,15790.29,15996.56,15719.57,15995.65,49664874,1649335763717,396251882627604
2019-01-25,16253.06,16682.78,16245.39,16682.64,75355662,2635468615707,413077007569675
2019-01-28,16735.95,16835.33,16508.8,16639.04,64125910,1979821871455,412069047024692
2019-01-29,16595.2,16826.1,16390.96,16826.1,55739590,1886657162404,416267040612643
2019-01-30,16745.0,17140.63,16678.17,17126.85,56904424,2015283358100,423270476111939
2019-01-31,17264.24,17344.4,16946.94,16947.32,70161844,2116348498776,419354372887735
2019-02-01,17117.98,17260.04,17051.11,17086.66,77927596,1605682699515,422543603212191
2019-02-07,17323.05,17351.21,17108.25,17127.21,59867378,1706376092536,423236214672078
2019-02-08,16889.9,16911.71,16576.85,16623.73,44588385,1376755232850,410765957840385
2019-02-11,16585.91,16730.84,16457.69,16728.74,42320709,1303250527231,413148775751435
2019-02-12,16704.33,17185.34,16653.63,17107.88,47539753,1696745659083,422789943333115
2019-02-13,17281.76,17347.64,17133.72,17175.73,41383842,1352566852568,424714253461075
2019-02-14,17192.61,17573.67,17124.42,17573.67,87385956,1562658448933,434147641608849
2019-02-15,17358.64,17358.64,16933.44,17044.01,72387424,1304007480105,421080964835779
2019-02-18,17197.7,17305.2,17039.17,17163.12,51227244,1031032153526,423856247166110
2019-02-19,17060.44,17174.5,16898.12,17070.69,58057990,868942227032,421495788200852
2019-02-20,17253.01,17453.07,17237.45,17389.25,47839405,1250693174661,429766722403451
2019-02-21,17281.29,17510.48,17141.26,17418.87,49735156,1359157267667,430524452846693
2019-02-22,17262.31,17467.87,17230.37,17467.73,43032628,925739990880,431682152482230
2019-02-25,17593.17,17613.8,17397.99,17485.25,32662502,1022957800675,432077395348516
2019-02-26,17432.33,17485.33,17207.72,17302.79,32109253,914178365270,427652518327062
2019-02-27,17389.76,17470.27,17274.28,17279.7,29131114,1076528711114,426929217325524
2019-02-28,17174.08,17181.97,16675.95,16675.95,69670859,2459804940425,411949970345225
2019-03-04,16947.85,16996.73,16601.82,16624.7,46849013,1490667327827,410984695548383
2019-03-05,16525.23,16646.81,16366.97,16410.93,38327599,1269557106338,405630598965939
2019-03-06,16396.02,16406.18,16208.4,16325.62,55002100,1382290331391,403620187628370
2019-03-07,16174.23,16603.04,16161.88,16410.38,40368106,1329428353132,405804118427946
2019-03-08,16312.57,16476.0,16151.95,16164.18,47128379,1118494994819,399555802664421
2019-03-11,16311.64,16364.07,16120.73,16125.38,38725579,1088347094492,398347761532149
2019-03-12,16352.22,16505.09,16309.5,16422.4,52201896,1221301239462,405759925983953
2019-03-13,16318.98,16355.03,16099.69,16198.32,47693707,1090368148326,400472613152648
2019-03-14,16224.42,16279.87,16099.88,16219.5,56504452,1737862441359,401155973609877
2019-03-15,16226.92,16370.71,16185.92,16320.99,59114171,1716344304469,403380966758686
2019-03-18,16310.86,16336.54,16091.21,16178.91,59682107,1047474617450,400137255558903
2019-03-19,16193.1,16223.5,16090.12,16211.12,60462598,1011930549197,401114724400356
2019-03-20,16167.94,16353.88,15964.34,16328.19,67552443,1242343990565,403879034001975
2019-03-21,16595.26,17094.61,16595.26,16994.97,79009770,2691700613400,420839471562674
2019-03-22,17325.99,17364.42,17112.52,17189.72,56074898,1673919787152,425711171118505
2019-03-25,16792.93,16808.67,16584.45,16737.55,59107699,1165259430917,414211913690880
2019-03-26,16779.1,16819.08,16552.19,16671.07,66000420,1173373398060,412730351977783
2019-03-27,16516.28,16819.37,16357.81,16739.03,55287982,1228500163143,414501490314419
2019-03-28,16485.2,16674.47,16450.74,16537.84,39201444,1017915835592,409645149606015
2019-03-29,16579.08,16669.14,16402.55,16593.43,41520403,1270675196105,410726498127448
2019-04-01,16768.45,16927.76,16734.32,16818.58,35989439,1094178620580,416023810812142
2019-04-02,16971.9,17130.4,16945.95,16988.86,37014125,1076842547532,420419973162125
2019-04-03,17116.36,17360.17,17024.35,17360.17,41875521,1487325607286,429384531634538
2019-04-04,17295.78,17544.0,17269.31,17410.7,52124753,1714590976836,430746722365287
2019-04-05,17389.52,17596.56,17317.05,17400.31,54487376,1018433599458,430464730270947
2019-04-08,17490.63,17490.63,17172.67,17305.26,41372567,1056140132972,428246299192403
2019-04-09,17321.66,17441.15,17197.68,17346.45,51357760,1063909849836,429370812348017
2019-04-10,17193.6,17402.11,17127.45,17390.24,40785638,1197576265861,429965970594689
2019-04-11,17421.61,17445.23,17255.23,17300.03,45005669,1425469964312,427984096177525
2019-04-12,17234.13,17483.96,17199.85,17448.6,33422978,1081631441710,431550925373767
2019-04-15,17566.94,17673.71,17530.86,17548.13,43900986,1045077263703,434078401421262
2019-04-16,17586.16,17623.46,17470.43,17622.56,39018947,966075753857,435555790127131
2019-04-17,17637.82,17794.53,17575.91,17585.38,36319777,1170455005147,434919281393858
2019-04-18,17648.9,17658.29,17093.56,17128.63,99774282,1466227221861,423609287744180
2019-04-19,17281.07,17338.42,17118.4,17139.47,41584790,992716361425,423628401523535
2019-04-22,17158.92,17305.36,17013.81,17110.02,34831531,777779508110,422868141277194
2019-04-23,17037.54,17155.46,17035.98,17073.5,35819705,896843831041,421662934834007
2019-04-24,17184.89,17196.59,16637.81,16832.57,44298216,1543926576621,416218631018110
2019-04-25,16716.02,17012.28,16649.6,16879.63,61128615,1471727663389,417159000516859
2019-04-26,16667.42,16927.64,16556.83,16843.5,44328923,1346515391712,416677881818579
2019-04-29,16948.44,17272.26,16933.35,17272.26,52704046,1321980133273,426877644805244
2019-04-30,17185.17,17316.89,16981.12,17173.67,49812936,1270364893168,424871758966763
2019-05-02,17074.55,17331.55,17058.3,17254.67,62363081,1184737429166,426732212274745
2019-05-03,17226.51,17291.19,17067.03,17067.03,209017721,1397642779354,422266067146175
2019-05-07,16952.62,16990.21,16735.24,16902.19,103271650,1444386736641,418076284880793
2019-05-08,16663.3,16922.07,16663.3,16755.18,96409637,1202304105938,414253590123008
2019-05-09,16611.36,16703.08,16026.26,16026.26,108897952,2196865295672,396526766925903
2019-05-10,16149.27,16325.38,15906.75,16083.58,159638023,1762435311767,398171082427973
2019-05-13,15942.81,16149.42,15892.57,15935.12,81125483,1019359067678,394381470090441
2019-05-14,15632.51,16121.11,15631.57,15971.03,71603899,1291569883498,394699947782501
2019-05-15,16015.34,16136.75,15945.67,16002.7,58947452,922667469714,395589399375192
2019-05-16,15928.04,15971.03,15528.79,15597.07,120630830,1496329478942,385491538919636
2019-05-17,15779.17,15779.17,15398.7,15485.25,71076379,1148475671704,382469599713906
2019-05-20,15614.13,15729.61,15567.51,15625.9,101483616,1248004874898,386223597471166
2019-05-21,15746.2,16228.46,15706.33,15953.35,73670000,1700441878387,394617340118541
2019-05-22,16015.05,16106.97,15709.28,16011.6,69885606,1103160573807,396111554426054
2019-05-23,16004.2,16119.11,15918.67,16072.59,50976512,1194726244515,397761240497635
2019-05-24,15971.45,16044.46,15665.54,15760.98,69264311,1237453288279,389728424601616
2019-05-27,15742.97,15875.22,15630.76,15735.01,38934139,798180855902,389160543587668
2019-05-28,15711.4,15865.61,15584.55,15677.41,70640467,2418205518827,387567058881341
2019-05-29,15504.6,15528.26,15283.47,15449.63,52702564,1395316070016,381960327797624
2019-05-30,15567.61,15740.57,15567.61,15678.05,55276119,1178878323970,388048179263584
