날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,361.09,361.77,355.08,356.64,24037740,48166276046,3029891375930
2019-01-03,357.77,357.87,345.86,346.23,19670241,54534760473,2941666765716
2019-01-04,346.25,347.93,341.65,347.93,51358939,84054615744,2955999254092
2019-01-07,350.35,361.12,349.82,360.49,19973193,49526202729,3062571706124
2019-01-08,361.87,362.88,359.05,360.01,18413045,42558636193,3058896994467
2019-01-09,360.23,363.68,358.5,362.77,9280046,27836921743,3084989099631
2019-01-10,364.89,365.05,357.92,361.12,18320632,48367585394,3070984745773
2019-01-11,362.5,364.75,361.65,362.86,11542060,31302280337,3103682803745
2019-01-14,368.45,376.11,368.21,375.5,87497898,211047235768,3211375022724
2019-01-15,379.42,381.52,370.61,371.25,64309385,178464797659,3175305887860
2019-01-16,373.68,375.27,372.68,375.11,35426538,92437181505,3208270583828
2019-01-17,376.99,377.28,368.49,369.18,63676088,121879117305,3157613716088
2019-01-18,371.4,371.57,366.83,371.07,20343470,47908382199,3173767665602
2019-01-21,373.09,373.98,368.28,373.8,26641794,66113429539,3196897063355
2019-01-22,375.54,380.27,374.98,376.47,55957225,123898978385,3219720977415
2019-01-23,375.92,376.81,373.53,375.96,16855416,45750099335,3215281063730
2019-01-24,377.3,380.93,375.82,380.93,13217434,44454178110,3257749729490
2019-01-25,383.32,385.93,381.19,382.72,37553677,86514280245,3272952239055
2019-01-28,386.77,387.0,383.24,385.97,22305372,63196903205,3300879476885
2019-01-29,385.07,389.36,380.3,385.65,121714010,367626122565,3298300042700
2019-01-30,385.88,387.66,383.57,387.05,38579122,129201661475,3310958404420
2019-01-31,387.82,388.55,381.17,384.2,16784534,53265606985,3286838709490
2019-02-01,384.2,387.1,381.95,385.35,16683724,54814253870,3296653903060
2019-02-07,385.69,386.96,383.0,386.58,11405433,40574816076,3306994491285
2019-02-08,386.04,388.56,384.3,385.8,30750074,104740258790,3300416985420
2019-02-11,387.2,390.04,385.68,387.84,20535024,65978504815,3317792911105
2019-02-12,388.26,395.87,385.1,391.02,24534116,91837993235,3345023107705
2019-02-13,392.99,397.57,392.6,395.82,17614852,61663402435,3386117526635
2019-02-14,396.72,397.15,390.29,393.58,13329991,49252539985,3367058446965
2019-02-15,394.46,394.89,388.96,390.36,10709383,35087911770,3339573798610
2019-02-18,391.02,392.21,389.94,391.11,9652988,28290630455,3345876595230
2019-02-19,390.85,397.5,388.46,397.5,35527191,126353150413,3400294152445
2019-02-20,398.36,402.92,396.84,398.69,28777278,74823284960,3410351965038
2019-02-21,400.75,404.94,397.2,398.04,33445854,108746222033,3404679623653
2019-02-22,398.58,398.69,394.46,395.62,22285336,58923526635,3384265163956
2019-02-25,399.02,409.33,399.02,409.03,24255852,84266878717,3498831100759
2019-02-26,410.88,411.87,405.31,406.65,14017315,53116469399,3478311615975
2019-02-27,406.93,413.46,406.36,409.79,16396895,63355538787,3505088911003
2019-02-28,409.88,409.88,388.41,390.02,25395837,78828272731,3336570400791
2019-03-04,396.85,405.1,396.38,402.75,27996123,110517473577,3445498960048
2019-03-05,404.07,404.2,398.77,399.59,15755086,61419734045,3418441650189
2019-03-06,401.67,404.52,400.19,401.51,23799188,66647462908,3434865583448
2019-03-07,403.81,403.94,389.55,392.23,12654891,49076136794,3355630476431
2019-03-08,389.66,394.78,389.66,390.89,15069082,48357363730,3344122487232
2019-03-11,390.84,392.97,384.82,392.45,7981638,30631652121,3357327877631
2019-03-12,393.66,394.5,391.48,391.75,6303446,22521429062,3353695154013
2019-03-13,392.8,395.27,389.22,394.62,6166408,23339160757,3378108519305
2019-03-14,395.16,403.94,395.16,403.94,10647520,36934356430,3457755242476
2019-03-15,405.05,407.92,400.61,403.74,15599071,57135114162,3456020227413
2019-03-18,405.09,407.5,398.02,399.39,10372785,50182247116,3418921803349
2019-03-19,399.69,401.21,397.94,399.16,7253797,32076154238,3416893550407
2019-03-20,400.08,400.31,392.2,396.63,10122189,35370623651,3395227651983
2019-03-21,396.61,396.61,389.99,391.01,11478677,33142705712,3347350895237
2019-03-22,394.06,394.06,386.48,387.94,13138379,43201353857,3321155212155
2019-03-25,381.32,382.12,372.87,375.55,9931038,39354690719,3213441926920
2019-03-26,377.53,381.72,374.93,381.18,18630075,83588953723,3261811631407
2019-03-27,386.0,387.03,381.39,382.03,14777280,75053887303,3268972946010
2019-03-28,383.56,387.35,382.51,383.2,10663540,46053202061,3278933664230
2019-03-29,385.59,386.86,381.31,386.45,14094332,42533895641,3306761152975
2019-04-01,389.49,393.75,388.5,391.54,8925535,34454185718,3350371171664
2019-04-02,394.16,396.84,392.57,395.82,7483733,33586240533,3386902728570
2019-04-03,396.51,396.92,392.57,394.13,6916480,31496007616,3372481267505
2019-04-04,394.42,395.11,391.26,394.23,9367447,31539791059,3373343661541
2019-04-05,399.03,399.11,393.19,393.43,21574795,52442740103,3366467181345
2019-04-08,394.0,396.8,393.32,394.93,7651229,27711099727,3379162228305
2019-04-09,396.0,399.36,395.34,395.94,4993555,20250054563,3387886076062
2019-04-10,397.14,397.93,393.35,397.65,6485020,23384656848,3402772370427
2019-04-11,397.57,399.69,395.49,399.22,5274786,34872470473,3416182560543
2019-04-12,399.78,406.14,398.35,405.97,13116263,49400403784,3489678309944
2019-04-15,406.72,415.13,404.56,414.27,8905870,44442665168,3561523852221
2019-04-16,416.33,419.0,412.58,415.11,12887017,51263025139,3568355548621
2019-04-17,416.9,417.16,411.64,414.97,10420096,33130844594,3567723120234
2019-04-18,415.65,416.65,405.2,406.07,6686478,31815743207,3491322796847
2019-04-19,408.34,410.04,406.14,407.94,4595021,21164649198,3507295791162
2019-04-22,409.28,413.31,408.35,411.18,7463923,34263426304,3535321721385
2019-04-23,410.0,411.18,403.89,405.27,5780467,27744275356,3484426404115
2019-04-24,406.47,408.49,404.07,405.62,8211784,29038254203,3487447079703
2019-04-25,406.62,407.81,398.8,398.8,6223235,22960899286,3428818804895
2019-04-26,399.28,400.8,396.29,399.51,10991353,37611184441,3434899611817
2019-04-29,399.42,400.92,396.43,399.93,8032033,22638449204,3438387647026
2019-04-30,399.36,400.54,394.7,397.01,5670219,18564744250,3413396225431
2019-05-02,396.94,399.25,396.45,399.22,4445002,13760026087,3432293660353
2019-05-03,399.1,400.77,395.6,395.94,5279998,15957962165,3404251491025
2019-05-07,395.87,413.91,395.54,412.41,45878879,190672555217,3545808938410
2019-05-08,414.83,426.41,411.77,420.46,43271167,253582923409,3614888746681
2019-05-09,423.13,423.72,409.6,410.63,23251611,125361652022,3530721641396
2019-05-10,409.95,411.91,402.11,404.99,22484854,93668922642,3482003492241
2019-05-13,403.29,405.77,398.35,398.35,12939812,57048827044,3425004373501
2019-05-14,393.34,408.77,392.07,408.43,13285201,61628742002,3511424327790
2019-05-15,409.14,413.96,405.98,411.58,13291301,54352396754,3538555417735
2019-05-16,410.05,412.48,404.73,405.01,77280383,242973899901,3482241259660
2019-05-17,407.01,410.61,397.42,398.03,31593308,109806997140,3422538026392
2019-05-20,399.7,404.18,397.86,401.06,20440081,73095840565,3448356313148
2019-05-21,401.8,402.6,396.26,396.37,18763769,53183718812,3408188119666
2019-05-22,399.9,400.74,392.5,394.58,16956530,50708349299,3392657078654
2019-05-23,394.99,395.94,388.68,388.89,10537934,37802120068,3343710071505
2019-05-24,386.65,389.02,381.69,384.81,9143001,29622495525,3308575983175
2019-05-27,383.85,385.99,379.54,381.03,6827924,24899762534,3275936415647
2019-05-28,381.59,399.89,381.37,394.06,24458474,171514202121,3387870264544
2019-05-29,393.04,393.75,384.32,384.32,36612782,91720750971,3304161035851
2019-05-30,385.33,391.55,374.96,378.54,20398928,116423644109,3254211623939
2019-05-31,378.81,384.56,376.37,381.55,7948393,34749610372,3280306102692
2019-06-03,381.6,389.68,379.84,389.05,10346674,43062989820,3344593412994
2019-06-04,388.32,393.98,387.93,391.39,16055492,71213700961,3364722414255
2019-06-05,392.72,402.7,392.67,401.01,12940953,77681308349,3447263441013
2019-06-07,401.89,402.61,395.34,399.84,10143289,59416032741,3437199793426
2019-06-10,400.88,409.3,399.57,409.11,16701869,63579387639,3516746660550
2019-06-11,413.52,420.37,412.53,418.79,16686551,92686870391,3599806296065
2019-06-12,418.76,420.01,415.27,415.54,11922671,53665262597,3571983841275
2019-06-13,415.86,417.08,407.61,410.04,12371426,54321658735,3524731702236
2019-06-14,410.79,412.01,402.23,402.23,18294759,49734225952,3457742993609
2019-06-17,403.78,411.47,403.34,404.04,13501165,81487625894,3473258551010
2019-06-18,404.92,406.08,400.89,401.0,8470994,35180332736,3447190880850
2019-06-19,404.6,404.94,402.28,403.24,6598823,28461642203,3466357115066
2019-06-20,404.5,405.25,398.4,400.13,5641944,30027916343,3439665149264
2019-06-21,400.83,401.31,395.83,396.93,6340118,27751591078,3412273601592
2019-06-24,397.57,398.25,393.7,394.32,10796590,27713026528,3389845610533
2019-06-25,394.62,400.19,393.96,394.31,8209309,26417113659,3389769218019
2019-06-26,395.01,395.36,389.16,389.75,6491182,20723980559,3350613187476
2019-06-27,390.83,393.96,389.7,390.68,29919138,59342737585,3346329763049
2019-06-28,390.93,395.54,389.28,391.83,14526255,45573277908,3378765755124
2019-07-01,393.61,393.63,388.86,389.83,5801079,18818533754,3361332323778
2019-07-02,390.5,391.75,389.14,391.18,5754657,19554588418,3373026670905
2019-07-03,391.09,391.99,386.59,386.92,6237910,19530787001,3336316291607
2019-07-04,388.68,389.45,380.41,383.02,8207090,24388320853,3302727027722
2019-07-05,381.83,384.8,381.69,382.75,4735898,14934394514,3300397503428
2019-07-08,382.56,382.95,368.87,369.1,10308740,32267656575,3183169742336
2019-07-09,369.52,379.13,369.04,369.26,11529676,43694031092,3184987275549
2019-07-10,369.58,373.23,368.91,372.47,4558705,15439635703,3212661906122
2019-07-11,373.81,376.34,371.84,376.1,3295311,11820883370,3243991104728
2019-07-12,376.52,377.44,374.41,376.26,5449081,17260025083,3245103500280
