날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,215.7,215.86,209.95,210.59,62102045,2881958361426,915688658317330
2019-01-03,211.09,212.1,209.71,209.98,78049192,3498950334486,913768741362240
2019-01-04,210.0,212.8,209.57,212.55,77091522,3648469794852,925066578581245
2019-01-07,215.06,216.6,213.78,214.21,79572427,3469407252480,932521525273650
2019-01-08,215.25,215.29,212.86,213.3,74153482,2867167084578,928562976807865
2019-01-09,213.9,217.73,213.9,217.06,81294213,3431633051356,943260868645395
2019-01-10,216.84,217.46,215.96,216.65,85095052,3402428558270,941405417542774
2019-01-11,217.04,217.78,216.19,217.1,69422754,2790545463364,944096373616113
2019-01-14,216.48,217.09,214.89,215.59,62944080,2843041482377,938807164422793
2019-01-15,216.28,219.34,216.13,219.07,75677046,3045212096389,952203579435820
2019-01-16,219.19,220.02,218.64,219.85,92006627,3066271396488,954731859031665
2019-01-17,220.23,220.94,219.08,219.66,75011338,3363595445838,953228147591290
2019-01-18,220.72,221.33,220.22,221.2,67938476,3015635498389,960726337223520
2019-01-21,222.22,222.24,220.2,220.53,75191502,3109355038775,957816570834895
2019-01-22,220.61,221.0,219.26,220.2,58902745,2781765452900,957161113106240
2019-01-23,219.8,221.98,219.56,221.73,88884866,3005452046044,964021482764560
2019-01-24,221.17,222.92,220.74,222.83,118110421,3503425986220,967280757079390
2019-01-25,222.05,225.49,221.59,225.27,92720674,4033802805603,977319996409740
2019-01-28,225.87,225.93,224.14,224.7,77968310,3559760278859,975284604384960
2019-01-29,224.4,225.39,223.52,225.36,114729134,3480284888980,977261691965455
2019-01-30,225.84,227.68,224.89,227.67,117226129,4126284001729,985978866648755
2019-01-31,229.55,229.62,226.64,227.33,131882765,4947371929474,985720482353925
2019-02-01,227.8,228.82,226.57,226.87,100798614,4175761036141,982608917546940
2019-02-07,227.69,228.03,226.09,226.98,84819202,3571155452086,982770137873450
2019-02-08,226.1,226.29,224.65,224.98,76021865,3425954920001,974596293626015
2019-02-11,225.44,225.69,224.28,225.29,68848693,3222983905183,976294633508465
2019-02-12,225.57,225.64,224.18,225.12,78922565,3717062425838,975823086193305
2019-02-13,225.83,226.42,225.5,226.25,81992506,3423942229653,980770534208055
2019-02-14,225.29,227.94,224.01,227.94,95135638,4039147555543,988085900007315
2019-02-15,226.74,226.74,224.69,225.44,66633147,3145031235667,977977901345630
2019-02-18,226.48,227.56,226.38,227.25,65298892,3046818885715,985932551691210
2019-02-19,227.29,227.64,225.62,226.63,56009044,2811003618429,983663565595415
2019-02-20,227.24,229.37,226.76,228.71,77075883,3819877724513,993207639643550
2019-02-21,228.29,229.18,227.24,228.63,79547124,3582550440338,992221496265585
2019-02-22,228.22,228.63,227.38,228.63,63447498,2790986864909,992343421584170
2019-02-25,229.67,229.67,227.7,228.55,65934927,3099304066280,991940731118265
2019-02-26,228.39,228.95,227.66,228.42,73340697,3277180121046,991371761637955
2019-02-27,228.89,229.63,228.26,229.36,64699029,3235576654058,996097676139595
2019-02-28,229.22,230.12,226.95,226.95,105519915,5094906867856,985625980816320
2019-03-04,227.85,228.48,225.61,225.99,94622870,4365661983352,982061789409090
2019-03-05,225.08,225.24,223.94,224.84,68192906,3243027161388,978279673291820
2019-03-06,224.44,225.18,223.79,224.63,65022879,3096168340560,977062375606260
2019-03-07,224.96,225.09,221.65,222.77,67586548,3157062258859,968743840894230
2019-03-08,221.46,222.11,219.44,219.56,63911320,2964482013042,955209070971495
2019-03-11,219.47,220.12,218.43,220.07,54110005,2533042117877,956394255325110
2019-03-12,221.54,222.33,220.74,221.17,52527098,2467824757645,961199633587340
2019-03-13,220.92,221.05,218.87,220.73,53386552,2486128409726,959740971912420
2019-03-14,221.5,221.91,219.91,221.42,77782342,3756687519040,962736639252015
2019-03-15,221.09,224.96,221.05,224.3,106311966,4510025711611,974569233184505
2019-03-18,225.0,225.63,224.5,225.25,52712503,2522607848472,978571659540800
2019-03-19,225.48,225.56,223.93,224.78,47785093,2278772253060,976690922827625
2019-03-20,224.08,224.64,222.24,224.62,51321883,2419964024634,975442354489625
2019-03-21,224.96,226.09,223.01,224.06,75954904,3891956536368,971283549026180
2019-03-22,224.03,224.95,222.83,223.62,105197948,5046215325503,968499382834550
2019-03-25,221.24,221.43,219.24,219.35,68620573,2701519394109,950511765539475
