날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,263.35,263.77,257.47,258.23,69949709,3186640984476,1147017732129830
2019-01-03,258.19,258.7,255.35,255.77,90520685,3971916869836,1138232565242240
2019-01-04,255.62,258.12,254.55,257.89,91200480,4173872799949,1148634935078745
2019-01-07,261.11,263.13,260.76,261.57,92321424,3960240416630,1163850599086150
2019-01-08,261.29,262.43,259.39,259.65,86910036,3358745354328,1156011691962865
2019-01-09,260.95,266.05,260.87,265.6,98746921,4114636634226,1179664257625395
2019-01-10,265.73,266.85,264.61,265.55,99826751,3989492014812,1179002763032774
2019-01-11,266.58,267.58,265.56,267.13,81083817,3260831742264,1185872566891113
2019-01-14,266.22,266.7,264.23,264.99,74929076,3325000484027,1177896955550293
2019-01-15,265.62,270.02,265.37,269.93,87169802,3513449970139,1197561642240820
2019-01-16,269.96,271.28,269.05,271.23,100498222,3416239221438,1202179345729165
2019-01-17,271.66,273.05,270.81,271.88,86748241,3854972250980,1203660525563790
2019-01-18,273.02,273.95,272.56,273.88,78967732,3481414513039,1213248139088520
2019-01-21,274.99,275.14,272.29,274.0,86547203,3591530890125,1213024774847395
2019-01-22,274.08,274.6,271.45,272.71,68867101,3201812357650,1208787447588740
2019-01-23,271.35,274.51,271.03,273.87,99955945,3468749110644,1214752349864560
2019-01-24,274.1,276.64,273.74,276.61,132858044,4135428047020,1224279895856890
2019-01-25,277.3,281.72,277.04,281.67,115510069,5043670720403,1244467765522240
2019-01-28,282.56,283.46,280.47,281.64,95967224,4371925875945,1244223308262460
2019-01-29,281.12,283.0,279.65,283.0,130944151,4209885993777,1248886797990455
2019-01-30,282.86,286.63,282.24,286.62,134732109,4928603671429,1262976776968755
2019-01-31,288.85,288.87,285.89,285.89,153503910,5954789946431,1261225947036425
2019-02-01,287.07,288.34,285.43,285.79,114631068,4819940653560,1259308338739440
2019-02-07,287.54,287.67,284.97,285.65,100691203,4310362564652,1258574091683450
2019-02-08,283.85,284.01,280.95,281.49,88711061,3996965573801,1242042551866015
2019-02-11,281.75,282.19,280.02,282.1,79973737,3719089579717,1244934848258465
2019-02-12,282.12,284.32,281.43,283.69,92106932,4321296757818,1250731572620805
2019-02-13,285.09,285.59,284.13,284.97,93292244,3946711345203,1256574488018055
2019-02-14,284.25,288.68,282.91,288.68,112394979,4848017763029,1271650571132315
2019-02-15,286.42,286.42,282.81,283.98,77187790,3632959561167,1252886387773130
2019-02-18,285.6,287.02,284.64,285.9,73482620,3426204471015,1261736505501210
2019-02-19,285.36,286.12,283.16,284.91,62750439,3120247367429,1257975073767915
2019-02-20,286.55,289.22,286.21,288.4,88582603,4358725077090,1273190441238550
2019-02-21,287.43,289.28,286.05,288.41,88241133,3988961992438,1272502786988085
2019-02-22,287.29,288.74,286.54,288.74,70343270,3113762120009,1273818668816670
2019-02-25,290.19,290.32,287.84,289.0,73419643,3453315611180,1274609934860765
2019-02-26,288.52,289.2,287.06,287.89,81326244,3651855307146,1270459095850455
2019-02-27,288.9,289.41,288.09,288.76,72744240,3613385128832,1275185010352095
2019-02-28,288.13,288.62,283.8,283.8,129089236,6168135554206,1254863173821320
2019-03-04,286.12,286.68,282.16,282.51,107549409,4951354155993,1249806536776590
2019-03-05,281.42,281.89,279.53,280.45,78805311,3714665604588,1242442551129320
2019-03-06,280.09,280.26,278.72,279.85,75225423,3544145381698,1239732807806260
2019-03-07,279.33,280.98,277.44,278.87,78636297,3647183778966,1234100675241730
2019-03-08,277.18,278.0,274.84,274.84,71640389,3304833311630,1216685546661495
2019-03-11,275.5,276.28,273.88,275.06,64827413,3004400057052,1216975263632610
2019-03-12,277.41,278.48,276.94,277.73,63959075,2976821871295,1227750424444840
2019-03-13,276.92,277.12,274.04,276.0,61494895,2842575788226,1221515936729920
2019-03-14,276.79,277.4,274.78,276.64,95821503,4546638668490,1224511604069515
2019-03-15,276.42,280.5,276.31,279.87,123126129,5250375802861,1238433621894505
2019-03-18,280.27,280.77,278.92,279.93,60901379,2880391972422,1239451156975800
2019-03-19,280.3,280.4,278.63,279.82,55394656,2611815094660,1238764376772625
2019-03-20,278.84,280.07,276.34,279.92,61168125,2849450287284,1238411275817125
2019-03-21,281.14,284.39,280.63,282.38,97092920,4858252878406,1244998078943680
2019-03-22,283.92,284.55,282.09,283.13,117733859,5629471532603,1246392760537050
2019-03-25,279.12,279.21,277.19,277.45,77320301,3095952527919,1222136871564475
2019-03-26,278.43,278.49,276.91,277.6,65750906,3049236031429,1223564799692045
2019-03-27,277.01,278.16,274.87,277.28,67774293,3096586681780,1221620752713950
2019-03-28,275.02,276.2,273.9,275.08,66916887,2975104940737,1212132225495125
2019-03-29,276.33,277.01,274.32,276.48,82279150,3801328127617,1218821731725855
2019-04-01,278.41,280.93,278.41,280.32,76673645,3275488520128,1235413785445980
2019-04-02,281.67,282.47,281.0,281.72,72184617,3218499197804,1240907302397460
2019-04-03,281.88,285.65,281.22,285.65,91589821,4267127415750,1257097171866110
2019-04-04,285.29,287.75,284.97,286.15,73802701,3604945933884,1258768176555615
2019-04-05,286.03,287.53,285.93,286.68,64885247,2792135519549,1260733013209845
2019-04-08,287.78,287.83,285.09,286.38,64574084,3103178190150,1260187741241560
2019-04-09,286.51,288.02,285.38,286.71,66225266,3177670478181,1261972083024080
2019-04-10,285.44,288.01,285.1,287.92,75078819,3533497049295,1267710225090290
2019-04-11,288.33,288.71,286.38,287.42,84683104,4094145341972,1265968703805045
2019-04-12,286.89,288.62,285.83,288.37,69060135,3324626451670,1270082358478470
2019-04-15,289.54,290.74,289.12,289.38,80433690,3807398661640,1275003902781175
2019-04-16,289.18,290.76,288.77,290.62,96134204,3575096655372,1279708107975395
2019-04-17,290.68,291.21,289.84,290.33,72665455,3283222307651,1278750765598260
2019-04-18,290.88,291.15,285.38,285.82,89653360,4088516858952,1260183276618060
2019-04-19,287.18,287.48,285.72,285.89,63866490,2750364929060,1260666135245540
2019-04-22,286.06,287.59,284.52,285.87,55190120,2439635224087,1260788887875465
2019-04-23,285.85,286.83,285.42,286.47,67375416,2840853010904,1263377861301455
2019-04-24,287.82,287.82,281.96,283.7,88608499,4234305926307,1251958300638530
2019-04-25,282.8,284.22,281.9,282.83,74577171,3612876228530,1245985012800690
2019-04-26,280.86,282.47,279.7,281.34,76724753,3537384041846,1239580936760365
2019-04-29,282.0,286.79,281.81,286.79,66981322,3167707547375,1262176874778590
2019-04-30,286.25,286.59,282.61,284.92,77989672,3541834078418,1253245425577915
2019-05-02,283.37,286.87,283.14,286.12,84184679,3541283215965,1258468678439430
2019-05-03,285.64,285.95,283.14,283.67,67794313,3134226245573,1247763415510785
2019-05-07,280.89,281.66,278.95,281.31,97721608,3713381352918,1236536887977680
2019-05-08,277.85,281.84,277.84,280.15,75002622,3278240138503,1230847521474010
2019-05-09,278.83,279.63,271.0,271.0,124007639,5569821055727,1191357229463840
2019-05-10,273.37,274.32,269.71,272.06,89435399,4114391194006,1195704281398145
2019-05-13,269.8,271.54,268.55,268.72,66867020,2981764856486,1179860240792690
2019-05-14,266.03,270.42,265.55,268.57,82188146,3695491737931,1180465009566145
2019-05-15,268.42,271.0,267.62,269.64,77018367,3275684428366,1185584138291020
2019-05-16,269.83,269.96,265.24,265.99,75959987,3511842338341,1170029496223060
2019-05-17,267.85,268.06,263.94,264.35,75096478,3413236959144,1162892994502420
2019-05-20,265.9,267.65,264.33,264.96,64227039,2924879368286,1163862385727610
2019-05-21,265.25,268.55,264.79,266.12,81019777,3503604498228,1167634624304465
2019-05-22,267.01,267.6,263.95,266.65,61655034,2736820498116,1169975006847845
2019-05-23,266.4,267.12,264.5,266.38,71658495,3066454483426,1168184564830660
2019-05-24,264.7,266.11,263.1,264.42,67233870,2964223613158,1160279329921810
