날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,397.79,404.71,397.3,403.76,3641403,86516946715,38241152214890
2019-01-03,401.82,414.57,400.31,407.12,5624323,165425749526,38558842009320
2019-01-04,409.37,415.98,407.21,410.26,4263766,133100124559,38855902849570
2019-01-07,411.17,412.79,406.48,408.42,2721264,75664887150,38681857316340
2019-01-08,411.15,411.6,403.03,405.95,2511004,63461825560,38447914804460
2019-01-09,405.38,407.68,396.46,397.85,4420002,133317489520,37681267532740
2019-01-10,397.92,399.28,392.53,396.69,20111986,245894273140,37571541941750
2019-01-11,394.39,394.56,387.06,387.88,8049641,161453952180,36736481875570
2019-01-14,388.66,392.28,386.89,390.49,5770569,96036106295,36984305273560
2019-01-15,390.78,395.29,389.6,393.21,3372699,73467418640,37241585095750
2019-01-16,392.84,394.02,389.49,392.45,3316019,68890687836,37169614362400
2019-01-17,390.97,394.69,388.06,392.69,3652557,71300944390,37191848877620
2019-01-18,394.94,396.73,391.19,395.51,3262774,62209633380,37459594857530
2019-01-21,395.0,395.46,383.38,385.97,4047187,110457896820,36555870008780
2019-01-22,385.67,388.17,381.62,387.41,2554595,65177711830,36692331922430
2019-01-23,389.41,397.21,389.41,394.1,3689513,102131305540,37325413526900
2019-01-24,391.9,394.91,390.21,394.37,6085473,103352153420,37351549551610
2019-01-25,391.87,394.79,391.19,392.08,3955300,86844778255,37134033077300
2019-01-28,390.18,398.55,388.52,396.05,3837891,86636339440,37510443349230
2019-01-29,398.45,399.96,388.03,388.04,7053096,127003394020,36751556183850
2019-01-30,386.14,387.31,372.87,374.46,11941713,295649404032,35466033184900
2019-01-31,374.06,374.95,371.48,373.77,5991958,145199916950,35399960269500
2019-02-01,374.55,376.21,372.53,374.06,5616011,139512847480,35427776579280
2019-02-07,373.65,374.04,370.51,373.18,4142761,102763829366,35344236893120
2019-02-08,372.57,380.66,371.89,378.96,7435116,176026010550,35891594742440
2019-02-11,380.25,380.47,375.84,376.68,5336170,114749144790,35676383695060
