날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2021-01-04,106.59,107.43,105.97,107.37,32369864,283969562240,21633392377215,,,,,,,
2021-01-05,107.49,112.4,107.35,111.74,90522677,845531130390,22504050749865,,,,,,,
2021-01-06,112.02,114.06,110.78,111.96,107309277,649240421645,22547335182770,,,,,,,
2021-01-07,112.46,114.7,112.46,113.65,53921090,432570547140,22883142014485,,,,,,,
2021-01-08,114.1,114.74,113.01,113.86,36663152,412113218925,22924562103835,,,,,,,
2021-01-11,113.86,117.6,112.12,115.04,45769647,688667133455,23157974781125,,,,,,,
2021-01-12,115.07,117.56,113.75,116.54,48962138,555533512355,23456860398115,,,,,,,
2021-01-13,116.6,117.19,115.07,116.15,25687868,291816854500,23380379810745,,,,,,,
2021-01-14,116.34,117.44,115.57,117.19,29828659,299079116115,23587249921505,,,,,,,
2021-01-15,117.58,118.12,114.51,114.71,35917611,320321830020,23092491345025,,,,,,,
2021-01-18,114.16,118.03,112.53,115.93,54960574,529318175785,23334233952365,,,,,,,
2021-01-19,116.78,120.44,116.78,120.44,119246302,954668941835,24231647341170,,,,,,,
2021-01-20,120.81,121.36,118.22,120.31,26662631,341897762980,24219818524700,,,,,,,
2021-01-21,120.43,121.16,119.86,120.08,28943857,333819720590,24174512918500,,,,,,,
2021-01-22,120.32,120.71,118.49,118.98,26022889,306045839090,23957887515730,,73.24473612289911,,,,,
2021-01-25,119.04,120.05,118.32,119.08,30770748,989633922230,24767127663925,,73.47155915278897,,,,,
2021-01-26,119.29,119.72,116.13,116.13,20049045,444099328530,24144206733060,,57.882161112872524,,,,,
2021-01-27,116.3,117.3,113.69,113.81,19428218,393948348935,23657113379240,,49.06493514319115,,,,,
2021-01-28,113.66,115.39,110.59,112.8,66701407,563568565485,23442606940850,,45.794408021690444,,,,,
2021-01-29,113.05,113.76,106.24,107.25,80075751,680326702795,22292651224445,115.151,32.84024823247021,107.75003546826497,115.151,122.55196453173502,12.854364324643344,-0.03378177709951435
2021-02-01,107.35,113.96,105.95,113.62,43951352,465445019550,23611372928145,115.4635,50.238968548541614,108.92563712288182,115.4635,122.00136287711817,11.324553433973806,0.3590135618741679
2021-02-02,113.63,115.86,112.73,114.86,29318437,457585301505,23874612527755,115.61949999999999,52.80225090419042,109.2991947067408,115.61949999999999,121.93980529325917,10.932940020081704,0.4399158771009036
2021-02-03,115.11,118.49,115.11,118.43,36035295,543602186095,24615869731875,115.94299999999998,59.30219053043397,109.74388361135233,115.94299999999998,122.14211638864764,10.693386213307667,0.700593104249053
2021-02-04,118.64,120.85,114.67,115.3,66305941,809685797400,23973758647820,116.02550000000001,52.47834801147416,109.90725360090819,116.02550000000001,122.14374639909182,10.546382302324602,0.4407101354966921
2021-02-05,115.26,115.75,113.11,114.68,29430157,382931455975,23843506550775,116.06649999999999,51.2210484644797,109.99604606310203,116.06649999999999,122.13695393689795,10.460303251839184,0.3857993146466001
2021-02-08,114.71,117.05,114.25,114.57,25705062,327208625625,23820917869220,116.043,50.98764396313261,109.9532246346848,116.043,122.13277536531521,10.495722043234327,0.37905957842143073
2021-02-09,114.67,115.49,113.23,113.65,36302521,305884275435,23630923269850,115.89850000000001,48.977455359718995,109.7261640564532,115.89850000000001,122.07083594354683,10.651278391949528,0.3178566412647373
2021-02-10,113.64,114.26,111.95,114.26,18806186,228615467215,23754285832690,115.804,50.37447861511034,109.59221313952258,115.804,122.01578686047742,10.728104142304959,0.37572014022054434
2021-02-15,114.7,114.92,113.54,114.27,23072329,238750898415,23751720522905,115.65799999999999,50.398455434398926,109.4461191254178,115.65799999999999,121.86988087458218,10.741809255878872,0.3882786044980823
2021-02-16,114.32,114.66,113.48,114.38,15799276,205809597700,23795692811510,115.6415,50.680735653520514,109.41789244489178,115.6415,121.86510755510821,10.763623016145964,0.3986520286803284
2021-02-17,114.37,114.4,112.75,113.4,14494940,201832980150,23594000269275,115.51500000000001,48.05677142691466,109.2175798933214,115.51500000000001,121.81242010667863,10.903207560366383,0.33207409032811835
2021-02-18,113.41,113.6,111.8,111.8,30036748,301274042850,23264121491890,115.08300000000001,44.04708202147032,109.0150411998762,115.08300000000001,121.15095880012383,10.545360826749073,0.22948069456791428
2021-02-19,111.84,112.59,109.16,112.4,17152235,285217630025,23468534200740,114.6875,45.870986971671314,109.01565418051581,114.6875,120.35934581948419,9.890957287383873,0.29834606997409313
2021-02-22,112.54,113.3,110.96,110.99,18735301,233972058610,23215905363490,114.23300000000002,42.37520885610429,108.91679421015324,114.23300000000002,119.5492057898468,9.307653287310629,0.19498923403287846
2021-02-23,110.92,111.84,109.71,111.04,25007640,253859765940,23240359386250,113.83600000000001,42.542429007390616,108.81964116116079,113.83600000000001,118.85235883883924,8.813308336271872,0.22131180306002635
2021-02-24,111.1,111.31,106.87,106.9,15899681,282432226030,22402182183880,113.227,33.79713916359779,107.95423563962882,113.227,118.49976436037119,9.31361664686194,-0.09996991782452798
2021-02-25,107.45,110.83,107.45,110.83,11990559,237786680470,23230989193280,112.96200000000002,45.29366103136076,107.76731194391805,112.96200000000002,118.15668805608199,9.19723102650798,0.2947903726862039
2021-02-26,110.3,110.3,106.31,107.65,17790551,292427703410,22561874833490,112.65400000000002,39.340485585728224,106.98787469252572,112.65400000000002,118.32012530747433,10.05934153687273,0.0584284031453435
2021-03-02,108.37,109.26,106.49,107.5,24054433,266491136905,22525423389240,112.38900000000001,39.07956413179023,106.29535117519883,112.38900000000001,118.48264882480119,10.843852734344424,0.0988446216245874
2021-03-03,107.34,108.49,106.92,108.41,16621918,168734375905,22713804127050,112.447,41.609709791561905,106.53060548982738,112.447,118.36339451017263,10.522992183291011,0.15882937716046436
2021-03-04,108.37,108.37,105.93,107.31,33384765,283525776810,22483584097555,112.1315,39.47545790120882,105.8380008937793,112.1315,118.42499910622071,11.225211659918413,0.11694600105414597
2021-03-05,107.15,107.15,104.38,105.82,16667432,188945586505,22173901943915,111.6795,36.727437909995786,104.95127742639254,111.6795,118.40772257360747,12.049163138458656,0.06455810313225667
2021-03-08,106.16,107.5,104.99,105.07,24879862,217061985430,22015511936930,111.0115,35.39189985854378,104.4458826642119,111.0115,117.5771173357881,11.828715647997017,0.04752921955915236
2021-03-09,105.41,107.36,103.96,107.29,25361641,279470242340,22478179324445,110.61099999999999,42.103060500705375,104.16449738230088,110.61099999999999,117.0575026176991,11.656169129108516,0.24241847115038348
2021-03-10,107.5,108.36,104.74,105.51,17928659,213356688455,22107980335055,110.1525,38.63751531719926,103.62492809308074,110.1525,116.68007190691927,11.851881540444861,0.14439304030654018
2021-03-11,105.69,109.14,105.69,107.5,69417462,529839533755,22521476755645,109.799,44.1702673336283,103.5050635529105,109.799,116.09293644708951,11.464469525386399,0.3173639010079988
2021-03-12,108.09,110.62,108.09,110.41,21046588,261789498680,23129218091215,109.63699999999999,51.111961517785815,103.5857783051683,109.63699999999999,115.68822169483167,11.0386488043848,0.5638713997753731
2021-03-15,110.49,114.19,110.33,113.24,38019457,432394389560,23727007768265,109.58600000000001,56.74467474019466,103.67594280907524,109.58600000000001,115.49605719092479,10.786153689202587,0.8091340643548175
2021-03-16,113.53,114.79,113.34,114.31,92909510,474919493350,23947471945725,109.58800000000001,58.68299649705754,103.67158013660274,109.58800000000001,115.50441986339727,10.797568827603872,0.8990588995562407
2021-03-17,114.44,114.63,112.36,114.24,27844550,236088761355,23930657153425,109.58099999999999,58.49831279372694,103.68698642689026,109.58099999999999,115.47501357310972,10.75736409251555,0.8952315296028304
2021-03-18,114.34,115.47,113.92,113.99,27366915,294247289145,23880539064570,109.6105,57.798694791465174,103.63498169612028,109.6105,115.58601830387973,10.903185924486657,0.8664535674802063
2021-03-19,113.71,114.18,111.75,113.47,25572985,275951918635,23782513395040,109.69399999999999,56.29069167480623,103.55402475575009,109.69399999999999,115.83397524424988,11.194733065162904,0.8074930964531367
2021-03-22,113.64,115.09,113.64,114.95,35996821,268805005810,22679217640090,109.82150000000001,59.527295127444766,103.36434187896863,109.82150000000001,116.2786581210314,11.75936974277602,0.8971174240952944
2021-03-23,115.25,119.01,115.11,116.4,111686481,775168989680,22961290538885,110.09200000000001,62.46020317360278,103.03618934494403,110.09200000000001,117.14781065505599,12.818026114624091,0.9470074601194033
2021-03-24,116.42,116.55,114.83,116.02,37885814,336363221015,22888356505180,110.34100000000001,61.20836759146441,102.83200832334984,110.34100000000001,117.84999167665018,13.610519528824586,0.8781466436871483
2021-03-25,115.95,117.19,115.44,116.89,24354417,255448825893,23059660955290,110.84049999999999,63.03501519149097,102.99214099954636,110.84049999999999,118.68885900045362,14.161536623262485,0.8853990368974173
2021-03-26,117.13,118.98,117.13,118.74,23349988,284574299370,23424450856500,111.23599999999999,66.63308757192554,102.66561751145251,111.23599999999999,119.80638248854747,15.409368349360783,0.9377867621443692
2021-03-29,119.46,120.67,119.02,119.65,31889779,370363533780,23599991304170,111.83599999999998,68.26920569238595,102.69276993617675,111.83599999999998,120.97923006382322,16.35113928220473,0.9273106957527765
