날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2023-01-02,2625.16,2692.94,2619.35,2668.8,6248383,195344003356,22800430580855,,,,,,,
2023-01-03,2663.26,2663.26,2569.31,2606.41,5233500,161013125052,22267733394343,,,,,,,
2023-01-04,2563.15,2625.86,2499.05,2613.85,3055121,172519180199,22331611461324,,,,,,,
2023-01-05,2639.37,2656.28,2599.91,2605.6,5962825,209521742575,22261342083176,,,,,,,
2023-01-06,2590.84,2678.18,2576.58,2660.32,3743044,162598776662,22728369788432,,,,,,,
2023-01-09,2693.33,2701.71,2652.97,2692.33,3604146,127509092498,23001658349525,,,,,,,
2023-01-10,2706.68,2759.46,2666.41,2678.03,4070145,202425232894,22879516825277,,,,,,,
2023-01-11,2692.73,2736.45,2679.41,2730.98,3030193,129571498339,23331689042133,,,,,,,
2023-01-12,2749.28,2761.2,2711.26,2728.07,14385548,256492596866,23307312625918,,,,,,,
2023-01-13,2740.96,2746.87,2721.28,2727.18,7241092,131694153305,23299520765743,,,,,,,
2023-01-16,2728.64,2792.52,2728.64,2769.15,13176291,179965506905,23657869689616,,,,,,,
2023-01-17,2783.23,2807.04,2751.08,2778.9,7623816,165055479314,23740859851275,,,,,,,
2023-01-18,2786.63,2786.81,2719.78,2734.79,7372710,139103458593,23364334310981,,,,,,,
2023-01-19,2709.11,2723.84,2643.64,2651.06,11327684,203885662594,22649469885374,,,,,,,
2023-01-20,2628.18,2669.16,2605.96,2660.55,5286625,120877474286,22730729279447,,44.978618187847154,,,,,
2023-01-25,2671.88,2679.9,2632.4,2653.83,4462195,160630306151,22673138809412,,43.842261183529175,,,,,
2023-01-26,2659.98,2901.84,2653.95,2897.01,8554381,516688104524,24749153474995,,71.70299076789459,,,,,
2023-01-27,2912.79,2965.41,2876.67,2925.16,5605367,436647173772,24989473933381,,73.3511407277216,,,,,
2023-01-30,2974.46,2995.82,2928.61,2972.74,5113653,361646809028,25396114185889,,75.90562149971569,,,,,
2023-01-31,3077.29,3130.13,3009.76,3033.92,6381417,791382393501,25918016924830,2739.434,78.72907195547604,2497.2492091150234,2739.434,2981.618790884977,17.68137439229978,1.1079778976291352
2023-02-01,3041.6,3099.29,2991.26,3029.02,4601214,361378591375,25876224511269,2757.4449999999997,77.94129485874555,2487.019286836477,2757.4449999999997,3027.8707131635224,19.614223541250883,1.0021249585016028
2023-02-02,3065.53,3083.02,3008.91,3033.3,3568105,218997711683,25912775715157,2778.7895,78.14698428586759,2492.494900716325,2778.7895,3065.0840992836747,20.60570613813496,0.9444905713150018
2023-02-03,3039.05,3105.31,2995.54,3067.33,4893699,276101605802,26203340799165,2801.4635000000003,79.7627773044858,2499.6054658664034,2801.4635000000003,3103.321534133597,21.550024416423547,0.9403833423932191
2023-02-06,3047.15,3087.12,3037.57,3051.52,15772560,249570604779,26068316748041,2823.7594999999997,76.9173135308779,2517.2256930243257,2823.7594999999997,3130.2933069756737,21.711042103668817,0.871509593423206
2023-02-07,3041.54,3095.89,3023.51,3068.79,5122882,215944568218,26215826886973,2844.183,77.84698763564789,2529.6039279624597,2844.183,3158.7620720375403,22.120874222055356,0.8569960940904494
2023-02-08,3085.87,3088.58,3038.49,3051.04,5658946,190475240416,26064346700944,2862.1185,74.52471397758929,2543.3405821778897,2862.1185,3180.8964178221104,22.27566173951989,0.7963214975659402
2023-02-09,3043.49,3212.33,3030.95,3210.82,7624401,566850082150,27428452043966,2888.758,81.97991270098909,2547.6985607463703,2888.758,3229.8174392536293,23.612877177917262,0.9721493718291407
2023-02-10,3196.26,3216.79,3079.13,3079.13,5545414,395789173269,26304421193558,2906.1655,65.07634514268017,2563.559345503324,2906.1655,3248.771654496676,23.577883262097497,0.7524246831673278
2023-02-13,3055.38,3127.89,3047.37,3079.34,8893504,281092394340,26306248512196,2923.7290000000003,65.08870712263533,2583.435962992188,2923.7290000000003,3264.0220370078127,23.27801496019723,0.7286426448338221
2023-02-14,3099.16,3114.18,3040.62,3083.88,6430287,200138888809,26344893201933,2941.564,65.37406580327693,2607.0040370396955,2941.564,3276.123962960304,22.747080325996944,0.7126913195780186
2023-02-15,3103.77,3139.69,3064.92,3076.51,4806913,323872965789,26281740920576,2956.932,64.45305446239128,2627.261809925131,2956.932,3286.6021900748688,22.298124547664198,0.6813600434616851
2023-02-16,3109.67,3145.48,3077.19,3129.31,5201811,246735340763,26732536218929,2974.4525,67.9380377413276,2647.2548244046493,2974.4525,3301.6501755953504,22.000531230224762,0.7366421150734491
2023-02-17,3091.69,3154.6,3046.73,3079.47,87860276,817845262890,26306991134441,2991.6865,61.78086692163599,2680.8997754266993,2991.6865,3302.4732245733003,20.77669064410997,0.6412278792160826
2023-02-20,3071.29,3071.29,2997.59,3026.31,15951454,529920672813,25853122049733,3010.4489999999996,55.95575121802809,2741.7210010940416,3010.4489999999996,3279.1769989059576,17.853017865837156,0.5295112531343467
2023-02-21,3035.76,3121.53,3029.28,3102.62,11389485,336089117739,26504794310789,3032.5525,61.5588479174213,2814.6678627375245,3032.5525,3250.437137262475,14.36971905762392,0.6607903633783806
2023-02-22,3050.91,3098.57,3002.24,3036.2,9056603,284956467291,25937646538573,3051.671,55.00032193682545,2920.0345254346253,3051.671,3183.3074745653744,8.627173411902827,0.4412358920615249
2023-02-23,3050.32,3052.96,2962.97,3016.89,6446450,233261689404,25772826604404,3057.665,53.22491140020692,2945.2266262123976,3057.665,3170.1033737876023,7.354525351050711,0.3186784519090225
2023-02-24,3022.87,3038.47,2982.26,2989.36,5736127,186633377462,25537467172983,3060.875,50.71158238660968,2960.7612092416807,3060.875,3160.9887907583193,6.541514485780653,0.14283142483016456
2023-02-27,2964.2,3031.68,2946.5,3023.88,4898478,197987133403,25831556607577,3063.432,53.666073972844536,2970.0682572301184,3063.432,3156.795742769881,6.095369035113648,0.2881832988557152
2023-02-28,3057.07,3096.74,3027.26,3042.07,5075591,308559240936,25987151260464,3063.8395,55.19032423661089,2970.924487117256,3063.8395,3156.754512882744,6.065266335442448,0.38285262346423865
2023-03-02,3049.92,3079.79,3018.25,3021.67,8604800,359117283332,25813014030962,3063.472,53.08130322506457,2969.952840337391,3063.472,3156.9911596626093,6.105435901657278,0.2765056906477239
