날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2021-01-04,1642.44,1657.18,1616.31,1657.18,58559054,2729586203574,202924412635702,,,,,,,
2021-01-05,1655.07,1678.91,1633.02,1678.9,47645150,2130931143175,205557884109552,,,,,,,
2021-01-06,1679.8,1707.08,1660.39,1662.31,56501782,2424112841412,203521415893392,,,,,,,
2021-01-07,1666.72,1678.39,1662.01,1668.46,44038272,1596521969559,204273301967937,,,,,,,
2021-01-08,1673.33,1749.77,1673.33,1747.11,51025045,3631987476152,213888026677670,,,,,,,
2021-01-11,1747.11,1776.78,1695.93,1732.43,67180904,3763452930438,212081665323034,,,,,,,
2021-01-12,1726.91,1726.91,1670.18,1721.37,74412749,2350548525676,210729188829267,,,,,,,
2021-01-13,1722.53,1748.16,1717.14,1739.47,56449566,2153381306791,212940409145299,,,,,,,
2021-01-14,1744.61,1771.52,1741.87,1750.06,68128530,1868540059993,214248437270337,,,,,,,
2021-01-15,1751.66,1766.9,1709.15,1709.88,84071078,2205504193316,209376523599233,,,,,,,
2021-01-18,1709.16,1711.07,1675.68,1677.85,101461812,1750818396123,205445190547022,,,,,,,
2021-01-19,1680.58,1719.8,1678.53,1710.82,51903293,1293801576546,209478826435441,,,,,,,
2021-01-20,1716.2,1727.5,1694.85,1720.0,74274305,1415436911182,210606851874465,,,,,,,
2021-01-21,1737.93,1761.84,1737.93,1753.17,63204891,1741683755274,214659722634077,,,,,,,
2021-01-22,1764.45,1826.71,1758.48,1801.81,68798225,3174605334304,220611392203283,,71.40216974124105,,,,,
2021-01-25,1812.3,1836.54,1805.96,1830.99,62222774,2141168448825,224180269097061,,74.57486364631433,,,,,
2021-01-26,1836.06,1836.06,1785.54,1797.44,55463565,2002049336331,220062711233051,,65.56790227894076,,,,,
2021-01-27,1801.08,1832.74,1797.45,1808.94,75542052,1806655311933,221462121873262,,67.03749191501916,,,,,
2021-01-28,1808.97,1835.95,1773.71,1812.51,122436290,2740592937749,221890821758435,,67.50121085833352,,,,,
2021-01-29,1815.48,1827.04,1739.4,1752.9,61234211,2366314964268,214614234898936,1736.6799999999998,53.87293755232094,1632.8988435215717,1736.6799999999998,1840.461156478428,11.951672902138345,0.5781452074268016
2021-02-01,1759.55,1779.17,1729.17,1778.59,32776401,1565063407725,217762354699864,1742.7505,57.824918709341446,1644.2093198822442,1742.7505,1841.291680117756,11.308696238245906,0.6818503693439226
2021-02-02,1789.35,1841.86,1789.35,1817.05,118674073,2266067324246,222470524805103,1749.658,62.94353851284328,1650.6215631497173,1749.658,1848.6944368502825,11.320662306608789,0.8402384119588191
2021-02-03,1826.91,1850.34,1823.29,1849.46,48383561,1683210197573,226446807807478,1759.0155,66.62005864214478,1659.3956334120546,1759.0155,1858.6353665879453,11.326775299927188,0.9539481084335463
2021-02-04,1850.51,1850.51,1799.68,1809.33,56738577,1568392293942,221532284458641,1766.059,58.836239744508866,1673.3663664415558,1766.059,1858.7516335584442,10.497116297750436,0.7334112126219658
2021-02-05,1813.47,1837.02,1802.46,1820.79,29148929,1105756479473,222933088365574,1769.743,60.26405303705529,1674.5331242307288,1769.743,1864.952875769271,10.75974034300699,0.7680761821583817
2021-02-08,1819.97,1847.7,1815.4,1830.03,36904126,1294154600407,224066111852570,1774.623,61.42583583577525,1677.5760251682207,1774.623,1871.6699748317794,10.937193401841334,0.7854648488324447
2021-02-09,1831.14,1839.93,1819.29,1825.27,32453138,1272291108475,223480011734500,1779.818,60.44538862853088,1683.6098374356936,1779.818,1876.0261625643063,10.81101130163942,0.7362169632416558
2021-02-10,1829.17,1871.65,1829.17,1864.74,40762169,2037975542362,228323479717632,1786.0814999999998,65.37992148021951,1685.008052393816,1786.0814999999998,1887.1549476061837,11.317898719199981,0.8891155484597705
2021-02-15,1867.17,1906.86,1867.17,1892.84,73055807,1656520438333,231815502737809,1793.2205,68.40216926513821,1683.5302711781035,1793.2205,1902.9107288218963,12.233880754976472,0.9540946858710259
2021-02-16,1894.4,1947.89,1894.4,1933.32,130310775,2214326609581,236769664775229,1804.3925,72.17109060522056,1685.7791021269097,1804.3925,1923.0058978730901,13.147183650241312,1.043477812421938
2021-02-17,1934.63,1934.63,1899.38,1917.43,186023600,1855477337427,234824158717182,1816.3715,68.70669909226653,1703.0222749872105,1816.3715,1929.7207250127894,12.480841613380244,0.9457838154102837
2021-02-18,1917.15,1934.35,1890.61,1892.56,143928364,2031137101786,231778826290845,1825.4585000000002,63.563776789623304,1718.4516487660724,1825.4585000000002,1932.465351233928,11.723832805175007,0.813538335285229
2021-02-19,1890.32,1907.85,1861.53,1907.53,85276806,1619844593143,233611475198271,1834.8350000000003,65.24993084289999,1733.732881426748,1834.8350000000003,1935.9371185732525,11.020295402393376,0.8595127432830671
2021-02-22,1910.53,1921.1,1857.16,1860.76,47478809,1641484196463,227903279453597,1840.2145,56.45913192009366,1745.8404093871632,1840.2145,1934.588590612837,10.256857623156092,0.6088513800058027
2021-02-23,1853.14,1878.53,1835.58,1867.87,47186046,1571793888589,228770198638991,1843.5175,57.39876308714757,1750.1322016120848,1843.5175,1936.902798387915,10.13120823511739,0.630387225935937
2021-02-24,1870.33,1878.21,1799.18,1799.72,61380912,3311521855174,220413700424705,1841.9540000000002,46.94188985434372,1746.7526745050266,1841.9540000000002,1937.1553254949738,10.336992725656948,0.27818586148661345
2021-02-25,1809.48,1845.61,1809.48,1844.25,49144638,1376704458427,225870966246222,1844.2945,52.97079517329215,1751.3099007429191,1844.2945,1937.2790992570808,10.083487128230425,0.4997607130624022
2021-02-26,1833.81,1833.81,1789.61,1810.09,50398054,2384559323602,221685973962588,1844.3519999999996,48.4250353754563,1751.4535398190046,1844.3519999999996,1937.2504601809947,10.073831912888108,0.31559436005049646
2021-03-02,1823.67,1855.3,1805.7,1811.68,34292147,1754874205935,221884491883103,1844.3105,48.64594198192393,1751.3544548012078,1844.3105,1937.2665451987923,10.08030320261065,0.3244842498934973
2021-03-03,1812.45,1856.05,1809.92,1855.97,75990452,1501412172240,227308737287614,1849.464,54.493045426259336,1766.4543320329499,1849.464,1932.47366796705,8.976618951982852,0.5391882063820722
2021-03-04,1853.8,1853.8,1820.72,1831.52,69664306,1775814238387,224313256616726,1852.1105,51.0382700027389,1775.1536174033154,1852.1105,1929.0673825966846,8.310182637232998,0.36622054256075676
2021-03-05,1821.65,1821.65,1767.6,1794.62,95883775,2213211425137,219792788203003,1850.989,46.27050175761839,1771.4119020634712,1850.989,1930.5660979365289,8.598332884369258,0.1458214645816791
2021-03-08,1803.03,1812.31,1762.82,1765.37,165852986,2079343175971,216201489095296,1846.7845000000002,42.85317589915768,1758.8785371817708,1846.7845000000002,1934.6904628182297,9.51989393653991,0.03692276729652618
2021-03-09,1765.8,1768.77,1708.12,1739.79,82788852,1918792134403,213065372862652,1843.3075000000001,40.06628112713164,1744.8793694935239,1843.3075000000001,1941.7356305064764,10.679512832934952,-0.0258532264472353
2021-03-10,1759.09,1777.21,1749.0,1756.66,89308431,1391057142336,215126382429805,1840.1009999999999,42.71233047041415,1734.9957166123418,1840.1009999999999,1945.206283387658,11.42386025415541,0.10305991615927759
2021-03-11,1758.07,1794.54,1750.94,1784.53,65276530,1652407716537,218539603177628,1837.8260000000002,46.88443416571398,1730.0124558786797,1837.8260000000002,1945.6395441213208,11.732725962231521,0.2528325386464093
2021-03-12,1792.66,1827.22,1792.66,1811.23,62914332,1754976133267,221842585168142,1837.1239999999998,50.596459951053774,1728.8108987795106,1837.1239999999998,1945.437101220489,11.791593950162236,0.3804669070120693
2021-03-15,1810.96,1820.86,1795.28,1812.39,48694870,1447272763895,222156668851221,1834.5065,50.75747294127084,1726.4595281266525,1834.5065,1942.5534718733475,11.779404638069966,0.3976533094054464
2021-03-16,1820.33,1835.16,1820.33,1828.57,79522913,1183875073074,224136737319581,1831.2930000000001,53.05568986535479,1726.606177696522,1831.2930000000001,1935.9798223034782,11.433104620994897,0.48699454267459547
2021-03-17,1828.14,1849.42,1822.35,1834.13,64613174,2003997004093,224824630722567,1826.3335000000002,53.85272543058625,1732.6283658236916,1826.3335000000002,1920.0386341763087,10.261557834459975,0.5416012423894011
2021-03-18,1842.28,1888.06,1842.28,1869.52,39174354,1763929831541,229155933323687,1823.938,58.66353859011723,1737.5030603980083,1823.938,1910.372939601992,9.477837470571016,0.7636780925045588
2021-03-19,1867.14,1868.12,1835.49,1854.69,46946684,1533916697567,227341049912970,1822.0445,56.02769021749455,1740.1665497386507,1822.0445,1903.9224502613492,8.987480850368833,0.6993546485702055
2021-03-22,1856.19,1862.68,1836.06,1848.66,41942101,1171187583502,226598016649355,1819.1009999999999,54.94661977693997,1745.9609644790899,1819.1009999999999,1892.24103552091,8.041338608566543,0.702071271838182
2021-03-23,1850.18,1864.01,1820.96,1827.99,83564030,1542577468549,224056474768895,1817.4625,51.2930481171935,1746.6992717313578,1817.4625,1888.2257282686423,7.787035855611023,0.5743853853023339
