날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2022-01-03,518.18,519.6,511.23,517.23,19757643,87735530437,12250243646655,,,,,,,
2022-01-04,516.16,516.52,505.27,511.7,24670199,92152536061,12122922169743,,,,,,,
2022-01-05,508.5,509.13,502.77,508.46,59924265,114741154885,12046245013549,,,,,,,
2022-01-06,500.49,506.48,497.36,497.8,71375677,165644539534,11794590201557,,,,,,,
2022-01-07,498.19,512.32,497.65,508.6,17926796,65365350850,12049537117988,,,,,,,
2022-01-10,500.17,502.95,491.29,494.27,23868155,85795881208,11711347997130,,,,,,,
2022-01-11,495.81,498.63,489.63,494.05,20119601,58087096141,11705405415307,,,,,,,
2022-01-12,495.12,499.98,493.95,497.68,12115352,47160262439,11790864872270,,,,,,,
2022-01-13,506.71,514.15,503.72,507.21,20361758,80145180975,12015842596719,,,,,,,
2022-01-14,504.31,506.76,500.52,504.92,54179949,99578993328,11962338747855,,,,,,,
2022-01-17,504.74,504.74,494.41,494.55,15084089,43300049248,11717161709251,,,,,,,
2022-01-18,498.04,505.55,494.17,496.45,14392284,63563486148,11761177334192,,,,,,,
2022-01-19,491.84,497.58,489.78,492.87,9928704,38984399570,11675613862618,,,,,,,
2022-01-20,495.49,500.79,489.37,500.79,10327134,38948183681,11863194931896,,,,,,,
2022-01-21,497.61,497.61,488.62,491.97,23972590,55761062727,11654364092842,,37.703731358044735,,,,,
2022-01-24,491.65,491.65,468.49,474.15,14744558,71486172165,11233510535821,,28.46482564119132,,,,,
2022-01-25,475.19,479.79,460.63,464.23,14269539,64397332543,10998344218480,,24.818903068179488,,,,,
2022-01-26,466.15,468.05,453.14,463.3,10533372,59594524883,10976935826477,,24.502050447848166,,,,,
2022-01-27,463.3,463.3,444.72,445.86,12722693,61531554786,10563258108342,,19.479716675452625,,,,,
2022-01-28,448.54,464.32,439.67,464.32,10612360,47521823840,11001162897899,491.52049999999997,34.73024883024736,454.2298612417271,491.52049999999997,528.8111387582728,15.173584319788432,0.13529050579797852
2022-02-03,470.07,478.55,470.07,470.64,10580390,42990137282,11150798492363,489.191,38.99061031086118,452.8057167662528,489.191,525.5762832337472,14.875696091607248,0.24507550373011786
2022-02-04,468.86,478.81,463.61,478.68,7948208,38311564860,11340890265282,487.53999999999996,43.998532304807306,452.41521046326386,487.53999999999996,522.6647895367361,14.408987790432008,0.373878247857777
2022-02-07,479.39,483.74,474.63,481.48,7103061,53116032879,11406765904778,486.1910000000001,45.671080379364795,452.33413842069825,486.1910000000001,520.047861579302,13.927391325344097,0.43042769205046266
2022-02-08,481.87,491.05,481.13,490.99,8255471,56293779826,11631100304300,485.8505,51.02154449090638,452.3322121708163,485.8505,519.3687878291837,13.797778464438625,0.5766671022426918
2022-02-09,493.03,507.86,492.81,502.96,33481708,125865692876,11913701170815,485.5685,56.78980574573131,452.7325963121158,485.5685,518.4044036878842,13.524725631042452,0.7648244459070139
2022-02-10,504.82,510.26,500.45,503.92,26651244,102760780583,11935868417709,486.05100000000004,57.22490921106741,452.44329796609117,486.05100000000004,519.658702033909,13.828878876459015,0.7658467987780122
2022-02-11,501.63,509.68,497.35,505.69,9583495,60305387473,11977687145047,486.633,58.063377212838546,452.10092789304406,486.633,521.1650721069559,14.19224430195072,0.7759318922562034
2022-02-14,499.5,507.29,496.59,503.86,16632565,79685103788,11934542439204,486.942,56.82319999939336,451.9130299323545,486.942,521.9709700676455,14.387327471298624,0.7414858325455927
2022-02-15,505.44,507.44,483.08,488.16,14246521,108365455435,11563808111392,485.9895,47.457872550725305,452.2028449569212,485.9895,519.7761550430788,13.904273669731056,0.5321206700875329
2022-02-16,498.29,498.29,480.45,487.43,11133764,91836309218,11546912804214,485.11499999999995,47.06941464203991,452.4466468122434,485.11499999999995,517.7833531877565,13.468292338005027,0.5354318441871704
2022-02-17,489.13,493.69,474.48,478.87,15706815,80200335017,11344765735106,484.331,42.65989692627222,451.8539490870861,484.331,516.8080509129139,13.411097333399642,0.41592524803678305
2022-02-18,474.61,482.56,471.38,481.07,14967849,65558936335,11396752208079,483.562,44.109092683012776,451.544095883709,483.562,515.579904116291,13.242522826976062,0.4610842734904052
2022-02-21,479.85,479.85,470.64,475.03,15624614,44339021722,11254472413092,482.66999999999996,41.04220276879146,450.74517016490137,482.66999999999996,514.5948298350986,13.228429293346851,0.3803439197724323
2022-02-22,469.93,471.21,459.38,463.41,10016902,62402620880,10979760354015,480.80100000000004,35.87437242132,448.96164140093276,480.80100000000004,512.6403585990673,13.244297994000544,0.2268946240564425
2022-02-23,465.52,479.13,464.08,476.7,7295773,45435982889,11293593424246,480.0375,44.48425613611332,448.57597818366065,480.0375,511.4990218163394,13.107943365399317,0.44695901839263985
2022-02-24,472.88,476.08,460.71,465.71,13150700,48098279276,11033003678119,479.6155,39.73333255832927,447.62740941928547,479.6155,511.6035905807145,13.339056215120038,0.2826456698796586
2022-02-25,469.74,480.94,469.23,475.34,8555138,42387186452,11261750314513,480.171,45.25106532259627,448.8929425795015,480.171,511.4490574204985,13.027882741980877,0.4227733369906477
2022-02-28,475.35,493.89,474.12,493.89,7569731,45274847429,11699361897529,481.70050000000003,53.98965395759235,450.8836951850942,481.70050000000003,512.5173048149059,12.795006363873743,0.6977735860874194
2022-03-02,488.03,494.53,482.72,484.8,6662094,48118795939,11484806903755,483.64750000000004,49.795357443375174,457.5797936375292,483.64750000000004,509.7152063624709,10.779630355773929,0.5221058957772212
2022-03-03,490.65,490.7,485.51,488.28,11543424,44275230900,11566907067881,484.8455,51.35347580301965,460.2819892777925,484.8455,509.40901072220754,10.132510551178685,0.5699106092537268
2022-03-04,488.83,489.93,478.72,481.83,15256934,60816887809,11414347949683,485.40500000000003,48.35784259065394,461.66530118135444,485.40500000000003,509.1446988186456,9.781398551166795,0.4247041837533302
2022-03-07,480.94,480.94,462.74,467.2,10832094,54495836227,11068106184980,484.831,42.32666472779879,459.9413500225495,484.831,509.72064997745053,10.267350882039521,0.14581663430435277
2022-03-08,459.86,467.26,457.35,464.49,17435035,59635009047,11004239306675,483.9815,41.299154790366856,457.57859313352026,483.9815,510.3844068664797,10.910709135154846,0.13088344592947548
2022-03-10,469.08,469.91,460.15,463.44,26762577,58604285941,10979709311908,482.604,40.88502078088626,454.96181672877475,482.604,510.2461832712252,11.455430651724907,0.15335589066965646
2022-03-11,464.69,467.22,460.36,461.34,10538850,45660349866,10930671898932,480.523,40.02065297526338,453.0579996541052,480.523,507.9880003458949,11.431294795834892,0.15077371639525025
2022-03-14,461.79,461.79,426.21,428.13,13786723,134725540263,10146820083568,476.7335,29.42576468905551,443.02287302570596,476.7335,510.444126974294,14.142336116213368,-0.22089285134124761
2022-03-15,421.82,437.64,416.94,427.42,19647420,149433714109,10129795882367,472.82,29.24749600511193,435.48619601487144,472.82,510.15380398512855,15.791973260491753,-0.10802804903144198
2022-03-16,431.49,433.11,425.06,432.73,22497869,90989030688,10255644251173,469.2635,32.5391918258115,430.8973241285374,469.2635,507.62967587146267,16.35165567808391,0.023884004984007456
2022-03-17,439.6,439.6,431.99,437.77,12931187,71909849259,10374604066935,466.74399999999997,35.60167123364065,427.07632429294597,466.74399999999997,506.411675707054,16.997615698136027,0.13479080279402889
2022-03-18,437.06,453.24,436.39,451.01,7963051,67160124867,10688711410817,464.92300000000006,42.93099744528814,425.8821244462935,464.92300000000006,503.9638755537066,16.79455546561755,0.32181495928721343
2022-03-21,452.39,452.39,446.24,448.08,12364018,49432264300,10619576589748,463.3835,41.797287715173994,424.23578881530875,463.3835,502.5312111846913,16.896463160510148,0.30454157424681727
2022-03-22,447.26,459.96,444.86,457.86,9139170,43970496022,10850858501157,462.22300000000007,46.84326308568478,423.87335066653156,462.22300000000007,500.5726493334686,16.593570347416073,0.4431155163628526
2022-03-23,458.2,462.16,453.44,457.14,10624924,43582913678,10833928555960,461.32849999999996,46.5234822436695,423.38303108736164,461.32849999999996,499.2739689126383,16.450520144599054,0.44480895716899504
2022-03-24,456.01,465.91,452.36,464.26,8883765,46657749597,11001726038902,461.371,50.14776533352272,423.4143985188347,461.371,499.3276014811653,16.453830640055536,0.5380566210785965
2022-03-25,464.06,469.83,460.84,461.91,19379191,54557919983,10946301375621,460.6315000000001,48.96813718173287,423.3276314204546,460.6315000000001,497.9353685795455,16.19683785392247,0.5171362924099109
2022-03-28,456.61,459.85,443.66,458.38,30836526,76562230045,10862876786606,460.265,47.17307595744201,423.0239347628186,460.265,497.50606523718136,16.182444998938166,0.47469191619527024
2022-03-29,458.82,460.59,453.41,454.98,13107411,45325751045,10782574609932,459.247,45.445084876840916,422.6015805863816,459.247,495.8924194136184,15.9589150995514,0.4417798995307137
2022-03-30,457.73,459.56,451.36,451.43,8637611,51283587901,10698814128471,457.12399999999997,43.64729570213791,424.0022268590584,457.12399999999997,490.24577314094154,14.491373518319568,0.41404445686270264
2022-03-31,452.74,461.34,452.44,458.7,26665007,69289757972,10870342414861,455.81899999999996,48.16928742361017,425.1996545465126,455.81899999999996,486.43834545348733,13.434870180263381,0.5470454210782598
2022-04-01,457.9,474.86,457.44,473.5,94882597,197343600823,11219990138142,455.08000000000004,55.923445141962524,427.02398317650926,455.08000000000004,483.1360168234908,12.33014714928838,0.8282718305290087
2022-04-04,474.42,483.76,473.15,480.13,43882047,183682275091,11377015358757,454.995,58.89050360373928,427.2551517668175,454.995,482.7348482331825,12.193473876936011,0.9530486214040172
2022-04-05,481.48,481.63,470.7,474.25,570899209,921592669440,11238977730831,455.34749999999997,55.332955271192084,426.828019727737,455.34749999999997,483.86698027226294,12.52646836636326,0.8313962915794074
2022-04-06,470.01,470.01,460.6,467.48,311604996,460283812453,11078660161542,455.497,51.47714199977741,426.75689206700855,455.497,484.2371079329915,12.61923039361026,0.7084717292631394
2022-04-07,462.16,471.68,460.04,470.03,219284536,276537667962,11138278263745,455.82649999999995,52.810998503900244,426.58298976268406,455.82649999999995,485.07001023731584,12.830982945184578,0.7428487531889346
2022-04-08,469.79,470.47,465.64,469.01,190966446,202518315806,11114724105543,456.2099999999999,52.19295464486927,426.4900437416203,456.2099999999999,485.92995625837955,13.029068305552105,0.7153435201707451
2022-04-11,469.59,470.46,468.06,468.82,184276532,196996909609,11110234342911,458.24449999999996,52.07071093075917,431.02641448687103,458.24449999999996,485.4625855131289,11.879285190822335,0.6942733994809964
2022-04-12,468.11,468.46,465.03,468.04,149440409,145242746784,11091728187427,460.2755,51.53705670723894,436.7492436254725,460.2755,483.80175637452754,10.222684620201388,0.665017754554584
2022-04-13,456.31,467.7,452.55,457.01,76422784,123603008396,10831109487934,461.4895,44.57935483652129,441.54028099273063,461.4895,481.4387190072694,8.645578721626121,0.3877274343830773
2022-04-14,462.33,466.85,459.29,461.18,74317031,100858900568,10926155547168,462.66,47.46687273114102,445.9271795563331,462.66,479.39282044366695,7.233311910978655,0.4557755369161279
2022-04-15,457.89,470.91,456.4,464.94,80936843,110934512914,11014368687038,463.3565,49.99668546090274,447.4838187205186,463.3565,479.22918127948134,6.8511745403296835,0.5498813014675412
2022-04-18,460.61,476.29,458.06,470.02,58152191,106344898335,11134391634935,464.45349999999996,53.27087148964739,449.98510233474354,464.45349999999996,478.9218976652564,6.230289002131072,0.6923675353963726
2022-04-19,469.44,470.33,459.39,468.8,453185879,477036009288,11105179892535,465.00049999999993,52.38375231998844,450.7449305971316,465.00049999999993,479.25606940286826,6.1314211072325016,0.6332637053149063
2022-04-20,468.61,470.93,463.99,465.56,524497004,637439923826,11028919279571,465.42150000000004,50.00224705113342,451.62956717678793,465.42150000000004,479.21343282321214,5.926641903398148,0.5050210511382012
2022-04-21,465.63,467.4,459.59,459.74,166594445,205709196349,10891740808004,465.1955,45.96021586484252,451.18838827059636,465.1955,479.2026117294036,6.022032340985078,0.305259638625291
2022-04-22,460.2,460.48,446.19,452.56,148395420,198377729191,10722358282622,464.72799999999995,41.50288782015731,449.72475955001727,464.72799999999995,479.73124044998264,6.456783516372022,0.09448760284269145
2022-04-25,442.49,443.77,421.36,421.92,114011831,215433334050,9999336278634,462.90500000000003,28.707837108027448,439.02510343405993,462.90500000000003,486.78489656594013,10.317407055849515,-0.3581486081153493
2022-04-26,424.39,432.6,421.52,427.12,92578907,137245913564,10123060335989,461.512,32.510594039244964,433.1211602096733,461.512,489.9028397903267,12.30340263755946,-0.10568831802780972
