날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2021-01-04,1924.5,2075.05,1924.5,2056.61,120498754,3688293663365,141111289577874,,,,,,,
2021-01-05,2058.82,2102.66,2047.5,2090.88,163851814,3741939952825,143343733852583,,,,,,,
2021-01-06,2091.54,2114.82,2040.99,2046.38,93133176,2092547738112,140274317219043,,,,,,,
2021-01-07,2045.17,2133.63,2045.17,2097.05,114595133,2443177252020,143643902421985,,,,,,,
2021-01-08,2097.62,2460.89,2097.62,2358.9,213603338,11661699148045,161690299565107,,,,,,,
2021-01-11,2392.95,2602.16,2352.94,2415.38,126743500,7638316607992,166270455634559,,,,,,,
2021-01-12,2408.2,2428.24,2299.52,2365.26,85223815,4703863380901,162961724650959,,,,,,,
2021-01-13,2367.28,2442.89,2296.26,2384.58,140990311,4007445313335,164078916175227,,,,,,,
2021-01-14,2385.24,2385.24,2319.31,2349.8,115490629,2785618093840,161668969910539,,,,,,,
2021-01-15,2350.8,2382.63,2273.92,2278.46,143371053,2793374283844,156841883852622,,,,,,,
2021-01-18,2268.62,2324.36,2228.3,2284.23,135933332,2918219381998,157102478520225,,,,,,,
2021-01-19,2297.96,2469.89,2297.96,2469.89,123878851,4041809601165,169872717383270,,,,,,,
2021-01-20,2471.19,2643.29,2468.55,2485.71,183711257,5825196938797,170749881878091,,,,,,,
2021-01-21,2506.52,2592.78,2491.01,2580.08,242429461,4169407785213,177403538038869,,,,,,,
2021-01-22,2575.43,2575.43,2503.64,2506.68,176976677,2635021407338,172395556531717,,70.44025438858681,,,,,
2021-01-25,2507.16,2573.05,2466.05,2558.37,98564283,2582254581743,175914436525004,,72.7855733322673,,,,,
2021-01-26,2558.43,2559.02,2480.95,2485.47,111297049,2241084778247,170856970194840,,64.95780056100351,,,,,
2021-01-27,2485.64,2519.94,2433.27,2439.92,154625721,2836693918958,167760454522932,,60.57424562559882,,,,,
2021-01-28,2428.06,2439.23,2370.48,2388.99,286593689,2868995569499,164275925701474,,56.02201897868024,,,,,
2021-01-29,2395.3,2421.04,2265.71,2281.59,125664561,2722661990395,156821040832636,2346.2115000000003,47.85476053924616,2026.6302430229996,2346.2115000000003,2665.7927569770013,27.24232295144754,0.3988966051838095
2021-02-01,2281.75,2408.42,2248.09,2408.42,197149798,2389878900596,165450260279596,2363.802,56.01058901056185,2072.4351336888153,2363.802,2655.168866311185,24.65239189332988,0.5765667019124048
2021-02-02,2411.24,2447.06,2379.26,2410.98,116377962,1924079213846,165590001663917,2379.807,56.15963839989702,2116.334269335136,2379.807,2643.2797306648636,22.142361180117867,0.5591579248473576
2021-02-03,2466.77,2570.96,2466.77,2510.94,221379214,5769958672136,172432609565887,2403.035,61.62701074506019,2182.8891852771217,2403.035,2623.180814722878,18.322314466737122,0.74507620128012
2021-02-04,2542.12,2582.19,2493.7,2545.73,175076417,4081281944142,174847906668331,2425.469,63.34058496419547,2247.148920154796,2425.469,2603.789079845204,14.703966931360817,0.8372054344760167
2021-02-05,2552.42,2568.24,2495.16,2561.01,129334423,3169226944663,175867181437404,2435.5744999999997,64.0988811642326,2250.7027808566977,2435.5744999999997,2620.4462191433017,15.180953745681116,0.839250104291966
2021-02-08,2481.22,2481.22,2351.06,2359.81,103060327,4376187019330,162255329731337,2432.7960000000003,49.5614762193948,2245.1442997252625,2432.7960000000003,2620.447700274738,15.426834002911692,0.30552800775814254
2021-02-09,2361.1,2410.7,2345.22,2365.19,209048580,3052605553391,162634200388663,2432.7925,49.88874958402768,2245.135758700893,2432.7925,2620.449241299107,15.427270620006196,0.3198772409346916
2021-02-10,2378.57,2429.01,2356.57,2420.27,60739972,1663726675840,166473810961537,2434.577,53.23433230698471,2248.113093669579,2434.577,2621.0409063304214,15.317971567990758,0.4616360069850524
2021-02-15,2424.49,2443.8,2418.71,2437.38,98225764,1349578446200,167700932020313,2438.9559999999997,54.256004077309804,2256.593094736895,2438.9559999999997,2621.318905263104,14.954177546712978,0.49567894578745114
2021-02-16,2443.08,2457.99,2416.14,2430.15,72260406,1203988338598,167258153355698,2446.5405,53.72192107070905,2279.53796535157,2446.5405,2613.54303464843,13.652137346463702,0.4509273915078448
2021-02-17,2425.45,2425.45,2373.5,2379.87,66197247,1129077414457,163844684809519,2451.3225,50.03331807248807,2298.2916929218172,2451.3225,2604.353307078183,12.485571121562582,0.26654210559219144
2021-02-18,2371.26,2392.24,2329.09,2329.09,78794257,2363872151803,160266329766732,2444.2825000000003,46.556568171063745,2282.605699205947,2444.2825000000003,2605.9593007940534,13.228978302962375,0.1437568672986844
2021-02-19,2326.06,2363.46,2302.52,2360.85,200974524,1822428092469,162361009917939,2438.0395,48.946114350015506,2273.6240610077934,2438.0395,2602.4549389922063,13.487512322274222,0.265260791586431
2021-02-22,2362.1,2394.2,2343.09,2343.09,134505475,1470106285341,161055809396616,2426.19,47.66275757993859,2270.5019312214326,2426.19,2581.8780687785675,12.833955195476646,0.2331202042264662
