날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2020-01-02,3486.54,3491.3,3440.71,3451.53,13138326,64701746569,23799296187246,,,,,,,
2020-01-03,3462.36,3477.37,3422.79,3432.8,16475883,68509499481,23669887167780,,,,,,,
2020-01-06,3413.68,3430.91,3390.26,3392.04,15833031,60146043572,23387435985144,,,,,,,
2020-01-07,3397.85,3430.83,3393.08,3415.64,9688466,56300553652,23549745321852,,,,,,,
2020-01-08,3374.21,3387.04,3328.96,3348.33,19965280,78626245173,23084868078446,,,,,,,
2020-01-09,3361.52,3385.77,3342.89,3364.33,13664720,81919652736,23197995863517,,,,,,,
2020-01-10,3358.54,3365.02,3337.74,3355.28,10497957,67386389506,23135956923723,,,,,,,
2020-01-13,3360.59,3422.56,3360.23,3410.07,16945761,67007389719,23511370247816,,,,,,,
2020-01-14,3431.33,3452.09,3419.18,3451.67,11395484,67282059156,23796719894909,,,,,,,
2020-01-15,3456.38,3514.37,3440.84,3512.0,30308291,128615303953,24210909794260,,,,,,,
2020-01-16,3509.83,3531.84,3492.25,3512.6,9927375,64815664704,24216653654020,,,,,,,
2020-01-17,3509.86,3551.03,3509.86,3531.41,8674390,68712426412,24344687706231,,,,,,,
2020-01-20,3534.71,3551.35,3494.72,3496.19,11017459,83422363534,24101005206081,,,,,,,
2020-01-21,3502.08,3515.2,3481.73,3486.48,10817286,62047706647,24035403359713,,,,,,,
2020-01-22,3493.45,3516.85,3477.5,3501.86,9369727,56624723190,24140901649682,,59.98853378473863,,,,,
2020-01-23,3482.84,3486.87,3463.87,3477.3,5881988,50731600375,23973454412755,,54.266500558197365,,,,,
2020-01-28,3417.01,3427.97,3356.73,3366.48,20939649,118594152164,23207665911656,,37.07976031944875,,,,,
2020-01-29,3382.03,3394.37,3338.22,3375.35,11741190,81061284591,23267204632547,,38.75179476844928,,,,,
2020-01-30,3375.95,3394.62,3324.34,3330.29,10358041,55735380598,22956929918895,,33.833109661568166,,,,,
2020-01-31,3341.51,3361.74,3295.05,3295.05,13902461,81110528873,22716584220724,3425.335,30.565582060483074,3288.8844805433123,3425.335,3561.785519456688,7.9671342777677365,0.022592510022085163
2020-02-03,3274.18,3327.42,3248.37,3319.75,164113753,247901415841,22882629924556,3418.746,35.28337570598086,3275.4369374254375,3418.746,3562.0550625745627,8.383720965205525,0.1546066305175459
2020-02-04,3308.27,3341.3,3296.12,3310.42,40466769,94663614950,22821970874543,3412.6269999999995,34.334383236673276,3261.978003176257,3412.6269999999995,3563.275996823742,8.82891665709393,0.16077769465806527
2020-02-05,3321.45,3342.98,3304.28,3319.99,33566187,124797374844,22887285890050,3409.0244999999995,36.229040104582026,3253.2208862453763,3409.0244999999995,3564.828113754623,9.140656733597735,0.21427331544369338
2020-02-06,3364.68,3419.15,3359.84,3401.76,12969734,99863961154,23448522759372,3408.3305,49.607964155365,3252.5272871351817,3408.3305,3564.1337128648183,9.142494418591056,0.47891410620106833
2020-02-07,3405.48,3419.03,3363.01,3377.35,34216636,128325381379,23281830243418,3409.7814999999996,46.47350829841443,3255.7095498890208,3409.7814999999996,3563.8534501109784,9.037057073069278,0.39475209479519435
2020-02-10,3357.66,3382.42,3330.74,3371.69,142367877,213772694683,23244857195274,3410.1495000000004,45.751651805945556,3256.478914594075,3410.1495000000004,3563.820085405926,9.012542435803796,0.3748638202346648
2020-02-11,3412.37,3435.5,3407.15,3428.7,22751520,113189753389,23637332361119,3413.8205000000003,53.57382774175095,3262.0725653880263,3413.8205000000003,3565.568434611974,8.890211691679392,0.5490270264239414
2020-02-12,3447.94,3487.7,3435.07,3486.07,20783039,143207860792,24032310688347,3417.6205,59.848128665308224,3262.6661181355303,3417.6205,3572.5748818644697,9.067968890312411,0.7208698430350594
2020-02-13,3506.57,3527.98,3485.65,3494.45,19918476,160580557697,24094919027086,3419.7595,60.68395517114531,3261.8315420603117,3419.7595,3577.6874579396886,9.236202600778705,0.7364701632769908
2020-02-14,3492.12,3506.78,3472.6,3487.08,54810761,227910015910,24046271135872,3418.5135,59.51064414451222,3263.1436901558736,3418.5135,3573.8833098441264,9.089904711163282,0.7206558020145251
2020-02-17,3493.1,3522.48,3474.7,3502.0,22568185,107635129426,24143560143714,3417.9835,61.14834586703961,3263.833574761614,3417.9835,3572.133425238386,9.019933843354481,0.7725155392390636
2020-02-18,3477.15,3477.15,3438.56,3450.55,14597109,75180476331,23790900890752,3413.9404999999997,53.16282533042206,3267.8726484412123,3413.9404999999997,3560.008351558787,8.557141025673262,0.6253167607016743
2020-02-19,3471.34,3502.48,3451.88,3495.25,14348359,118119119322,24095867950256,3413.8934999999997,58.26259737334162,3267.930972853475,3413.8934999999997,3559.8560271465244,8.551088494501938,0.7786896801201943
2020-02-20,3489.51,3495.38,3435.54,3440.51,59256020,178391952178,23722830242653,3411.595,50.94684020936465,3268.864994254887,3411.595,3554.325005745113,8.367347574674778,0.6012926463817173
2020-02-21,3420.88,3445.9,3404.02,3406.47,29203923,132505539395,23488572691927,3406.8255,46.99507420448996,3270.236477384711,3406.8255,3543.4145226152887,8.018551147705614,0.4986986509120817
2020-02-24,3414.71,3436.92,3336.78,3338.99,218619381,539423455880,23027452499018,3399.91,40.318567802290964,3264.2919166925003,3399.91,3535.5280833074994,7.97774548782171,0.2753986838839535
2020-02-25,3367.22,3373.25,3319.6,3355.26,1013703172,1033221457660,23137369189387,3399.3489999999997,42.44181794061305,3263.0910932349248,3399.3489999999997,3535.6069067650747,8.016705949584756,0.3382148931877611
2020-02-26,3354.98,3379.3,3325.03,3344.25,289877454,331006841089,23064398408147,3397.7940000000003,41.369251902271166,3259.777571209802,3397.7940000000003,3535.810428790199,8.123884425612527,0.3060230927964611
2020-02-27,3334.54,3346.52,3281.91,3295.29,55536313,150642099760,22725062190336,3396.0440000000003,36.903116542096015,3253.8246601899737,3396.0440000000003,3538.263339810027,8.375588762102414,0.14577953977783456
2020-02-28,3255.34,3259.41,3161.08,3178.68,58093112,248712578356,21919367880270,3390.2254999999996,28.900404284806392,3224.3930998515366,3390.2254999999996,3556.0579001484625,9.782971672442615,-0.1378292173622636
