날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2023-01-02,830.38,830.38,783.22,783.48,6612185,163751724750,20666158659690,,,,,,,
2023-01-03,790.95,798.95,782.22,787.82,2653518,128750003095,20780584675840,,,,,,,
2023-01-04,781.51,789.73,775.66,787.15,1988114,72753362520,20763024030210,,,,,,,
2023-01-05,789.95,796.2,783.77,789.38,2532916,80888320650,20821969142360,,,,,,,
2023-01-06,787.43,792.51,781.33,785.87,2213499,78819809590,20729283103280,,,,,,,
2023-01-09,788.43,797.13,783.81,795.18,2503806,75357753650,20974924727560,,,,,,,
2023-01-10,798.73,802.36,792.83,800.28,1772454,55631462810,21109414143560,,,,,,,
2023-01-11,803.6,813.25,794.56,794.56,2100193,66130427515,20958588855910,,,,,,,
2023-01-12,799.03,807.57,797.23,801.63,2985060,86252513285,21144884799460,,,,,,,
2023-01-13,803.91,814.71,803.22,813.4,1820120,61994918130,21455467300620,,,,,,,
2023-01-16,815.13,817.08,807.17,811.94,1719387,59014166995,21417054676690,,,,,,,
2023-01-17,811.66,822.11,809.03,815.34,1622075,59859424565,21506630134860,,,,,,,
2023-01-18,817.34,819.26,808.44,819.16,1347284,47871501515,21607369802990,,,,,,,
2023-01-19,813.7,832.32,812.79,829.61,1693831,52093713500,21883063458260,,,,,,,
2023-01-20,828.56,834.86,827.11,832.85,1231227,36158108710,21968379202860,,86.6686665567912,,,,,
2023-01-25,835.71,836.42,824.7,827.49,1952617,65672460960,21827045652830,,77.41601992247294,,,,,
2023-01-26,827.19,837.27,824.63,831.95,12555841,189970138055,21944833720570,,79.38790147373416,,,,,
2023-01-27,832.61,836.59,829.22,834.97,5641007,102765733240,22024374451160,,80.62172280217187,,,,,
2023-01-30,834.56,835.79,829.36,831.57,2901920,66811443185,21934820847510,,75.16651690013124,,,,,
2023-01-31,830.45,832.71,822.37,822.86,3032590,77998304330,21704967232140,809.8245,63.34219823562475,773.9830734240392,809.8245,845.6659265759607,8.851652815137301,0.6818496254937452
2023-02-01,827.12,827.12,815.23,816.92,3452375,72415940650,21548259453160,811.4965,56.78202173474997,777.6632587866609,811.4965,845.329741213339,8.338481118116734,0.5801504645357732
2023-02-02,819.05,819.73,804.49,805.21,3453844,94137451580,21239467154410,812.3660000000001,46.54737762758326,780.156486250178,812.3660000000001,844.5755137498222,7.929803499856498,0.38891480859378724
2023-02-03,803.01,807.83,799.76,804.33,3434544,85637543765,21216243703540,813.225,45.87814333291468,782.8894205593501,813.225,843.5605794406499,7.460562437369705,0.35338997698391383
2023-02-06,804.17,804.98,794.39,800.0,2215716,60961095385,21101887895400,813.7560000000001,42.63032644892297,784.7666423665515,813.7560000000001,842.7453576334486,7.12482799105593,0.262740517159164
2023-02-07,800.24,800.32,790.05,792.47,2321855,62687572310,20903339682240,814.086,37.64001904557242,786.2464558945377,814.086,841.9255441054623,6.839460230359525,0.1117752518124252
2023-02-08,793.63,802.69,792.66,802.63,2588109,65085134520,21171371649930,814.4585000000001,46.70520740117318,787.4539483281063,814.4585000000001,841.4630516718938,6.631289788710842,0.2809906244007165
2023-02-09,800.83,802.41,795.2,797.37,2164124,64260773790,21032501472370,814.313,43.203599530765565,786.9751411957707,814.313,841.6508588042293,6.714336822383853,0.19011837903378864
2023-02-10,797.81,798.86,791.17,798.66,3382149,71523882195,21066516943750,814.518,44.30639801648337,787.7195391486754,814.518,841.3164608513247,6.580201014913028,0.20412479865954317
2023-02-13,797.28,802.62,794.88,801.78,2293873,65368757070,21149033030180,814.5255,46.98744045622736,787.7413909239082,814.5255,841.3096090760918,6.57661646592815,0.2620697413568823
2023-02-14,802.21,805.14,798.1,798.15,1900065,45343960660,21053268475490,813.763,44.31454837734138,786.042232983195,813.763,841.483767016805,6.812982899641538,0.21838802312838085
2023-02-15,798.98,800.15,769.58,771.32,4476470,95723875900,20345561766050,811.732,30.503031688832255,778.3919630474112,811.732,845.0720369525887,8.214542965557296,-0.10605811651420537
2023-02-16,773.04,777.19,770.91,773.2,2478864,58854316260,20395151090340,809.625,32.09996544134211,772.3672526177443,809.625,846.8827473822557,9.203704772519556,0.011175492894296353
2023-02-17,770.28,776.41,766.09,774.15,2271182,54796980280,20420133883460,807.3745,32.9385453433221,767.3570960487191,807.3745,847.3919039512809,9.91297197305115,0.08487437065571386
2023-02-20,775.16,779.47,771.21,778.8,1487323,44523965020,20542730163700,804.8340000000001,37.03747638455048,764.3371732601183,804.8340000000001,845.3308267398818,10.063398598936358,0.1785674076734322
2023-02-21,780.01,780.01,773.65,776.77,1889760,51705991480,20489170985940,802.03,36.0028992265097,761.9166396321624,802.03,842.1433603678375,10.002957587082172,0.18514230959003417
2023-02-22,772.62,774.46,768.45,770.35,1942420,51500954655,20319853089840,799.173,32.87527501712959,758.583419514363,799.173,839.762580485637,10.157895846240311,0.1449458253184061
2023-02-23,771.64,774.79,768.07,772.33,1694190,50741449665,20372060666730,796.192,34.75771483673109,756.9337322847784,796.192,835.4502677152216,9.861507705483492,0.19608949415325347
2023-02-24,772.84,778.78,771.66,777.74,1503852,42786924645,20514914587760,793.3305,39.73106308482431,757.6120529592899,793.3305,829.0489470407101,9.004682674045707,0.28175842888366964
2023-02-27,774.04,774.04,754.72,765.0,3139598,81487151685,20178640362780,790.0020000000001,33.29456184892321,756.8423349835978,790.0020000000001,823.1616650164024,8.394830650150835,0.12300584177142737
2023-02-28,766.09,771.42,761.13,762.45,2304283,68637693755,20111419512730,786.9815000000001,32.171143269979694,755.3751302147809,786.9815000000001,818.5878697852193,8.032303118998135,0.11192158152448906
2023-03-02,760.26,766.7,757.25,757.78,2507398,115799355965,19988210690870,784.0245,30.163825622071663,753.1170578703118,784.0245,814.9319421296882,7.8843051791591225,0.0754339700794779
2023-03-03,759.03,759.03,753.93,754.65,1418978,43705373820,19905845077490,781.4965,28.863904995975446,749.6764746857418,781.4965,813.3165253142581,8.143357088421547,0.07815086985536716
2023-03-06,754.77,761.96,752.94,757.12,1702259,51036624630,19970943995340,779.136,31.3771591301834,747.4374956819721,779.136,810.8345043180278,8.136834729245692,0.1527280943744903
2023-03-07,757.77,759.81,753.48,755.1,1510177,48897330345,19917712018900,776.891,30.430286580015114,745.0614596954333,776.891,808.7205403045666,8.19408135879207,0.15769219738191537
2023-03-08,752.32,753.12,746.33,748.11,2145353,53118708085,19733263654810,774.673,27.354111760016504,741.3477890629326,774.673,807.9982109370674,8.603684635211856,0.10145788649076226
2023-03-09,749.47,749.79,742.91,744.28,2204604,59869603015,19632131025490,771.7555,25.814286706858287,738.5147030931861,771.7555,804.9962969068139,8.614333660547647,0.08672019691609864
2023-03-10,740.08,743.78,734.85,742.75,1675898,46850694375,19591794894910,769.0245,25.20391538865131,735.6754307626127,769.0245,802.3735692373873,8.673083689111937,0.10606846606465546
2023-03-13,738.59,740.3,732.35,738.66,1391466,34901236255,19484056269990,766.0245,23.597643064197793,733.0865519916607,766.0245,798.9624480083393,8.599711369111374,0.08460527059743009
2023-03-14,738.84,738.84,724.25,726.68,1893637,45543904590,19168060384070,762.2695,19.647773910460987,729.3694225076889,762.2695,795.1695774923111,8.632137975430235,-0.04087258621681805
2023-03-15,727.92,737.87,725.73,730.86,1686145,44859960275,19278153981150,758.905,24.402501637653764,727.6485616232418,758.905,790.1614383767582,8.237246658477197,0.05137242986626079
2023-03-16,729.86,731.4,725.12,730.43,1260029,30234240775,19266829117220,756.8605,24.243573340847377,723.8213762374047,756.8605,789.8996237625953,8.73057155515324,0.10001209187752566
2023-03-17,732.99,754.17,732.05,753.16,2725111,69822163180,19866434322910,755.8585,44.733641118747514,723.657404195663,755.8585,788.059595804337,8.520403171846846,0.4580992520192957
2023-03-20,755.59,767.67,754.57,760.96,2027334,53854187975,20072163690350,755.199,49.75579213323256,723.998678270888,755.199,786.3993217291119,8.262808009309314,0.5923227659320047
2023-03-21,759.87,759.87,746.84,749.28,1800449,47687704410,19764224743150,753.7230000000001,43.39640081026879,724.3912553536259,753.7230000000001,783.0547446463743,7.78316295147533,0.42426294355202443
2023-03-22,751.3,752.0,747.46,748.67,1198309,33317418295,19748003839080,752.318,43.08666851116806,724.9076212357417,752.318,779.7283787642583,7.286912918276135,0.43345586298944505
2023-03-23,748.55,755.05,744.43,750.56,1304261,41164650060,19797911748240,751.3285,44.410528278437525,725.1942326293597,751.3285,777.4627673706402,6.95681512697582,0.48529708162274016
2023-03-24,747.08,755.62,746.38,752.19,1531319,44358367590,19840805326480,750.3215,45.58609783490368,726.0134854574646,750.3215,774.6295145425354,6.479359725806971,0.5384338259451517
2023-03-27,753.08,766.02,745.17,764.76,2059365,56562527830,20172365558040,749.6725,53.71494446489951,727.7514143745088,749.6725,771.5935856254912,5.848176537218898,0.8441321350995343
2023-03-28,765.16,768.5,760.97,767.89,1780870,50543214360,20255037018480,749.817,55.49771367582582,727.4599097599863,749.817,772.1740902400137,5.963345787042356,0.9041894496550753
2023-03-29,768.89,779.79,768.31,774.0,2773738,73642664050,20416109770490,750.3945,58.8312385034158,726.237711740794,750.3945,774.551288259206,6.438423591645726,0.9885893717887787
2023-03-30,774.66,780.98,771.18,779.8,2081537,58361376685,20569077182410,751.4955,61.75954097378786,724.2791597059761,751.4955,778.7118402940239,7.243247709141011,1.019990926300532
2023-03-31,780.21,785.29,756.78,757.89,5021577,107422926905,19991138551550,751.6575,47.89916176197715,724.3296395824681,751.6575,778.985360417532,7.271359739650559,0.6140319788079998
2023-04-03,754.67,763.04,753.25,755.65,1646555,46216762860,19932226864190,751.5840000000001,46.74414419347064,724.3074427392293,751.5840000000001,778.8605572607709,7.2584188223194746,0.5745328664671264
2023-04-04,756.77,760.84,755.47,759.66,3066479,55854535795,20037819559130,751.812,49.109926568771314,724.3461203672609,751.812,779.2778796327391,7.306581866939893,0.6428681714356094
2023-04-05,759.74,763.44,757.92,758.2,1415301,40143559620,19999282178110,752.3164999999999,48.269169709852676,724.770596293639,752.3164999999999,779.8624037063609,7.322956151130794,0.6067944632116301
2023-04-06,758.62,766.04,755.73,760.72,2059443,50022096420,20065849966450,753.1385,49.864600547376156,725.6197650908493,753.1385,780.6572349091507,7.3077488162272095,0.6377516085864645
2023-04-07,757.42,759.76,755.04,758.93,1306530,38762293135,20018783753540,753.9475,48.71530652920101,726.7484751093884,753.9475,781.1465248906115,7.215097839202744,0.5915933571155302
2023-04-10,758.0,760.04,753.71,756.9,1483673,40920335515,19965231926360,754.8595,47.38155239695198,728.5638368784869,754.8595,781.1551631215132,6.96703508971223,0.5387991736616554
2023-04-11,757.4,761.96,753.63,758.88,1651696,54670103315,20017345955430,756.4694999999999,48.8524716279415,733.5455051692531,756.4694999999999,779.3934948307467,6.060784957158691,0.5525759148393933
2023-04-12,758.5,776.37,757.84,774.23,2106756,56946581450,20422152393630,758.6379999999999,58.5308717714232,737.694797188584,758.6379999999999,779.5812028114159,5.5212638468982504,0.8722448791715139
2023-04-13,771.34,776.22,768.4,770.4,1934146,48393888430,20321317701350,760.6365,55.69882741209218,743.5727251831519,760.6365,777.700274816848,4.486709437911034,0.7860885151379264
2023-04-14,770.47,781.78,770.47,777.15,1862966,51701293890,20499227575210,761.836,59.425002381888056,743.7037983686455,761.836,779.9682016313545,4.760132530191411,0.9222873843824549
2023-04-17,780.25,784.42,773.81,783.28,2653401,104020110295,20661045685850,762.952,62.50901573633266,742.5654734689773,762.952,783.3385265310227,5.344117724581021,0.9985645781557329
2023-04-18,777.92,780.37,766.84,768.01,2201798,102798511990,20258197008670,763.8884999999999,51.92202334450309,744.3991621200182,763.8884999999999,783.3778378799816,5.102665606297697,0.6057373017334121
2023-04-19,768.38,785.25,768.38,775.53,2375670,63082544820,20456395500180,765.2315,55.884649998979334,746.4324561147358,765.2315,784.0305438852641,4.9132958811194145,0.7739102068928246
2023-04-20,775.66,782.94,769.64,778.03,7918583,146373574985,20522472358680,766.605,57.149105974085074,748.2864907811776,766.605,784.9235092188225,4.779125943301294,0.8118430616684861
