날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2020-01-02,1741.01,1743.08,1718.44,1718.92,5297023,36260030611,21653604888091,,,,,,,
2020-01-03,1729.6,1747.41,1727.53,1733.05,7533569,54086633530,21817372843758,,,,,,,
2020-01-06,1717.86,1718.86,1691.22,1693.88,8577423,50579668235,21346692930383,,,,,,,
2020-01-07,1698.88,1709.1,1690.64,1698.82,9487039,55157032134,21406370151290,,,,,,,
2020-01-08,1679.26,1679.48,1648.73,1656.71,14990138,78961526779,20892360114567,,,,,,,
2020-01-09,1684.56,1687.33,1667.02,1679.4,8842782,57575419519,21161753452992,,,,,,,
2020-01-10,1679.78,1685.68,1672.0,1684.73,7417440,47525360193,21233105043017,,,,,,,
2020-01-13,1682.99,1692.13,1674.87,1691.49,8931643,43112130896,21319716614963,,,,,,,
2020-01-14,1700.89,1734.89,1697.6,1734.54,19300623,97636755179,21831327244210,,,,,,,
2020-01-15,1731.73,1732.37,1717.19,1726.12,7990547,43636676969,21732002500436,,,,,,,
2020-01-16,1724.55,1725.97,1710.43,1722.52,5716319,41534646731,21691659960687,,,,,,,
2020-01-17,1727.79,1737.46,1721.74,1725.97,9208306,47243566620,21732571296697,,,,,,,
2020-01-20,1730.55,1747.39,1725.16,1733.64,8181315,45761532497,21821505712349,,,,,,,
2020-01-21,1739.91,1740.09,1715.12,1715.43,6057898,36246857986,21603950934993,,,,,,,
2020-01-22,1714.38,1733.59,1709.96,1733.59,6491020,41111646775,21814884040608,,56.91503619365767,,,,,
2020-01-23,1725.25,1725.64,1699.44,1702.35,7393104,53392652884,21437602154844,,46.068476343580365,,,,,
2020-01-28,1659.09,1667.65,1617.11,1624.44,13119319,89006703741,20499643321360,,30.471849589446112,,,,,
2020-01-29,1632.57,1633.44,1619.65,1630.08,7069576,48409891042,20577336755422,,32.259753547053364,,,,,
2020-01-30,1628.9,1637.38,1610.69,1619.42,14317408,78024548330,20444016955177,,30.655213227693224,,,,,
2020-01-31,1626.23,1633.43,1596.21,1596.21,12076625,75081692071,20160087912171,1691.0655,27.453450495472374,1606.3063000332706,1691.0655,1775.8246999667292,10.024354463706969,-0.059558726587991224
2020-02-03,1568.9,1593.24,1558.91,1586.41,9854217,55456221325,20038823187252,1684.44,26.208744888089647,1589.34050957024,1684.44,1779.53949042976,11.291526018114027,-0.015407598700039726
2020-02-04,1586.19,1606.42,1585.41,1597.21,8539370,61515151294,20168725556802,1677.648,29.976608830136136,1578.1059677523106,1677.648,1777.1900322476893,11.866855531993524,0.09595962537791633
2020-02-05,1609.03,1620.0,1603.34,1611.53,8941646,55557751397,20342430065264,1673.5305,34.735147688472054,1570.2714888726412,1673.5305,1776.789511127359,12.340260440710093,0.19978164945077223
2020-02-06,1626.59,1666.97,1624.59,1665.03,11533735,66395518359,20986697535025,1671.841,48.74825847045781,1569.1884516828732,1671.841,1774.4935483171266,12.280180748902167,0.46682498334596356
2020-02-07,1661.85,1663.39,1629.64,1636.67,7203075,44778994458,20649980561835,1670.839,43.42549572545041,1567.2284789319153,1670.839,1774.4495210680846,12.4022148235808,0.33510844435601905
2020-02-10,1624.82,1625.92,1608.3,1616.96,6641959,40468993007,20418472274041,1667.717,40.144755094107346,1561.5940348887668,1667.717,1773.8399651112334,12.726735424683357,0.2608576053882452
2020-02-11,1627.37,1634.74,1618.74,1624.72,6199238,37628807965,20509957827893,1664.7165,42.002541810681734,1557.301735228112,1664.7165,1772.131264771888,12.90487176307654,0.31382214966006416
2020-02-12,1627.47,1630.7,1610.18,1624.76,7452931,48717826115,20507285896223,1661.3799999999999,42.012532851518884,1553.3552663507098,1661.3799999999999,1769.40473364929,13.004217415556955,0.330501780643638
2020-02-13,1630.63,1635.12,1611.49,1617.31,7729350,54930673044,20415849963115,1655.5185000000001,40.60936715137155,1551.3557897290013,1655.5185000000001,1759.681210270999,12.583696318826856,0.3165922339165637
2020-02-14,1615.68,1628.96,1611.2,1616.45,5272520,38210483344,20402203286920,1650.0349999999999,40.44145438281043,1549.8454281873603,1650.0349999999999,1750.2245718126394,12.143932924167009,0.3323927361282382
2020-02-17,1617.69,1617.91,1599.68,1602.8,5549351,42097085220,20224843449763,1644.0490000000002,37.77186300962362,1547.6641696790412,1644.0490000000002,1740.4338303209593,11.725298980864808,0.28601923216214564
2020-02-18,1596.47,1603.39,1590.3,1596.19,6429230,43797683919,20142187105265,1637.56,36.514846461715074,1546.7993600727714,1637.56,1728.3206399272285,11.084862835832405,0.2720928365359139
2020-02-19,1604.55,1606.04,1585.71,1596.63,5558126,42191574010,20146561788652,1630.7095,36.66593997466857,1549.8481615309884,1630.7095,1711.5708384690115,9.917319849919508,0.28927197690983014
2020-02-20,1599.59,1604.1,1579.6,1581.24,5891306,42058771982,19966549827218,1624.0,33.64932024849026,1550.4308477689185,1624.0,1697.5691522310815,9.06024042254698,0.2093890665907745
2020-02-21,1565.79,1568.55,1554.63,1556.42,8049039,47108115077,19663427714179,1615.1415,29.442276983427366,1555.0586760733568,1615.1415,1675.2243239266431,7.439945531291616,0.011328727893227747
2020-02-24,1523.19,1529.32,1497.23,1498.61,12188771,70354709941,18963074858575,1604.9545,22.413297025790733,1538.699692936663,1604.9545,1671.209307063337,8.25628478107473,-0.3025417680134436
