날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2022-01-03,1515.04,1523.5,1501.35,1505.93,21581682,2429800149450,929940034916700,,,,,,,
2022-01-04,1506.61,1510.18,1494.18,1497.75,22054559,2782100682900,927428188943000,,,,,,,
2022-01-05,1498.07,1499.24,1469.86,1480.74,46070438,5264177222331,913397947999800,,,,,,,
2022-01-06,1460.33,1477.49,1455.79,1460.7,29749942,3838965542054,903880016311700,,,,,,,
2022-01-07,1470.56,1483.61,1469.63,1475.56,27550370,3597275184784,916521872696900,,,,,,,
2022-01-10,1476.34,1476.34,1445.37,1454.21,23899911,3065520494980,907182912292600,,,,,,,
2022-01-11,1462.7,1475.89,1462.12,1472.09,25898970,3183000073050,917738065010200,,,,,,,
2022-01-12,1488.16,1504.57,1486.22,1501.99,22091963,3125139410600,928035106198200,,,,,,,
2022-01-13,1505.24,1505.24,1491.15,1497.72,24272575,3072207442470,922043036060800,,,,,,,
2022-01-14,1477.7,1480.53,1446.11,1453.42,21549749,2735501406437,906477931496100,,,,,,,
2022-01-17,1444.99,1451.98,1420.75,1430.52,20542063,2625255839000,900926182991400,,,,,,,
2022-01-18,1439.54,1441.38,1419.71,1423.76,19192793,2522998481500,895564873031400,,,,,,,
2022-01-19,1407.28,1425.41,1403.4,1410.74,24238193,2995532394788,887059798464000,,,,,,,
2022-01-20,1403.38,1428.04,1396.89,1426.99,22113245,2826605980102,893072888090400,,,,,,,
2022-01-21,1415.79,1422.43,1402.17,1410.5,29112635,3204068024000,881416948886700,,30.534763607022544,,,,,
2022-01-24,1400.87,1407.3,1386.59,1396.93,24225785,2676265227700,873993835139500,,28.026157495880792,,,,,
2022-01-25,1391.83,1393.61,1343.63,1355.24,32514405,3653346141183,855133140878000,,22.036334371007207,,,,,
2022-01-26,1359.82,1364.11,1342.61,1344.2,23662686,2791468715400,847323540740400,,20.77038359619337,,,,,
2022-01-27,1344.2,1352.42,1290.12,1291.61,40481287,4608968372000,818089970824700,,16.04248722998948,,,,,
2022-01-28,1294.63,1333.54,1284.6,1329.1,35757850,4158730034586,842789431313000,1430.9850000000001,28.531669923250497,1310.3368242989143,1430.9850000000001,1551.633175701086,16.862255816949283,0.07775988154007686
2022-02-03,1356.9,1376.78,1356.5,1356.5,31167941,3562116979381,853022837084500,1423.5135,36.02236999355483,1303.8517204252332,1423.5135,1543.1752795747668,16.81217348128652,0.21998786814745305
2022-02-04,1359.19,1370.49,1353.22,1362.71,21320286,2414126753363,859246360293900,1416.7615,37.61822067140752,1299.3997301982454,1416.7615,1534.1232698017548,16.567611387203094,0.2697227125523805
2022-02-07,1360.35,1360.35,1326.96,1337.92,25922117,2829604033532,846079079883900,1409.6205,33.974941643590675,1291.3227560696948,1409.6205,1527.9182439303052,16.78433932115845,0.1969489965833917
2022-02-08,1346.32,1359.4,1332.46,1340.21,23057606,3064447324310,849646924181800,1403.596,34.605002286443664,1284.0513712791744,1403.596,1523.1406287208256,17.03405092645257,0.23488562105108765
2022-02-09,1350.43,1351.05,1337.21,1342.92,19537604,2370937316550,856890965537100,1396.964,35.39075647776105,1279.4244896385896,1396.964,1514.5035103614102,16.82785101998481,0.270102836766014
2022-02-10,1356.09,1366.48,1350.86,1363.57,33297726,3884258092776,868923792923400,1392.432,41.18948295078713,1277.1020761120512,1392.432,1507.7619238879488,16.56525042342445,0.3748720235520073
2022-02-11,1347.8,1363.75,1340.32,1350.6,28738228,3256027506783,863030984040200,1386.3575,38.832083061719395,1275.7487435880412,1386.3575,1496.966256411959,15.956743684361197,0.3383604464965574
2022-02-14,1329.64,1341.02,1323.25,1328.29,27238723,3004735177900,849999253405800,1377.6725,35.109721301134144,1278.0092068826236,1377.6725,1477.3357931173762,14.468357772602165,0.25225331987655286
2022-02-15,1336.35,1339.44,1311.94,1317.25,20062363,2331308357200,844571282840500,1368.6490000000001,33.403355373617835,1282.3068142736704,1368.6490000000001,1454.9911857263298,12.617140804739522,0.20235291377198605
2022-02-16,1346.96,1355.17,1341.81,1350.53,20011616,2301051643368,861988077465400,1363.5045,42.47886754939123,1286.1899175527024,1363.5045,1440.8190824472977,11.340568725266056,0.4160928017114737
2022-02-17,1352.15,1368.06,1337.15,1356.25,26397433,2995774509398,865400844023600,1359.791,43.89409028972481,1288.835419275155,1359.791,1430.746580724845,10.436248030005354,0.47504776957762207
2022-02-18,1339.83,1350.71,1332.37,1345.16,18242599,1992778258128,857707701706800,1355.861,41.74938485494803,1291.074261573066,1355.861,1420.6477384269342,9.556545756081796,0.41741365393730606
2022-02-21,1324.41,1352.41,1314.35,1348.44,20150139,2249401003000,857381269151000,1352.7459999999999,42.64203709540242,1293.0201103373086,1352.7459999999999,1412.4718896626912,8.830318428247628,0.463951981089621
2022-02-22,1329.24,1336.58,1318.1,1330.7,19911745,2265182002691,846910250614700,1347.9315000000001,39.14779091861063,1298.2401006335106,1347.9315000000001,1397.6228993664897,7.372985847795615,0.32661486474840035
2022-02-23,1341.96,1343.23,1320.79,1327.8,17447840,1905573222550,843868496782100,1343.7965,38.59107770709133,1302.5783693897947,1343.7965,1385.0146306102051,6.134579247706808,0.3059531113713416
2022-02-24,1307.29,1307.39,1268.92,1272.69,30710740,3386649532004,817853819828800,1337.5845000000002,29.891641169037488,1292.9619539162106,1337.5845000000002,1382.2070460837897,6.672108727903101,-0.22714922942927912
2022-02-25,1290.7,1301.96,1282.6,1297.02,24516343,2693716235500,828063200396000,1334.6735,36.67825973156367,1287.513895135244,1334.6735,1381.8331048647563,7.066837674495844,0.10078651943774275
2022-02-28,1287.58,1310.81,1278.67,1310.43,28096501,2849903077500,832884078124700,1332.985,40.11894115938447,1284.9015015831842,1332.985,1381.0684984168156,7.214409527011287,0.26546007733796745
2022-03-02,1309.98,1311.58,1296.32,1301.51,22675582,2441698592460,828737168771500,1333.48,38.61587445357566,1286.9311039873132,1333.48,1380.0288960126868,6.981566429595762,0.1565976560294074
2022-03-03,1316.23,1341.51,1314.65,1336.31,23623596,2537630680540,846371316700200,1333.8404999999998,46.96416036373277,1287.3212053041434,1333.8404999999998,1380.3597946958562,6.975240997084193,0.526542749800333
2022-03-04,1327.02,1328.13,1301.45,1302.15,21714989,2341684194094,826674784429900,1331.123,41.06088730378259,1283.8718357392127,1331.123,1378.3741642607874,7.099443741981378,0.19341496179762965
2022-03-07,1283.54,1283.54,1257.72,1266.23,30650018,3139112820900,806144683473800,1326.299,35.9445155360536,1273.5518560394032,1326.299,1379.0461439605967,7.954035094740592,-0.06940523684915323
2022-03-08,1244.46,1273.53,1240.95,1259.25,25967790,2621697547375,799957007150800,1322.3654999999999,35.03105301327823,1262.4282356396714,1322.3654999999999,1382.3027643603284,9.065158514847601,-0.026513018850548156
2022-03-10,1285.35,1296.77,1283.3,1294.66,37293668,4120083606504,821965150040900,1320.088,42.95162531614825,1259.5771634167902,1320.088,1380.5988365832097,9.167697393387375,0.28988887416030606
2022-03-11,1285.94,1294.78,1269.12,1277.44,27483494,3086776836834,809133522696000,1316.814,40.37386259167695,1254.5388414213187,1316.814,1379.0891585786815,9.45845936915637,0.18387073675410198
2022-03-14,1277.97,1284.06,1268.58,1280.31,22062492,2800065698706,810501186412600,1312.651,41.009310916502855,1252.3338648226734,1312.651,1372.9681351773268,9.19012520118854,0.2319086864377707
