날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2022-01-03,1742.54,1747.29,1727.57,1740.03,5761018,361140941155,165564932868685,,,,,,,
2022-01-04,1741.64,1750.26,1731.31,1741.62,8133579,470899654755,165777327234880,,,,,,,
2022-01-05,1749.87,1779.17,1747.51,1756.7,13596982,1005795582320,167339329180660,,,,,,,
2022-01-06,1746.92,1787.12,1743.4,1767.85,11412905,942056951670,168113419915365,,,,,,,
2022-01-07,1769.15,1788.43,1768.59,1778.99,8448249,657255760055,169172340115460,,,,,,,
2022-01-10,1773.23,1781.54,1731.02,1734.83,10119779,719770774930,165018547190780,,,,,,,
2022-01-11,1739.14,1750.12,1716.06,1724.85,8284049,536206789540,164221070594525,,,,,,,
2022-01-12,1732.67,1751.03,1727.72,1749.11,7887576,467215657860,166284262453090,,,,,,,
2022-01-13,1744.32,1756.27,1729.86,1736.35,11235889,639836936279,165219017854630,,,,,,,
2022-01-14,1726.86,1735.06,1715.56,1720.0,8006771,438146932565,163665158012245,,,,,,,
2022-01-17,1718.48,1719.48,1680.35,1692.11,8115922,489829175710,161002227933970,,,,,,,
2022-01-18,1698.16,1700.77,1663.49,1670.28,8349950,473936906516,158951999152450,,,,,,,
2022-01-19,1660.44,1677.36,1645.79,1651.44,8989276,512230997536,157206030359680,,,,,,,
2022-01-20,1650.88,1662.98,1639.38,1660.56,6926607,425820814010,158100629016310,,,,,,,
2022-01-21,1644.48,1646.36,1630.52,1641.48,7531290,497751569885,156252206153715,,24.795856949525856,,,,,
2022-01-24,1634.7,1639.69,1602.68,1615.78,7828553,491518020035,153822092551770,,21.16135140039785,,,,,
2022-01-25,1610.46,1611.21,1558.39,1580.79,11635423,734763958808,150438941353670,,17.41800422004802,,,,,
2022-01-26,1586.02,1596.47,1566.61,1576.45,9692216,616517543970,149772035261325,,17.015933037512397,,,,,
2022-01-27,1576.45,1596.2,1541.42,1547.83,13496658,817178822990,147044091904800,,14.619327614561628,,,,,
2022-01-28,1557.25,1593.32,1522.22,1591.85,11464223,743067896860,151259637077085,1683.9450000000002,30.77028905650966,1544.0124891956843,1683.9450000000002,1823.877510804316,16.619605842746147,0.17093065267446111
2022-02-03,1605.77,1625.06,1601.52,1601.52,9036195,565723211475,152303783472070,1677.0194999999999,33.73566508392137,1535.1782928033606,1677.0194999999999,1818.8607071966392,16.915868562844892,0.2338590756093454
2022-02-04,1599.0,1613.7,1584.61,1610.33,9921749,553209614185,152941493097275,1670.455,36.4081946965343,1529.028657404287,1670.455,1811.8813425957128,16.93267314542599,0.287433518761509
2022-02-07,1604.57,1605.56,1580.63,1598.49,12295859,666935271585,151645555958350,1662.5445,34.40019315829126,1523.6227285636987,1662.5445,1801.4662714363012,16.711946228964248,0.269458381728992
2022-02-08,1611.36,1624.79,1582.16,1591.48,11382433,680685255670,150964129456790,1653.7259999999999,33.23159010262968,1520.3829170297913,1653.7259999999999,1787.0690829702085,16.126381633983932,0.26659456713661395
2022-02-09,1607.12,1615.77,1594.72,1615.64,8357971,578779052758,153091437181095,1645.5584999999999,40.707583091381856,1524.4575491738403,1645.5584999999999,1766.6594508261594,14.718522717504062,0.37647289391250205
2022-02-10,1623.45,1623.58,1598.48,1612.45,11329197,785406555160,152793839170310,1639.4395,40.06962584400986,1524.8051855082217,1639.4395,1754.0738144917782,13.98457393417424,0.3822800131022913
2022-02-11,1592.46,1608.69,1585.85,1597.52,11864856,610702584015,151309753132430,1633.0729999999999,37.136247489788644,1524.1172522672623,1633.0729999999999,1742.0287477327374,13.343646944470647,0.3368466063524733
2022-02-14,1574.7,1583.91,1559.87,1559.87,10851045,652053516540,147676992764150,1623.611,30.977539990467363,1524.1521846239866,1623.611,1723.0698153760136,12.25155722349916,0.1795608324962382
2022-02-15,1568.08,1583.94,1557.47,1569.27,9199258,517755188495,148585622898965,1615.257,33.92388511281532,1527.7271700904203,1615.257,1702.7868299095799,10.837882752971174,0.23730669848493
2022-02-16,1594.99,1602.31,1583.78,1598.71,9314073,478140769508,151313721702240,1609.1925,42.239908316780586,1535.8787910841368,1609.1925,1682.5062089158635,9.111863113438988,0.42850927776665854
2022-02-17,1599.84,1619.69,1579.38,1598.35,13518105,712872118565,151427650981760,1604.5045,42.170016819320566,1541.7714135224485,1604.5045,1667.2375864775515,7.819621132574141,0.4509469376881175
2022-02-18,1581.62,1600.03,1576.47,1593.01,7441389,383082585735,150962081695625,1600.641,41.08409503986656,1545.5331508675947,1600.641,1655.7488491324054,6.8857225489544955,0.43076303902130714
2022-02-21,1569.3,1604.23,1563.29,1601.58,8291585,406205523620,151852724578685,1598.148,43.594481662974026,1548.187180310968,1598.148,1648.1088196890319,6.252339544151349,0.5343469144557835
2022-02-22,1574.99,1586.57,1568.66,1578.89,9030381,447754426508,149648787778250,1594.0645,38.87187373502654,1552.5373260171732,1594.0645,1635.5916739828267,5.21022505461062,0.3172943335094852
2022-02-23,1590.02,1591.53,1574.18,1587.7,7351719,391602601885,150354592756030,1591.3754999999999,41.52084681363057,1555.9630906072466,1591.3754999999999,1626.7879093927531,4.45054098077459,0.4481043500989236
2022-02-24,1570.23,1573.59,1521.28,1530.45,13179576,861320359245,144733839363290,1587.109,31.859124285475854,1544.62966342326,1587.109,1629.58833657674,5.353045893727529,-0.1669007165124145
2022-02-25,1542.5,1553.04,1533.48,1546.56,9664804,550688500640,146164358120205,1585.3974999999998,36.3476868411992,1539.4232089777342,1585.3974999999998,1631.3717910222654,5.799717865363805,0.0776171949971922
2022-02-28,1535.71,1552.76,1513.8,1552.72,10829333,687292892885,146715900379990,1584.211,38.02865824702268,1536.194788612595,1584.211,1632.227211387405,6.061845472276744,0.17207950096349897
2022-03-02,1537.41,1548.24,1532.5,1537.13,9879465,665146215040,145013359178175,1583.676,35.475242159604456,1533.8460859322438,1583.676,1633.505914067756,6.292943009524188,0.03295123149611514
2022-03-03,1554.65,1575.25,1548.82,1568.09,10216149,640911759105,148252787936290,1582.488,43.577440836223666,1532.362190440453,1582.488,1632.613809559547,6.335063464563011,0.35638137192681113
2022-03-04,1564.07,1567.71,1545.7,1549.22,7068423,417460643787,146312953495650,1579.873,40.259275008035274,1528.5490051827612,1579.873,1631.1969948172389,6.4972304504525145,0.20137749303076252
2022-03-07,1542.5,1542.5,1497.53,1508.96,10667495,641925802400,142443612316450,1574.8045,34.26456544793554,1516.9115071683975,1574.8045,1632.6974928316024,7.352403784927264,-0.06867417609179932
2022-03-08,1484.97,1508.3,1479.29,1489.17,9589898,531997299920,140662088712375,1569.3385,31.76103140609757,1501.6144796600943,1569.3385,1637.0625203399059,8.630900260193169,-0.09187640956366408
2022-03-10,1510.34,1520.22,1506.77,1517.03,11635040,707008624535,143220320767150,1565.6160000000002,38.56615435703519,1495.0447485161276,1565.6160000000002,1636.1872514838728,9.015141833485686,0.15576634267918993
2022-03-11,1511.89,1516.82,1499.3,1508.71,13078711,751715663234,142752445675455,1560.2694999999999,37.36768585893166,1489.4659708577317,1560.2694999999999,1631.073029142268,9.075807627114187,0.13589738658083408
2022-03-14,1497.9,1498.93,1467.36,1476.01,10819998,696582264140,139745436215035,1553.4475,33.023994128373275,1477.9335757542026,1553.4475,1628.9614242457974,9.722108310167856,-0.01273656331209443
2022-03-15,1461.63,1485.38,1458.45,1472.46,9161216,523166088723,139401781435100,1547.1945,32.58120674051361,1466.7627233256032,1547.1945,1627.6262766743969,10.397112538132317,0.03541682721656425
2022-03-16,1487.72,1512.47,1477.91,1512.47,9667726,574721837321,143277185543115,1544.8245,42.01723900115364,1463.2412442485893,1544.8245,1626.4077557514106,10.562139032804136,0.3017086980532738
2022-03-17,1533.01,1541.84,1517.15,1517.15,10437229,593141119441,143666028962775,1542.2185000000002,43.02180645442366,1460.5954531872276,1542.2185000000002,1623.8415468127728,10.585146892320717,0.34643736678010595
2022-03-18,1521.54,1523.38,1510.04,1520.17,10265304,572819727195,144023716853210,1538.2914999999998,43.69966174384153,1460.4480300683474,1538.2914999999998,1616.1349699316522,10.120769689184712,0.3836029533632644
2022-03-21,1523.92,1525.83,1501.06,1502.9,8077724,456894118420,142481081428505,1533.519,40.71655101435475,1459.3731588759013,1533.519,1607.6648411240988,9.670025754372622,0.2935217974751103
2022-03-22,1505.64,1521.83,1504.76,1519.27,10361079,631585047630,144254966198295,1529.832,44.57853381210117,1460.7233835762856,1529.832,1598.9406164237146,9.034798124724082,0.4235840583521232
2022-03-23,1526.61,1544.36,1520.27,1531.67,10109194,564416328089,145473006877265,1526.3365,47.37510454407122,1465.523283253966,1526.3365,1587.1497167460338,7.9685202766275935,0.5438514872702241
2022-03-24,1518.78,1528.57,1514.37,1528.57,8483281,450996719925,145287341832540,1523.8205,46.740121214768415,1467.949667367936,1523.8205,1579.6913326320641,7.332993962486276,0.5425042886981621
2022-03-25,1529.96,1530.78,1517.08,1521.95,7570358,392365449210,144592024306810,1520.533,45.342471594636095,1472.9630413706284,1520.533,1568.1029586293714,6.257011012503052,0.5148938536087483
2022-03-28,1514.53,1527.86,1504.59,1524.52,7092501,374169408171,144872690769660,1520.2365,46.01734533741282,1472.843893287559,1520.2365,1567.629106712441,6.234899203175423,0.5451916479925923
2022-03-29,1535.73,1547.23,1527.66,1536.84,9498209,510161964765,146018125743850,1519.7505,49.25218078995047,1473.256798286756,1519.7505,1566.2442017132441,6.118596666129609,0.6837829573713181
2022-03-30,1557.08,1573.01,1551.3,1559.8,11185354,665329282475,148360920191705,1520.1045,54.70021646153843,1472.5171283663396,1520.1045,1567.6918716336602,6.2610658193118,0.9170801899460441
2022-03-31,1552.13,1563.89,1548.67,1560.8,7209131,411782650020,148415565572280,1521.288,54.92717687761231,1470.9669659883652,1521.288,1571.6090340116348,6.615582849747683,0.892599245783228
2022-04-01,1547.18,1561.7,1538.69,1561.68,8823976,495215173270,148264157650890,1520.9675,55.140176536474435,1471.7738736343813,1520.9675,1570.1611263656187,6.46872814384511,0.9137985244004492
2022-04-04,1553.97,1565.68,1549.39,1562.58,7481878,409007421400,148423963182250,1521.6354999999999,55.372456447076324,1470.597207914546,1521.6354999999999,1572.6737920854537,6.708346655352587,0.9011154990398814
2022-04-05,1566.71,1569.69,1552.67,1568.55,8776630,394900694111,149020611924015,1524.615,56.96429676108078,1470.0489118132873,1524.615,1579.1810881867127,7.158015392307265,0.9025852086891807
