날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2021-01-04,522.51,542.25,519.14,541.18,67036535,1259230729785,53323057481060,,,,,,,
2021-01-05,541.32,552.01,535.63,551.91,54529281,1040591193535,54436835894460,,,,,,,
2021-01-06,551.41,554.9,539.74,540.7,43902321,1243905055260,53233479482230,,,,,,,
2021-01-07,543.81,557.04,543.81,553.85,34962672,1098464972122,54620235302270,,,,,,,
2021-01-08,554.54,561.78,548.96,553.5,36036949,1369048036340,54724350072680,,,,,,,
2021-01-11,553.64,556.23,535.51,545.06,52735450,1577768533900,53968863780080,,,,,,,
2021-01-12,544.35,546.22,530.48,540.34,32416640,839473895930,53457096706465,,,,,,,
2021-01-13,541.25,550.53,540.48,546.53,27871392,712575475850,54015021803195,,,,,,,
2021-01-14,547.54,552.93,543.35,550.86,27943414,796002229405,54294772488720,,,,,,,
2021-01-15,552.64,561.35,545.46,547.9,54000995,1358990609040,54381139433690,,,,,,,
2021-01-18,545.56,547.27,533.11,534.87,36535581,920052529860,53107049291400,,,,,,,
2021-01-19,537.04,554.25,537.04,553.07,25609528,646269467465,54800712133240,,,,,,,
2021-01-20,553.13,560.14,548.05,560.14,29812372,778571531160,55571845997380,,,,,,,
2021-01-21,562.75,581.59,561.51,580.55,65064162,1651143540675,57652518385830,,,,,,,
2021-01-22,581.29,585.47,574.34,576.84,55358603,1877156996120,57331564170360,,67.3418559188222,,,,,
2021-01-25,576.84,604.65,576.67,601.06,40150347,1352855971620,57655836924570,,75.14009799667447,,,,,
2021-01-26,601.22,604.53,588.53,591.17,31784162,914976885315,56389711655990,,67.99975021104494,,,,,
2021-01-27,591.4,595.61,581.04,586.02,24717647,674924243895,55908961436560,,64.55939954272749,,,,,
2021-01-28,581.24,581.31,568.32,570.5,31898155,753202970865,54390105724500,,55.45402816060004,,,,,
2021-01-29,573.12,576.13,544.06,553.67,29238734,807252589435,52741800011570,558.986,47.61194896975253,522.2625740160316,558.986,595.7094259839683,13.139300799650924,0.42762113204905317
2021-02-01,553.63,569.34,539.87,568.9,31735476,758020063645,54259313998000,560.372,53.957347849780454,524.3557150166761,560.372,596.3882849833238,12.854419915100642,0.6183908890651635
2021-02-02,571.4,583.96,571.2,578.68,25424538,682396198960,55307227732900,561.7104999999999,57.51592576817749,525.0673295722107,561.7104999999999,598.3536704277891,13.046995001086572,0.7315506518935222
2021-02-03,579.78,592.59,579.67,587.83,20007029,783359464135,56262110484930,564.0669999999999,60.58524395765568,527.0715002196212,564.0669999999999,601.0624997803786,13.117413279053284,0.8211606836110821
2021-02-04,589.73,604.15,588.14,602.32,53439680,1722768371665,57732117635050,566.4905000000001,64.90884304084767,526.2791262482865,566.4905000000001,606.7018737517137,14.196663051441675,0.9455144982266748
2021-02-05,603.0,605.08,593.61,600.69,33192051,971798478305,57586164751820,568.85,64.05758536779862,526.4842572353558,568.85,611.2157427646442,14.895224668944083,0.8757753071494795
2021-02-08,597.47,606.18,593.79,600.8,32576049,969898257400,57111227366590,571.637,64.09181013072146,528.5701407692643,571.637,614.7038592307356,15.067904712513588,0.838578207476843
2021-02-09,602.17,605.46,593.01,593.13,22068273,601989381590,56529285536350,574.2765,59.814901681689875,532.7629372644312,574.2765,615.7900627355689,14.457691629578722,0.7270763909146042
2021-02-10,593.67,601.81,591.63,599.74,29867725,699464754615,57172154075060,576.937,62.158517078113185,536.0619811743162,576.937,617.8120188256838,14.169664564998886,0.7789356513479051
2021-02-15,600.69,608.59,598.43,603.92,40497777,991820928685,57767470097800,579.5899999999999,63.6040688414037,538.9423924443269,579.5899999999999,620.237607555673,14.026331563923831,0.7992796066370748
2021-02-16,604.92,605.01,596.23,598.35,29314679,704116968460,57513091882660,582.1125,60.29857648656567,543.430304160053,582.1125,620.7946958399469,13.29028180633365,0.7098833797748324
2021-02-17,598.14,598.27,588.54,594.58,34359196,778252920910,57165517610110,585.098,58.097771454990145,552.7657191648963,585.098,617.4302808351036,11.051919792959023,0.6466336391230606
2021-02-18,594.02,597.49,588.34,591.47,29283300,730503221400,56797210507570,587.0179999999999,56.27312280808885,558.1459944582989,587.0179999999999,615.8900055417009,9.836838237226463,0.5770989045698594
2021-02-19,591.43,598.22,583.87,597.12,48314005,1028154688880,57348950997930,588.867,58.804420011779705,562.4881788739523,588.867,615.2458211260476,8.959177921686114,0.6564323128877553
2021-02-22,598.86,610.45,598.53,601.58,78685306,1182387893350,57762310756350,589.9185,60.73662584735833,563.2743792413783,589.9185,616.5626207586217,9.033153141873576,0.7188381464272285
2021-02-23,601.68,601.68,591.8,596.15,39301064,722125703140,57101972755370,590.884,57.21790835621248,564.8122279850406,590.884,616.9557720149594,8.824666775529336,0.6009904504568859
2021-02-24,597.35,600.76,580.66,581.0,41610050,895975595700,55386097969280,589.881,48.73454380685928,563.9090582936119,589.881,615.852941706388,8.805824126014592,0.32902703039304143
2021-02-25,582.69,597.44,582.58,597.12,37676013,783882399170,56935164338430,590.1785,56.179330350513325,564.0186825121042,590.1785,616.3383174878958,8.865052687583772,0.6326748553045499
2021-02-26,587.89,588.39,579.09,588.39,45993532,924951757940,56091996609110,590.297,51.792710931217535,564.1921919371159,590.297,616.4018080628841,8.844635179539825,0.4634741616294161
2021-03-02,592.52,600.74,581.24,584.66,30178190,645132821820,55777760796080,591.005,49.99644036000866,566.3589686764782,591.005,615.6510313235218,8.340379970904412,0.3712774499733665
2021-03-03,583.39,603.96,582.43,601.61,49635541,920449250510,57341645335190,593.402,57.25190787695398,575.2868907262468,593.402,611.5171092737532,6.105510016398059,0.7265512141263331
2021-03-04,601.26,601.43,589.28,596.84,37946838,765881497010,56759635656990,594.7990000000001,54.84034803954431,580.5636525859037,594.7990000000001,609.0343474140965,4.786607715916265,0.5716877481324714
2021-03-05,595.07,602.32,583.79,599.47,115235483,1346360570250,56866818690680,595.8385000000001,55.94227349089129,583.5616074371395,595.8385000000001,608.1153925628606,4.120879252636596,0.6478998036924178
2021-03-08,600.4,606.02,595.04,596.38,41927721,659896210100,56636071999620,596.2660000000001,54.26685353663178,584.551799387068,596.2660000000001,607.9802006129322,3.9291861729268915,0.5048658890079988
2021-03-09,595.67,605.83,581.18,581.6,108397799,1515227319760,55241225518080,595.2299999999999,47.01396375646268,582.244722182409,595.2299999999999,608.2152778175908,4.363112685043073,-0.024825120858621392
2021-03-10,583.83,593.97,582.75,588.43,38528975,673628985390,55633846831530,594.617,50.31843985410146,581.5632632169933,594.617,607.6707367830066,4.390636925283564,0.26301804981795596
2021-03-11,589.38,600.43,585.14,595.87,32451350,677494763320,56431218702540,594.3705,53.70538799104282,581.6102061554202,594.3705,607.1307938445798,4.293717082048921,0.5587564839126709
2021-03-12,597.76,610.97,596.24,607.81,47976756,767527879460,57707241580510,595.1045,58.58501778976392,581.0871415113253,595.1045,609.1218584886748,4.710889764293412,0.9532059307131676
2021-03-15,607.85,614.09,606.97,609.22,25949482,451386223980,57791775545850,595.5785,59.13282844623894,580.3752263064817,595.5785,610.7817736935182,5.105380296138364,0.9486369276446034
2021-03-16,610.05,620.03,610.05,617.49,25709802,518643293880,58488980968830,596.257,62.283984311096226,578.6103367460014,596.257,613.9036632539985,5.919146694797228,1.101615152235335
2021-03-17,618.4,620.88,612.23,618.89,21799149,457434889430,58417855092230,597.284,62.80682071306575,577.0661807308499,597.284,617.5018192691501,6.769918253008666,1.0343306246922497
2021-03-18,621.94,629.77,620.85,625.14,27441355,584772009970,58992848148820,598.812,65.13073179832658,575.2928566482531,598.812,622.331143351747,7.855267880986669,1.0597142635308694
2021-03-19,622.6,629.51,611.82,629.13,36590678,765983863750,59232919562920,600.695,66.56691619050393,574.0112487644631,600.695,627.378751235537,8.884292772717265,1.0328148907738781
2021-03-22,626.12,641.56,624.06,637.22,78072811,1212381067660,60005420769420,602.7,69.32561066248037,571.7128820313985,602.7,633.6871179686016,10.282766871943428,1.057005656914887
2021-03-23,638.58,650.77,630.87,634.89,75172212,1368742728440,59658228722660,604.3655,67.59564312091423,570.3641138664902,604.3655,638.3668861335098,11.251928223404464,0.9488714060088986
2021-03-24,634.15,640.09,622.93,635.46,49317880,1090430271970,64283160845030,606.331,67.80728687121685,569.9920925315575,606.331,642.6699074684425,11.986491691317934,0.9007963093730363
2021-03-25,634.8,640.93,630.58,638.22,35930590,770930203690,64571063334620,609.192,68.86759861809644,572.2755448072269,609.192,646.1084551927731,12.119809581469594,0.8931580083789116
2021-03-26,642.03,677.76,642.03,674.79,97476368,2447656999290,67691957487370,613.0755,78.82116351273515,566.8805732330916,613.0755,659.2704267669085,15.069898166509164,1.167979195111625
2021-03-29,674.8,675.88,649.02,655.61,75618969,1968149562480,66078322553710,616.4365,66.76466889403173,568.1793976108177,616.4365,664.6936023891824,15.656795919509102,0.9058832592565834
2021-03-30,655.46,657.2,640.57,641.37,48889998,1213029976180,65083706600020,619.272,59.48917872176248,572.1660090434345,619.272,666.3779909565656,15.213344364533034,0.7345561525324413
2021-03-31,645.61,650.56,642.39,644.62,45242567,1062087013600,65606586587000,621.4224999999999,60.54591256529225,573.8137743816845,621.4224999999999,669.0312256183153,15.322498177428521,0.7436265589839259
2021-04-01,644.93,646.02,631.72,636.52,39980982,899525383930,64954920949850,623.4064999999999,56.584258591187556,576.7634643890962,623.4064999999999,670.0495356109037,14.963923414627144,0.6405729690214941
2021-04-02,637.06,645.48,636.83,637.66,23253533,602483714220,64980711539200,625.316,57.010600091521525,579.6319846773509,625.316,671.0000153226491,14.611497330197558,0.63510195976447
2021-04-05,637.63,642.3,632.37,641.9,24845523,611459306850,65148699140730,627.5919999999999,58.637507285791635,583.3895572620693,627.5919999999999,671.7944427379305,14.086362712695703,0.661846259095114
2021-04-06,642.59,645.96,637.41,640.48,18970171,510247699990,64855260630170,630.5360000000001,57.84792687067463,591.4290351983175,630.5360000000001,669.6429648016826,12.404355913598138,0.6271384784069476
2021-04-07,640.22,646.5,639.26,646.34,23456277,643501695310,65262229261310,633.4315,60.2280100939293,598.9178903510508,633.4315,667.9451096489493,10.897345537425664,0.6870059395597442
2021-04-08,647.91,648.0,642.3,645.79,22744143,667056740832,65263829942060,635.9275,59.88622751938279,605.6844440201548,635.9275,666.1705559798452,9.511479211024893,0.6630539586768712
2021-04-09,646.34,648.09,641.54,641.92,16720528,501782386970,65025092638160,637.633,57.41719759819159,610.2090913799648,637.633,665.0569086200353,8.601784606516683,0.578161724854712
2021-04-12,642.1,644.32,635.41,638.12,15944688,429068577540,64599016414630,639.0780000000001,55.018553148699915,614.9469746591645,639.0780000000001,663.2090253408356,7.551824766565441,0.4801500353493286
2021-04-13,638.49,641.9,635.02,641.02,23377287,601773597520,65028876020310,640.2544999999999,56.511676328482885,618.2473261923515,640.2544999999999,662.2616738076483,6.874508123769043,0.5173920560334295
2021-04-14,641.51,642.15,638.18,641.38,18111189,497435306800,65048711014370,641.379,56.70380894389069,621.6756328765856,641.379,661.0823671234144,6.144063688837461,0.5000253763733303
2021-04-15,641.55,643.54,636.74,639.48,17840826,432112606660,64988393412920,642.096,55.314798392996614,623.8163245105378,642.096,660.3756754894622,5.693751554117202,0.4284451192389042
2021-04-16,639.71,650.93,639.71,647.73,38828042,800818832060,65718102752230,643.026,59.907246208329454,625.6072774291555,643.026,660.4447225708444,5.417735074738648,0.6350271232826694
2021-04-19,647.85,657.96,646.75,657.58,34063702,801042109020,66426548592150,644.044,64.58687806214215,625.7440421858397,644.044,662.3439578141603,5.682828444690202,0.8698369181355727
2021-04-20,657.87,664.69,656.29,663.85,25233357,655684979510,67161204021430,645.492,67.21047391060023,625.7892584648722,645.492,665.1947415351277,6.104720596112038,0.9658742532674914
