날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2022-01-03,1002.97,1005.17,993.42,999.57,3104887,183301233120,101663786871940,,,,,,,
2022-01-04,995.95,997.32,990.13,993.5,3974654,227371138510,101053758757240,,,,,,,
2022-01-05,988.83,990.39,975.8,981.33,4165387,290447786900,99783162811530,,,,,,,
2022-01-06,977.03,986.78,976.27,979.92,4267713,311319448030,99573494228200,,,,,,,
2022-01-07,977.72,989.29,976.36,986.98,3248111,244282930970,100310005713190,,,,,,,
2022-01-10,970.0,971.26,944.02,955.41,4031881,620028480380,97310925317370,,,,,,,
2022-01-11,952.85,959.43,947.16,951.46,3593909,356006875198,96822118865850,,,,,,,
2022-01-12,953.67,960.02,953.21,959.11,3362612,296697313656,97689448006210,,,,,,,
2022-01-13,958.57,969.52,957.46,965.37,4310040,322270699430,98328746617610,,,,,,,
2022-01-14,957.66,959.21,951.56,952.38,3948269,260539203900,96920371168300,,,,,,,
2022-01-17,951.9,953.71,941.03,944.82,2869533,225176340325,96139238741190,,,,,,,
2022-01-18,945.54,947.53,934.7,936.64,3455766,188715443320,95289363263720,,,,,,,
2022-01-19,935.81,943.69,929.72,938.51,3143691,208162698106,95445193816510,,,,,,,
2022-01-20,942.58,949.29,940.81,946.55,2819607,211214116090,96291353377110,,,,,,,
2022-01-21,943.98,954.03,941.16,950.24,2871758,249653322689,96578798293600,,34.22620123459789,,,,,
2022-01-24,952.4,954.18,936.49,939.72,3529854,285358907020,95636473860690,,29.582135180330372,,,,,
2022-01-25,938.76,939.06,915.78,922.44,5782281,340876325860,93719835640230,,23.856123337645332,,,,,
2022-01-26,923.38,932.63,920.89,926.31,3524269,228098849433,94044771552720,,27.25232711093877,,,,,
2022-01-27,926.31,933.86,897.1,897.62,6005454,370407086880,91044393042570,,20.096213112242083,,,,,
2022-01-28,906.46,926.48,902.3,925.09,4704496,363224502970,93975220893680,952.6485,37.12132063637079,901.7571344160428,952.6485,1003.5398655839572,10.684185317870583,0.22924188923034683
2022-02-03,934.73,945.73,934.66,935.66,3996772,239364365720,95206583729660,949.4530000000001,42.2226258956381,902.90751037963,949.4530000000001,995.9984896203702,9.80469588707815,0.3518331194655241
2022-02-04,936.73,959.38,934.92,956.76,4855752,290795724920,97449130627460,947.616,50.80304119995659,905.4777141307341,947.616,989.7542858692659,8.893536172725224,0.6084999046753975
2022-02-07,955.36,964.16,948.38,961.27,6246792,358688463378,97958214011760,946.6129999999999,52.42922454858583,906.8440336568829,946.6129999999999,986.381966343117,8.402370629416053,0.6842768538858034
2022-02-08,969.12,976.17,953.52,962.46,5777753,329017576350,98089666559610,945.74,52.871880660679366,908.231648929872,945.74,983.248351070128,7.932064007048029,0.7228836982028248
2022-02-09,965.95,969.73,960.3,966.72,4840648,278821308436,98489991704250,944.7270000000001,54.503981351692225,910.8056750848383,944.7270000000001,978.6483249151619,7.181190950435795,0.8241766065300378
2022-02-10,970.15,985.42,969.47,985.42,7151770,596303239040,100392532630340,946.2275,60.9044383819027,908.1485158355034,946.2275,984.3064841644965,8.048589618140785,1.0146211336769542
2022-02-11,973.28,981.2,969.18,971.0,5310752,348992154230,98891585267440,947.2044999999998,54.53342253620385,907.664008614586,947.2044999999998,986.7449913854136,8.348881658694363,0.8009004082430062
2022-02-14,962.25,966.7,954.63,962.12,8098304,295063705640,98012791510440,947.3550000000001,50.99568536972356,907.611999358378,947.3550000000001,987.0980006416223,8.390307887037528,0.6857559791866437
2022-02-15,962.94,973.63,957.2,964.78,5029256,327046450510,98194091118700,947.3254999999999,52.00019847027076,907.635190112069,947.3254999999999,987.0158098879308,8.379445056198927,0.7198836447647345
2022-02-16,970.87,976.21,967.1,974.29,3951274,247580092400,99284423865130,948.421,55.51138374961956,907.0588497174049,948.421,989.7831502825952,8.722318523650397,0.8127134327308578
2022-02-17,974.65,993.63,970.97,987.57,6456990,535602418190,100549255492110,950.5585000000001,59.920383774266355,905.8764314377682,950.5585000000001,995.2405685622319,9.401224345946483,0.9141650240347696
2022-02-18,981.76,1000.89,980.6,999.14,7620219,431949403000,101746280647250,953.6834999999999,63.330119107562986,904.7885897229577,953.6834999999999,1002.578410277042,10.253907145723332,0.9648387709726863
2022-02-21,988.01,999.3,984.34,997.79,5851906,309610043490,101709837327020,956.6475,62.66027383452595,904.6994421440993,956.6475,1008.5955578559008,10.860438741731043,0.895996517464864
2022-02-22,987.38,994.93,982.73,989.38,5825517,349403586840,100735689040570,958.7890000000001,58.50853231868626,905.1779187201004,958.7890000000001,1012.4000812798998,11.183082258953686,0.785304821966623
2022-02-23,992.9,994.15,977.03,983.14,5139654,330252126620,100236765388540,960.434,55.56664862069049,905.9610608834072,960.434,1014.9069391165928,11.34340082016938,0.7084154111034889
2022-02-24,974.86,977.3,961.76,971.75,8101639,456822584778,99115030435140,962.0355000000002,50.56848932628111,908.2132155910303,962.0355000000002,1015.85778440897,11.189251209330596,0.5902460765710349
2022-02-25,975.54,976.95,961.46,964.93,7081294,430234263310,98374098223540,964.1600000000001,47.79622389251103,913.4954246045619,964.1600000000001,1014.8245753954383,10.509578367789201,0.5075989978598459
2022-02-28,970.07,982.41,965.95,981.95,12405353,526808158180,100286139848980,966.942,54.50008866066523,918.8513208199338,966.942,1015.0326791800662,9.946962523101949,0.656038553165422
2022-03-02,982.06,986.01,977.32,981.19,7189980,374504317700,100179085321210,971.1205,54.165596781036534,934.7561336642577,971.1205,1007.4848663357423,7.489156358194943,0.6384528456653296
2022-03-03,985.25,995.26,982.77,995.03,8964319,373651795120,101576794907950,974.6175,59.089710804387245,943.5687873857855,974.6175,1005.6662126142144,6.371466265322431,0.828717332883151
2022-03-04,994.66,996.88,985.61,991.32,6758945,347958623042,101221631371240,977.4005,57.31222440085186,951.222273570387,977.4005,1003.578726429613,5.356704120698323,0.7658602567562454
2022-03-07,982.52,984.04,965.34,974.49,7566923,420093356830,99432125132770,978.287,49.968953254187575,953.819794111299,978.287,1002.7542058887011,5.002050704691174,0.42240634224291473
2022-03-08,965.84,970.39,960.0,961.77,6774829,372341853490,98069366186940,978.3120000000001,45.24997159291481,953.9134700442817,978.3120000000001,1002.7105299557186,4.987883202029303,0.16100416643907114
2022-03-10,976.68,980.65,965.35,972.99,12103643,583586158390,99406046860350,978.8385000000001,49.75722603996095,955.3952278094526,978.8385000000001,1002.2817721905475,4.790018412750912,0.3752627203134587
2022-03-11,965.91,973.0,961.22,971.54,8434747,469943011692,98626333496410,979.0795,49.193593441298034,956.0439470654579,979.0795,1002.1150529345422,4.705553110762124,0.33635079172129384
2022-03-14,967.3,967.3,942.53,944.11,7917403,535124938660,95877503814150,977.0140000000001,39.96971651377929,949.6259672849604,977.0140000000001,1004.4020327150398,5.606477023878814,-0.1007003194123436
2022-03-15,935.74,944.18,932.0,939.32,5044474,338600988621,95382327157440,975.4300000000001,38.60833328896925,943.5395312044479,975.4300000000001,1007.3204687955522,6.538750867935602,-0.06615661926293794
2022-03-16,942.25,949.4,937.63,948.46,4820138,331387943900,96362487535650,974.747,42.6241495020983,941.2032821977039,974.747,1008.2907178022961,6.882548559225338,0.10816806063458252
2022-03-17,958.27,959.02,949.01,949.92,7545340,510996482320,96442010657210,974.0040000000001,43.26259701752367,938.9842830394067,974.0040000000001,1009.0237169605936,7.19087744210361,0.15613656976295479
