날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2023-01-02,1467.03,1482.67,1446.16,1447.48,3418099,294271104650,133573342118950,,,,,,,
2023-01-03,1452.47,1453.59,1408.24,1435.69,4985377,418424853100,132479730012500,,,,,,,
2023-01-04,1421.19,1442.09,1400.07,1435.02,4236501,370997086939,132397940910050,,,,,,,
2023-01-05,1443.72,1446.29,1412.41,1420.38,7209601,529538631250,130692576211050,,,,,,,
2023-01-06,1411.34,1448.49,1404.31,1440.94,5393862,404542973710,132680672403250,,,,,,,
2023-01-09,1459.05,1495.32,1447.53,1493.8,5504115,520864160310,137712426989500,,,,,,,
2023-01-10,1497.83,1510.47,1485.83,1492.9,5019084,522062167860,137858864513850,,,,,,,
2023-01-11,1501.47,1524.12,1498.83,1520.5,8241594,624273872130,140075495084650,,,,,,,
2023-01-12,1535.87,1541.69,1528.88,1534.85,9964503,737376238799,141258565048100,,,,,,,
2023-01-13,1545.35,1560.75,1537.45,1547.69,5942207,523162536367,142666452646050,,,,,,,
2023-01-16,1549.03,1562.0,1544.78,1547.89,4594708,447862904050,142499517948000,,,,,,,
2023-01-17,1546.66,1556.42,1533.32,1538.72,4591795,470207938750,141060047628800,,,,,,,
2023-01-18,1542.76,1544.32,1518.14,1526.19,3743445,364820694448,139881898672800,,,,,,,
2023-01-19,1512.64,1537.97,1512.64,1535.0,3994412,387546969550,140925428639150,,,,,,,
2023-01-20,1532.47,1545.59,1522.5,1545.43,4247855,360234638050,141913243975450,,75.10233499132825,,,,,
2023-01-25,1563.63,1576.4,1561.81,1567.48,4403001,456222597820,144588711808410,,79.21306195224372,,,,,
2023-01-26,1570.58,1600.71,1557.68,1599.65,5632320,564258625300,148187299447890,,83.49470496301271,,,,,
2023-01-27,1609.54,1625.67,1593.91,1617.35,5996318,582416091810,149686564782550,,85.29001349881622,,,,,
2023-01-30,1615.27,1621.24,1584.9,1588.65,5042176,530506054660,147316208572160,,71.67608689411244,,,,,
2023-01-31,1587.05,1604.56,1576.54,1589.0,4923022,592528440560,147505363720860,1521.2305000000001,71.73533846133036,1404.843868211809,1521.2305000000001,1637.6171317881913,15.301643214252033,0.7911395362112195
2023-02-01,1594.1,1606.87,1585.26,1606.82,4873548,597504118400,148789526819860,1529.1975,74.6437505615314,1412.281970856092,1529.1975,1646.113029143908,15.291096034869021,0.8319597514905679
2023-02-02,1626.22,1634.55,1605.52,1608.1,7509895,782267773585,148554804641500,1537.818,74.84398599611141,1424.3791210210534,1537.818,1651.2568789789466,14.75322554150707,0.8097791543455032
2023-02-03,1596.0,1605.45,1588.87,1603.09,5620076,584259104550,148044210811260,1546.2215,72.43294549904316,1439.8048422297052,1546.2215,1652.638157770295,13.764736523233564,0.7671973598473323
2023-02-06,1591.38,1613.96,1582.68,1591.29,5470610,528058775840,146533871202340,1554.767,66.9615039930333,1463.8196521332254,1554.767,1645.7143478667747,11.699161079026585,0.7007920013978917
2023-02-07,1591.58,1605.89,1585.49,1592.49,8429719,902115612010,147322236922300,1562.3445000000002,67.23258043618269,1486.6144939323908,1562.3445000000002,1638.0745060676095,9.694405563895714,0.6990327319734195
2023-02-08,1600.61,1602.86,1590.93,1592.94,6642198,604594128560,147051542086530,1567.3015,67.34079682693601,1497.4137782528994,1567.3015,1637.1892217471006,8.918223040952952,0.6834263541511401
2023-02-09,1582.11,1613.57,1580.03,1600.75,7038995,700234344340,147827064133110,1572.694,69.23954249960616,1510.3672704531982,1572.694,1635.0207295468017,7.92611017105702,0.7250719731646799
2023-02-10,1592.12,1595.4,1579.03,1586.77,5597117,491233539750,146586835901070,1576.0075000000002,62.26167333678791,1518.2538151392039,1576.0075000000002,1633.7611848607964,7.329112946581318,0.5931758728983326
2023-02-13,1583.6,1600.45,1578.35,1587.87,4999282,495171109640,148111030566050,1578.6585,62.58121574405408,1523.916078323569,1578.6585,1633.400921676431,6.9353088937767,0.5841349333652684
2023-02-14,1597.05,1602.71,1579.63,1586.55,4519425,455156120180,148168863848470,1580.6015,61.90384039892414,1527.6649597749326,1580.6015,1633.5380402250673,6.69827786764309,0.5561851981137137
2023-02-15,1580.77,1581.08,1538.2,1543.35,8665059,844893004320,144540611092050,1580.3745000000001,44.80956727976107,1526.843223357273,1580.3745000000001,1633.9057766427272,6.774505238185899,0.15417880609213477
2023-02-16,1555.73,1597.23,1554.76,1590.32,15570204,951064647590,149591483961560,1582.9545,58.29447866741117,1532.837286400278,1582.9545,1633.0717135997222,6.332110442810853,0.5734827364787966
2023-02-17,1572.15,1597.66,1568.52,1580.62,8030681,647523913100,148005840504500,1585.676,55.290015613547524,1542.7952684763868,1585.676,1628.556731523613,5.408511136400263,0.4410457818657332
2023-02-20,1576.73,1577.03,1551.3,1564.52,10067255,746790326220,146112974820440,1587.152,50.62607975382873,1549.6560441647346,1587.152,1624.6479558352655,4.724935713185061,0.19820745336601947
2023-02-21,1566.97,1599.81,1563.93,1597.57,8474885,791291652680,149403438712550,1589.759,58.38627609054296,1557.3194747876885,1589.759,1622.1985252123116,4.081061998996268,0.620393254045461
