날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2021-01-04,3559.27,3758.37,3559.27,3735.91,61748252,5721977155732,717219054798700,,,,,,,
2021-01-05,3735.44,3808.06,3686.14,3808.06,55669804,5338932424816,728649788500500,,,,,,,
2021-01-06,3808.35,3902.43,3747.64,3769.3,74459924,6927320795630,717099999025600,,,,,,,
2021-01-07,3783.47,3972.1,3782.9,3899.2,64740606,6551975368524,729755601001000,,,,,,,
2021-01-08,3910.47,4057.72,3897.87,4045.72,93372763,9587920563852,771915177573200,,,,,,,
2021-01-11,4077.61,4176.82,3916.98,3988.18,128720997,12956030186164,778543584070100,,,,,,,
2021-01-12,3988.18,4007.78,3833.69,3968.63,80123039,7892250916770,773667591398200,,,,,,,
2021-01-13,3961.07,4053.03,3954.85,4022.59,59749595,6041379994800,773225285393500,,,,,,,
2021-01-14,4015.14,4076.6,3985.91,4052.55,53881805,5203399083240,774093640397200,,,,,,,
2021-01-15,4060.99,4118.14,3952.43,3956.57,52579487,5116809759757,758129986403700,,,,,,,
2021-01-18,3938.52,3955.85,3841.62,3882.29,63304605,6044160000700,738102211976500,,,,,,,
2021-01-19,3880.01,4013.32,3862.33,3988.07,57256007,5537503228750,755198342428200,,,,,,,
2021-01-20,4016.08,4094.7,3994.17,4094.7,54434465,5888562907274,762241552977100,,,,,,,
2021-01-21,4099.3,4213.44,4089.86,4206.7,79139337,7171543229550,774003982322900,,,,,,,
2021-01-22,4209.84,4253.7,4184.29,4184.35,59112882,6297857654970,764402664203100,,70.86932485263289,,,,,
2021-01-25,4190.8,4283.9,4175.22,4270.0,43513203,4451868325906,786067445206400,,74.31790004661528,,,,,
2021-01-26,4257.86,4282.69,4150.28,4174.85,56411818,5774146099758,763514279945400,,65.09806152286475,,,,,
2021-01-27,4179.32,4255.36,4126.52,4143.04,48319519,4656598104070,755797776133600,,62.314759296616984,,,,,
2021-01-28,4141.77,4141.77,3993.67,4046.07,52915210,5226722623180,737838502516200,,54.64469930325729,,,,,
2021-01-29,4064.12,4108.13,3884.82,3906.22,67326615,6610373399212,720217764596600,4007.15,45.87484789687605,3720.1506188856847,4007.15,4294.1493811143155,14.324364254610654,0.32416338389280597
2021-02-01,3906.45,3989.22,3823.88,3981.3,47117305,4474285916536,730859620784900,4019.4195,50.47057233751744,3760.2170709623842,4019.4195,4278.621929037616,12.897505674021621,0.4264677029811556
2021-02-02,4004.86,4110.12,3996.4,4038.45,42878425,4187147288827,743626962659100,4030.939,53.69365891293418,3790.537319398553,4030.939,4271.340680601446,11.927825283461088,0.515621770990138
2021-02-03,4047.9,4112.1,4016.43,4080.41,36623847,3675331181900,747150273582800,4046.4945,55.95967557774339,3837.631970045486,4046.4945,4255.357029954514,10.323134256305737,0.5811909632794983
2021-02-04,4083.11,4084.42,3954.09,3983.76,42127464,3884565058907,728290703368100,4050.7225,49.90217865808242,3850.7223949125273,4050.7225,4250.722605087472,9.874786786183085,0.3325938379614532
2021-02-05,3999.66,4056.37,3975.13,4047.23,30529356,3077989652200,738460872616400,4050.798,53.464657181728036,3850.8043657413064,4050.798,4250.791634258693,9.874283252766167,0.4910797160789015
2021-02-08,4044.41,4076.41,4006.41,4008.99,26011770,2570946341436,732727870913600,4051.8385000000003,51.10665116955806,3852.9453071275443,4051.8385000000003,4250.731692872457,9.817429439621357,0.3922826382814466
2021-02-09,4021.01,4093.65,4020.12,4028.14,40051541,3742296858448,732327251376700,4054.814,52.24258877389544,3859.2361877205904,4054.814,4250.391812279409,9.646697100257102,0.4318071930319669
2021-02-10,4029.5,4084.23,4007.35,4070.5,38419033,3734613727926,729010935362600,4057.2095,54.74709990296123,3862.096046186584,4057.2095,4252.322953813416,9.61811086232623,0.534058389465828
