날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2022-01-03,866.97,874.53,865.25,871.1,1192356,108956747750,45751647681100,,,,,,,
2022-01-04,870.6,897.46,869.01,896.43,3350846,177117183700,46736876673300,,,,,,,
2022-01-05,898.36,917.52,895.84,908.99,5418320,396626160500,47657580701950,,,,,,,
2022-01-06,908.73,937.7,904.97,927.75,5609138,463965190450,48750167868050,,,,,,,
2022-01-07,922.74,930.1,910.63,928.17,3354404,247613055850,48812203225650,,,,,,,
2022-01-10,928.36,936.98,921.5,924.1,2588345,163611247600,48719752573750,,,,,,,
2022-01-11,917.78,926.42,908.61,917.12,2203452,181256878600,48287036984500,,,,,,,
2022-01-12,922.19,938.05,920.54,936.81,1894355,180131124600,49341826233500,,,,,,,
2022-01-13,947.49,963.17,943.99,950.72,3396504,298452839450,49942746416100,,,,,,,
2022-01-14,942.53,945.23,932.22,932.82,2151384,168712303800,48916191749950,,,,,,,
2022-01-17,929.78,932.47,909.51,913.5,2279613,155330353750,48085469779000,,,,,,,
2022-01-18,915.73,915.73,892.71,897.21,2172167,167796309900,47315168193200,,,,,,,
2022-01-19,888.24,921.75,887.94,902.38,2216634,193036303750,47361802799750,,,,,,,
2022-01-20,908.3,920.74,900.3,903.82,2049397,188731028200,47412001596200,,,,,,,
2022-01-21,898.04,899.31,886.28,894.25,1819791,164821391950,47023982448750,,47.37314351037326,,,,,
2022-01-24,892.53,896.91,860.75,864.41,1692685,153653437800,45520198137850,,36.27555088509991,,,,,
2022-01-25,859.68,861.28,836.08,837.65,2706267,200972918733,44259666086100,,29.58276021744982,,,,,
2022-01-26,842.5,849.54,834.61,839.79,1561574,126331131890,44572666209950,,30.684142717687177,,,,,
2022-01-27,839.79,842.21,800.49,803.73,2665636,205840253020,42646469563550,,23.900502107989958,,,,,
2022-01-28,817.17,829.0,797.0,827.38,2267364,160869347120,43759097237160,893.9065,34.17846303740002,814.9221113462919,893.9065,972.8908886537082,17.67173382310301,0.07886298081211536
2022-02-03,843.58,854.62,839.1,846.82,1995331,158720077470,44492746566400,892.6925000000001,41.2075154798763,811.6243874340842,892.6925000000001,973.7606125659161,18.16260639938522,0.21707433078140664
2022-02-04,846.59,861.94,844.12,858.72,1570170,127775983510,45013611784950,890.807,45.07421497266137,808.4307242648102,890.807,973.1832757351898,18.494752675987005,0.305241255970662
2022-02-07,859.15,862.82,842.03,861.36,1639394,141643382300,45127170625250,888.4254999999999,45.92391474303114,805.5372288212618,888.4254999999999,971.3137711787381,18.65958849194179,0.33673504335953286
2022-02-08,870.59,877.68,845.66,852.8,1798380,168237902650,44674453592250,884.6780000000001,43.57030553392114,802.4658204643619,884.6780000000001,966.8901795356384,18.5857859098199,0.30612361708412483
2022-02-09,864.06,888.03,862.82,887.8,2917451,231698113200,46634899508850,882.6595000000001,53.9601357399218,802.8711320570472,882.6595000000001,962.4478679429529,18.079082124636475,0.5322133421984219
2022-02-10,887.84,889.93,877.78,881.68,1967593,159041979050,46327190087650,880.5385,52.1519647907685,803.0470942120029,880.5385,958.0299057879971,17.600912575201903,0.5073653328933204
2022-02-11,876.74,903.18,873.62,887.25,2384359,230847312800,47142926733400,879.0450000000001,53.673508120094674,803.2996145299925,879.0450000000001,954.7903854700077,17.23356266630436,0.5541617152588708
2022-02-14,879.16,881.26,863.63,871.81,2337073,155887139010,46368574449350,875.7949999999998,49.020099519388296,804.8145560735207,875.7949999999998,946.7754439264789,16.20937409473201,0.4719288878770079
2022-02-15,875.57,878.51,852.5,855.49,1987212,176610317240,45593537742930,871.0335000000001,44.616902073061695,808.5255535371699,871.0335000000001,933.5414464628303,14.35259297439885,0.37566780801827404
2022-02-16,865.82,866.99,854.86,864.99,1573552,125331924490,45903228841800,867.642,47.56925411517657,811.9192511087253,867.642,923.3647488912748,12.844640736911007,0.4762036147465142
2022-02-17,869.29,876.7,853.91,866.33,2000719,138102530650,46073197298550,865.2835000000001,47.99040743183809,813.6838130726547,865.2835000000001,916.8831869273455,11.926654542088313,0.5101405654018157
2022-02-18,860.3,872.4,851.23,870.99,1221095,115339226630,46173034493100,863.9724999999999,49.50931468600606,814.391199543073,863.9724999999999,913.5538004569268,11.477518198073874,0.5707676072967924
2022-02-21,858.24,867.74,853.69,867.32,1051980,84912211580,45986440405950,862.2194999999999,48.31264725687833,815.8166201432489,862.2194999999999,908.622379856751,10.763588588926844,0.5549588734120138
2022-02-22,857.28,861.39,847.84,856.68,1552006,113231849300,45491177563430,859.8625,44.92255692490255,817.5420279445033,859.8625,902.1829720554966,9.843544067917065,0.46239999407583815
2022-02-23,860.92,874.72,856.4,869.37,1953873,128457127300,45624434012600,858.6184999999999,49.476124340505855,819.0405933979565,858.6184999999999,898.1964066020433,9.218973642436872,0.6358270424470224
