날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2020-01-02,219.34,219.42,215.97,216.08,53168118,2459943932568,931921313173690,,,,,,,
2020-01-03,217.46,218.67,215.19,215.97,64351131,2926767590085,930919283410285,,,,,,,
2020-01-06,214.13,215.06,213.04,213.46,59676518,2454360145750,919461181649805,,,,,,,
2020-01-07,214.65,216.19,214.42,215.96,55335788,2638660278682,930304123300910,,,,,,,
2020-01-08,212.95,213.36,211.01,212.23,101028219,4357182665953,912571424085540,,,,,,,
2020-01-09,214.34,215.12,213.08,214.44,87689435,3938393081829,921988766954210,,,,,,,
2020-01-10,214.5,215.87,213.81,215.7,78157096,3538604225713,927775538791255,,,,,,,
2020-01-13,215.41,218.32,215.41,218.14,70323525,3312503086712,938502298010565,,,,,,,
2020-01-14,219.48,220.35,218.91,219.65,75213814,3601586128470,944536868648340,,,,,,,
2020-01-15,219.14,219.93,218.33,219.48,57465805,2683580950180,944522333514610,,,,,,,
2020-01-16,218.99,219.91,218.08,219.76,71325864,3051296733160,945076369151930,,,,,,,
2020-01-17,220.1,221.09,218.84,219.26,65516088,2763268915205,943303542926225,,,,,,,
2020-01-20,220.02,221.24,219.51,219.77,65508186,3234851407178,945165310620555,,,,,,,
2020-01-21,219.97,220.32,217.75,217.79,56489016,2741129978142,936606088164315,,,,,,,
2020-01-22,218.51,220.51,218.38,220.49,63994002,3223259668800,948193517337985,,62.57129382338951,,,,,
2020-01-23,219.59,220.19,218.48,219.1,71991658,3768261616939,944014581908070,,56.493070471203175,,,,,
2020-01-28,214.16,215.24,211.5,212.3,106508090,4833487191350,915040779006210,,37.36866630163203,,,,,
2020-01-29,213.33,213.95,211.59,213.08,69285619,3556836316701,918013924070055,,39.882652656462774,,,,,
2020-01-30,213.02,213.93,209.68,210.38,80713443,3838509597720,907212414578405,,34.691662412014615,,,,,
2020-01-31,211.52,211.72,207.65,207.65,81706418,3848569297387,894932154829345,216.03449999999998,30.38527659203106,208.98238974845114,216.03449999999998,223.08661025154882,6.528688937691748,-0.09446745023296431
2020-02-03,204.89,207.83,203.73,206.8,87068163,3986271107695,890205010713780,215.57049999999998,29.171100704876196,207.45102594067816,215.57049999999998,223.6899740593218,7.533010369528129,-0.04009040092508961
2020-02-04,207.48,210.49,207.39,209.86,83651654,4219141200507,903134265708370,215.26500000000001,38.671993957679476,206.77720994604604,215.26500000000001,223.752790053954,7.885898826055301,0.1816014554058083
2020-02-05,211.4,211.6,209.39,210.25,83361504,4291164976795,904149802157230,215.1045,39.78070275303744,206.36848380267068,215.1045,223.84051619732932,8.12257874412606,0.22215596386576833
2020-02-06,211.95,217.46,211.85,216.75,95488465,4671486051066,933215990651055,215.144,54.53373675123533,206.3857526867529,215.144,223.9022473132471,8.141753721458276,0.5916850108566171
2020-02-07,215.95,216.5,214.17,215.35,91710529,5119848288014,927269386565945,215.3,51.60144686983092,206.64437986046062,215.3,223.9556201395394,8.04052033398922,0.5028882968056546
2020-02-10,213.0,214.84,212.28,214.46,59116018,2777531519197,924660793459255,215.30100000000002,49.76934253463304,206.64577290881402,215.30100000000002,223.956227091186,8.040117873289944,0.4514166415774095
2020-02-11,215.73,218.15,215.63,217.39,67279773,3792846144840,936817464988335,215.3855,55.38535498706275,206.68346925999452,215.3855,224.0875307400055,8.080423928263958,0.6151742656334673
2020-02-12,217.1,219.16,216.46,218.77,97730211,3904530779174,942687684671015,215.417,57.7796474808228,206.67086462487572,215.417,224.16313537512428,8.120190491116562,0.6916846616356177
2020-02-13,218.88,220.03,217.46,217.76,96624969,4663726572807,938164152567645,215.3225,55.434827876897074,206.72171893081796,215.3225,223.92328106918202,7.9887434607921,0.6417022465979253
2020-02-14,217.43,219.34,216.72,218.06,67257079,3112578874313,938780501207130,215.2515,56.00592932450239,206.76650789629122,215.2515,223.73649210370877,7.883793705232044,0.6654980915522843
2020-02-17,218.23,218.91,216.76,218.32,75535598,3027618356957,939847684516610,215.17950000000002,56.525907332767076,206.82532864671788,215.17950000000002,223.53367135328216,7.764839451046349,0.6879599943066856
2020-02-18,216.86,217.97,215.38,215.9,68079157,3114919767314,929908880029680,215.01149999999998,50.53848678320342,206.85962837441608,215.01149999999998,223.1633716255839,7.582730807965071,0.5544966874362659
2020-02-19,217.47,217.79,214.19,215.84,71307581,3581717832180,928658118210615,214.815,50.39595606360886,206.9468884095356,214.815,222.6831115904644,7.325476889848842,0.5651363410530574
2020-02-20,216.77,217.28,213.22,214.38,75418055,3632536235235,921159717419325,214.64450000000002,46.92776954867478,206.89475039114166,214.64450000000002,222.3942496088584,7.221009258432772,0.48293493252364633
2020-02-21,211.65,213.32,210.92,211.22,86930911,3527463837297,906955959909560,214.18099999999998,40.44075435812631,206.78432804566808,214.18099999999998,221.5776719543319,6.906935679945381,0.2998424143803041
2020-02-24,206.59,207.25,203.08,203.14,107196705,4668225337859,871731580033860,213.38299999999998,29.29113271456709,204.91512163526184,213.38299999999998,221.85087836473812,7.93678818344305,-0.10481501733975059
2020-02-25,202.92,204.93,202.28,204.68,93140052,4407928756733,879065758358415,213.002,33.07819602017467,203.72632298966806,213.002,222.27767701033196,8.709474099146437,0.0514074072043295
2020-02-26,201.25,203.85,200.78,202.51,94067942,4128850328605,870426033751030,212.4735,30.591868246185538,202.13250725268603,212.4735,222.81449274731398,9.7339129324965,0.018252248915464016
2020-02-27,202.17,203.33,199.57,200.5,87289570,3738967039303,862086881058490,211.9795,28.458117253132166,200.41419070884828,211.9795,223.54480929115172,10.911724285746235,0.0037097707026896875
2020-02-28,196.77,197.84,192.75,193.7,172558588,5821233100958,832750719728700,211.282,22.691739769648613,197.32171834095027,211.282,225.24228165904975,13.214832933283235,-0.12971508847038574
2020-03-02,194.33,196.34,192.26,194.82,133319426,4333246716194,836595392867885,210.683,25.373880476122878,195.07415366210557,210.683,226.2918463378944,14.817376188771206,-0.008141333978301699
2020-03-03,199.1,199.4,194.95,195.4,116388946,4131502901084,839790421647235,209.95999999999998,26.79038650037172,192.9857925074541,209.95999999999998,226.93420749254585,16.16899170560666,0.07111399732818408
2020-03-04,195.1,199.56,195.06,198.96,183690949,4178727565550,854808263686615,209.3955,34.95186938800057,191.75939331513328,209.3955,227.03160668486672,16.844780986092555,0.20414388542584236
2020-03-05,200.99,202.17,199.27,201.76,125744716,4387414348062,867498646270630,208.64600000000002,40.564182797078445,191.04975903779447,208.64600000000002,226.24224096220556,16.867077214234197,0.30433320915557294
2020-03-06,199.05,199.56,196.47,197.27,122188875,3569869839032,848233360567795,207.74200000000002,35.30396662428682,189.7627679808063,207.74200000000002,225.72123201919374,17.30919315226937,0.2087751026067011
2020-03-09,191.42,191.99,187.98,188.39,152406247,4988918154495,812291392304115,206.43850000000003,27.663508096547524,186.88523912105708,206.43850000000003,225.99176087894298,18.943424679934168,0.03847851486918459
2020-03-10,187.48,189.92,186.66,189.37,140987666,5304712070972,815411665643230,205.0375,29.477443265305727,184.81972378697398,205.0375,225.255276213026,19.72105221047468,0.11253157036366711
2020-03-11,190.03,190.35,184.26,185.51,148499833,4508734726170,798533992759550,203.37449999999998,26.64343893225084,182.48803215596277,203.37449999999998,224.2609678440372,20.539908242220353,0.0723427212921487
2020-03-12,184.31,184.53,175.3,177.67,194319677,6729615776655,764772798736260,201.37,22.014046312532017,178.76627906737477,201.37,223.97372093262524,22.449938851492515,-0.024249969079039074
2020-03-13,166.41,174.84,162.34,171.64,239435726,7821770309855,736844348645005,199.049,19.244401500487886,174.34184727047653,199.049,223.75615272952348,24.825196539066734,-0.05467743086494976
2020-03-16,175.24,175.24,165.13,165.2,141711015,5021914105056,709641100889422,196.39299999999997,16.811698783151957,169.24336420133778,196.39299999999997,223.54263579866216,27.648272391238173,-0.07446442801890243
2020-03-17,157.81,165.58,157.73,161.47,165514762,5575956143396,693404051506234,193.67149999999998,15.583005450790763,164.0861142326993,193.67149999999998,223.25688576730067,30.552131591174437,-0.044212947792466414
2020-03-18,162.55,163.03,152.49,152.52,167890721,5535363664679,655733328561806,190.5055,13.107563442057572,157.70913527767146,190.5055,223.30186472232856,34.43088490603006,-0.07911143996606683
2020-03-19,156.12,156.26,137.17,139.32,246634161,7392643295913,597887279699507,186.7525,10.466695410102997,148.94702109812658,186.7525,224.5579789018734,40.48725334533504,-0.12732309413556367
2020-03-20,143.73,150.82,139.61,150.54,219618290,6386807016546,646844662974243,183.7185,24.40802060565087,144.53979492951566,183.7185,222.89720507048435,42.65080007781942,0.07657482629517329
2020-03-23,141.14,146.77,138.94,142.92,168601384,5968339995313,614361189290973,180.70749999999998,21.912515423452604,138.80080560638316,180.70749999999998,222.6141943936168,46.38069188452811,0.04914721207698327
2020-03-24,147.31,155.2,145.66,154.99,175932742,6127159848161,665897125744356,178.223,33.50898651360868,136.40408222347222,178.223,220.0419177765278,46.92875529704673,0.2222190191033558
2020-03-25,160.84,165.68,158.62,165.56,253370601,7662285805719,710706127668811,176.3755,41.67733367529298,135.7643254417581,176.3755,216.98667455824187,46.05081154496161,0.3668408373108108
2020-03-26,164.77,168.89,162.56,163.22,248654514,7245997526684,701090905838914,174.5115,40.49140217629002,135.09596180755625,174.5115,213.92703819244377,45.172424960468234,0.3567633410855636
2020-03-27,170.77,171.26,162.24,167.14,209201391,6444953025584,715838717347021,173.1835,43.39711784850045,134.66391522809482,173.1835,211.7030847719052,44.484127843478376,0.42155289269358975
2020-03-30,162.16,168.09,160.84,166.5,140432568,4497408867961,714355804312950,171.76749999999998,43.02771497284382,134.47079243753555,171.76749999999998,209.06420756246442,43.42696675734867,0.42938384720450207
2020-03-31,168.85,171.4,167.69,171.4,209789735,8648792276748,735077587767980,170.5675,46.76404494369474,134.8797935032245,170.5675,206.2552064967755,41.84584577574918,0.511663680321895
2020-04-01,169.58,172.07,163.48,163.54,201323385,6631429992613,702734765035695,168.7965,42.005256722628786,135.484085332192,168.7965,202.10891466780802,39.470504030365575,0.42110298739346985
2020-04-02,164.04,168.07,161.0,167.7,160168373,6550719085785,721054188179000,167.0935,45.18463419957629,137.41121351462306,167.0935,196.77578648537695,35.52775719627268,0.5102165309990316
