날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-02,1599.63,1607.43,1576.08,1587.51,3367915,218744483600,90056767272250,,,,,,,
2019-01-03,1591.47,1617.93,1582.22,1593.36,5546386,329806612096,90686950875300,,,,,,,
2019-01-04,1599.35,1630.4,1597.05,1620.59,4984144,298498271188,92276949738350,,,,,,,
2019-01-07,1634.38,1647.43,1631.69,1636.86,3513900,253028670330,93391862859500,,,,,,,
2019-01-08,1646.05,1646.85,1617.67,1621.04,3010662,207690375710,92486273611050,,,,,,,
2019-01-09,1625.37,1640.21,1618.78,1624.65,4513573,274988814901,92772607432150,,,,,,,
2019-01-10,1620.89,1638.24,1612.08,1619.24,7286008,324902456810,92393652309100,,,,,,,
2019-01-11,1622.35,1624.26,1613.52,1616.1,6360972,295318415550,92055896004950,,,,,,,
2019-01-14,1612.88,1616.95,1594.16,1601.36,3876149,229101963735,91130790955650,,,,,,,
2019-01-15,1605.43,1621.85,1599.48,1613.37,3550439,219780620600,92127114275850,,,,,,,
2019-01-16,1617.46,1621.04,1599.16,1603.56,3048401,201264034556,91675520834250,,,,,,,
2019-01-17,1603.46,1620.45,1599.08,1616.36,3283866,248649662110,92463540567700,,,,,,,
2019-01-18,1626.47,1634.99,1621.81,1628.72,3442343,240211351450,93160563386750,,,,,,,
2019-01-21,1629.62,1629.62,1587.79,1592.7,4607406,270200052620,90847420755000,,,,,,,
2019-01-22,1587.17,1604.13,1576.32,1601.18,3383417,233941583600,91264434128400,,49.00755606318429,,,,,
2019-01-23,1606.35,1628.83,1605.8,1615.9,4272123,237624071520,92272823882200,,54.8400540266687,,,,,
2019-01-24,1604.31,1613.21,1591.1,1602.08,4100462,260241021264,91455570483100,,49.155389659008115,,,,,
2019-01-25,1599.18,1613.48,1595.88,1603.16,3824675,273670127695,91528804673900,,49.59511347832765,,,,,
2019-01-28,1602.77,1621.29,1596.93,1614.1,3076476,222840641300,92252778131400,,53.94053770783785,,,,,
2019-01-29,1618.85,1625.84,1604.65,1609.37,5212116,263896715410,92168792029000,1611.0605,51.8588714448378,1586.121072199828,1611.0605,1635.9999278001721,3.0960262262245393,0.4661078831971339
2019-01-30,1609.32,1612.59,1574.21,1583.67,12889356,506567051702,90684098974700,1610.8685,42.30563159634853,1585.1595464818188,1610.8685,1636.5774535181813,3.191936960488241,-0.028969411002382997
2019-01-31,1592.8,1600.97,1575.51,1578.04,7375650,444022495402,90423940266550,1610.1025,40.543614807595056,1581.5922240455304,1610.1025,1638.6127759544695,3.5414237235790313,-0.06229725820969449
2019-02-01,1583.78,1597.23,1579.28,1580.71,5777701,312616327330,90393736417750,1608.1085,41.78200262500934,1577.3234716420466,1608.1085,1638.8935283579535,3.828725282896456,0.05500284616561898
