날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2022-01-03,2243.31,2270.38,2240.4,2264.49,4541632,330372636590,139003542790140,,,,,,,
2022-01-04,2254.53,2260.57,2213.92,2217.64,4226897,380587970810,135929126035190,,,,,,,
2022-01-05,2199.96,2200.24,2147.64,2153.27,5677153,524401520806,131805143272620,,,,,,,
2022-01-06,2120.01,2139.37,2072.66,2076.1,5970889,587125805710,127160256345750,,,,,,,
2022-01-07,2081.95,2127.07,2081.62,2112.25,3733612,369059683320,129168064481800,,,,,,,
2022-01-10,2122.14,2136.37,2092.72,2106.64,3615722,381266007660,128873937386020,,,,,,,
2022-01-11,2123.86,2155.25,2123.49,2133.46,5274959,520862297620,130337497897060,,,,,,,
2022-01-12,2156.32,2183.68,2142.28,2165.48,4723199,540351669720,132558579291960,,,,,,,
2022-01-13,2166.43,2166.43,2127.74,2138.15,3603929,385581560870,131566067986440,,,,,,,
2022-01-14,2099.72,2104.68,2060.11,2065.29,10980896,1042419802380,126779126680830,,,,,,,
2022-01-17,2048.38,2061.41,1992.1,1996.92,8427862,786014798550,122371236063180,,,,,,,
2022-01-18,2010.85,2024.81,1940.98,1947.71,11715990,747212345495,119396851747120,,,,,,,
2022-01-19,1926.29,1980.24,1918.42,1957.49,5479120,512296994060,120634580417395,,,,,,,
2022-01-20,1957.04,1973.47,1938.8,1972.71,4273779,323464385570,121120635665650,,,,,,,
2022-01-21,1976.63,1994.36,1949.64,1958.25,6033702,368024453955,120814727372280,,22.493990986018016,,,,,
2022-01-24,1949.27,1963.33,1932.25,1939.95,5678994,358326293835,119790180093440,,21.21741037996778,,,,,
2022-01-25,1944.02,1947.31,1860.31,1861.86,6044546,430249948320,114997409607025,,16.828504518445186,,,,,
2022-01-26,1862.09,1879.69,1833.46,1833.46,4029294,335932236710,112643916830665,,15.56730196996966,,,,,
2022-01-27,1833.46,1840.68,1739.59,1740.42,5946573,514463683505,106532785982415,,12.311924789532236,,,,,
2022-01-28,1743.23,1812.31,1741.64,1803.32,4935743,429734977955,110294438536425,2022.243,23.898308381969915,1741.9741140993353,2022.243,2302.5118859006648,27.718616002198026,0.10944112776472685
2022-02-03,1829.31,1897.05,1829.31,1871.63,4846927,383525821235,114710279317750,2002.6,34.08452839605412,1738.38911460729,2002.6,2266.81088539271,26.386785717837824,0.25214874321825814
2022-02-04,1867.4,1900.47,1860.02,1885.64,3079134,254029044160,115350625452700,1986.0,35.97727057469311,1736.6154777056126,1986.0,2235.3845222943874,25.114251993392482,0.29878462569234876
2022-02-07,1889.13,1891.55,1852.79,1869.48,3319427,252866988215,114269812023710,1971.8105,34.73819099509063,1729.9287027952503,1971.8105,2213.6922972047496,24.53398003558148,0.2884700271319331
2022-02-08,1897.15,1939.62,1870.52,1916.74,9363520,523627057495,117962150670905,1963.8425,41.12440331371118,1725.7581877175658,1963.8425,2201.926812282434,24.24678275191969,0.4010802107277793
2022-02-09,1926.65,1927.51,1885.3,1891.38,4719581,353379224270,115574079254705,1952.7990000000002,38.923330285429834,1722.9261878712066,1952.7990000000002,2182.6718121287936,23.54290555544052,0.3664065588461413
2022-02-10,1899.96,1925.43,1887.7,1892.2,24214471,566096850810,115639511828210,1942.077,39.03694924838762,1722.1163177770181,1942.077,2162.037682222982,22.652107225715753,0.38662291938738874
2022-02-11,1875.23,1875.8,1846.48,1848.11,6553458,313493960975,112722178505445,1927.8095,35.2408877281425,1722.8487125820172,1927.8095,2132.7702874179827,21.263593463771468,0.3055737855908348
2022-02-14,1817.74,1865.25,1817.74,1849.53,4733845,289627114575,113502948470585,1912.012,35.458572908985545,1736.117818561274,1912.012,2087.906181438726,18.398857479840718,0.32238753013621996
2022-02-15,1849.11,1851.15,1779.51,1787.21,5379408,371176836945,109448815616600,1894.4649999999997,30.597446197358117,1744.1499872434576,1894.4649999999997,2044.7800127565417,15.86886142066938,0.14323257526606678
2022-02-16,1816.18,1864.79,1813.66,1851.15,4380936,296345424660,112862708309740,1883.7580000000003,39.727343509261566,1754.6261085711228,1883.7580000000003,2012.8898914288777,13.710029783961362,0.3737414915897835
2022-02-17,1855.49,1865.92,1809.73,1842.79,4537266,331203442580,112780085433560,1876.0515,39.00486072690145,1756.8372702663,1876.0515,1995.2657297337,12.709057265613444,0.3604969386863489
2022-02-18,1824.51,1856.61,1817.36,1851.61,2926468,223875755875,112969079949760,1871.2465,40.23966462922539,1756.3022973145257,1871.2465,1986.1907026854742,12.28530850269852,0.41458246896656414
2022-02-21,1827.55,1878.58,1822.0,1874.2,3296897,219085184730,114485476760485,1867.0819999999999,43.40012650377697,1759.1146259280174,1867.0819999999999,1975.0493740719824,11.5653596437631,0.5329636617597764
2022-02-22,1847.51,1882.24,1840.64,1875.71,23896185,532169895300,114871686232595,1862.232,43.61478504310522,1765.5557492245414,1862.232,1958.9082507754586,10.382836378652991,0.5697068819482058
2022-02-23,1890.72,1896.32,1866.72,1869.15,6534073,248751327935,114207659646180,1857.777,42.85438944040593,1771.5645308090568,1857.777,1943.9894691909433,9.281250568926543,0.5659591362289551
2022-02-24,1846.13,1847.06,1800.7,1809.53,8050092,388531875340,110781284382635,1851.2559999999999,36.6076851989498,1771.3963086908084,1851.2559999999999,1931.1156913091913,8.627622685267891,0.2387543119942074
2022-02-25,1835.46,1855.94,1824.62,1855.85,9899783,413016943185,113136702882050,1850.9555,43.49858901486569,1771.2125310372173,1850.9555,1930.6984689627827,8.616411249517634,0.5306892260450211
2022-02-28,1849.07,1906.58,1838.05,1906.25,23927618,876799295715,115419834459940,1854.5949999999998,49.88235426699224,1771.7926141648118,1854.5949999999998,1937.3973858351878,8.929430504793558,0.8119173407805883
2022-03-02,1910.7,1925.28,1898.73,1898.73,16129634,695723684725,114610354561970,1862.5104999999999,48.99290175650438,1796.268458523311,1862.5104999999999,1928.7525414766887,7.113199251943963,0.7733875586605079
2022-03-03,1903.49,1960.65,1900.55,1951.46,8780187,524178440075,118217683232450,1869.9175,55.04589012878249,1798.8523670936347,1869.9175,1940.9826329063653,7.600884307074008,1.073716650241403
2022-03-04,1949.21,1954.74,1921.31,1933.19,17875701,776197273670,116596760342020,1872.9955000000002,52.71182621481751,1796.7560607379007,1872.9955000000002,1949.2349392620997,8.140910030173536,0.89477270939166
2022-03-07,1911.16,1932.82,1892.55,1914.41,14806528,687002310380,115340717848975,1874.434,50.348539329692414,1796.2340610230458,1874.434,1952.6339389769541,8.343845553052727,0.755601222475258
2022-03-08,1906.42,1979.37,1892.2,1953.72,23469551,1176342100215,117026320609200,1878.646,54.905965236242245,1793.2257903538082,1878.646,1964.0662096461917,9.09380582038253,0.9394393335661114
2022-03-10,1989.69,1995.5,1958.45,1994.08,18422941,1005547854050,119797477002860,1882.5130000000001,59.0608519355409,1784.4743924823524,1882.5130000000001,1980.5516075176479,10.415716387366007,1.068995229659483
2022-03-11,1981.33,2026.53,1974.36,1981.9,8807966,556421052980,119120816273040,1887.039,57.3437080922354,1779.850100033635,1887.039,1994.227899966365,11.360538914814686,0.9424945121638844
2022-03-14,1994.47,2001.71,1964.18,1969.41,11498511,699403202170,119947665216020,1890.8995,55.55981989326299,1777.8441348951126,1890.8995,2003.9548651048874,11.95783965302095,0.8472214694418163
2022-03-15,1971.65,1986.01,1949.53,1981.16,7828191,475234308410,120459505185340,1897.5520000000001,56.91763763940033,1779.7908185181577,1897.5520000000001,2015.3131814818425,12.411905600673121,0.8549896449234057
2022-03-16,1997.31,2014.24,1988.66,2010.54,5376136,304157748730,122379738572640,1905.6025000000002,60.192751745290636,1780.3009086493737,1905.6025000000002,2030.9040913506267,13.15086345138889,0.9187396938413867
2022-03-17,2037.98,2054.66,2021.04,2024.22,8482412,487616862030,122614712877120,1917.4530000000002,61.65446024042237,1794.3700326812057,1917.4530000000002,2040.5359673187947,12.838173068001618,0.9337196377605397
2022-03-18,2036.33,2061.07,2028.32,2056.64,6955606,508234766240,124651603887400,1927.7275000000002,64.94010648829499,1794.6014616941923,1927.7275000000002,2060.8535383058083,13.81170713244564,0.9841746274454235
2022-03-21,2058.23,2059.97,2020.31,2024.42,5767135,453658273800,123254628751600,1936.809,59.484914976855556,1803.3187020903786,1936.809,2070.2992979096216,13.784559851758383,0.8281549347478282
2022-03-22,2000.74,2005.84,1987.39,1999.35,6967535,857842211040,121736253619820,1944.196,55.57312688744017,1814.073404052949,1944.196,2074.318595947051,13.38574875650923,0.7119309086887681
2022-03-23,2003.59,2020.31,2003.59,2017.1,4769307,392631745250,122703398444710,1951.341,57.694392805612516,1821.6845442563713,1951.341,2080.9974557436285,13.2889593098929,0.7535893782644582
2022-03-24,2000.92,2008.67,1978.56,2005.06,3517262,320712521620,121743019960980,1957.8085000000003,55.74990029491693,1831.0148927045238,1957.8085000000003,2084.602107295477,12.952605660408201,0.6863323435931828
2022-03-25,2004.38,2012.32,1990.71,2005.19,6990266,419387940370,121268032518180,1964.6105,55.76723507370081,1843.0848425485813,1964.6105,2086.1361574514185,12.371475918653456,0.666958570111922
2022-03-28,1999.69,2006.61,1985.2,1996.68,4191556,267912443320,121166863083450,1973.968,54.2685070918868,1874.902706057068,1973.968,2073.0332939429322,10.037173241200682,0.6146314672678583
2022-03-29,2005.67,2009.83,1995.89,2004.75,10332764,263780068160,121960881977930,1981.413,55.490106780716424,1897.798681345839,1981.413,2065.027318654161,8.439867776597904,0.6395514570687636
2022-03-30,2015.05,2040.97,2013.21,2032.71,8657395,436746654400,124002734955120,1987.736,59.52429597237765,1908.8194992159463,1987.736,2066.652500784054,7.940340244786423,0.7849467446805964
2022-03-31,2038.99,2045.89,2006.46,2012.16,4452594,307495181520,122391207553850,1993.4075,55.53988585278885,1925.333693032859,1993.4075,2061.481306967141,6.829893733934579,0.6377365306530598
2022-04-01,2006.98,2006.98,1981.94,1989.72,3355209,217757737390,120981893493570,1995.3205000000003,51.48701131616594,1929.9736875375734,1995.3205000000003,2060.667312462427,6.5500066242417585,0.4571478715720035
2022-04-04,1978.56,2002.45,1967.84,1999.13,2901278,205096218610,121355594544850,1998.6174999999998,53.034710780078306,1939.8162439334874,1998.6174999999998,2057.4187560665123,5.884193055100583,0.5043579001052338
2022-04-05,1999.67,2010.56,1988.31,1996.08,2808495,168312805810,121195159506910,2002.7010000000002,52.45062827825396,1958.2713365306515,2002.7010000000002,2047.130663469349,4.436974213259864,0.4254889697221313
2022-04-06,1991.5,1991.62,1964.79,1969.32,2914828,244762524160,119784834921760,2003.4810000000002,47.5070335866887,1962.0733683845651,2003.4810000000002,2044.8886316154353,4.1335686852468365,0.08750357521937521
2022-04-07,1952.71,1964.16,1936.36,1936.4,3344933,229155509645,118298168913335,2000.5970000000002,42.23343608356215,1949.9648117794663,2000.5970000000002,2051.229188220534,5.0617079022445655,-0.1339544295457198
2022-04-08,1945.72,1958.67,1931.82,1952.18,2973062,210081305625,118472511227775,1999.111,45.364253927779295,1944.762942849817,1999.111,2053.459057150183,5.437222560446426,0.06823663566930441
2022-04-11,1939.86,1948.81,1921.14,1928.67,2377845,167311947415,117111536403955,1997.074,41.73504120140649,1935.8116881272053,1997.074,2058.336311872795,6.1352069951133235,-0.05828777847981232
2022-04-12,1918.49,1937.21,1895.16,1905.47,3164187,210727907560,115608841017740,1993.2895,38.46478345306888,1920.327944513569,1993.2895,2066.251055486431,7.320718389017857,-0.1018203656330504
2022-04-13,1911.33,1959.34,1907.22,1959.3,9590443,465273638470,118535546653355,1990.7274999999997,48.54034160531207,1916.7770133552212,1990.7274999999997,2064.6779866447782,7.429493654433216,0.2875098499962419
2022-04-14,1957.04,1977.57,1940.34,1970.82,4904845,342061314685,120456216680740,1988.0574999999997,50.41161867361905,1915.2902609772116,1988.0574999999997,2060.8247390227875,7.320436056078659,0.38155727610744256
2022-04-15,1951.2,1965.39,1925.76,1956.4,3401752,273045877870,119354444864795,1983.0454999999997,48.05594161433107,1916.304822006743,1983.0454999999997,2049.7861779932564,6.731129264886426,0.3003803617136476
2022-04-18,1951.12,1962.64,1934.55,1949.61,3531068,227272086335,118901038196510,1979.3049999999998,46.94356869015944,1913.886581951261,1979.3049999999998,2044.7234180487387,6.61024127648229,0.27303792352578615
2022-04-19,1948.39,1970.67,1946.18,1961.22,2260416,169605061265,119302310319160,1977.3985,49.11257551137487,1912.2058356043829,1977.3985,2042.5911643956172,6.593781111457013,0.3759177880672135
2022-04-20,1956.8,1961.6,1939.38,1939.38,2398852,181256652005,117497608059510,1973.5125,45.356234815007205,1908.9871642395442,1973.5125,2038.037835760456,6.5391362619143125,0.23551086873291457
2022-04-21,1953.81,1961.89,1939.19,1940.9,2318712,167216042890,117500914158970,1970.3044999999997,45.667697492892835,1905.9926039076004,1970.3044999999997,2034.616396092399,6.528117465335878,0.2713914393244364
2022-04-22,1930.29,1931.51,1910.09,1921.45,2906874,191160988475,116833828596210,1966.1175000000003,42.34189546679164,1900.544266779428,1966.1175000000003,2031.6907332205726,6.67032699933471,0.15940752189426363
2022-04-25,1909.81,1935.62,1898.34,1905.34,5185181,530944066645,115986058593805,1961.5505,39.75913112906477,1892.4969948101868,1961.5505,2030.6040051898133,7.040706338155783,0.09299314462394362
2022-04-26,1925.16,1962.34,1924.28,1952.77,3583477,404628614640,119039722716590,1958.9515,49.521650325475136,1892.7431360948287,1958.9515,2025.159863905171,6.759571526418204,0.4533178314989512
2022-04-27,1938.36,1977.11,1916.58,1971.31,4044733,408878657350,120275628409600,1955.8815000000002,52.74536346430708,1898.5375282941654,1955.8815000000002,2013.225471705835,5.863747032305867,0.6345259104055911
2022-04-28,1983.68,2002.32,1968.27,2002.32,2877261,307230403430,126914502473215,1955.3895,57.62046986420826,1899.8447812681568,1955.3895,2010.9342187318432,5.681192287454055,0.9224569056382238
2022-04-29,1997.94,2014.61,1989.04,2010.97,2571258,265293142705,127371470825260,1956.452,58.894383147316695,1897.6062533057864,1956.452,2015.2977466942136,6.015557416610643,0.9632280416399308
2022-05-02,2001.75,2008.62,1991.58,1998.87,2156351,192785878000,126698777739690,1956.4389999999999,56.34298898562011,1897.6308693036449,1956.4389999999999,2015.2471306963548,6.011752034830114,0.8607579385500684
2022-05-03,1997.98,2010.31,1978.5,1979.74,2393472,192120979845,125691240969150,1955.622,52.4726337641588,1898.6129496307863,1955.622,2012.6310503692139,5.830272963713213,0.7115278174588241
2022-05-04,1982.21,1987.5,1934.6,1945.15,2455113,191969193855,123326877446625,1954.4134999999999,46.28189658562427,1897.5927691792901,1954.4134999999999,2011.2342308207096,5.814606870113182,0.4184848569685813
2022-05-06,1923.78,1923.78,1902.03,1906.61,2602537,221780702070,120772046871290,1952.9239999999998,40.54250433460829,1892.8252587819045,1952.9239999999998,2013.022741218095,6.1547444977987125,0.11468410933992182
2022-05-09,1897.0,1907.93,1873.97,1885.4,2656253,173751678455,119898293651095,1949.5849999999998,37.766767934337196,1882.6592917855955,1949.5849999999998,2016.510708214404,6.86563634972615,0.020475750556306196
2022-05-10,1877.56,1880.2,1836.84,1868.93,3156873,243387693275,118955820660030,1946.598,35.7215679698134,1871.385500347352,1946.598,2021.8104996526479,7.727584190741789,-0.016323751761290677
2022-05-11,1858.49,1883.35,1854.26,1872.05,2205556,163515722100,118960761379770,1944.9270000000001,36.42393685864924,1864.8087778280149,1944.9270000000001,2025.0452221719854,8.23868681672734,0.045190856559702335
2022-05-12,1854.14,1870.76,1820.63,1827.79,3228422,241954667875,116495780770160,1938.3515,31.21339900721763,1843.7529828287484,1938.3515,2032.9500171712516,9.760718545759284,-0.08437226769554239
2022-05-13,1835.52,1840.47,1811.19,1832.49,3692362,350703453420,115974346810905,1931.4350000000002,32.32059206288823,1827.5696145243778,1931.4350000000002,2035.3003854756225,10.755255597586494,0.02368635832376048
2022-05-16,1843.53,1858.68,1819.92,1821.08,3194350,258876427325,114701624275635,1924.6690000000003,31.015414605156284,1811.0208665529453,1924.6690000000003,2038.3171334470553,11.809628922901025,0.04425560342238625
