날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2020-01-02,1815.25,1826.39,1810.41,1826.39,391593186,887843054777,66170439754939,,,,,,,
2020-01-03,1831.25,1833.67,1821.75,1826.83,511063241,1327400828474,66188095836543,,,,,,,
2020-01-06,1812.42,1812.42,1792.11,1798.18,470154956,1274759251676,65151111191508,,,,,,,
2020-01-07,1804.14,1810.26,1799.84,1802.32,461188570,1316193687835,65301886223467,,,,,,,
2020-01-08,1795.48,1795.48,1741.07,1748.22,720703130,2143161698423,63359211232432,,,,,,,
2020-01-09,1772.86,1781.47,1770.76,1780.71,434127726,1192156627694,64548434693152,,,,,,,
2020-01-10,1787.4,1798.47,1786.11,1797.88,420524902,1086787096493,65182531322150,,,,,,,
2020-01-13,1800.53,1815.38,1799.08,1815.16,339498164,1326044333168,65819981627771,,,,,,,
2020-01-14,1822.16,1822.16,1811.12,1817.29,687905601,1853778923539,65924595556446,,,,,,,
2020-01-15,1820.53,1831.22,1819.39,1831.1,638339457,1774314955104,66463956943160,,,,,,,
2020-01-16,1837.08,1840.1,1830.4,1836.33,689163690,1725043479303,66653058341491,,,,,,,
2020-01-17,1842.1,1844.51,1832.76,1836.3,469211331,1174174297644,66659242614997,,,,,,,
2020-01-20,1840.48,1840.57,1821.47,1825.18,430925628,1193780711202,66409747705482,,,,,,,
2020-01-21,1825.6,1831.37,1811.49,1813.6,653280467,1322838853094,65982300612359,,,,,,,
2020-01-22,1814.01,1831.49,1813.6,1831.49,489060457,1511342005604,66661602578386,,55.117141008661704,,,,,
2020-01-23,1834.66,1834.66,1821.68,1827.25,382211384,1390375446268,66507681298563,,53.233626922979184,,,,,
2020-01-28,1785.95,1789.33,1772.76,1788.46,612850834,1605241545434,65084059733662,,39.825178456279495,,,,,
2020-01-29,1797.35,1798.27,1784.87,1794.28,562045977,1382308090032,65307652207516,,42.17843982198191,,,,,
2020-01-30,1794.58,1798.03,1754.4,1760.63,453175079,1089380668829,64074923668781,,33.91908307885198,,,,,
2020-01-31,1765.58,1771.36,1729.18,1730.31,559643025,1467960953036,62992413034883,1804.3955,28.503107093564964,1745.479235870305,1804.3955,1863.3117641296951,6.530304928126348,-0.12873555455682303
2020-02-03,1702.03,1727.45,1693.72,1726.26,680364251,1854393398772,62858202941060,1799.389,27.86311760068191,1732.3431524328314,1799.389,1866.4348475671684,7.452068181718183,-0.04536561661583241
2020-02-04,1735.29,1752.26,1734.02,1752.26,481052653,1388948698285,63799599222005,1795.6605,37.5564138167075,1726.8624937861568,1795.6605,1864.458506213843,7.662696396545239,0.1845802488439906
2020-02-05,1761.8,1767.5,1749.65,1755.99,404937792,1307733582076,63938925312520,1793.551,38.826398067631075,1722.6366443588463,1793.551,1864.4653556411536,7.907704396602454,0.2351664577616059
2020-02-06,1764.68,1784.62,1764.35,1784.62,492053560,1535708110780,64983989560503,1792.666,47.630518453069215,1721.7696925080013,1792.666,1863.5623074919986,7.9095947033076595,0.4432551547137478
2020-02-07,1787.26,1789.36,1778.25,1784.95,609929155,1653538083018,65034536287759,1794.5024999999998,47.72390886720308,1726.4612372618642,1794.5024999999998,1862.5437627381355,7.583300969280971,0.42980362492122137
2020-02-10,1783.12,1786.8,1778.97,1786.8,490425208,1227514775339,65101750974962,1794.807,48.28073402808175,1726.961133184106,1794.807,1862.652866815894,7.560240941326164,0.4409912469559288
2020-02-11,1790.87,1794.32,1785.84,1793.44,384779243,1200902578361,65343455655895,1794.5850000000003,50.325891986366756,1726.751751662625,1794.5850000000003,1862.4182483373754,7.559769900826669,0.49156018598500956
2020-02-12,1797.56,1798.3,1784.89,1794.79,469866362,1305167013222,65392720817981,1793.5664999999997,50.752285857637,1726.391039517767,1793.5664999999997,1860.7419604822323,7.490713110691204,0.5091067481429762
2020-02-13,1795.5,1798.61,1779.09,1786.37,464028313,1195298375123,65087066664270,1792.0204999999999,47.98563034388983,1725.682132074643,1792.0204999999999,1858.3588679253567,7.403751009026606,0.45741152385330125
2020-02-14,1790.23,1791.61,1784.26,1789.8,469824785,1503716425694,65212440914703,1789.9555,49.20048891995822,1726.0863617640725,1789.9555,1853.8246382359275,7.136393975819789,0.49878266715118597
2020-02-17,1792.55,1792.55,1780.32,1786.26,335045357,1419808640842,65074688413149,1787.4519999999998,47.95558620646089,1727.229003860651,1787.4519999999998,1847.6749961393487,6.738418278012376,0.49010344821402085
2020-02-18,1786.52,1786.8,1764.5,1767.37,297382345,1112777638366,64386267269126,1784.0055,41.86779849536532,1727.589830731613,1784.0055,1840.421169268387,6.324607101086526,0.35256312460940786
2020-02-19,1771.46,1774.85,1749.57,1769.79,412844306,1405916116724,64471201243202,1781.236,42.86840820175129,1727.818817221422,1781.236,1834.6531827785782,5.997765908456609,0.3928621896118571
2020-02-20,1774.21,1775.71,1753.99,1759.81,550527365,2116810059886,64118381100224,1778.5465,39.82406645080465,1726.519672583752,1778.5465,1830.5733274162478,5.850488296622877,0.31993424421120287
2020-02-21,1751.46,1759.61,1734.87,1738.72,454051252,1715818673664,63352142495521,1773.908,34.283305024113325,1725.149870175323,1773.908,1822.6661298246768,5.497255756744642,0.13915761200718826
2020-02-24,1716.61,1716.61,1676.87,1676.97,735520267,2090842229102,61103355585580,1766.3939999999998,23.82934194847331,1707.5566324858082,1766.3939999999998,1825.2313675141913,6.661862247515737,-0.2599252293062798
2020-02-25,1669.24,1699.77,1665.53,1699.77,1353180467,2171076289761,61950234302882,1761.9594999999997,32.06628752185129,1697.3565089005153,1761.9594999999997,1826.562491099484,7.333084682080874,0.018679406776754556
2020-02-26,1681.18,1694.99,1678.85,1689.1,593329811,1204714946843,61572165082766,1756.7004999999997,30.409010774169737,1686.588471509875,1756.7004999999997,1826.8125284901244,7.9822403978509335,0.01791082460607045
2020-02-27,1689.97,1695.41,1648.71,1655.83,366854619,1031292106523,60361448942836,1751.4605,25.912031530872092,1668.7698143153348,1751.4605,1834.151185684665,9.44248365117742,-0.07824227244093654
2020-02-28,1633.07,1636.71,1587.1,1594.3,373301457,1202538061792,58141781788784,1744.6599999999999,20.01647312781429,1637.4071300150895,1744.6599999999999,1851.9128699849102,12.294988133494249,-0.20096026344635046
2020-03-02,1597.94,1611.9,1580.57,1610.31,291809337,876447494572,58711975827372,1738.8625,24.8101815957008,1616.7518673957911,1738.8625,1860.9731326042088,14.044886539816558,-0.026377176411291246
2020-03-03,1635.97,1644.11,1622.35,1624.0,343249683,1016158681764,59218310129639,1732.4495,28.74292712527718,1600.7328324935675,1732.4495,1864.1661675064324,15.205830531444928,0.08832279143904195
2020-03-04,1620.34,1651.08,1620.27,1651.04,323124155,896235011522,60208181932736,1727.202,35.87701513610598,1591.3572143658062,1727.202,1863.0467856341938,15.730040335084585,0.2196727145453675
2020-03-05,1662.68,1673.41,1659.91,1673.41,384205953,1040797913663,61042083396700,1721.6415000000002,41.128249640892214,1586.5508650507184,1721.6415000000002,1856.732134949282,15.693236361842091,0.32148466465455566
2020-03-06,1661.95,1666.08,1645.33,1655.63,606012017,1281376991518,60402490390696,1715.1754999999998,38.434139764932375,1580.4455722964635,1715.1754999999998,1849.9054277035361,15.710337245784624,0.27901903083097696
2020-03-09,1636.69,1636.69,1588.69,1589.19,355844387,908010716028,57982297506227,1705.295,30.41620301834729,1564.1918046428427,1705.295,1846.3981953571574,16.548831182541125,0.08858125180610701
2020-03-10,1558.78,1586.36,1556.93,1586.36,375046825,986742094059,57877658446819,1694.941,30.127895641880563,1550.8698748013671,1694.941,1839.012125198633,17.000134541395,0.12316876525293334
2020-03-11,1590.57,1592.76,1531.42,1542.13,398460289,843964044847,56264059419591,1682.3079999999998,25.982657286081764,1531.329875279893,1682.3079999999998,1833.2861247201065,17.948927868155742,0.035767183955056625
2020-03-12,1529.05,1530.84,1443.95,1457.51,472569301,958543596806,53176801627269,1665.8650000000002,20.24392264134518,1493.6617673358016,1665.8650000000002,1838.0682326641988,20.674332273527394,-0.10496831788953309
2020-03-13,1400.44,1400.44,1268.26,1350.84,577784012,987505479636,49377351365073,1643.9170000000001,15.57419009532527,1432.9590236065958,1643.9170000000001,1854.8749763934045,25.66528314913762,-0.19463360667969354
2020-03-16,1371.69,1379.39,1310.14,1310.14,388886982,818451750289,47894176514025,1620.1109999999999,14.22581338314053,1374.2137115318264,1620.1109999999999,1866.0082884681733,30.35561001291559,-0.13028551866304827
2020-03-17,1258.34,1310.98,1236.42,1292.55,331953060,693956863715,47261798037406,1596.3700000000001,13.674774727136947,1321.9011761237716,1596.3700000000001,1870.8388238762286,34.38661762326133,-0.05346905289507044
2020-03-18,1306.6,1313.23,1244.8,1244.87,411953466,1127633506440,45522803525337,1570.124,12.285601301420327,1268.0093265132589,1570.124,1872.2386734867412,38.48290625284896,-0.03829560187561447
2020-03-19,1259.75,1262.58,1071.67,1081.17,505676129,861855528055,39537999394944,1536.192,8.93104166147338,1179.4192424301425,1536.192,1892.9647575698575,46.4489800194061,-0.137691626316094
2020-03-20,1100.89,1143.26,1086.0,1143.22,393889610,710583924378,41810793081214,1506.417,18.063624851564995,1123.765097556016,1506.417,1889.068902443984,50.80291877268831,0.025421149509157467
2020-03-23,1091.14,1100.26,1068.53,1085.25,316806430,580397708084,39692796173196,1476.831,16.408127508469697,1061.4037307024726,1476.831,1892.2582692975272,56.259283465410384,0.028700895511566477
2020-03-24,1107.06,1144.05,1101.44,1144.05,330587390,631732062832,41838238024161,1449.0449999999998,24.015064056586723,1022.7823484106302,1449.0449999999998,1875.3076515893695,58.83359751965877,0.14224522267809445
2020-03-25,1182.6,1214.03,1180.75,1214.03,394491921,825933504200,44395114013220,1425.2915,31.951828570832454,1002.2500569580677,1425.2915,1848.3329430419324,59.36209442656921,0.2503063784000713
2020-03-26,1226.62,1276.59,1211.27,1252.27,474132289,1059820346259,45792795719292,1405.1135,35.89235671535535,989.5498542235672,1405.1135,1820.6771457764326,59.15018904543052,0.3161009732763925
2020-03-27,1292.32,1309.94,1239.26,1277.2,567329514,1364491679451,46704574725963,1389.2585,38.39690597451508,979.6224591893792,1389.2585,1798.8945408106206,58.971896275692494,0.3632218740100975
2020-03-30,1253.79,1315.4,1248.93,1315.4,409189081,1161681519849,48102870383410,1374.5130000000001,42.12782108695564,976.7062261461598,1374.5130000000001,1772.3197738538406,57.88330468374477,0.42570136573174716
2020-03-31,1337.03,1374.8,1337.03,1374.8,608648553,1620925817528,50353307404516,1362.053,47.4567234108571,981.0274276770909,1362.053,1743.0785723229092,55.94871452475184,0.5167272237428688
2020-04-01,1373.25,1411.38,1363.98,1369.15,871783703,2223179921387,50145881761878,1347.9585000000002,47.01328307716462,990.6165862940923,1347.9585000000002,1705.300413705908,53.01972037060605,0.5296515734471614
2020-04-02,1374.52,1390.87,1343.9,1390.87,486883587,1454578837767,50940119125656,1333.8315,48.98669155525588,1008.1330223078246,1333.8315,1659.5299776921754,48.836525107133156,0.5875633506244204
2020-04-03,1403.01,1408.39,1385.2,1405.37,516094877,1625282987669,51468548264389,1321.3184999999999,50.316994949274125,1028.460353159246,1321.3184999999999,1614.1766468407536,44.32816869524703,0.6435020690165474
2020-04-06,1416.65,1453.0,1415.86,1453.0,714071348,1864668532682,53213751807488,1314.509,54.51313944400781,1041.200763029358,1314.509,1587.817236970642,41.5833192424916,0.753360457655867
2020-04-07,1480.4,1485.03,1456.53,1482.76,553910884,1542797896544,54303984992140,1309.3290000000002,56.959161298097975,1053.4556927637811,1309.3290000000002,1565.2023072362192,39.084646752072096,0.8389001413888993
2020-04-08,1482.68,1510.5,1468.42,1499.9,507213438,2096218907913,54930202147879,1307.2175,58.34837448967981,1058.4655839973277,1307.2175,1555.9694160026722,38.05822917803231,0.8872985243617786
2020-04-09,1517.88,1528.46,1514.5,1526.77,575028650,2016014722972,55914405509332,1310.6805,60.5007524099842,1051.928419469233,1310.6805,1569.432580530767,39.48362404579407,0.9175608937264291
2020-04-10,1535.34,1536.99,1482.98,1531.6,496192683,1565806683009,56093556792779,1319.7185,60.89196847240629,1043.9207019467876,1319.7185,1595.5162980532123,41.79645857100773,0.8841247129158001
2020-04-13,1531.87,1533.2,1509.95,1509.95,650106678,1703808767248,55302431446263,1329.709,58.11353133896154,1041.8124209373086,1329.709,1617.6055790626915,43.30219304565006,0.8130308122917141
