날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2023-01-02,2249.95,2259.88,2222.37,2225.67,346344799,5200137586818,1759241799519040,,,,,,,
2023-01-03,2230.98,2230.98,2180.67,2218.68,410245325,6149082624890,1753771077018843,,,,,,,
2023-01-04,2205.98,2260.06,2198.82,2255.98,412841149,6487597995523,1783808765569816,,,,,,,
2023-01-05,2268.2,2281.39,2252.97,2264.65,430977022,7521178466245,1791816776272757,,,,,,,
2023-01-06,2253.4,2300.62,2253.27,2289.97,398606581,6764112169245,1811418923114710,,,,,,,
2023-01-09,2315.87,2351.06,2312.56,2350.19,342095527,7028980630776,1858632832938702,,,,,,,
2023-01-10,2348.04,2370.18,2344.18,2351.31,359914195,6702908456279,1859599298527137,,,,,,,
2023-01-11,2364.05,2369.66,2350.36,2359.53,369010952,6297145034283,1865737441088174,,,,,,,
2023-01-12,2376.72,2377.8,2358.33,2365.1,580433350,7837776879492,1870238983001541,,,,,,,
2023-01-13,2377.34,2397.01,2375.78,2386.09,862230157,6976741116461,1886570606528872,,,,,,,
2023-01-16,2390.06,2410.22,2387.61,2399.86,517762227,6532806968677,1897375181962087,,,,,,,
2023-01-17,2400.92,2404.0,2374.65,2379.39,536811108,6314017773643,1881433258560147,,,,,,,
2023-01-18,2380.36,2383.0,2356.84,2368.32,537392995,5498577136647,1872694001860234,,,,,,,
2023-01-19,2354.56,2380.34,2354.56,2380.34,370098909,5448179058653,1882551676807929,,,,,,,
2023-01-20,2380.0,2395.97,2372.57,2395.26,302506895,5025541430084,1895790658564122,,81.01256847970478,,,,,
2023-01-25,2426.58,2432.71,2421.51,2428.57,550087246,6665406114846,1922275331006549,,84.66455021952414,,,,,
2023-01-26,2436.18,2468.65,2426.4,2468.65,486831888,8206398683439,1953918425527295,,87.7240772088675,,,,,
2023-01-27,2474.52,2497.4,2464.53,2484.02,509288123,9092446576759,1966558578500389,,88.65853117542414,,,,,
2023-01-30,2484.64,2491.13,2446.59,2450.47,475410252,9220413382464,1940151030295828,,75.2019113539615,,,,,
