날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2021-01-04,3320.65,3348.3,3310.86,3348.3,650045871,3342138362985,161478233139643,,,,,,,
2021-01-05,3347.35,3384.05,3328.68,3384.02,1036227583,5046071545066,163206346645537,,,,,,,
2021-01-06,3389.39,3416.5,3379.42,3405.62,1349686005,6504207181757,164256678260277,,,,,,,
2021-01-07,3408.95,3458.1,3408.95,3452.71,1049433706,5497553167372,166529989294793,,,,,,,
2021-01-08,3459.73,3493.68,3445.63,3455.55,775866680,4762238833651,166672986981807,,,,,,,
2021-01-11,3458.27,3475.77,3338.09,3400.3,1136883334,5213805837998,164012313414820,,,,,,,
2021-01-12,3399.16,3425.0,3356.16,3407.67,1005646165,5557459307004,164400569927415,,,,,,,
2021-01-13,3413.13,3446.3,3413.13,3444.85,1261021045,4838314214008,166195804569400,,,,,,,
2021-01-14,3448.35,3468.9,3447.74,3468.9,939549561,5132220869043,167357661748306,,,,,,,
2021-01-15,3472.14,3485.9,3431.22,3436.94,1038657412,5048979737781,165840834548598,,,,,,,
2021-01-18,3431.46,3431.46,3365.95,3372.56,1166478388,4837664874872,162736870466189,,,,,,,
2021-01-19,3374.69,3445.91,3374.29,3444.55,1079653057,6115824725740,166212729906861,,,,,,,
2021-01-20,3447.52,3475.77,3440.35,3475.77,922030672,5131902899846,167744283456495,,,,,,,
2021-01-21,3479.55,3513.9,3479.55,3513.13,1038782660,4752341178985,169547048460673,,,,,,,
2021-01-22,3515.31,3523.84,3496.12,3513.05,818919455,4055983984945,169556978946721,,67.63628789126537,,,,,
2021-01-25,3517.23,3545.24,3517.23,3545.06,841914614,4354863173072,171120161898094,,70.93302085120392,,,,,
2021-01-26,3548.88,3559.41,3499.49,3518.71,620981016,3357421278429,169843281313665,,65.05804509463714,,,,,
2021-01-27,3523.17,3532.58,3487.43,3497.59,707025256,3578089372893,168776002033449,,60.71726484616523,,,,,
2021-01-28,3488.33,3488.34,3419.27,3434.47,1054742678,5179404776511,165738014502576,,49.9835175440302,,,,,
2021-01-29,3440.93,3461.49,3279.87,3316.47,672638462,3390692189083,160085775794851,3441.811,36.86347730039943,3324.4021690033496,3441.811,3559.2198309966507,6.822503094832954,-0.03378012086491228
2021-02-01,3312.37,3391.32,3269.9,3390.57,718133398,3489678514626,163560877854358,3443.9244999999996,46.381447128709276,3331.9279256818536,3443.9244999999996,3555.9210743181457,6.504008686493914,0.2618029822571332
2021-02-02,3396.68,3448.3,3396.68,3432.41,634268223,3018122353413,165602741554344,3446.344,50.883866906547375,3337.584523833553,3446.344,3555.1034761664473,6.311585620381903,0.43594121408475994
2021-02-03,3439.75,3476.36,3439.75,3476.36,643838626,4229300120368,169005325897265,3449.881,55.1447181468505,3342.0520363770474,3449.881,3557.7099636229523,6.251170032992583,0.6227824098012752
2021-02-04,3480.3,3488.68,3454.41,3474.56,1189493033,4442284436579,168896220581317,3450.9735,54.934526284942876,3342.6105859980225,3450.9735,3559.3364140019776,6.280135967545245,0.6088310526587051
2021-02-05,3480.85,3498.65,3458.58,3491.77,924109370,3810112238840,169840860663916,3452.7845,56.63641140055017,3342.9751913827436,3452.7845,3562.593808617257,6.360623352963768,0.6775145499544342
2021-02-08,3491.04,3494.33,3464.11,3481.86,1017787142,3250592385293,169377059373013,3456.8625,55.340408050830334,3349.11410643889,3456.8625,3564.6108935611105,6.233883676953326,0.6159994092432683
2021-02-09,3484.6,3497.18,3474.7,3480.28,1909846175,3709750057040,169300306903598,3460.493,55.12382828326575,3354.744762927224,3460.493,3566.2412370727757,6.11174402449453,0.5935571152187761
2021-02-10,3482.65,3504.2,3466.63,3504.2,1943702101,4310826174507,170478236542735,3463.4604999999997,57.81547152680472,3356.3130077334986,3463.4604999999997,3570.607992266501,6.18730846022359,0.6901094423128046
2021-02-15,3507.17,3547.03,3507.17,3547.03,1394821897,3335450635131,172616610721559,3467.3669999999997,62.18863429659964,3354.183976697033,3467.3669999999997,3580.5500233029666,6.528470929265165,0.8519211524627665
2021-02-16,3549.95,3576.07,3547.0,3576.07,1753569877,5136256250180,174039770426003,3474.3235,64.84941009652022,3352.6890757155898,3474.3235,3595.95792428441,7.001905509628577,0.9182471393217296
2021-02-17,3580.57,3598.04,3566.57,3596.9,1544256170,5078169064850,175053463486089,3485.5405,66.66161704130703,3362.148901829785,3485.5405,3608.9320981702153,7.08019879098896,0.9512442567053175
2021-02-18,3597.51,3603.24,3559.99,3562.39,1667915041,6387080192137,173447025299610,3491.4325,61.04629277383014,3365.211468650229,3491.4325,3617.6535313497707,7.230329175762143,0.781084298080919
2021-02-19,3562.39,3563.9,3483.84,3545.23,3192229467,6397167594933,172789579939381,3494.9055,58.41145414563152,3366.7912023630856,3494.9055,3623.019797636914,7.331488513032139,0.6964046984928399
2021-02-22,3549.04,3582.82,3533.46,3536.55,1548574810,4315701343460,172393115089863,3496.0765,57.069656244331156,3366.893626944011,3496.0765,3625.2593730559893,7.390162832877893,0.6566519579668213
2021-02-23,3532.83,3532.83,3483.95,3511.73,2114542514,4141041609362,171196593314500,3496.0105000000003,53.29934099279862,3366.8610372097905,3496.0105000000003,3625.15996279021,7.388391012567598,0.5608577831467035
2021-02-24,3514.45,3523.77,3404.48,3405.51,1295270087,4895676172330,166005214279380,3489.0330000000004,40.85862536917836,3356.210791299799,3489.0330000000004,3621.8552087002017,7.61369747435472,0.1855834546897069
2021-02-25,3418.8,3479.25,3418.8,3477.19,1062274990,3594704861057,169505539783602,3486.957,49.435779645585505,3354.7586396319534,3486.957,3619.1553603680463,7.582448557183037,0.46305929977948274
2021-02-26,3465.8,3465.8,3391.02,3432.26,1050309445,3308069322583,167338714604000,3483.6904999999997,45.027651523782495,3349.4911459814357,3483.6904999999997,3617.8898540185637,7.704436086877639,0.3083802251652977
2021-03-02,3439.72,3479.27,3421.99,3439.64,1510613246,3613897699040,167733714110905,3483.9489999999996,45.88127239448308,3350.1104513079285,3483.9489999999996,3617.7875486920707,7.683152003205046,0.3344684680422543
2021-03-03,3438.45,3477.17,3436.0,3477.17,2029648920,3667240868231,169593483109970,3491.9840000000004,50.12286649274894,3382.193927151861,3491.9840000000004,3601.77407284814,6.2881200399623545,0.43253488400317
2021-03-04,3471.83,3483.29,3450.38,3476.64,1057067291,4336675489244,169579473898314,3496.287500000001,50.06319291706389,3396.4380761909483,3496.287500000001,3596.1369238090533,5.711739884609173,0.4016143546427772
2021-03-05,3473.29,3473.29,3418.56,3467.87,885128996,3679690772787,169181278111173,3498.0605000000005,49.02313939609775,3401.6095944625213,3498.0605000000005,3594.5114055374797,5.514536157249379,0.34349291573903845
2021-03-08,3471.77,3492.08,3435.89,3435.89,1704357960,4952102074193,167595299998458,3496.0370000000003,45.325352462497534,3396.210896980801,3496.0370000000003,3595.8631030191996,5.710815018216301,0.1987411199031156
2021-03-09,3437.84,3442.84,3354.88,3409.96,1205168650,3588610418951,166327360582282,3492.807,42.52450914881117,3386.44386294585,3492.807,3599.1701370541496,6.090410208989491,0.11054646236213346
2021-03-10,3417.3,3440.61,3381.58,3383.02,722645133,2708428105198,165014531178907,3487.3695,39.77451200981404,3370.7278552113576,3487.3695,3604.011144788642,6.6893768950288885,0.0526919215298966
2021-03-11,3384.54,3435.59,3384.54,3434.22,1107512628,3594760874631,167522587314212,3484.9875,46.81408935850797,3366.0695427563614,3484.9875,3603.905457243639,6.824584435016695,0.28654401245731087
2021-03-12,3443.27,3479.18,3443.27,3478.08,1478519391,3642411255770,169666345236264,3484.8775,51.99101720021404,3365.938260238684,3484.8775,3603.816739761316,6.8260212739940505,0.4714244852512881
