날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2023-01-02,5047.08,5096.69,5003.62,5014.78,13950141,514261837883,164224977274740,,,,,,,
2023-01-03,5027.32,5029.63,4904.49,4978.37,23613482,805952903458,162976938908410,,,,,,,
2023-01-04,4935.74,4980.08,4871.18,4958.27,13449911,554681205386,162372063713640,,,,,,,
2023-01-05,4991.46,5006.1,4905.27,4929.75,16830027,732247499379,161465714642825,,,,,,,
2023-01-06,4903.23,5016.12,4893.56,4994.33,62677771,673797969129,163558564603515,,,,,,,
2023-01-09,5056.78,5194.72,5026.61,5190.54,31599320,840006933249,169940410618040,,,,,,,
2023-01-10,5209.13,5253.53,5157.08,5183.76,19704890,782931697123,169663609417505,,,,,,,
2023-01-11,5209.54,5284.03,5207.86,5273.51,24777147,878206095075,172638223430725,,,,,,,
2023-01-12,5317.32,5317.32,5257.06,5275.5,29420209,1029889671862,172696849746900,,,,,,,
2023-01-13,5305.16,5350.69,5285.19,5316.35,16732071,716933390342,174073027626040,,,,,,,
2023-01-16,5324.23,5374.99,5319.57,5328.5,14724871,672129958760,174450896449905,,,,,,,
2023-01-17,5329.14,5345.62,5274.8,5289.45,16014675,676593664649,173106919750195,,,,,,,
2023-01-18,5308.14,5311.29,5224.74,5253.67,16748053,562912848776,171911170970030,,,,,,,
2023-01-19,5214.92,5300.47,5213.49,5296.85,23949324,721612462028,173339735750605,,,,,,,
2023-01-20,5297.36,5326.82,5257.07,5326.66,12971527,573135135504,174284759456565,,74.45469097399307,,,,,
2023-01-25,5388.28,5427.46,5369.1,5385.84,16874137,689886060980,176344003796790,,78.01175475898224,,,,,
2023-01-26,5396.73,5488.73,5349.6,5486.82,26385744,909277439328,179683339429060,,82.49167416816259,,,,,
2023-01-27,5519.92,5566.12,5473.51,5540.56,19166654,864301624439,181498999767685,,84.32233537353348,,,,,
2023-01-30,5545.72,5577.67,5453.41,5467.78,20941423,871594165089,179146504351280,,73.16488141218052,,,,,
2023-01-31,5464.95,5533.89,5439.97,5491.61,18236812,857399000555,179910808409215,5249.1449999999995,74.36112103656771,4881.387644533109,5249.1449999999995,5616.90235546689,14.012085986075473,0.8296535016847941
2023-02-01,5484.68,5495.18,5425.23,5495.17,16339408,1030114838949,179986602507330,5273.164500000001,74.54368741446245,4907.025187088917,5273.164500000001,5639.303812911085,13.88689136897147,0.8031708043516115
2023-02-02,5566.11,5589.53,5507.23,5514.96,18662642,1124542650514,180602783974370,5299.994000000001,75.58448927535571,4945.746965437958,5299.994000000001,5654.241034562043,13.36782775837264,0.8034125610476361
2023-02-03,5481.58,5513.35,5455.01,5507.94,19703023,913002878764,180377514674130,5327.4775,74.42210291899025,4999.204991624716,5327.4775,5655.750008375284,12.323750156627932,0.7748669099541126
2023-02-06,5473.54,5536.16,5444.94,5473.76,25009447,905859199036,179213234854715,5354.678,68.86869820889574,5076.387410751998,5354.678,5632.968589248002,10.39429781764663,0.7139526175171502
2023-02-07,5472.8,5535.21,5463.51,5509.27,21637223,1139214079309,180391190426725,5380.425,71.26749864878774,5148.900441691383,5380.425,5611.949558308617,8.606181047356559,0.7782534192944075
2023-02-08,5532.82,5541.16,5491.92,5496.74,18777388,816167157306,179999594700270,5395.735000000001,69.2400979408654,5176.279742828978,5395.735000000001,5615.190257171023,8.134397155198423,0.7301266356113889
