,news_title,news_category,news_date,label,prob
0,"<유>디아이, 매도잔량 323% 급증",증권News봇,2021.06.30,positive,0.9962908029556274
1,"<유>디아이, 장중 신고가 돌파.. 8,310→8,390(▲80)",증권News봇,2021.06.28,positive,0.9998824596405029
2,"[기업공시 6월 25일]KMH,546억 원 규모 자사주 취득 결정 등",증권,2021.06.26,neutral,0.9847437739372253
3,장 중 기업공시[6월 25일],증권,2021.06.25,neutral,0.999852180480957
4,"<유>디아이, 4.04% 오르며 체결강도 강세 지속(272%)",증권News봇,2021.06.23,positive,0.999861478805542
5,"<유>미래산업, 상한가 진입.. +29.85% ↑",증권News봇,2021.06.16,positive,0.9998555183410645
6,"<유>디아이, 매도잔량 305% 급증",증권News봇,2021.05.07,positive,0.9986646175384521
7,"<유>디아이, 장중 신고가 돌파.. 8,050→8,080(▲30)",증권News봇,2021.04.22,positive,0.9998801946640015
8,"<유>디아이, 장중 신고가 돌파.. 7,750→7,960(▲210)",증권News봇,2021.04.21,positive,0.9998801946640015
9,"<유>디아이, 3.25% 오르며 체결강도 강세로 반전(175%)",증권News봇,2021.04.21,positive,0.9998724460601807
10,"<유>디아이, 매도잔량 390% 급증",증권News봇,2021.04.14,positive,0.9972844123840332
11,"<유>디아이, 매수잔량 383% 급증",증권News봇,2021.04.08,positive,0.9997933506965637
12,"<유>디아이, 장중 신고가 돌파.. 7,400→7,420(▲20)",증권News봇,2021.04.05,positive,0.9998822212219238
13,"<유>디아이, 3.39% 오르며 체결강도 강세로 반전(122%)",증권News봇,2021.04.05,positive,0.9998648166656494
14,"[기업공시 4월 2일]한미반도체, 30억 규모 반도체 제조용 장비 수주 등",증권,2021.04.03,neutral,0.9299213886260986
15,장 중 기업공시[4월 2일],증권,2021.04.02,neutral,0.9998538494110107
16,"<유>디아이, 3.33% 오르며 체결강도 강세 지속(330%)",증권News봇,2021.04.02,positive,0.9998699426651001
