,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2017-01-02,22500,23150,21800,21800,4546,-3.111111111111111,,,,,,,
1,2017-01-03,21900,22650,21700,22300,8266,2.293577981651376,,,,,,,
2,2017-01-04,22250,22450,21950,22450,2588,0.672645739910314,,,,,,,
3,2017-01-05,22100,22400,21450,22100,15766,-1.55902004454343,,,,,,,
4,2017-01-06,22100,22800,21800,22600,6945,2.262443438914027,,,,,,,
5,2017-01-09,22300,22700,21600,22150,8803,-1.991150442477876,,,,,,,
6,2017-01-10,21950,22150,21450,22100,9093,-0.2257336343115124,,,,,,,
7,2017-01-11,22250,22500,21800,22150,5506,0.2262443438914027,,,,,,,
8,2017-01-12,22450,22600,21750,22550,7409,1.805869074492099,,,,,,,
9,2017-01-13,22200,22400,22050,22050,8886,-2.2172949002217295,,,,,,,
10,2017-01-16,21950,22200,21550,21550,5980,-2.2675736961451247,,,,,,,
11,2017-01-17,22000,22000,21500,21650,2727,0.4640371229698375,,,,,,,
12,2017-01-18,21500,21900,21400,21650,990,0.0,,,,,,,
13,2017-01-19,21650,22050,21500,21650,3287,0.0,,,,,,,
14,2017-01-20,21650,22150,21350,21850,5742,0.9237875288683602,,48.32158936252197,,,,,
15,2017-01-23,21850,22000,21500,21550,3431,-1.3729977116704806,,42.10301077150505,,,,,
16,2017-01-24,21550,21750,20800,20900,6906,-3.016241299303944,,32.37995213748661,,,,,
17,2017-01-25,20800,20900,20350,20350,9313,-2.631578947368421,,26.750612005288293,,,,,
18,2017-01-26,20350,21000,20350,20850,2158,2.457002457002457,,37.404673410716114,,,,,
19,2017-01-31,20850,21000,20450,20950,3625,0.4796163069544364,21760.0,39.306063305526216,20571.471498027917,21760.0,22948.528501972083,10.923975201949293,0.15924250085042313
20,2017-02-01,20950,21500,20850,21500,4551,2.6252983293556085,21745.0,48.56092250673933,20551.30824749435,21745.0,22938.69175250565,10.97899979310783,0.3973771916050661
21,2017-02-02,21500,21600,20850,20950,3396,-2.558139534883721,21677.5,41.7113503947487,20464.456307464567,21677.5,22890.543692535433,11.191730527371083,0.200134461571033
22,2017-02-03,21350,21350,20800,21100,3156,0.7159904534606205,21610.0,44.03005101333292,20426.53052426351,21610.0,22793.46947573649,10.95297987724654,0.2845318318486329
23,2017-02-06,21000,21800,20850,21700,4040,2.843601895734597,21590.0,52.217912350688366,20426.98667247533,21590.0,22753.01332752467,10.773629713058545,0.5472909455965227
24,2017-02-07,21650,21750,21200,21650,1742,-0.2304147465437788,21542.5,51.541247017471285,20474.66340201321,21542.5,22610.33659798679,9.913766721474188,0.5503354165809037
25,2017-02-08,21800,21800,21500,21750,986,0.4618937644341801,21522.5,52.85703523403782,20486.413613640252,21522.5,22558.586386359748,9.627937148191407,0.6097881426660343
26,2017-02-09,21700,21750,21400,21450,745,-1.3793103448275863,21490.0,48.59414958356507,20488.201617090544,21490.0,22491.798382909456,9.323391185755751,0.48003590309068445
27,2017-02-10,21550,21700,21350,21700,1864,1.1655011655011656,21467.5,52.063667427105685,20506.628000199817,21467.5,22428.371999800183,8.951876089905051,0.6209838563556588
28,2017-02-13,21700,21700,21300,21500,1184,-0.9216589861751152,21415.0,49.20265474147557,20591.531724958393,21415.0,22238.468275041607,7.690574597633498,0.5516109743242418
29,2017-02-14,21500,21500,21050,21300,4649,-0.9302325581395348,21377.5,46.45356594820153,20606.477951028635,21377.5,22148.522048971365,7.213397721635969,0.44974203389942335
30,2017-02-15,21300,21300,21000,21150,5471,-0.7042253521126761,21357.5,44.447728436270275,20584.66431241822,21357.5,22130.33568758178,7.23713625266797,0.365754129024973
31,2017-02-16,21300,21400,21000,21250,4369,0.4728132387706856,21337.5,46.1180997357396,20575.34844026926,21337.5,22099.65155973074,7.143775603803077,0.44259671919394045
32,2017-02-17,21300,21400,21150,21400,2974,0.7058823529411765,21325.0,48.61402589726651,20575.66696322663,21325.0,22074.33303677337,7.027742431637691,0.5500445037916321
33,2017-02-20,21400,21700,21350,21600,6247,0.9345794392523364,21322.5,51.81874768784795,20577.198047768557,21322.5,22067.801952231443,6.9907557953470985,0.686166156662519
34,2017-02-21,21600,21600,21150,21150,4142,-2.083333333333333,21287.5,45.0160615069342,20579.774770832635,21287.5,21995.225229167365,6.649209434338132,0.40285777987470645
35,2017-02-22,21150,21150,20850,21050,2548,-0.4728132387706856,21262.5,43.64486760363517,20558.316075162176,21262.5,21966.683924837824,6.623717106058306,0.3491161239949211
36,2017-02-23,21050,21050,20800,20900,3081,-0.7125890736342043,21262.5,41.59804483597982,20558.316075162176,21262.5,21966.683924837824,6.623717106058306,0.24260985857957126
37,2017-02-24,20900,21000,20100,20250,15545,-3.110047846889952,21257.5,34.12882592690451,20526.558825896365,21257.5,21988.441174103635,6.8770191612714076,-0.18917994750775532
38,2017-02-27,20250,20800,20050,20300,6246,0.2469135802469135,21230.0,35.09426894524332,20404.530436660443,21230.0,22055.469563339557,7.77644430842729,-0.06331574251965766
39,2017-02-28,20300,20700,20250,20550,2149,1.2315270935960592,21210.0,39.84193119748456,20340.172430880695,21210.0,22079.827569119305,8.202051571139132,0.12061446231909732
40,2017-03-02,20650,21050,20550,20850,4419,1.45985401459854,21177.5,45.03745712779555,20304.874650838057,21177.5,22050.125349161943,8.2410610238408,0.31234787625953886
41,2017-03-03,21100,21100,20550,20950,2170,0.4796163069544364,21177.5,46.690203025346534,20304.874650838057,21177.5,22050.125349161943,8.2410610238408,0.36964623465357277
42,2017-03-06,20750,21000,20400,20750,2281,-0.954653937947494,21160.0,43.850158695696415,20268.035875160887,21160.0,22051.964124839113,8.43066280566269,0.27017012871792717
43,2017-03-07,20800,21200,20700,20950,1994,0.9638554216867472,21122.5,47.302204037990705,20261.99142944419,21122.5,21983.00857055581,8.14779093910104,0.39976857529229426
44,2017-03-08,20900,20950,20450,20850,3197,-0.477326968973747,21082.5,45.78648079478552,20249.86862898399,21082.5,21915.13137101601,7.898791614049665,0.36038239244079034
45,2017-03-09,20750,20750,20250,20750,4387,-0.4796163069544364,21032.5,44.259173193060036,20247.46815351223,21032.5,21817.53184648777,7.464940891361188,0.3200709937667473
46,2017-03-10,20650,21300,20500,21200,4719,2.1686746987951806,21020.0,52.01598154651612,20254.232411236935,21020.0,21785.767588763065,7.286085525814128,0.6175291319725035
47,2017-03-13,21200,21200,20600,21150,5333,-0.2358490566037736,20992.5,51.16402676140856,20289.4530598886,20992.5,21695.5469401114,6.698077314387508,0.6120124354534876
