,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2019-10-18,3456,4492,3456,4492,447,,,,,,,,
1,2019-10-21,5838,5838,5838,5838,135,29.96438112199466,,,,,,,
2,2019-10-22,7580,7580,7580,7581,14,29.856115107913663,,,,,,,
3,2019-10-23,9827,9827,9827,9827,282,29.626698324759264,,,,,,,
4,2019-10-24,12731,12731,12731,12732,314,29.56141243512771,,,,,,,
5,2019-10-25,16507,16507,16507,16508,303,29.657555765001568,,,,,,,
6,2019-10-28,0,0,0,16508,0,0.0,,,,,,,
7,2019-10-29,21445,21445,21445,21445,702,29.906711897261935,,,,,,,
8,2019-10-30,27496,27835,20380,27835,549739,29.79715551410585,,,,,,,
9,2019-10-31,0,0,0,27835,0,0.0,,,,,,,
10,2019-11-01,30207,35241,28416,32918,496435,18.26118196515179,,,,,,,
11,2019-11-04,34176,35629,27447,27448,359431,-16.617048423355,,,,,,,
12,2019-11-05,26237,26673,21445,22268,301537,-18.872048965316235,,,,,,,
13,2019-11-06,22074,25075,20670,23236,313936,4.347045087120532,,,,,,,
14,2019-11-07,22800,22800,19605,20671,141094,-11.0389051471854,,60.19944654528101,,,,,
15,2019-11-08,20138,22122,19605,20187,155588,-2.341444535823134,,59.12455973752085,,,,,
16,2019-11-11,19992,21687,19169,19218,114391,-4.80011888839352,,56.93278575345471,,,,,
17,2019-11-12,19799,19847,17524,18105,77073,-5.791445519825164,,54.43661093381592,,,,,
18,2019-11-13,18105,18734,17282,18057,62474,-0.2651201325600663,,54.32598653047545,,,,,
19,2019-11-14,18056,18298,17282,18008,53234,-0.2713629063521072,18535.85,54.204888287604774,3647.0922240806103,18535.85,33424.60777591939,160.64823329838546,0.4822735379289424
20,2019-11-15,19266,20428,17911,18976,216443,5.375388716126166,19260.05,56.2783258585811,5837.306338959606,19260.05,32682.793661040392,139.3843075281777,0.4894190782759096
21,2019-11-18,19557,19750,18056,18444,70923,-2.8035413153457,19890.35,54.80957137578856,7945.315997955464,19890.35,31835.384002044535,120.10883671775044,0.4394581045247573
22,2019-11-19,17620,18685,17040,17476,58932,-5.24831923660811,20385.1,52.14300440925174,9775.362738408641,20385.1,30994.837261591354,104.093060731528,0.3629042393664487
23,2019-11-20,16991,17572,16362,16459,29776,-5.819409475852598,20716.7,49.422490239496014,11077.465194269824,20716.7,30355.934805730176,93.05762795937746,0.2791474071433061
24,2019-11-21,16555,16749,15200,15394,33269,-6.470623974725075,20849.8,46.67609645165723,11589.17769693634,20849.8,30110.422303063657,88.83176148513327,0.2054301632518219
25,2019-11-22,15055,15394,14571,15152,23194,-1.5720410549564765,20782.0,46.04989044848728,11376.49748285611,20782.0,30187.50251714389,90.51585523187269,0.20070711321708162
26,2019-11-25,15442,16217,15055,15733,16602,3.834477296726504,20743.25,47.85852756467602,11261.555196326974,20743.25,30224.944803673025,91.41956832871439,0.23579354199108346
27,2019-11-26,15490,15636,14813,15249,14927,-3.0763363630585396,20433.45,46.461183704536715,10663.214680930143,20433.45,30203.68531906986,95.62981600336565,0.23468141602071618
