,시가,고가,저가,종가,거래량,거래대금,상장시가총액,날짜,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,291.9,293.45,291.22,291.82,8109309,32048182639,5835517042966,2017-01-02,,,,,,,
1,292.96,292.96,290.04,291.55,10648837,39406014000,5835370850169,2017-01-03,,,,,,,
2,291.73,292.61,289.74,290.73,6215511,30142031294,5819025244681,2017-01-04,,,,,,,
3,290.76,291.04,286.58,288.69,7600546,46338274468,5778438535237,2017-01-05,,,,,,,
4,288.9,290.72,287.68,289.97,8860100,41775121336,5804031939665,2017-01-06,,,,,,,
5,290.82,290.87,286.25,288.25,10565606,36635516683,5769723724340,2017-01-09,,,,,,,
6,288.13,288.52,285.18,285.99,73182301,96159958769,5725038095135,2017-01-10,,,,,,,
7,286.31,286.83,284.37,284.69,21577502,45472219541,5699306562875,2017-01-11,,,,,,,
8,284.42,286.92,283.76,286.92,66680651,102174175799,5743477480765,2017-01-12,,,,,,,
9,286.52,290.0,285.9,289.77,25582158,100486502071,5800024150740,2017-01-13,,,,,,,
10,290.59,290.59,286.8,288.32,19671346,113298382586,5770897435770,2017-01-16,,,,,,,
11,288.37,288.7,285.86,286.16,13170065,54894725528,5727826796610,2017-01-17,,,,,,,
12,286.45,288.33,285.11,286.74,14073407,79866620280,5739256533845,2017-01-18,,,,,,,
13,287.35,287.35,283.83,283.97,12741780,44349884447,5683964872718,2017-01-19,,,,,,,
14,283.41,286.07,283.41,285.08,18179579,146382209869,5705726110350,2017-01-20,,36.84517829671042,,,,,
15,284.1,284.97,282.01,282.13,13255277,94912692150,5646855574020,2017-01-23,,30.49126457448281,,,,,
16,281.11,282.52,280.07,280.6,12728219,74019103550,5616313633326,2017-01-24,,27.812386176905,,,,,
17,280.96,282.01,279.26,279.74,7619504,42635486535,5599135696657,2017-01-25,,26.407944016644326,,,,,
18,281.17,281.34,277.95,279.7,6263639,44411757465,5598342822333,2017-01-26,,26.34131716096068,,,,,
19,278.94,280.58,275.47,277.49,7493574,49240663662,5554604875723,2017-01-31,285.9155,22.903150531945855,277.6923923757499,285.9155,294.13860762425014,5.752124403364024,-0.012306319277216237
20,277.79,282.02,277.29,281.77,10557763,43530448416,5639590312785,2017-02-01,285.413,39.39991713377257,277.471093176069,285.413,293.354906823931,5.565203283614266,0.2706470196160738
21,281.5,281.7,278.1,278.67,17320875,92645057487,5772041610395,2017-02-02,284.769,33.764510432206706,276.8332583207364,284.769,292.70474167926363,5.573458964468484,0.1157258989454703
22,278.74,278.9,276.24,276.46,16578615,73414756457,5725842175279,2017-02-03,284.0555,30.423662461364806,275.8310936992387,284.0555,292.2799063007613,5.7907037890562245,0.03823414589227379
23,277.38,278.74,276.04,276.04,6256285,29588399894,5717334408408,2017-02-06,283.423,29.819793663410294,274.78618554095306,283.423,292.05981445904695,6.09464613602068,0.07258546915602723
24,276.61,281.23,276.27,281.2,5720982,36958179896,5823100581298,2017-02-07,282.98449999999997,44.4166919261253,274.8456340470553,282.98449999999997,291.12336595294465,5.752163777835666,0.39037170471186233
25,280.83,281.56,279.3,281.0,4950186,29416396871,5818555282690,2017-02-08,282.62199999999996,44.03439312761375,274.81443546296265,282.62199999999996,290.42956453703727,5.5250932602821505,0.39612637895559116
26,281.05,281.33,278.76,278.99,4282198,25572629653,5777423090125,2017-02-09,282.27200000000005,40.28191968330137,274.472149745027,282.27200000000005,290.07185025497307,5.526478187686361,0.28961134555708273
27,280.16,281.46,278.46,279.68,20706971,71957118785,5791509798879,2017-02-10,282.02149999999995,42.10580834407432,274.22656504196453,282.02149999999995,289.81643495803536,5.527901211812159,0.3498063157290233
28,280.74,285.27,280.25,284.58,8496746,61167664340,5891798681189,2017-02-13,281.9045,53.067914647144555,274.3403490892895,281.9045,289.4686509107105,5.366463402117036,0.6768539543685999
29,285.19,285.28,281.48,282.69,5173739,30915252982,5853035758331,2017-02-14,281.5505,49.19836773146512,274.8822694251021,281.5505,288.2187305748979,4.7367918543194945,0.5854424563758763
30,283.34,285.99,281.92,285.63,28611937,73752931824,5913547848379,2017-02-15,281.41600000000005,54.72836008534512,275.2066380359974,281.41600000000005,287.6253619640027,4.412941669274421,0.8393263288909261
31,285.1,285.44,282.35,283.08,12200029,52001635186,5861168507660,2017-02-16,281.26200000000006,49.67730161992616,275.3871396612343,281.26200000000006,287.1368603387658,4.177500223112796,0.6547270824468543
32,279.9,283.57,279.39,282.49,6899023,39144190913,5848941080705,2017-02-17,281.04949999999997,48.560566386139236,275.6984945804547,281.04949999999997,286.40050541954525,3.807874000519687,0.6346008728320865
33,283.38,283.45,279.22,279.95,4243694,23049153967,5796215896055,2017-02-20,280.8485,43.97718462608146,275.6516191085418,280.8485,286.0453808914582,3.700842903884616,0.4135539164004293
34,280.48,285.59,280.03,284.76,20470699,59773249470,5895269239747,2017-02-21,280.8325,53.02013410404646,275.6861036880159,280.8325,285.97889631198404,3.665100237318731,0.8815776867838867
35,284.77,285.38,283.56,283.83,24145346,42392820406,5876368223422,2017-02-22,280.9175,51.29607609302586,275.63386536085216,280.9175,286.2011346391479,3.7616984624652168,0.775615196631924
36,284.27,284.99,280.79,280.95,6881626,28527616425,5817502100406,2017-02-23,280.935,46.2775557572569,275.6533695699147,280.935,286.21663043008533,3.760037325420705,0.501420016053617
37,281.23,283.79,281.02,283.63,7861702,35286435779,5873076047061,2017-02-24,281.1295,51.07439071128205,275.7525771811376,281.1295,286.5064228188624,3.825228457961471,0.7325214703871296
38,284.76,286.71,281.97,282.94,4708102,29153997964,5859145893354,2017-02-27,281.2915,49.84048977566991,275.9013969397605,281.2915,286.68160306023947,3.8323966847483715,0.6529191540102732
39,282.56,283.59,280.76,282.6,3849361,22370092229,5851914311205,2017-02-28,281.54699999999997,49.20961727656004,276.4240863758986,281.54699999999997,286.66991362410135,3.639117890868229,0.6027735461950875
40,283.53,284.31,279.31,279.48,6351047,25284075110,5787825012387,2017-03-02,281.4325,43.7384158446706,276.23285049258095,281.4325,286.63214950741906,3.6951308092839694,0.3122469603754939
41,279.43,279.43,274.98,277.11,7137521,27564512250,5738684470658,2017-03-03,281.35450000000003,40.0919793810008,275.948712453305,281.35450000000003,286.76028754669505,3.8426878167543244,0.10741150449068168
42,276.11,276.66,272.89,276.22,7819925,63275235634,5720366106766,2017-03-06,281.34250000000003,38.78433895314943,275.89242156019725,281.34250000000003,286.7925784398028,3.8743371085440557,0.030052635335522992
43,276.82,278.32,276.79,277.76,5469336,34468319294,5752406517524,2017-03-07,281.4285,42.29173079403602,276.26930132191023,281.4285,286.58769867808974,3.666436539362397,0.14446998178423553
44,277.76,279.71,277.03,277.95,7205745,63538775642,5756231002420,2017-03-08,281.266,42.72772801298215,275.8881513595116,281.266,286.64384864048844,3.8240303772858595,0.19169827735251513
45,279.4,282.59,278.9,282.03,12800615,136999334471,5840139977972,2017-03-09,281.3175,51.24592762948109,275.931106494137,281.3175,286.703893505863,3.829405213584649,0.5661388737403267
46,282.85,284.1,277.18,283.47,23735617,310672737967,5869861075255,2017-03-10,281.5415,53.8545959642406,276.1883951999794,281.5415,286.89460480002055,3.8027110035433926,0.680129109371503
47,283.03,284.16,281.0,281.39,8023911,82548985124,5826976502331,2017-03-13,281.627,49.71655731302485,276.34135491164955,281.627,286.9126450883505,3.7536493932403237,0.4775807875823549
48,281.05,281.26,276.44,277.84,10292197,85639537544,5754015226989,2017-03-14,281.29,43.56408002139894,275.94135531185674,281.29,286.6386446881433,3.8029398045741267,0.17748839181186363
49,277.49,277.72,272.54,273.82,7826977,64473962873,5670074765779,2017-03-15,280.8465,37.8517039670445,274.63446241157516,280.8465,287.0585375884248,4.423795623890513,-0.06555517412618268
