,날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2017-01-02,1761.72,1801.58,1752.78,1795.64,19788528,286712277061,122245263274653,,,,,,,
1,2017-01-03,1800.71,1833.5,1798.25,1828.97,20220411,470831262629,124431190980947,,,,,,,
2,2017-01-04,1830.93,1845.49,1822.86,1827.35,20720005,510840393437,124368281152236,,,,,,,
3,2017-01-05,1828.23,1838.16,1817.33,1836.37,23610434,394164533628,125024241613042,,,,,,,
4,2017-01-06,1827.17,1828.1,1809.88,1815.13,18236670,316919385310,123561156372188,,,,,,,
5,2017-01-09,1818.52,1819.32,1803.25,1811.22,16304970,315041396922,123220770110365,,,,,,,
6,2017-01-10,1803.0,1823.39,1802.28,1819.9,16295106,293492599535,123826954667670,,,,,,,
7,2017-01-11,1803.51,1819.89,1796.4,1809.28,13636590,366614105180,123065746148801,,,,,,,
8,2017-01-12,1814.13,1830.28,1805.97,1817.16,16864324,317761697598,123519390083678,,,,,,,
9,2017-01-13,1819.31,1826.22,1810.94,1820.98,16009629,266566630699,123709876266904,,,,,,,
10,2017-01-16,1824.95,1826.89,1805.1,1820.09,12667403,247908348799,123432118075943,,,,,,,
11,2017-01-17,1818.95,1837.83,1815.56,1832.46,20804600,374049950407,124297594973286,,,,,,,
12,2017-01-18,1830.55,1849.02,1820.43,1842.36,18416892,346938900722,127065712077675,,,,,,,
13,2017-01-19,1834.56,1842.46,1810.08,1819.77,15220167,294510667734,125664980563092,,,,,,,
14,2017-01-20,1812.49,1824.85,1804.13,1814.73,44984092,360921573787,125172000363771,,50.98562354580379,,,,,
15,2017-01-23,1812.87,1817.77,1785.95,1787.85,19282003,279101016218,123464412753932,,38.92552709863273,,,,,
16,2017-01-24,1786.11,1788.58,1757.24,1767.46,19313139,377663648561,122093441995840,,32.6219677665568,,,,,
17,2017-01-25,1767.85,1770.65,1722.41,1722.41,18232740,440033132403,119078721275091,,23.548446558783347,,,,,
18,2017-01-26,1723.82,1732.49,1711.15,1728.52,13118204,347950095301,119489564131048,,26.533064381378896,,,,,
19,2017-01-31,1705.43,1705.76,1663.14,1663.14,21623262,589872538042,115110367057836,1799.0395,18.300256513055196,1710.2607123365049,1799.0395,1887.8182876634953,9.869576255940485,-0.2653827202231566
20,2017-02-01,1668.01,1687.4,1668.01,1681.54,17039433,384518844015,116261574176290,1793.3345000000002,25.3229736411162,1690.8142570281852,1793.3345000000002,1895.854742971815,11.433476908163525,-0.0452313453389638
21,2017-02-02,1677.8,1689.01,1658.24,1662.9,28557360,476651840147,114972861461354,1785.0310000000002,23.15185733744954,1669.3449517659976,1785.0310000000002,1900.7170482340027,12.961797104252256,-0.027855354489078412
22,2017-02-03,1666.05,1680.74,1656.7,1664.04,23760074,437091863263,115095860838499,1776.8654999999999,23.583376273156826,1651.6211585749281,1776.8654999999999,1902.1098414250716,14.097222488148008,0.049578453141140455
23,2017-02-06,1671.49,1679.57,1655.0,1656.98,16250939,313805014390,114668951876018,1767.896,22.73206212741857,1635.4924998347856,1767.896,1900.2995001652143,14.978652609114382,0.08114400351351032
24,2017-02-07,1661.97,1678.7,1658.56,1677.42,19489176,379958682104,116005347407599,1761.0104999999999,30.548782995418826,1624.87814683221,1761.0104999999999,1897.1428531677898,15.460708856396929,0.19298077181928117
25,2017-02-08,1675.51,1679.12,1662.85,1676.64,24576683,426883027498,115953776332403,1754.2814999999998,30.422304762552894,1615.4637155089633,1754.2814999999998,1893.0992844910363,15.826169801258978,0.22034743140201513
26,2017-02-09,1676.71,1686.63,1665.89,1678.14,16628355,357269054462,116046975372248,1747.1934999999999,31.013819157385033,1608.0253771736866,1747.1934999999999,1886.3616228263131,15.93047625535618,0.2519061887247665
27,2017-02-10,1685.07,1692.52,1674.91,1684.46,25670020,449895238461,116587093393576,1740.9525,33.57611944769401,1602.2870111608522,1740.9525,1879.617988839148,15.929841720454506,0.29629935150796094
28,2017-02-13,1692.26,1692.94,1681.58,1687.69,12319777,314100530793,116778108355524,1734.479,34.90679958860604,1598.5880321029401,1734.479,1870.36996789706,15.669370214002004,0.3278435987171584
29,2017-02-14,1696.16,1703.67,1689.27,1701.04,12427968,325183004150,117568101841014,1728.482,40.23589255014169,1597.9076998333908,1728.482,1859.0563001666092,15.108551916260533,0.3949180659402931
30,2017-02-15,1712.99,1740.11,1711.12,1731.98,13090440,397041122797,119711968598223,1724.0765,50.375817948438616,1600.399274081079,1724.0765,1847.7537259189207,14.34706939267728,0.5319521235266929
31,2017-02-16,1741.41,1759.48,1739.9,1749.44,19288295,472232809077,120993305062498,1719.9255,55.014314886809096,1605.8799046488434,1719.9255,1833.9710953511567,13.261690154737124,0.6293978075572415
32,2017-02-17,1741.84,1760.29,1730.32,1755.18,15023808,337473722265,121335470561725,1715.5665000000001,56.455338727151066,1614.665910849095,1715.5665000000001,1816.4670891509052,11.762947009154706,0.696299646678746
33,2017-02-20,1752.8,1759.25,1747.54,1757.35,13781520,274121729178,121549776526836,1712.4455000000003,57.01591796413859,1621.2344007905306,1712.4455000000003,1803.65659920947,10.652730169744926,0.7461569939908014
34,2017-02-21,1756.68,1774.98,1755.08,1771.44,14461648,334224883374,122443398586037,1710.2810000000002,60.56577860872375,1627.1884564356124,1710.2810000000002,1793.373543564388,9.716829405739501,0.868017377832514
35,2017-02-22,1771.59,1780.79,1754.2,1776.91,17679667,420073413426,122801468948849,1709.734,61.8818998881526,1628.569545119802,1709.734,1790.898454880198,9.494395605421433,0.9138264718167245
36,2017-02-23,1783.18,1784.29,1753.76,1760.55,21046703,462678363894,121685387431880,1709.3884999999998,55.87536916846079,1629.156422805154,1709.3884999999998,1789.6205771948455,9.387225571582555,0.818834447447703
37,2017-02-24,1762.23,1771.49,1756.55,1768.99,13291881,269230472202,122245663216053,1711.7175,58.13311250775853,1627.5032190554969,1711.7175,1795.931780944503,9.839740604919108,0.8400403076394037
38,2017-02-27,1775.37,1779.56,1763.78,1771.34,16158713,247487598394,122400596614714,1713.8584999999998,58.76575969488813,1625.9482429704603,1713.8584999999998,1801.7687570295393,10.258753220238367,0.8269328400478072
39,2017-02-28,1771.2,1786.36,1753.27,1781.6,18031695,466270514547,123108447359553,1719.7814999999998,61.501053214913696,1630.3880187443751,1719.7814999999998,1809.1749812556245,10.395911487084225,0.8457662635557692
40,2017-03-02,1787.79,1795.4,1757.21,1761.51,17283323,547959770274,121906116118586,1723.78,53.953856179226506,1634.4322884456478,1723.78,1813.1277115543521,10.366486622927768,0.7111413898779492
41,2017-03-03,1751.18,1751.18,1715.07,1718.89,15197651,472629465681,118945962912031,1726.5794999999998,42.139486284303686,1641.63732967807,1726.5794999999998,1811.5216703219296,9.83935814388272,0.45473685231460054
42,2017-03-06,1714.57,1732.84,1702.91,1730.46,14210498,380644346158,119695166851933,1729.9005000000002,45.62066683685182,1649.9515789378638,1729.9005000000002,1809.8494210621366,9.243181450278367,0.503499109134725
43,2017-03-07,1722.94,1750.1,1722.07,1746.45,18509731,391560146636,120692100359482,1734.3740000000003,50.089895078631486,1661.5517609792194,1734.3740000000003,1807.1962390207811,8.397524296464418,0.5829142317126073
44,2017-03-08,1747.74,1748.82,1725.92,1735.84,13162611,327134514003,120051709839562,1737.295,47.31136115650001,1669.319800551968,1737.295,1805.2701994480321,7.825406675093415,0.4892975672611853
45,2017-03-09,1732.85,1738.98,1725.29,1735.8,14858978,385396120735,119969680576936,1740.2530000000002,47.30070838732012,1678.2024570209114,1740.2530000000002,1802.303542979089,7.131209425191478,0.46411796105071246
46,2017-03-10,1729.94,1748.27,1726.96,1745.14,30502426,412558371614,120550023182970,1743.6030000000003,50.12464314206811,1688.4799423562179,1743.6030000000003,1798.7260576437827,6.322890892454581,0.5139415343206489
47,2017-03-13,1747.85,1752.13,1739.82,1747.95,28439883,399025199491,120745106476000,1746.7774999999997,50.97579021519361,1698.793731129685,1746.7774999999997,1794.7612688703143,5.49397606395945,0.5122176730549164
48,2017-03-14,1755.15,1762.89,1749.06,1757.9,26744381,422640197834,121485436509807,1750.288,53.971157563152346,1710.5435273780142,1750.288,1790.0324726219858,4.541478044982972,0.5957617436819288
49,2017-03-15,1750.62,1755.74,1742.9,1752.98,29577974,411434741521,121185279241075,1752.8850000000002,52.27047734243007,1720.1891020921619,1752.8850000000002,1785.5808979078386,3.730524011311448,0.5014527816343748
50,2017-03-16,1778.16,1786.63,1771.49,1785.18,29342887,552684207501,123293523743844,1755.545,60.94446780716231,1721.4582145839508,1755.545,1789.6317854160493,3.883328016775329,0.9346992483786227
51,2017-03-17,1789.84,1790.85,1776.96,1786.2,19020567,376290659930,123450860668844,1757.3830000000003,61.185103070352326,1720.9290898667953,1757.3830000000003,1793.8369101332053,4.148658560280257,0.8952525242792961
52,2017-03-20,1788.35,1807.79,1783.18,1807.76,14791311,363045774075,124915007580513,1760.0120000000002,65.95937839146525,1717.49331253202,1760.0120000000002,1802.5306874679804,4.831636087478979,1.0614942845537931
53,2017-03-21,1818.9,1883.66,1817.97,1873.48,22179764,900429190599,129619897582216,1765.8184999999999,75.75070634617772,1700.6528865907808,1765.8184999999999,1830.984113409219,7.380782725882539,1.3260606657986982
54,2017-03-22,1863.65,1879.96,1850.81,1864.14,18698377,549169806347,129028907312403,1770.4535,72.55656004371001,1692.429609485621,1770.4535,1848.477390514379,8.814000538774838,1.100370600481237
55,2017-03-23,1863.59,1873.5,1851.21,1853.21,22069652,521666723045,128124216649165,1774.2684999999997,68.89541922267446,1688.2981506288368,1774.2684999999997,1860.2388493711626,9.69079362804028,0.959120502460583
56,2017-03-24,1848.34,1862.36,1833.03,1836.67,14733909,419836896631,127060106587614,1778.0745000000002,63.660501818833886,1688.2184572482752,1778.0745000000002,1867.9305427517252,10.107117868427334,0.8260520840089801
57,2017-03-27,1824.75,1824.75,1796.35,1811.68,22589964,491986587294,125221918250196,1780.209,56.655948642064025,1689.2956106890751,1780.209,1871.122389310925,10.213788303612093,0.6730823162491985
58,2017-03-28,1818.78,1823.61,1796.74,1803.41,24258437,437097671458,124620032973042,1781.8125,54.51810912594324,1690.4512119453768,1781.8125,1873.1737880546232,10.254871155592767,0.6181983116694204
59,2017-03-29,1805.26,1806.66,1766.43,1767.44,25608544,746687288591,122273578011743,1781.1045000000001,46.32955338138945,1689.5283861984208,1781.1045000000001,1872.6806138015795,10.283070286058944,0.4253926628203106
60,2017-03-30,1770.36,1783.7,1760.12,1769.21,30174727,427167409708,122416785317433,1781.4895000000001,46.75336823922219,1690.1817858735376,1781.4895000000001,1872.7972141264627,10.25071594600614,0.4327575982080068
61,2017-03-31,1778.25,1787.45,1771.36,1783.6,21233871,399946325091,123341576249440,1784.725,50.19664387303735,1698.0510351662633,1784.725,1871.3989648337365,9.712864988582172,0.4935101618914166
62,2017-04-03,1786.03,1787.09,1760.28,1776.11,14911936,318947710564,122757768241018,1787.0075000000002,48.4407579945443,1703.8363357962942,1787.0075000000002,1870.1786642037061,9.308429226369334,0.4344875107596805
63,2017-04-04,1765.8,1765.87,1738.02,1746.27,16171354,362492680844,120705555668450,1786.9985000000001,42.11946228120089,1703.8097456458217,1786.9985000000001,1870.1872543541785,9.310444788194102,0.2552042922376415
64,2017-04-05,1743.95,1743.95,1709.21,1722.27,17194050,481713156386,119151492958177,1786.3200000000002,37.84217541843487,1701.2726912830287,1786.3200000000002,1871.3673087169716,9.522068690600946,0.12344487458649692
65,2017-04-06,1714.52,1720.03,1702.2,1706.52,13944812,369689519137,118154319198012,1784.8559999999998,35.30813064322236,1695.4824834752494,1784.8559999999998,1874.2295165247501,10.014647290845913,0.06174936913047353
66,2017-04-07,1710.91,1719.85,1690.7,1694.28,11434418,371830903348,117168175519847,1782.313,33.4343587059709,1685.9434597707357,1782.313,1878.6825402292645,10.81398612132262,0.04325298330484695
67,2017-04-10,1696.66,1706.59,1690.33,1694.18,12125380,302800704465,117201895570710,1779.6245000000004,33.418754720620406,1676.7872589878077,1779.6245000000004,1882.461741012193,11.55718422759325,0.08456440896800324
68,2017-04-11,1691.46,1691.46,1668.04,1671.38,17905380,374963940985,115598006710535,1775.2985,29.982893534523182,1662.3842643563055,1775.2985,1888.2127356436947,12.720591567411859,0.039834373373792385
69,2017-04-12,1680.12,1685.49,1672.0,1674.53,16266641,312336618477,115863213798821,1771.3759999999997,31.03780691488827,1650.4656380949928,1771.3759999999997,1892.2863619050067,13.65157503601799,0.09951323247180974
70,2017-04-13,1686.26,1689.47,1663.93,1672.96,17917289,382582635149,115761872688866,1765.7649999999999,30.78881832548919,1637.732136796837,1765.7649999999999,1893.7978632031627,14.501687733437103,0.13757351949266083
71,2017-04-14,1671.39,1677.63,1668.85,1671.55,10021371,185155972017,115659696021706,1760.0325,30.551774308317896,1626.0446526592812,1760.0325,1894.020347340719,15.225610588522526,0.16981147262185223
72,2017-04-17,1668.81,1676.74,1662.89,1675.5,9475958,218585728263,115968844634794,1753.4195,32.12825146306568,1616.483814296821,1753.4195,1890.355185703179,15.619272593144872,0.21548869967724169
73,2017-04-18,1682.41,1682.41,1659.44,1666.68,15083643,336900573658,115310490073245,1743.0795000000003,30.465268826808977,1612.9043754216086,1743.0795000000003,1873.254624578392,14.936223457207964,0.2065510778367171
