,날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2017-01-02,12890.75,13004.53,12866.06,12957.84,23432336,463844132265,363263460095282,,,,,,,
1,2017-01-03,13063.25,13166.77,12988.35,13147.34,31188620,746708038373,368132752402032,,,,,,,
2,2017-01-04,13140.52,13140.52,13009.6,13026.47,30579747,723622335796,365040944606754,,,,,,,
3,2017-01-05,13014.16,13023.3,12882.32,12891.02,32839373,819508352969,361027746499709,,,,,,,
4,2017-01-06,13118.17,13173.91,13061.33,13098.87,27509386,745633739516,366709509713226,,,,,,,
5,2017-01-09,13219.37,13519.55,13208.08,13437.74,31167761,1016858189315,376268188095339,,,,,,,
6,2017-01-10,13441.52,13484.66,13390.94,13427.33,26343543,758570373844,376084409531314,,,,,,,
7,2017-01-11,13510.46,13855.25,13510.46,13776.82,24652199,990551663433,386299740618485,,,,,,,
8,2017-01-12,13747.5,13900.26,13687.74,13900.26,32263742,1007897578898,389480505821596,,,,,,,
9,2017-01-13,13703.55,13737.81,13517.18,13524.27,26301883,1070738513319,378765674201860,,,,,,,
10,2017-01-16,13417.66,13601.34,13133.3,13241.28,22603635,1109937487016,371075715695184,,,,,,,
11,2017-01-17,13279.12,13480.63,13230.67,13327.29,23590617,621991138309,373488831454241,,,,,,,
12,2017-01-18,13388.01,13471.87,13210.88,13330.11,20385281,729701196555,373511918350395,,,,,,,
13,2017-01-19,13628.41,13632.11,13350.34,13481.33,54426439,820470592569,377627869573440,,,,,,,
14,2017-01-20,13380.23,13467.78,13326.81,13405.39,24087549,645394081825,375404829045802,,56.07500053345708,,,,,
15,2017-01-23,13446.19,13688.7,13373.99,13686.77,37435606,876190533195,383392574498362,,63.43496449767066,,,,,
16,2017-01-24,13778.72,13846.75,13654.13,13742.98,27663306,952694725212,385131337642162,,64.70716485703355,,,,,
17,2017-01-25,13852.39,14089.77,13819.84,14086.06,28625876,1246461511003,395185994083549,,71.27615473276964,,,,,
18,2017-01-26,14193.49,14297.75,14162.14,14269.79,29176839,1305802015183,400585305147445,,74.06061530133921,,,,,
19,2017-01-31,14263.78,14291.63,14177.69,14181.34,22307198,1315871217158,397415438534174,13497.015,70.51662552235165,12716.01294411282,13497.015,14278.01705588718,11.572959737944727,0.9381070413589635
20,2017-02-01,14252.55,14271.54,14101.87,14133.35,24912209,1149789780005,396076316997052,13555.7905,68.59858448392636,12769.032288082894,13555.7905,14342.548711917105,11.607706860283887,0.8670501885151305
21,2017-02-02,14230.5,14277.07,14102.03,14150.96,39833060,1232473798592,396709769896095,13605.9715,68.93252234233191,12801.984598657073,13605.9715,14409.958401342927,11.81814766175171,0.8389287182973295
22,2017-02-03,14175.6,14192.42,14077.58,14192.42,45795305,1007911395805,397609263245711,13664.269,69.74820678691721,12867.763812047026,13664.269,14460.774187952975,11.658218788769084,0.8315427243841014
23,2017-02-06,14256.84,14262.15,14091.6,14223.24,24330400,758978867191,398626431461592,13730.88,70.37096815817422,12982.829650277468,13730.88,14478.93034972253,10.895883580987247,0.8290954948304137
24,2017-02-07,14225.85,14225.85,14006.03,14010.59,28217545,1003226194426,392817806355644,13776.466,61.03485892643285,13078.592658385634,13776.466,14474.339341614366,10.131384080857398,0.6677410398414195
25,2017-02-08,13997.24,14002.66,13817.53,13944.4,29461143,1247264493620,390898739665128,13801.798999999999,58.43610398089821,13118.312743784118,13801.798999999999,14485.28525621588,9.90430676777544,0.6043188496499625
26,2017-02-09,13995.03,14033.41,13864.83,13918.19,27847808,1232892350981,390374144385446,13826.341999999999,57.39399494381051,13163.463433727109,13826.341999999999,14489.220566272888,9.588632572127752,0.569279657446482
27,2017-02-10,13949.46,13992.25,13817.12,13819.41,40442175,1213799462245,387434022039532,13828.4715,53.52020255473039,13165.96944010056,13828.4715,14490.97355989944,9.58171060191923,0.4931611533393759
