,날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2017-01-02,4436.27,4475.01,4423.95,4464.58,144954421,1792758328062,787174195038876,,,,,,,
1,2017-01-03,4487.16,4514.17,4474.48,4513.31,148819885,2395185268898,795479733308084,,,,,,,
2,2017-01-04,4514.91,4514.91,4490.61,4494.3,163599028,2564596149853,792432158597900,,,,,,,
3,2017-01-05,4496.72,4497.97,4477.24,4481.06,214948748,2530705843932,789814553802160,,,,,,,
4,2017-01-06,4513.2,4517.75,4500.56,4504.79,140783151,2057199636648,794059612468809,,,,,,,
5,2017-01-09,4523.83,4550.87,4521.26,4537.08,160202822,2498438066581,800197580635849,,,,,,,
6,2017-01-10,4529.63,4539.56,4521.01,4536.31,214870768,2267347105935,800052536832550,,,,,,,
7,2017-01-11,4549.73,4634.89,4549.56,4620.31,178909267,2898449367222,815243402874873,,,,,,,
8,2017-01-12,4622.86,4647.71,4607.0,4647.71,224030893,2733614600525,819778346181120,,,,,,,
9,2017-01-13,4614.64,4622.5,4600.77,4605.05,176457894,2831223803501,811542715441804,,,,,,,
10,2017-01-16,4595.32,4613.88,4533.49,4553.39,196165890,2833136544953,802307586960673,,,,,,,
11,2017-01-17,4563.76,4597.41,4558.73,4573.41,145401048,2280645807259,805963782066032,,,,,,,
12,2017-01-18,4583.1,4591.35,4541.28,4569.02,159115678,2317813992421,807209497371247,,,,,,,
13,2017-01-19,4616.14,4626.46,4557.2,4585.44,183367695,2460722484078,810322335259572,,,,,,,
14,2017-01-20,4561.3,4573.73,4549.2,4561.75,195950991,2627948492584,805842810536426,,57.0441452945889,,,,,
15,2017-01-23,4571.13,4593.03,4550.95,4588.37,150764752,2302464345962,811239157072208,,61.38910649084713,,,,,
16,2017-01-24,4602.31,4610.77,4567.86,4590.29,137108589,2468386997695,811746395661141,,61.69009675874654,,,,,
17,2017-01-25,4616.05,4621.3,4595.7,4611.17,114504657,2736813301298,816326487454314,,64.89507171825674,,,,,
18,2017-01-26,4633.18,4662.83,4618.63,4650.25,117298476,2773412309159,823703844727670,,69.96048860773244,,,,,
19,2017-01-31,4636.08,4636.08,4597.45,4597.51,137791323,3101529831643,813675785604004,4564.255,57.832487443634164,4460.5117745826265,4564.255,4667.998225417374,4.545899622934023,0.6602755257811319
20,2017-02-01,4615.44,4629.82,4613.05,4621.09,122898993,2729146147644,817510582262919,4572.0805,61.0810129633881,4476.28527392375,4572.0805,4667.87572607625,4.19044354430113,0.7558034570584441
21,2017-02-02,4628.32,4653.07,4592.91,4603.73,297687221,3320049337528,814971916885540,4576.6015,57.564947011994285,4483.840994336221,4576.6015,4669.362005663778,4.053685061449136,0.6462287198947053
22,2017-02-03,4614.02,4617.83,4580.01,4604.21,201944280,3089189900715,814920049473970,4582.097,57.63755893849446,4496.765600128675,4582.097,4667.4283998713245,3.7245566766187936,0.6295712951700402
23,2017-02-06,4628.31,4632.46,4580.54,4607.13,126120773,2175058803482,815687975044815,4588.400500000001,58.10718164453184,4516.246868774678,4588.400500000001,4660.5541312253235,3.1450450423986696,0.6297890326649713
24,2017-02-07,4608.72,4608.72,4577.82,4581.07,149537218,2631412444793,810934823588953,4592.2145,52.51213131217787,4530.891060606895,4592.2145,4653.537939393105,2.6707567511537285,0.4091334397557181
25,2017-02-08,4575.23,4575.23,4523.2,4554.15,159689456,3032242154310,806102671363754,4593.068,47.431408147261905,4534.421013854079,4593.068,4651.714986145921,2.5537173038117826,0.16820119363706246
26,2017-02-09,4564.61,4574.56,4541.63,4553.52,130494973,2729530070810,806068883195251,4593.9285,47.316029787561426,4538.205776708691,4593.9285,4649.651223291309,2.4259290622964285,0.13741452666670126
27,2017-02-10,4572.14,4581.85,4558.11,4559.54,175481297,3152713663055,806874970820895,4590.89,48.60261914856067,4534.628032028734,4590.89,4647.1519679712665,2.45102661885892,0.2213926109373627
