,날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2017-01-02,617.1,625.74,614.85,624.84,1758917,88926346190,32280012306210,,,,,,,
1,2017-01-03,626.03,630.5,622.63,629.73,2946092,128157274250,32458843859090,,,,,,,
2,2017-01-04,630.3,632.62,626.61,628.18,2346103,104129010210,32368526620790,,,,,,,
3,2017-01-05,629.55,632.1,626.84,631.93,2132813,93377282970,32559242554400,,,,,,,
4,2017-01-06,628.34,630.74,625.81,629.74,3543158,123102512770,32484805160690,,,,,,,
5,2017-01-09,630.74,631.03,621.39,622.23,2217815,102674206550,32103894837420,,,,,,,
6,2017-01-10,619.72,621.07,614.51,618.26,2043394,87330364900,31855228393010,,,,,,,
7,2017-01-11,617.02,626.58,616.78,622.19,2133411,94043000710,32084800443340,,,,,,,
8,2017-01-12,622.8,632.59,622.56,632.59,3190082,119157062360,32594360931800,,,,,,,
9,2017-01-13,632.61,632.66,627.74,630.9,1828000,74583332410,32508674941480,,,,,,,
10,2017-01-16,632.07,632.21,625.65,629.18,1757654,79924349900,32459365822830,,,,,,,
11,2017-01-17,627.74,631.71,624.85,628.32,1673459,81281414090,32457587098440,,,,,,,
12,2017-01-18,628.92,630.02,623.66,627.81,1715374,75540739880,32436139236880,,,,,,,
13,2017-01-19,627.01,632.48,624.18,626.33,2357168,96007435890,32312805874270,,,,,,,
14,2017-01-20,627.04,631.66,625.69,630.18,1732269,96397686890,32540055621360,,56.37328961695983,,,,,
15,2017-01-23,628.89,634.44,625.76,631.31,1822575,82824805490,32603713644150,,58.12680379674614,,,,,
16,2017-01-24,632.19,632.3,618.22,621.16,2161059,104460206640,31982604390230,,41.853900731951626,,,,,
17,2017-01-25,621.23,622.76,606.27,606.63,2096829,107842420905,31254042864340,,29.235924980309477,,,,,
18,2017-01-26,609.44,610.14,603.09,608.54,1834010,85282084150,31316495317060,,32.13239289399353,,,,,
19,2017-01-31,607.34,607.34,599.63,602.87,3446979,101279176460,30964397493250,624.146,28.41424709654937,607.0608539368258,624.146,641.2311460631742,5.474727407745686,-0.12264612550953971
20,2017-02-01,605.76,609.28,602.09,606.76,2369975,97115691645,31150328931000,623.242,34.05236075150674,604.5606824875761,623.242,641.9233175124239,5.994884013729467,0.058864090045075465
21,2017-02-02,606.98,615.01,605.84,608.73,6466968,155029733605,31145400377930,622.192,36.768439979349935,602.7425160993923,622.192,641.6414839006077,6.2519234900505545,0.15392397893963175
22,2017-02-03,598.63,603.9,590.94,596.18,5371856,233470958650,30568124080350,620.592,28.6680850608299,598.316542114695,620.592,642.8674578853049,7.178777001735423,-0.04795731081479946
23,2017-02-06,596.48,598.72,591.32,591.93,4333585,132472708890,30434801765810,618.592,26.53604697261375,593.7165497729188,618.592,643.4674502270811,8.042603275529318,-0.03590989824525691
24,2017-02-07,593.46,596.79,590.53,592.77,2841452,96960590990,30411982715830,616.7434999999999,27.680834061442336,590.0298373720489,616.7434999999999,643.457162627951,8.662811242583366,0.051287662536473606
25,2017-02-08,592.33,592.41,584.71,588.62,3208006,135777741450,30255441570980,615.063,25.561541275084693,585.8313499610441,615.063,644.2946500389559,9.50525394600419,0.047699155457176866
26,2017-02-09,589.3,593.21,588.48,591.34,2697594,121824702820,30469749375910,613.717,29.377972665781208,582.7693913040122,613.717,644.6646086959878,10.085302735947614,0.13846964365132014
27,2017-02-10,595.72,596.36,590.48,591.07,7931435,207622151090,30459565743430,612.161,29.217837138377337,579.9695583423174,612.161,644.3524416576824,10.51731216385314,0.17241293160652038
