,날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2017-01-02,1595.91,1613.59,1593.21,1605.78,5453639,435493972010,374519497176500,,,,,,,
1,2017-01-03,1616.75,1635.18,1614.18,1634.79,9348905,747704798238,379801165628950,,,,,,,
2,2017-01-04,1634.88,1641.49,1630.79,1638.46,8341395,770850854035,378381473995000,,,,,,,
3,2017-01-05,1641.75,1643.53,1629.24,1629.37,7498721,794481617888,373911602914250,,,,,,,
4,2017-01-06,1645.5,1654.49,1643.88,1648.54,8065586,747179372263,379400783100800,,,,,,,
5,2017-01-09,1654.84,1676.13,1652.11,1669.74,10010740,1037020351085,387390185571350,,,,,,,
6,2017-01-10,1672.55,1676.84,1666.4,1671.11,7542045,720911170500,387410796324650,,,,,,,
7,2017-01-11,1676.0,1710.25,1675.88,1705.12,9984886,966938365116,396753555648600,,,,,,,
8,2017-01-12,1705.22,1710.73,1695.82,1709.38,10059677,1008752363670,400151650778900,,,,,,,
9,2017-01-13,1695.55,1699.06,1682.07,1685.45,8137064,1069679995380,390060412743900,,,,,,,
10,2017-01-16,1682.68,1685.04,1653.76,1661.69,9744413,1124533713745,382974677792100,,,,,,,
11,2017-01-17,1661.02,1678.48,1659.63,1666.39,5863287,639395958397,385189817987400,,,,,,,
12,2017-01-18,1669.04,1672.94,1651.33,1664.55,7714716,752056189830,384899489477550,,,,,,,
13,2017-01-19,1690.87,1693.22,1671.72,1679.24,7713448,931765867046,389399178287600,,,,,,,
14,2017-01-20,1671.9,1678.69,1669.06,1672.75,5874599,724352677000,387140433365550,,61.43503247630945,,,,,
15,2017-01-23,1676.78,1694.78,1667.33,1690.92,9024209,857606764500,393802012702200,,66.84126986497444,,,,,
16,2017-01-24,1700.87,1705.48,1686.01,1693.74,9507881,993065269692,394521436218200,,67.60040755389379,,,,,
17,2017-01-25,1704.89,1717.3,1703.14,1710.25,11947335,1247077291535,403185880737000,,71.68724564429834,,,,,
18,2017-01-26,1715.53,1732.42,1713.04,1726.91,12320756,1424097517336,407652869823600,,75.10037880653437,,,,,
19,2017-01-31,1722.98,1742.42,1718.76,1729.31,9862717,1309860357980,405372034808700,1674.6744999999999,75.55750651609107,1610.4254749568133,1674.6744999999999,1738.9235250431864,7.67301646298269,0.9251854402714713
20,2017-02-01,1740.07,1752.16,1738.53,1744.58,10785266,1147646999828,405183776493000,1681.6145000000001,78.28864775319562,1618.65937170214,1681.6145000000001,1744.5696282978602,7.487462590012161,1.0000823737670004
21,2017-02-02,1745.79,1756.11,1734.06,1737.82,11147698,1247646115509,406025014626100,1686.766,74.32906292545262,1623.1224515759848,1686.766,1750.4095484240154,7.546221399294899,0.901093286469985
22,2017-02-03,1738.75,1748.22,1727.32,1748.22,9907145,1029674200208,407598549873900,1692.2540000000001,76.31386154844657,1627.302836992707,1692.2540000000001,1757.2051630072933,7.676290084974617,0.9308313924549405
23,2017-02-06,1759.07,1761.27,1740.38,1751.0,7267471,814924206984,408355456078900,1698.3355,76.8295708277311,1635.3271353251414,1698.3355,1761.3438646748584,7.420013851781173,0.9179167343238015
24,2017-02-07,1754.53,1754.53,1741.34,1743.82,8960194,1154659196021,403402357850300,1703.0994999999998,72.44255907721374,1641.4787176372292,1703.0994999999998,1764.7202823627704,7.236310311026522,0.8304120658536318
25,2017-02-08,1744.05,1749.05,1725.5,1749.05,10373961,1260767914145,401443223691300,1707.065,73.62399802815186,1644.343883141322,1707.065,1769.786116858678,7.3484157731167805,0.8346958895406765
26,2017-02-09,1740.91,1747.13,1731.16,1736.14,12922150,1322428251850,400293771443100,1710.3165000000001,66.09168342885573,1648.6547759647453,1710.3165000000001,1771.978224035255,7.210562961329647,0.7093965130235047
27,2017-02-10,1737.51,1740.2,1714.68,1716.1,14421714,1230462636321,398270554572300,1710.8654999999999,56.43906721484601,1649.2030993088176,1710.8654999999999,1772.5279006911821,7.208328263230776,0.5424448281393994
28,2017-02-13,1706.06,1714.11,1703.51,1710.4,10881278,988710801907,395259532805000,1710.9165,54.02230907375557,1649.2574110430594,1710.9165,1772.5755889569407,7.2077262633145045,0.4958116474899536
29,2017-02-14,1704.58,1713.05,1673.96,1681.34,14380493,1292790304092,390392238766550,1710.711,43.7391004372527,1648.6874586951058,1710.711,1772.7345413048943,7.251200384506121,0.26322699911942593
30,2017-02-15,1676.3,1685.51,1669.55,1682.09,15748097,1296941458875,391278663985100,1711.7310000000002,44.035188491634706,1652.351047861253,1711.7310000000002,1771.1109521387475,6.938000438006588,0.25041239566225065
31,2017-02-16,1689.18,1702.77,1686.65,1702.57,11150504,992943979770,395032204722200,1713.5400000000002,51.53567979761392,1657.6963582849407,1713.5400000000002,1769.3836417150596,6.517926831595346,0.40177932828974194
32,2017-02-17,1696.98,1712.39,1696.98,1705.54,10889580,1185002279282,394297320571100,1715.5895,52.529279987722546,1664.262056083515,1715.5895,1766.916943916485,5.9836509743717805,0.4021040282431398
33,2017-02-20,1711.97,1716.67,1699.96,1713.59,6555681,686818770210,399681415640600,1717.307,55.20966957012731,1668.7348923249167,1717.307,1765.8791076750833,5.656776298598133,0.4617372996775796
34,2017-02-21,1714.85,1742.66,1711.25,1735.57,7719914,865739418837,403559751027100,1720.4479999999999,61.58735136853192,1675.8449922090463,1720.4479999999999,1765.0510077909535,5.185045731222751,0.6695177158329121
