,날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2017-01-02,259.42,261.21,258.64,260.36,36913098,1865849599741,1106997092147985,,,,,,,
1,2017-01-03,261.55,263.0,260.72,262.97,61838711,2893837634982,1117580157318395,,,,,,,
2,2017-01-04,263.19,263.27,262.47,263.12,68765255,3001392772662,1117984626398040,,,,,,,
3,2017-01-05,262.88,262.94,261.64,261.98,78823343,3328611035594,1114665343270930,,,,,,,
4,2017-01-06,263.01,263.61,262.66,263.2,56571680,2541335924779,1118831228667865,,,,,,,
5,2017-01-09,263.83,264.55,263.34,263.74,59178996,2880966547653,1119540181124230,,,,,,,
6,2017-01-10,263.15,263.88,262.83,263.73,60748649,2641088642250,1118244085478140,,,,,,,
7,2017-01-11,264.24,268.91,264.18,268.15,76588092,3547032946773,1136279179673675,,,,,,,
8,2017-01-12,268.48,269.95,267.93,269.95,70686267,3226230840360,1143573498972875,,,,,,,
9,2017-01-13,268.34,268.68,267.66,267.91,61589373,2991314400598,1136986157333730,,,,,,,
10,2017-01-16,267.71,268.53,265.37,266.15,63875675,3010311082049,1129771001992950,,,,,,,
11,2017-01-17,266.65,268.53,266.33,267.37,64796636,2685024597659,1135549644463730,,,,,,,
12,2017-01-18,267.64,267.96,265.37,267.08,56660039,2629579829105,1135971684673860,,,,,,,
13,2017-01-19,269.3,270.01,266.39,267.7,59532818,3003151900499,1137823995699125,,,,,,,
14,2017-01-20,266.45,267.35,266.18,266.52,55384328,2669327046806,1136607124865675,,60.90094191844905,,,,,
15,2017-01-23,266.77,267.84,265.53,267.12,56738408,2558354380536,1137995811290385,,62.91292811965154,,,,,
16,2017-01-24,267.79,268.25,266.24,267.3,54347701,2743461593617,1138531940134210,,63.51942190169313,,,,,
17,2017-01-25,268.65,269.04,267.28,268.15,63437525,3291481770270,1140070317110725,,66.32035309608949,,,,,
18,2017-01-26,269.15,271.21,268.47,270.48,70097760,3571290477565,1148821891052350,,72.5434711364909,,,,,
