,날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2017-01-02,1936.12,1947.24,1930.37,1940.97,23177532,1534519871436,1008202768956530,,,,,,,
1,2017-01-03,1949.96,1960.73,1944.01,1960.6,38363661,2406883599322,1018305657933055,,,,,,,
2,2017-01-04,1962.59,1962.72,1957.08,1962.26,41414130,2490249099627,1019035403557690,,,,,,,
3,2017-01-05,1961.06,1961.36,1952.07,1954.71,56585790,2885436665259,1015085481122085,,,,,,,
4,2017-01-06,1961.92,1965.4,1958.96,1962.11,35827360,2116569571434,1018935949179400,,,,,,,
5,2017-01-09,1966.39,1970.86,1962.78,1965.42,40009992,2469217626758,1020718786187110,,,,,,,
6,2017-01-10,1959.95,1964.54,1957.67,1963.19,40426770,2219194434473,1019519879220255,,,,,,,
7,2017-01-11,1966.67,2001.02,1965.9,1995.64,50445254,3048989021128,1036242457676000,,,,,,,
8,2017-01-12,1998.19,2008.73,1994.97,2008.73,42362219,2702530613705,1043002262340325,,,,,,,
9,2017-01-13,1997.11,2000.68,1992.41,1995.35,39757528,2598425624728,1036025678038660,,,,,,,
10,2017-01-16,1994.23,1999.76,1977.43,1982.92,39136725,2573665705234,1029610630276270,,,,,,,
11,2017-01-17,1986.42,1999.19,1983.95,1991.65,40705630,2197150105039,1035210145841755,,,,,,,
12,2017-01-18,1993.67,1996.09,1977.1,1988.83,36659663,2249778310123,1033753271284300,,,,,,,
13,2017-01-19,2006.12,2011.16,1984.6,1994.58,41666249,2579665499814,1036802009248790,,,,,,,
14,2017-01-20,1986.07,1993.83,1984.62,1986.85,36798188,2269935020021,1035727399990645,,61.66855345095411,,,,,
15,2017-01-23,1988.66,1996.11,1979.33,1989.8,34829651,2155984895531,1037369610078730,,63.024244760670484,,,,,
16,2017-01-24,1994.79,1997.88,1984.12,1991.71,38429463,2404638884397,1038362162794215,,63.914139628636704,,,,,
17,2017-01-25,2001.28,2003.76,1991.4,1997.78,43327481,2878553767575,1041526673001475,,66.66028509063766,,,,,
18,2017-01-26,2005.27,2019.54,1999.93,2014.07,49140157,3141399102165,1050020867773870,,72.67101317240652,,,,,
19,2017-01-31,2007.43,2010.93,1995.73,1995.73,52883630,3259538437940,1040379072898940,1982.145,59.635380241078124,1943.8774453355063,1982.145,2020.4125546644937,3.8612265666228933,0.6775002364157436
20,2017-02-01,2004.03,2008.86,2001.77,2005.51,43839682,2875052065664,1045477531060180,1985.372,63.4051520426826,1950.834192542085,1985.372,2019.9098074579151,3.4792278180527427,0.7915355878415045
21,2017-02-02,2006.43,2019.28,1993.6,1996.99,51028588,3384067667126,1041038818540435,1987.1915000000001,58.29719454711128,1954.2691214255408,1987.1915000000001,2020.1138785744595,3.3134580712990513,0.6488121518595469
