BPS,PER,PBR,EPS,DIV,DPS
50817,8.51,1.35,8057,2.1,1444
50817,8.65,1.37,8057,2.07,1444
50817,8.64,1.37,8057,2.07,1444
50817,8.8,1.4,8057,2.04,1444
50817,8.8,1.4,8057,2.04,1444
50817,8.68,1.38,8057,2.07,1444
50817,8.73,1.38,8057,2.05,1444
50817,8.75,1.39,8057,2.05,1444
50817,8.74,1.39,8057,2.05,1444
50817,8.79,1.39,8057,2.04,1444
50817,8.96,1.42,8057,2.0,1444
50817,9.04,1.43,8057,1.98,1444
50817,9.0,1.43,8057,1.99,1444
50817,9.02,1.43,8057,1.99,1444
50817,9.04,1.43,8057,1.98,1444
50817,9.04,1.43,8057,1.98,1444
50817,8.99,1.42,8057,1.99,1444
50817,8.9,1.41,8057,2.01,1444
50817,8.85,1.4,8057,2.03,1444
50817,9.02,1.43,8057,1.99,1444
50817,9.02,1.43,8057,1.99,1444
50817,9.04,1.43,8057,1.98,1444
