투자자구분,매도,매수,순매수
금융투자,113131376300,171666147000,58534770700
보험,6708273500,2505703900,-4202569600
투신,28795607100,8816887800,-19978719300
사모,40071556000,2827286800,-37244269200
은행,1338336000,180716900,-1157619100
기타금융,1312923100,501847900,-811075200
연기금 등,583656809500,637546529400,53889719900
기관합계,775014881500,824045119700,49030238200
기타법인,9293393500,7616519200,-1676874300
개인,260832122300,368135777900,107303655600
외국인,752557763268,598634867768,-153922895500
기타외국인,1645233300,911109300,-734124000
전체,1799343393868,1799343393868,0
