Date,DEXCHUS
2021-07-01,6.4679
2021-07-02,6.4721
2021-07-05,
2021-07-06,6.4786
2021-07-07,6.4718
2021-07-08,6.4898
2021-07-09,6.4788
2021-07-12,6.4751
2021-07-13,6.4685
2021-07-14,6.4688
2021-07-15,6.46
2021-07-16,6.4785
2021-07-19,6.4893
2021-07-20,6.4845
2021-07-21,6.4664
2021-07-22,6.47
2021-07-23,6.4808
2021-07-26,6.4825
2021-07-27,6.5104
2021-07-28,6.4905
2021-07-29,6.4562
2021-07-30,6.4609
2021-08-02,6.462
2021-08-03,6.47
2021-08-04,6.4655
2021-08-05,6.4608
2021-08-06,6.4825
2021-08-09,6.4857
2021-08-10,6.4852
2021-08-11,6.4783
2021-08-12,6.4782
2021-08-13,6.4768
2021-08-16,6.4742
2021-08-17,6.4854
2021-08-18,6.4841
2021-08-19,6.4942
2021-08-20,6.5012
2021-08-23,6.4805
2021-08-24,6.471
2021-08-25,6.4756
2021-08-26,6.4809
2021-08-27,6.4711
2021-08-30,6.4658
2021-08-31,6.4604
2021-09-01,6.4586
2021-09-02,6.456
2021-09-03,6.4528
2021-09-06,
2021-09-07,6.4662
2021-09-08,6.4612
2021-09-09,6.4547
2021-09-10,6.444
2021-09-13,6.4511
2021-09-14,6.4382
2021-09-15,6.432
2021-09-16,6.4566
2021-09-17,6.4655
2021-09-20,6.4651
2021-09-21,6.4651
2021-09-22,6.4611
2021-09-23,6.459
2021-09-24,6.466
2021-09-27,6.456
2021-09-28,6.4595
2021-09-29,6.4702
2021-09-30,6.4434
