Date,DEXUSUK
2021-01-01,
2021-01-04,1.3551
2021-01-05,1.362
2021-01-06,1.3593
2021-01-07,1.3551
2021-01-08,1.3583
2021-01-11,1.3522
2021-01-12,1.3637
2021-01-13,1.3631
2021-01-14,1.369
2021-01-15,1.3599
2021-01-18,
2021-01-19,1.3627
2021-01-20,
2021-01-21,1.3721
2021-01-22,1.3685
2021-01-25,1.3668
2021-01-26,1.3729
2021-01-27,1.3688
2021-01-28,1.3727
2021-01-29,1.3723
2021-02-01,1.3672
2021-02-02,1.3644
2021-02-03,1.3652
2021-02-04,1.3665
2021-02-05,1.3714
2021-02-08,1.3738
2021-02-09,1.3796
2021-02-10,1.385
2021-02-11,1.3822
2021-02-12,1.3855
2021-02-15,
2021-02-16,1.391
2021-02-17,1.3848
2021-02-18,1.3956
2021-02-19,1.4025
2021-02-22,1.4077
2021-02-23,1.4092
2021-02-24,1.4106
2021-02-25,1.4105
2021-02-26,1.3947
2021-03-01,1.3938
2021-03-02,1.3962
2021-03-03,1.3978
2021-03-04,1.3999
2021-03-05,1.3817
2021-03-08,1.381
2021-03-09,1.3884
2021-03-10,1.3899
2021-03-11,1.398
2021-03-12,1.3925
2021-03-15,1.3866
2021-03-16,1.3892
2021-03-17,1.3888
2021-03-18,1.3938
2021-03-19,1.3872
2021-03-22,1.3856
2021-03-23,1.3795
2021-03-24,1.3723
2021-03-25,1.3722
2021-03-26,1.3794
2021-03-29,1.3793
2021-03-30,1.3729
2021-03-31,1.3795
2021-04-01,1.3825
2021-04-02,1.3825
2021-04-05,1.3907
2021-04-06,1.3849
2021-04-07,1.3757
2021-04-08,1.3739
2021-04-09,1.3734
2021-04-12,1.3741
2021-04-13,1.3742
2021-04-14,1.379
2021-04-15,1.3781
2021-04-16,1.3826
2021-04-19,1.3977
2021-04-20,1.3955
2021-04-21,1.3936
2021-04-22,1.3851
2021-04-23,1.3845
2021-04-26,1.389
2021-04-27,1.3908
2021-04-28,1.3917
2021-04-29,1.3956
2021-04-30,1.3838
2021-05-03,1.3913
2021-05-04,1.3873
2021-05-05,1.3913
2021-05-06,1.388
2021-05-07,1.4
2021-05-10,1.4153
2021-05-11,1.4149
2021-05-12,1.4081
2021-05-13,1.4033
2021-05-14,1.4096
2021-05-17,1.4127
2021-05-18,1.4184
2021-05-19,1.4169
2021-05-20,1.4182
2021-05-21,1.4158
2021-05-24,1.4147
2021-05-25,1.4123
2021-05-26,1.4129
2021-05-27,1.4172
2021-05-28,1.4188
2021-05-31,
2021-06-01,1.4168
2021-06-02,1.4177
2021-06-03,1.4099
2021-06-04,1.4175
2021-06-07,1.4179
2021-06-08,1.4146
2021-06-09,1.4124
2021-06-10,1.4165
2021-06-11,1.4114
2021-06-14,1.4116
2021-06-15,1.4073
2021-06-16,1.411
2021-06-17,1.3916
2021-06-18,1.3817
2021-06-21,1.3915
2021-06-22,1.3921
2021-06-23,1.3977
2021-06-24,1.3907
2021-06-25,1.3899
2021-06-28,1.3895
2021-06-29,1.3845
2021-06-30,1.3806
2021-07-01,1.378
2021-07-02,1.3795
2021-07-05,
2021-07-06,1.3792
2021-07-07,1.3792
2021-07-08,1.3767
2021-07-09,1.3842
2021-07-12,1.3886
2021-07-13,1.3847
2021-07-14,1.3854
2021-07-15,1.3849
2021-07-16,1.3785
2021-07-19,1.369
2021-07-20,1.3615
2021-07-21,1.3695
2021-07-22,1.375
2021-07-23,1.3749
2021-07-26,1.3829
2021-07-27,1.3884
2021-07-28,1.3884
2021-07-29,1.3966
2021-07-30,1.3913
2021-08-02,1.3886
2021-08-03,1.3905
2021-08-04,1.3912
2021-08-05,1.3929
2021-08-06,1.3873
2021-08-09,1.3852
2021-08-10,1.384
2021-08-11,1.3866
2021-08-12,1.3833
2021-08-13,1.3857
2021-08-16,1.3849
2021-08-17,1.3739
2021-08-18,1.3749
2021-08-19,1.3673
2021-08-20,1.3625
2021-08-23,1.3717
2021-08-24,1.3716
2021-08-25,1.3723
2021-08-26,1.3712
2021-08-27,1.3769
2021-08-30,1.3758
2021-08-31,1.3747
2021-09-01,1.379
2021-09-02,1.3825
2021-09-03,1.3862
2021-09-06,
2021-09-07,1.3792
2021-09-08,1.3761
2021-09-09,1.3855
2021-09-10,1.3847
2021-09-13,1.3844
2021-09-14,1.3848
2021-09-15,1.3837
2021-09-16,1.3785
2021-09-17,1.3755
2021-09-20,1.3656
2021-09-21,1.3663
2021-09-22,1.3669
2021-09-23,1.3745
2021-09-24,1.3681
2021-09-27,1.3712
2021-09-28,1.3537
2021-09-29,1.3439
2021-09-30,1.347
2021-10-01,1.3572
2021-10-04,1.3602
2021-10-05,1.364
2021-10-06,1.3569
2021-10-07,1.3634
2021-10-08,1.363
2021-10-11,
