Date,DGS10
2024-01-01,
2024-01-02,3.95
2024-01-03,3.91
2024-01-04,3.99
2024-01-05,4.05
2024-01-08,4.01
2024-01-09,4.02
2024-01-10,4.04
2024-01-11,3.98
2024-01-12,3.96
2024-01-15,
2024-01-16,4.07
2024-01-17,4.1
2024-01-18,4.14
2024-01-19,4.15
2024-01-22,4.11
2024-01-23,4.14
2024-01-24,4.18
2024-01-25,4.14
2024-01-26,4.15
2024-01-29,4.08
2024-01-30,4.06
2024-01-31,3.99
2024-02-01,3.87
2024-02-02,4.03
2024-02-05,4.17
2024-02-06,4.09
2024-02-07,4.09
2024-02-08,4.15
2024-02-09,4.17
2024-02-12,4.17
2024-02-13,4.31
2024-02-14,4.27
2024-02-15,4.24
2024-02-16,4.3
2024-02-19,
2024-02-20,4.27
2024-02-21,4.32
2024-02-22,4.33
2024-02-23,4.26
2024-02-26,4.28
2024-02-27,4.31
2024-02-28,4.27
2024-02-29,4.25
2024-03-01,4.19
2024-03-04,4.22
2024-03-05,4.13
2024-03-06,4.11
2024-03-07,4.09
2024-03-08,4.09
2024-03-11,4.1
2024-03-12,4.16
2024-03-13,4.19
2024-03-14,4.29
2024-03-15,4.31
2024-03-18,4.34
2024-03-19,4.3
2024-03-20,4.27
2024-03-21,4.27
2024-03-22,4.22
2024-03-25,4.25
2024-03-26,4.24
2024-03-27,4.2
2024-03-28,4.2
2024-03-29,
2024-04-01,4.33
2024-04-02,4.36
2024-04-03,4.36
2024-04-04,4.31
2024-04-05,4.39
2024-04-08,4.42
2024-04-09,4.36
2024-04-10,4.55
2024-04-11,4.56
2024-04-12,4.5
2024-04-15,4.63
2024-04-16,4.67
2024-04-17,4.59
2024-04-18,4.64
2024-04-19,4.62
2024-04-22,4.62
2024-04-23,4.61
2024-04-24,4.65
2024-04-25,4.7
2024-04-26,4.67
2024-04-29,4.63
2024-04-30,4.69
2024-05-01,4.63
2024-05-02,4.58
2024-05-03,4.5
2024-05-06,4.49
2024-05-07,4.47
2024-05-08,4.48
2024-05-09,4.45
2024-05-10,4.5
2024-05-13,4.48
2024-05-14,4.45
2024-05-15,4.36
2024-05-16,4.38
2024-05-17,4.42
2024-05-20,4.44
2024-05-21,4.41
2024-05-22,4.43
2024-05-23,4.47
2024-05-24,4.46
2024-05-27,
2024-05-28,4.54
2024-05-29,4.61
2024-05-30,4.55
2024-05-31,4.51
2024-06-03,4.41
2024-06-04,4.33
2024-06-05,4.29
2024-06-06,4.28
2024-06-07,4.43
2024-06-10,4.47
2024-06-11,4.39
2024-06-12,4.31
2024-06-13,4.24
2024-06-14,4.2
2024-06-17,4.28
2024-06-18,4.22
2024-06-19,
2024-06-20,4.25
2024-06-21,4.25
2024-06-24,4.25
2024-06-25,4.23
2024-06-26,4.32
2024-06-27,4.29
2024-06-28,4.36
2024-07-01,4.48
2024-07-02,4.43
2024-07-03,4.36
2024-07-04,
2024-07-05,4.28
2024-07-08,4.28
2024-07-09,4.3
2024-07-10,4.28
2024-07-11,4.2
2024-07-12,4.18
2024-07-15,4.23
2024-07-16,4.17
2024-07-17,4.16
2024-07-18,4.2
2024-07-19,4.25
2024-07-22,4.26
2024-07-23,4.25
2024-07-24,4.28
2024-07-25,4.27
2024-07-26,4.2
2024-07-29,4.17
2024-07-30,4.15
2024-07-31,4.09
2024-08-01,3.99
2024-08-02,3.8
2024-08-05,3.78
2024-08-06,3.9
2024-08-07,3.96
2024-08-08,3.99
2024-08-09,3.94
2024-08-12,3.9
2024-08-13,3.85
2024-08-14,3.83
2024-08-15,3.92
2024-08-16,3.89
2024-08-19,3.86
2024-08-20,3.82
2024-08-21,3.79
2024-08-22,3.86
2024-08-23,3.81
2024-08-26,3.82
