news_title,news_category,news_date
"<유>폴루스바이오팜, 매수잔량 451% 급증",증권News봇,2019.03.29
"<유>폴루스바이오팜, 매도잔량 307% 급증",증권News봇,2019.03.28
"오전 10:30 현재 코스피는 44:56으로 매수우위, 매수강세 업종은 전기가스업(1.74%↓)",증권News봇,2019.03.28
"오전 9:30 현재 코스피는 45:55으로 매수우위, 매수강세 업종은 의약품업(1.66%↓)",증권News봇,2019.03.28
"[개장 시황] 코스피 2131.25.. 외국인과 기관의 '팔자' 기조에 하락 출발 (▼14.37, -0.67%)",증권News봇,2019.03.28
"<유>폴루스바이오팜, 매수잔량 367% 급증",증권News봇,2019.03.27
"<유>폴루스바이오팜, 전일 대비 7.70% 상승.. 일일회전율은 6.94% 기록",증권News봇,2019.03.27
"<유>폴루스바이오팜, 4.98% 오르며 체결강도 강세로 반전(139%)",증권News봇,2019.03.27
"오후 3:00 현재 코스피는 44:56으로 매수우위, 매도강세 업종은 건설업(0.22%↑)",증권News봇,2019.03.26
"오후 2:30 현재 코스피는 45:55으로 매수우위, 매도강세 업종은 철강금속업(0.29%↓)",증권News봇,2019.03.26
"오후 2:00 현재 코스피는 45:55으로 매수우위, 매도강세 업종은 통신업(0.77%↓)",증권News봇,2019.03.26
"오후 1:30 현재 코스피는 45:55으로 매수우위, 매도강세 업종은 서비스업(1.42%↑)",증권News봇,2019.03.26
"오후 1:00 현재 코스피는 46:54으로 매수우위, 매도강세 업종은 유통업(0.80%↑)",증권News봇,2019.03.26
"오후 12:30 현재 코스피는 45:55으로 매수우위, 매도강세 업종은 건설업(0.18%↑)",증권News봇,2019.03.26
"[정오 시황] 코스피 2152.39, 상승세(▲7.53, +0.35%) 지속",증권News봇,2019.03.26
"오후 12:00 현재 코스피는 45:55으로 매수우위, 매도강세 업종은 유통업(0.82%↑)",증권News봇,2019.03.26
"<유>폴루스바이오팜, 매도잔량 327% 급증",증권News봇,2019.03.26
"오전 11:30 현재 코스피는 47:53으로 매수우위, 매도강세 업종은 음식료품업(1.30%↑)",증권News봇,2019.03.26
"오전 11:00 현재 코스피는 46:54으로 매수우위, 매도강세 업종은 음식료품업(1.17%↑)",증권News봇,2019.03.26
"오전 10:30 현재 코스피는 47:53으로 매수우위, 매도강세 업종은 음식료품업(1.20%↑)",증권News봇,2019.03.26
"<유>폴루스바이오팜, 전일 대비 7.55% 상승.. 일일회전율은 14.00% 기록",증권News봇,2019.03.26
"[마감 시황] 외국인과 기관의 동반 매도세.. 코스피 2144.86(▼42.09, -1.92%) 하락 마감",증권News봇,2019.03.25
"오후 3:20 현재 코스피는 39:61으로 매수우위, 매수강세 업종은 운수창고업(1.84%↓)",증권News봇,2019.03.25
"오후 3:00 현재 코스피는 39:61으로 매수우위, 매수강세 업종은 운수창고업(1.78%↓)",증권News봇,2019.03.25
"<유>폴루스바이오팜, 매도잔량 581% 급증",증권News봇,2019.03.25
"오후 2:30 현재 코스피는 38:62으로 매수우위, 매수강세 업종은 운수창고업(1.84%↓)",증권News봇,2019.03.25
"<유>폴루스바이오팜, 상한가 진입.. +29.85% ↑",증권News봇,2019.03.25
"오후 2:00 현재 코스피는 38:62으로 매수우위, 매수강세 업종은 운수창고업(1.79%↓)",증권News봇,2019.03.25
"오후 1:30 현재 코스피는 39:61으로 매수우위, 매수강세 업종은 운수창고업(1.71%↓)",증권News봇,2019.03.25
"오후 1:00 현재 코스피는 39:61으로 매수우위, 매수강세 업종은 운수창고업(1.64%↓)",증권News봇,2019.03.25
"오후 12:30 현재 코스피는 38:62으로 매수우위, 매수강세 업종은 운수창고업(1.68%↓)",증권News봇,2019.03.25
"[정오 시황] 코스피 2150.79, 하락세(▼36.16, -1.65%) 지속",증권News봇,2019.03.25
"전기전자업(-2.90%↓)이 약세인 가운데, 코스피도 하락 흐름(-1.68%↓)",증권News봇,2019.03.25
"오후 12:00 현재 코스피는 39:61으로 매수우위, 매수강세 업종은 운수창고업(1.75%↓)",증권News봇,2019.03.25
"오전 11:30 현재 코스피는 38:62으로 매수우위, 매수강세 업종은 운수창고업(1.62%↓)",증권News봇,2019.03.25
"오전 11:00 현재 코스피는 40:60으로 매수우위, 매수강세 업종은 전기가스업(1.02%↓)",증권News봇,2019.03.25
"폴루스바이오팜, 한정의견 후 거래 재개…“폴루스 공장 가동에 총력”",증권국내증시,2019.03.25
"오전 10:30 현재 코스피는 40:60으로 매수우위, 매수강세 업종은 전기가스업(1.13%↓)",증권News봇,2019.03.25
"전기전자업(-3.32%↓)이 약세인 가운데, 코스피도 하락 흐름(-1.68%↓)",증권News봇,2019.03.25
"오전 10:00 현재 코스피는 40:60으로 매수우위, 매수강세 업종은 전기가스업(0.92%↓)",증권News봇,2019.03.25
"<유>폴루스바이오팜, 매수잔량 318% 급증",증권News봇,2019.03.25
"<유>폴루스바이오팜, 전일 대비 14.81% 상승.. 일일회전율은 11.62% 기록",증권News봇,2019.03.25
"오전 9:30 현재 코스피는 40:60으로 매수우위, 매수강세 업종은 금융업(1.07%↓)",증권News봇,2019.03.25
"<유>폴루스바이오팜, 현재가 7.16% 급락",증권News봇,2019.03.25
잇따르는 관리종목 지정...자산운용시장에도 파장 미치나,증권종목·투자전략,2019.03.25
잇따르는 관리종목 지정...자산운용시장에도 파장 미치나,증권국내증시,2019.03.24
"<유>폴루스바이오팜, 장중 신저가 기록.. 2,260→2,225(▼35)",증권News봇,2019.03.21
"오후 2:00 현재 코스피는 43:57으로 매수우위, 매수강세 업종은 전기가스업(3.22%↓)",증권News봇,2019.03.20
"오전 10:00 현재 코스피는 44:56으로 매수우위, 매수강세 업종은 운수창고업(1.00%↓)",증권News봇,2019.03.20
"오전 9:30 현재 코스피는 44:56으로 매수우위, 매수강세 업종은 전기가스업(1.25%↓)",증권News봇,2019.03.20
"[개장 시황] 코스피 2171.41.. 기관의 '팔자' 기조에 하락 출발 (▼6.21, -0.29%)",증권News봇,2019.03.20
"<유>폴루스바이오팜, 장중 신저가 기록.. 2,665→2,465(▼200)",증권News봇,2019.03.20
"오후 3:20 현재 코스피는 52:48으로 매도우위, 매수강세 업종은 전기가스업(2.51%↓)",증권News봇,2019.03.19
"오후 3:00 현재 코스피는 51:49으로 매도우위, 매수강세 업종은 전기가스업(2.50%↓)",증권News봇,2019.03.19
"오후 2:30 현재 코스피는 52:48으로 매도우위, 매수강세 업종은 전기가스업(2.60%↓)",증권News봇,2019.03.19
"오후 2:00 현재 코스피는 50:50으로 보합세, 매수강세 업종은 전기가스업(2.46%↓)",증권News봇,2019.03.19
"오후 1:30 현재 코스피는 51:49으로 매도우위, 매수강세 업종은 전기가스업(2.23%↓)",증권News봇,2019.03.19
"오후 1:00 현재 코스피는 51:49으로 매도우위, 매수강세 업종은 전기가스업(2.03%↓)",증권News봇,2019.03.19
"오후 12:30 현재 코스피는 52:48으로 매도우위, 매수강세 업종은 전기가스업(2.05%↓)",증권News봇,2019.03.19
"[정오 시황] 코스피 2177.28, 하락세(▼2.21, -0.10%) 반전",증권News봇,2019.03.19
"오후 12:00 현재 코스피는 52:48으로 매도우위, 매수강세 업종은 전기가스업(2.04%↓)",증권News봇,2019.03.19
"오전 11:30 현재 코스피는 52:48으로 매도우위, 매수강세 업종은 전기가스업(2.03%↓)",증권News봇,2019.03.19
"오전 11:00 현재 코스피는 51:49으로 매도우위, 매수강세 업종은 전기가스업(2.11%↓)",증권News봇,2019.03.19
"<유>폴루스바이오팜, 매수잔량 1934% 급증",증권News봇,2019.03.19
"<유>폴루스바이오팜, 하한가 진입.. -29.96% ↓",증권News봇,2019.03.19
"오전 10:30 현재 코스피는 53:47으로 매도우위, 매도강세 업종은 금융업(0.10%↑)",증권News봇,2019.03.19
"오전 10:00 현재 코스피는 52:48으로 매도우위, 매도강세 업종은 서비스업(0.34%↓)",증권News봇,2019.03.19
"<유>폴루스바이오팜, 장중 신저가 기록.. 3,555→3,475(▼80)",증권News봇,2019.03.19
"[개장 시황] 코스피 2179.69.. 기관의 순매수에 상승 출발 (▲3.58, +0.16%)",증권News봇,2019.03.18
"<유>웅진에너지, 하한가 진입.. -29.88% ↓",증권News봇,2019.03.15
"<유>폴루스바이오팜, 4.70% 오르며 체결강도 강세로 반전(101%)",증권News봇,2019.03.14
"<유>폴루스바이오팜, 매도잔량 480% 급증",증권News봇,2019.03.12
"<유>폴루스바이오팜, 전일 대비 7.11% 상승.. 일일회전율은 2.20% 기록",증권News봇,2019.03.12
"<유>폴루스바이오팜, 3.30% 오르며 체결강도 강세 지속(174%)",증권News봇,2019.03.12
"<유>폴루스바이오팜, 매도잔량 573% 급증",증권News봇,2019.03.08
"<유>폴루스바이오팜, 전일 대비 8.03% 상승.. 일일회전율은 1.94% 기록",증권News봇,2019.03.08
"<유>폴루스바이오팜, 매도잔량 324% 급증",증권News봇,2019.03.07
"<유>폴루스바이오팜, 장중 신저가 기록.. 3,790→3,705(▼85)",증권News봇,2019.03.06
"<유>폴루스바이오팜, 장중 신저가 기록.. 3,875→3,865(▼10)",증권News봇,2019.03.05
"<유>폴루스바이오팜, 매수잔량 352% 급증",증권News봇,2019.03.04
"<유>폴루스바이오팜, 3.21% 오르며 체결강도 강세로 반전(102%)",증권News봇,2019.03.04
"<유>폴루스바이오팜, 3.20% 오르며 체결강도 강세로 반전(109%)",증권News봇,2019.02.27
"<유>폴루스바이오팜, 매도잔량 461% 급증",증권News봇,2019.02.26
"<유>폴루스바이오팜, 3.35% 오르며 체결강도 강세 지속(107%)",증권News봇,2019.02.26
"<유>폴루스바이오팜, 3.11% 오르며 체결강도 강세 지속(149%)",증권News봇,2019.02.26
"<유>폴루스바이오팜, 장중 신저가 기록.. 3,990→3,925(▼65)",증권News봇,2019.02.25
"<유>폴루스바이오팜, 장중 신저가 기록.. 4,125→4,075(▼50)",증권News봇,2019.02.22
"<유>폴루스바이오팜, 매도잔량 305% 급증",증권News봇,2019.02.13
"<유>폴루스바이오팜, 3.83% 오르며 체결강도 강세로 반전(104%)",증권News봇,2019.02.13
"<유>폴루스바이오팜, 장중 신저가 기록.. 4,240→4,230(▼10)",증권News봇,2019.02.07
잇따르는 관리종목 지정...자산운용시장에도 파장 미치나,증권국내증시,2019.03.24
"<유>폴루스바이오팜, 장중 신저가 기록.. 2,260→2,225(▼35)",증권News봇,2019.03.21
"오후 2:00 현재 코스피는 43:57으로 매수우위, 매수강세 업종은 전기가스업(3.22%↓)",증권News봇,2019.03.20
"오전 10:00 현재 코스피는 44:56으로 매수우위, 매수강세 업종은 운수창고업(1.00%↓)",증권News봇,2019.03.20
"오전 9:30 현재 코스피는 44:56으로 매수우위, 매수강세 업종은 전기가스업(1.25%↓)",증권News봇,2019.03.20
"오후 2:00 현재 코스피는 53:47으로 매도우위, 매도강세 업종은 전기전자업(3.94%↑)",증권News봇,2019.01.25
"오후 1:30 현재 코스피는 53:47으로 매도우위, 매도강세 업종은 전기전자업(3.65%↑)",증권News봇,2019.01.25
"오후 1:00 현재 코스피는 55:45으로 매도우위, 매도강세 업종은 운수장비업(0.23%↓)",증권News봇,2019.01.25
"오후 12:30 현재 코스피는 54:46으로 매도우위, 매도강세 업종은 전기전자업(2.83%↑)",증권News봇,2019.01.25
"[정오 시황] 코스피 2164.64, 상승세(▲19.61, +0.91%) 지속",증권News봇,2019.01.25
"오후 12:00 현재 코스피는 53:47으로 매도우위, 매도강세 업종은 전기전자업(2.81%↑)",증권News봇,2019.01.25
