news_title,news_category,news_date
"오전 10:30 현재 코스피는 45:55으로 매수우위, 매수강세 업종은 비금속광물업(2.75%↓)",증권News봇,2022.06.29
"<유>두산퓨얼셀2우B, 전일 대비 16.80% 상승.. 일일회전율은 3.70% 기록",증권News봇,2022.06.29
"<유>두산퓨얼셀2우B, 매도잔량 629% 급증",증권News봇,2022.06.23
"<유>두산퓨얼셀2우B, 장중 신저가 기록.. 12,050→12,000(▼50)",증권News봇,2022.06.23
[특징주] 수소법 통과 기대감에 수소株 훨훨,경제·금융경제·금융일반,2022.05.06
"<유>두산퓨얼셀2우B, 전일 대비 12.58% 상승.. 일일회전율은 13.60% 기록",증권News봇,2022.05.06
"<유>두산퓨얼셀2우B, 현재가 5.09% 급등",증권News봇,2022.05.06
"<유>두산퓨얼셀2우B, 4.97% 오르며 체결강도 강세로 반전(132%)",증권News봇,2022.05.06
장 중 기업공시[4월 27일],증권국내증시,2022.04.27
"오후 2:00 현재 코스피는 37:63으로 매수우위, 매수강세 업종은 전기가스업(0.24%↑)",증권News봇,2022.04.27
"오후 1:30 현재 코스피는 35:65으로 매수우위, 매수강세 업종은 전기가스업(0.35%↑)",증권News봇,2022.04.27
"오후 1:00 현재 코스피는 37:63으로 매수우위, 매수강세 업종은 전기가스업(0.36%↑)",증권News봇,2022.04.27
"오후 12:30 현재 코스피는 37:63으로 매수우위, 매수강세 업종은 전기가스업(0.35%↑)",증권News봇,2022.04.27
"<유>두산퓨얼셀2우B, 매도잔량 502% 급증",증권News봇,2022.04.27
"<유>두산퓨얼셀2우B, 상한가 진입.. +29.94% ↑",증권News봇,2022.04.27
"<유>두산퓨얼셀2우B, 매도잔량 977% 급증",증권News봇,2022.04.27
"<유>두산퓨얼셀2우B, 전일 대비 26.11% 상승.. 일일회전율은 3.89% 기록",증권News봇,2022.04.27
"산업부, 수소생산 설비에 '규제 샌드박스' 적용 추진",경제·금융경제동향,2022.04.21
