news_title,news_category,news_date
장중 달러당 145엔 재진입…바닥 뚫는 엔화,국제국제일반,2023.06.30
"국제금융센터 “올 하반기 금융, 우려보다 기대 크다…달러는 완만한 약세”",경제·금융경제·금융일반,2023.06.29
"""반도체 실적 회복 본격화…코스피 3000 넘본다""",증권국내증시,2023.06.26
中·日은 완화기조 유지…통화 가치 7개월래 최저,국제국제일반,2023.06.23
연준 긴축 우려에 환율 2주 만에 다시 1300원대 진입,경제·금융경제·금융일반,2023.06.23
파월 “추가 금리인상” 재확인…영국·노르웨이 0.5%p 인상 [김영필의 3분 월스트리트],증권해외증시,2023.06.23
"""통화스와프 한일 관계회복에 방점…내달 물가 2%대, 연말 3% 예상""",경제·금융경제·금융일반,2023.06.19
돈풀기에 맥못추는 엔화…추가 하락 가능성,경제·금융경제동향,2023.06.19
[이슈 리포트] 中추격에 수출 감소…신산업 클러스터 조성등 경쟁력 확보 나서야,경제·금융경제동향,2023.06.16
"美 추가 금리인상 불씨에…'동결' 가닥 잡았던 한은, 셈법 더 복잡해져",경제·금융경제동향,2023.06.15
日 나홀로 통화완화에 한달새 100원 뚝…수출·여행수지 악재될라,경제·금융경제동향,2023.06.14
'反이민 포퓰리즘'은 옛말…저출산·인재쟁탈에 빗장 푼 지구촌,국제국제일반,2023.06.13
한미 1.75%P 금리차 유지땐 외환·금융시장 안정 기대,경제·금융경제동향,2023.06.11
"캐나다·호주 금리인상 유턴…""韓도 물가 안심할 단계 아냐""",경제·금융경제·금융일반,2023.06.08
한은 “국내 통화정책 기조 바뀌면 환율 다시 오를 수도”,경제·금융경제·금융일반,2023.06.08
환율 두달만에 장중 1300원 아래로,경제·금융경제·금융일반,2023.06.07
"서영경 금통위원 “환율, 코로나 이전인 1100원대로 돌아가기 힘들어”",경제·금융경제·금융일반,2023.06.02
한은 국장 “집값 아직 고평가…부동산 연착륙이 오히려 안정 위협할 수도”,경제·금융경제·금융일반,2023.05.30
"'30년 집권' 길 연 에르도안, 정치·경제 역주행 '마이웨이' 심해질 듯",국제경제·마켓,2023.05.29
커지는 '연내 피벗' 기대감에…李총재 “금리 못 올릴거라 생각 말라”,경제·금융경제·금융일반,2023.05.25
日 나홀로 통화완화에 한달새 100원 뚝…수출·여행수지 악재될라,경제·금융경제동향,2023.06.14
'反이민 포퓰리즘'은 옛말…저출산·인재쟁탈에 빗장 푼 지구촌,국제국제일반,2023.06.13
한미 1.75%P 금리차 유지땐 외환·금융시장 안정 기대,경제·금융경제동향,2023.06.11
"캐나다·호주 금리인상 유턴…""韓도 물가 안심할 단계 아냐""",경제·금융경제·금융일반,2023.06.08
한은 “국내 통화정책 기조 바뀌면 환율 다시 오를 수도”,경제·금융경제·금융일반,2023.06.08
환율 두달만에 장중 1300원 아래로,경제·금융경제·금융일반,2023.06.07
"서영경 금통위원 “환율, 코로나 이전인 1100원대로 돌아가기 힘들어”",경제·금융경제·금융일반,2023.06.02
한은 국장 “집값 아직 고평가…부동산 연착륙이 오히려 안정 위협할 수도”,경제·금융경제·금융일반,2023.05.30
"'30년 집권' 길 연 에르도안, 정치·경제 역주행 '마이웨이' 심해질 듯",국제경제·마켓,2023.05.29
커지는 '연내 피벗' 기대감에…李총재 “금리 못 올릴거라 생각 말라”,경제·금융경제·금융일반,2023.05.25
서영경 금통위원 “노동시장 긴장 완화되면 물가 하락 영향”,경제·금융경제·금융일반,2023.04.25
"[다음주 증시전망] 美경기 불확실성에 또 박스권…""정상회담·실적은 변수""",증권정책,2023.04.22
외환 스와프 확대했지만…무역적자에 맥없이 출렁이는 원화,경제·금융경제·금융일반,2023.04.20
이창용 총재 'K점도표'로 투명성 높였지만…정부와 밀착에 한은 독립성 우려도,경제·금융경제·금융일반,2023.04.17
"이창용 ""급속한 뱅크런 대비…은행 담보자산 상향 검토""",국제정치·사회,2023.04.16
"이창용 “물가목표 상향, 선택지 없는 신흥국의 좋은 대안”",경제·금융경제동향,2023.04.15
캐나다·호주 이어 싱가포르도 '긴축 중단',국제국제일반,2023.04.14
"""한전채 계속 발행되면 문제…전기료 인상으로 대응해야""",경제·금융경제동향,2023.04.11
"[SEN]코스피, 장중 2,550선 터치…금리 동결에 투심↑ ?",증권국내증시,2023.04.11
4%대 물가에 SVB 사태로 금리 연속 동결…사실상 금리 인상 종료,경제·금융경제·금융일반,2023.04.11
[이번주 증시 전망] 美 CPI·의사록에 쏠린 눈…실적도 변수,증권국내증시,2023.04.10
"전문가 83% ""한은 11일 기준금리 동결할듯",증권국내증시,2023.04.07
펀더멘털이 가른 환율…무역 도움커녕 '나쁜 원低' 늪 빠질수도,경제·금융경제·금융일반,2023.04.06
유가 10% 뛰면 물가 0.3%P 올라…고민 커진 금통위,경제·금융경제·금융일반,2023.04.03
