news_title,news_category,news_date
2월 생산 0.2%↓·투자 5.7%↓…선행지수 8개월째 하락,경제·금융경제동향,2022.03.31
"中 SMIC, 지난해 순이익 2조440억, 전년 대비 178.6%↑",증권해외증시,2022.03.31
"왕규창 의학한림원장 “바이오생명과학 大國, 합심해도 모자란데…정부·의사 불신 골 메워야” [청론직설]",산업IT,2022.03.30
"나이키, 재활용운동화로 농구코트 제작…MS는 '사내 탄소세' 부과",산업기업,2022.03.30
"대동그룹, 배터리 교환형 전기이륜차 시장 진출",산업기업,2022.03.29
"[뒷북비즈] 송호성 기아 사장 ""기아, 5년 후 수소 PBV 상용차 출시""",산업기업,2022.03.28
"[단독] ""기아, 5년 후 수소 PBV 상용차 출시…물류차량 게임체인저될 것""",산업기업,2022.03.27
"실험실에서 배양한 고기, 드셔보시겠습니까[지구용]",산업바이오,2022.03.27
“우크라 전쟁에 세계화 끝났다”…美 소비 논쟁도 지속 [김영필의 3분 월스트리트],증권해외증시,2022.03.25
"신흥국 위기 서막인가…이집트, IMF에 ‘SOS’",국제국제일반,2022.03.24
"종근당건강, 충남 당진에 국내 최대 건강기능식품 공장 준공",사회사회일반,2022.03.23
6년만에 ‘엔저의 공습’…日과 수출경합 벌이는 韓 경제엔 악재,경제·금융경제동향,2022.03.22
그린북서 '경제회복' 문구가 사라졌다,경제·금융경제동향,2022.03.18
"정부 ""코로나에 내수회복 제약 우려…대외불확실성은 지속확대""",경제·금융경제동향,2022.03.18
"파월 ""경기침체 가능성 낮다""…가장 공격적 금리인상 시작",국제국제일반,2022.03.17
[김동헌 칼럼]시장경제 회복과 차기 한은 총재 역량,경제·금융경제동향,2022.03.16
“프리미엄 홈 인테리어는 이제 한샘”,산업기업,2022.03.14
"DL케미칼, 크레이튼 인수 완료…글로벌 경영 본격화",부동산건설업계,2022.03.14
"DL케미칼, 美크레이튼 인수 완료로 글로벌 경영 박차",산업기업,2022.03.14
[새 대통령에게 바란다] 경제 활력 줄 생태계 복원해야,오피니언사외칼럼,2022.03.14
韓성장률 2.8%로 낮춰잡은 골드만삭스,경제·금융경제·금융일반,2022.03.10
'유가하락·새정부' 날개 단 코스피 2% '쑥'…4거래일 만 반등 성공 [마감시황],증권국내증시,2022.03.10
"골드만삭스 ""새 정부 친기업·보수적 재정정책…올해 성장률 3.2%→2.8%""[대통령 윤석열]",경제·금융경제·금융일반,2022.03.10
유가 -12%였지만 美 2월 CPI 7.8% 전망…3·4월에 더 오른다 [김영필의 3분 월스트리트],국제경제·마켓,2022.03.10
“美 독자 에너지 제재해도 EU는 시간필요”…“美증시 더 떨어질 가능성” [김영필의 3분 월스트리트],국제경제·마켓,2022.03.08
"美 금리 올리기도 전인데…""이대로면 환율 1300원대도 위협""",경제·금융경제동향,2022.03.07
"'공동부유' 빼고 시장중시 한다지만 …中, '5.5% 성장' 어려울 듯",국제경제·마켓,2022.03.06
인텔·애플 등 러시아 철수하는데…韓 기업들 '어쩌나' [뒷북비즈],산업기업,2022.03.05
"대한항공, 모스크바 노선 중단…가전기업은 러 프로모션 취소",산업기업,2022.03.04
"사모펀드, 기업 성장 해결사로…인수 1년 만에 매출 2배",증권국내증시,2022.03.01
ESG 열풍 타고…소셜벤처 2년새 두 배 늘었다,산업기업,2022.02.27
"[뒷북경제] ""경제는 심리""라지만… 도그마에 빠진 경제 관료",경제·금융경제동향,2022.02.26
인쇄만 하면 끝…소상공인 디자이너 울리는 중국산 표절 스티커 범람,산업중기·벤처,2022.02.24
"위닉스, 옷감손상 최소화 하는 텀블건조기 출시",산업기업,2022.02.24
① 수출 역대 최대라지만…에너지 수입 급증에 석달째 무역적자 [정치권의 韓경제 4대 착시],경제·금융경제동향,2022.02.23
