일자,수익률,대비
2023-01-02,3.769,-0.004
2023-01-03,3.705,-0.064
2023-01-04,3.669,-0.036
2023-01-05,3.649,-0.02
2023-01-06,3.607,-0.042
2023-01-09,3.583,-0.024
2023-01-10,3.588,0.005
2023-01-11,3.571,-0.017
2023-01-12,3.596,0.025
2023-01-13,3.554,-0.042
2023-01-16,3.599,0.045
2023-01-17,3.605,0.006
2023-01-18,3.572,-0.033
2023-01-19,3.532,-0.04
2023-01-20,3.548,0.016
2023-01-25,3.535,-0.013
2023-01-26,3.531,-0.004
2023-01-27,3.506,-0.025
2023-01-30,3.472,-0.034
2023-01-31,3.489,0.017
2023-02-01,3.447,-0.042
2023-02-02,3.424,-0.023
2023-02-03,3.4,-0.024
2023-02-06,3.459,0.059
2023-02-07,3.447,-0.012
2023-02-08,3.445,-0.002
2023-02-09,3.46,0.015
2023-02-10,3.451,-0.009
2023-02-13,3.478,0.027
2023-02-14,3.493,0.015
2023-02-15,3.546,0.053
2023-02-16,3.54,-0.006
2023-02-17,3.61,0.07
2023-02-20,3.616,0.006
2023-02-21,3.592,-0.024
2023-02-22,3.607,0.015
2023-02-23,3.602,-0.005
2023-02-24,3.582,-0.02
2023-02-27,3.652,0.07
2023-02-28,3.701,0.049
2023-03-02,3.74,0.039
2023-03-03,3.707,-0.033
2023-03-06,3.699,-0.008
2023-03-07,3.666,-0.033
2023-03-08,3.696,0.03
2023-03-09,3.692,-0.004
2023-03-10,3.651,-0.041
2023-03-13,3.538,-0.113
2023-03-14,3.484,-0.054
2023-03-15,3.469,-0.015
2023-03-16,3.385,-0.084
2023-03-17,3.355,-0.03
2023-03-20,3.296,-0.059
2023-03-21,3.301,0.005
2023-03-22,3.292,-0.009
2023-03-23,3.29,-0.002
2023-03-24,3.285,-0.005
2023-03-27,3.29,0.005
2023-03-28,3.288,-0.002
2023-03-29,3.287,-0.001
2023-03-30,3.269,-0.018
2023-03-31,3.274,0.005
2023-04-03,3.308,0.034
2023-04-04,3.281,-0.027
2023-04-05,3.289,0.008
2023-04-06,3.275,-0.014
2023-04-07,3.282,0.007
2023-04-10,3.263,-0.019
2023-04-11,3.279,0.016
2023-04-12,3.272,-0.007
2023-04-13,3.235,-0.037
2023-04-14,3.235,0.0
2023-04-17,3.242,0.007
2023-04-18,3.228,-0.014
2023-04-19,3.237,0.009
2023-04-20,3.234,-0.003
2023-04-21,3.218,-0.016
2023-04-24,3.217,-0.001
2023-04-25,3.228,0.011
2023-04-26,3.219,-0.009
2023-04-27,3.253,0.034
2023-04-28,3.281,0.028
2023-05-02,3.324,0.043
2023-05-03,3.335,0.011
2023-05-04,3.326,-0.009
2023-05-08,3.342,0.016
2023-05-09,3.344,0.002
2023-05-10,3.353,0.009
2023-05-11,3.344,-0.009
2023-05-12,3.35,0.006
2023-05-15,3.391,0.041
2023-05-16,3.392,0.001
2023-05-17,3.416,0.024
2023-05-18,3.426,0.01
2023-05-19,3.445,0.019
2023-05-22,3.447,0.002
2023-05-23,3.47,0.023
2023-05-24,3.464,-0.006
2023-05-25,3.513,0.049
2023-05-26,3.538,0.025
2023-05-30,3.569,0.031
2023-05-31,3.54,-0.029
2023-06-01,3.546,0.006
2023-06-02,3.51,-0.036
2023-06-05,3.538,0.028
2023-06-07,3.514,-0.024
2023-06-08,3.531,0.017
2023-06-09,3.503,-0.028
2023-06-12,3.492,-0.011
2023-06-13,3.467,-0.025
2023-06-14,3.489,0.022
2023-06-15,3.507,0.018
2023-06-16,3.502,-0.005
2023-06-19,3.514,0.012
2023-06-20,3.503,-0.011
2023-06-21,3.502,-0.001
2023-06-22,3.506,0.004
2023-06-23,3.51,0.004
2023-06-26,3.505,-0.005
2023-06-27,3.501,-0.004
2023-06-28,3.508,0.007
2023-06-29,3.525,0.017
2023-06-30,3.563,0.038
2023-07-03,3.559,-0.004
2023-07-04,3.562,0.003
2023-07-05,3.564,0.002
2023-07-06,3.59,0.026
2023-07-07,3.623,0.033
2023-07-10,3.665,0.042
2023-07-11,3.629,-0.036
2023-07-12,3.627,-0.002
2023-07-13,3.574,-0.053
2023-07-14,3.592,0.018
2023-07-17,3.588,-0.004
2023-07-18,3.58,-0.008
2023-07-19,3.542,-0.038
2023-07-20,3.552,0.01
2023-07-21,3.551,-0.001
2023-07-24,3.548,-0.003
2023-07-25,3.551,0.003
2023-07-26,3.524,-0.027
2023-07-27,3.506,-0.018
2023-07-28,3.521,0.015
2023-07-31,3.523,0.002
2023-08-01,3.494,-0.029
2023-08-02,3.494,0.0
2023-08-03,3.494,0.0
2023-08-04,3.498,0.004
2023-08-07,3.475,-0.023
2023-08-08,3.466,-0.009
2023-08-09,3.474,0.008
2023-08-10,3.475,0.001
2023-08-11,3.476,0.001
2023-08-14,3.489,0.013
2023-08-16,3.462,-0.027
2023-08-17,3.49,0.028
2023-08-18,3.471,-0.019
2023-08-21,3.51,0.039
2023-08-22,3.514,0.004
2023-08-23,3.508,-0.006
2023-08-24,3.511,0.003
2023-08-25,3.539,0.028
2023-08-28,3.534,-0.005
2023-08-29,3.526,-0.008
2023-08-30,3.515,-0.011
2023-08-31,3.5,-0.015
2023-09-01,3.497,-0.003
2023-09-04,3.518,0.021
2023-09-05,3.528,0.01
2023-09-06,3.514,-0.014
2023-09-07,3.568,0.054
2023-09-08,3.562,-0.006
2023-09-11,3.607,0.045
2023-09-12,3.622,0.015
2023-09-13,3.629,0.007
2023-09-14,3.633,0.004
2023-09-15,3.645,0.012
2023-09-18,3.664,0.019
2023-09-19,3.652,-0.012
2023-09-20,3.653,0.001
2023-09-21,3.672,0.019
2023-09-22,3.658,-0.014
2023-09-25,3.651,-0.007
2023-09-26,3.66,0.009
2023-09-27,3.661,0.001
2023-10-04,3.757,0.096
2023-10-05,3.744,-0.013
2023-10-06,3.722,-0.022
2023-10-10,3.723,0.001
2023-10-11,3.713,-0.01
2023-10-12,3.704,-0.009
2023-10-13,3.728,0.024
2023-10-16,3.739,0.011
2023-10-17,3.738,-0.001
2023-10-18,3.753,0.015
2023-10-19,3.767,0.014
2023-10-20,3.749,-0.018
2023-10-23,3.761,0.012
2023-10-24,3.738,-0.023
2023-10-25,3.743,0.005
2023-10-26,3.761,0.018
2023-10-27,3.749,-0.012
2023-10-30,3.745,-0.004
2023-10-31,3.74,-0.005
2023-11-01,3.731,-0.009
2023-11-02,3.687,-0.044
2023-11-03,3.693,0.006
2023-11-06,3.693,0.0
2023-11-07,3.722,0.029
2023-11-08,3.731,0.009
2023-11-09,3.734,0.003
2023-11-10,3.765,0.031
2023-11-13,3.793,0.028
2023-11-14,3.792,-0.001
2023-11-15,3.75,-0.042
2023-11-16,3.75,0.0
2023-11-17,3.741,-0.009
2023-11-20,3.729,-0.012
2023-11-21,3.715,-0.014
2023-11-22,3.72,0.005
2023-11-23,3.702,-0.018
2023-11-24,3.707,0.005
2023-11-27,3.716,0.009
2023-11-28,3.696,-0.02
2023-11-29,3.656,-0.04
2023-11-30,3.653,-0.003
2023-12-01,3.639,-0.014
2023-12-04,3.595,-0.044
2023-12-05,3.574,-0.021
2023-12-06,3.561,-0.013
2023-12-07,3.576,0.015
2023-12-08,3.56,-0.016
2023-12-11,3.575,0.015
2023-12-12,3.561,-0.014
2023-12-13,3.581,0.02
2023-12-14,3.484,-0.097
2023-12-15,3.489,0.005
2023-12-18,3.483,-0.006
2023-12-19,3.487,0.004
2023-12-20,3.462,-0.025
2023-12-21,3.454,-0.008
2023-12-22,3.453,-0.001
2023-12-26,3.459,0.006
2023-12-27,3.46,0.001
2023-12-28,3.434,-0.026
2023-12-29,3.434,0.0
