날짜,시가총액,거래량,거래대금,상장주식수
2019-04-01,337327055100,12548,78262600,53543977
2019-04-02,338397934640,6734,42432470,53543977
2019-04-03,334649856250,6095,38205650,53543977
2019-04-04,333043536940,12098,75794260,53543977
2019-04-05,340004253950,15006,94935130,53543977
2019-04-08,341610573260,30744,195625990,53543977
2019-04-09,345358651650,18205,116817830,53543977
2019-04-10,348035850500,23308,151002180,53543977
2019-04-11,345358651650,27384,177191370,53543977
2019-04-12,345358651650,16896,109343830,53543977
2019-04-15,350713049350,199829,1315412120,53543977
2019-04-16,344823211880,60771,384818440,53543977
2019-04-17,345894091420,28941,186149140,53543977
2019-04-18,343216892570,27448,177247330,53543977
2019-04-19,350177609580,25380,165504200,53543977
2019-04-22,353390248200,18957,124201130,53543977
2019-04-23,352854808430,19971,131577360,53543977
2019-04-24,345358651650,41796,269869780,53543977
2019-04-25,345358651650,20950,133884730,53543977
2019-04-26,328224579010,1216742,8308845630,53543977
2019-04-29,329295458550,82405,503186390,53543977
2019-04-30,340539693720,79583,496836140,53543977
2019-05-02,347500410730,72366,461448640,53543977
2019-05-03,341075133490,58356,375881050,53543977
2019-05-07,338933374410,26928,169918220,53543977
2019-05-08,346429531190,24723,156825370,53543977
2019-05-09,348035850500,59393,383207470,53543977
2019-05-10,338397934640,33661,217646440,53543977
2019-05-13,331972657400,35688,225174540,53543977
2019-05-14,337862494870,33198,208053950,53543977
2019-05-15,336256175560,12589,79378100,53543977
2019-05-16,346964970960,58790,378633120,53543977
2019-05-17,345358651650,28010,181415390,53543977
2019-05-20,334649856250,53349,335938400,53543977
2019-05-21,338397934640,25529,160471580,53543977
2019-05-22,334649856250,44941,278740990,53543977
2019-05-23,329295458550,28130,173809730,53543977
2019-05-24,329295458550,16472,100775840,53543977
2019-05-27,328760018780,34881,213252960,53543977
2019-05-28,326082819930,40129,246988530,53543977
2019-05-29,332508097170,20562,127068060,53543977
2019-05-30,328760018780,15977,99318020,53543977
2019-05-31,333043536940,26397,163399280,53543977
2019-06-03,332508097170,22197,138458900,53543977
2019-06-04,335720735790,19962,124556460,53543977
2019-06-05,335720735790,26723,167014230,53543977
2019-06-07,342681452800,16787,106393220,53543977
2019-06-10,342681452800,30722,195907170,53543977
2019-06-11,347500410730,27852,180040390,53543977
2019-06-12,346964970960,65054,419556710,53543977
2019-06-13,351248489120,51862,338050930,53543977
2019-06-14,344823211880,48946,317095630,53543977
2019-06-17,348035850500,30688,200680120,53543977
2019-06-18,351248489120,21424,139156470,53543977
2019-06-19,343216892570,117158,754942210,53543977
2019-06-20,347500410730,13790,89094300,53543977
2019-06-21,347500410730,20652,132890790,53543977
2019-06-24,344823211880,3808,24545800,53543977
2019-06-25,345358651650,15480,99560720,53543977
2019-06-26,344823211880,6042,38801840,53543977
2019-06-27,344287772110,16463,106378210,53543977
2019-06-28,352854808430,17636,114883770,53543977
