날짜,시가총액,거래량,거래대금,상장주식수
2022-07-01,175761900000,3649,393550000,1627425
2022-07-04,174948187500,3909,416367000,1627425
2022-07-05,174948187500,1524,163414000,1627425
2022-07-06,165183637500,4873,505608000,1627425
2022-07-07,170065912500,1103,113947500,1627425
2022-07-08,168438487500,1343,139883000,1627425
2022-07-11,166811062500,918,94282500,1627425
2022-07-12,168438487500,2667,270140000,1627425
2022-07-13,168438487500,2256,234470000,1627425
2022-07-14,166811062500,1316,136040000,1627425
2022-07-15,168438487500,944,96832000,1627425
2022-07-18,170879625000,1394,145450500,1627425
2022-07-19,172507050000,1861,195734500,1627425
2022-07-20,170879625000,1956,206593500,1627425
2022-07-21,174134475000,1622,172861500,1627425
2022-07-22,172507050000,1337,142746500,1627425
2022-07-25,173320762500,1059,112797500,1627425
2022-07-26,174948187500,947,101269000,1627425
2022-07-27,174134475000,1905,203055000,1627425
2022-07-28,175761900000,2007,217316500,1627425
2022-07-29,182271600000,14499,1622306500,1627425
2022-08-01,182271600000,4276,477604500,1627425
2022-08-02,182271600000,3268,362524500,1627425
2022-08-03,179830462500,2759,305414500,1627425
2022-08-04,177389325000,3155,345303000,1627425
2022-08-05,176575612500,1652,180520000,1627425
2022-08-08,180644175000,4023,445172000,1627425
2022-08-09,180644175000,3100,344445500,1627425
2022-08-10,181457887500,5620,630139500,1627425
2022-08-11,182271600000,4065,456673000,1627425
2022-08-12,179016750000,13157,1466707500,1627425
2022-08-16,179830462500,5307,583229000,1627425
2022-08-17,174948187500,3792,410538000,1627425
2022-08-18,174134475000,2606,280176500,1627425
2022-08-19,174134475000,1240,132521500,1627425
2022-08-22,173320762500,2751,292168000,1627425
2022-08-23,172507050000,1075,114431000,1627425
2022-08-24,177389325000,1750,189866000,1627425
2022-08-25,177389325000,952,104197000,1627425
2022-08-26,177389325000,592,64621500,1627425
2022-08-29,173320762500,1993,212174000,1627425
2022-08-30,173320762500,1525,161740000,1627425
2022-08-31,172507050000,1798,190602000,1627425
2022-09-01,169252200000,2422,251990500,1627425
2022-09-02,168438487500,1282,132744000,1627425
2022-09-05,165997350000,1553,158970000,1627425
2022-09-06,165183637500,1538,156229500,1627425
2022-09-07,163556212500,1625,163599500,1627425
2022-09-08,165997350000,1460,148026000,1627425
2022-09-13,170065912500,2463,255940000,1627425
2022-09-14,166811062500,2340,237240000,1627425
2022-09-15,165997350000,599,61499000,1627425
2022-09-16,164369925000,1005,101673500,1627425
2022-09-19,162742500000,1327,133252000,1627425
2022-09-20,163556212500,1745,175059500,1627425
2022-09-21,163556212500,840,84303700,1627425
2022-09-22,163556212500,1694,168843700,1627425
2022-09-23,162417015000,1099,109845900,1627425
2022-09-26,158185710000,3735,363901600,1627425
2022-09-27,159975877500,4207,408221000,1627425
2022-09-28,156232800000,4764,454950400,1627425
2022-09-29,155581830000,3481,332124700,1627425
2022-09-30,153954405000,1535,145600500,1627425
