날짜,시가총액,거래량,거래대금,상장주식수
2023-01-02,51742799500,4975,123487050,2111951
2023-01-03,50898019100,5018,120729750,2111951
2023-01-04,52165189700,3200,78289100,2111951
2023-01-05,52376384800,1356,33469050,2111951
2023-01-06,55121921100,1556,39993800,2111951
2023-01-09,55755506400,1936,50588700,2111951
2023-01-10,55755506400,1122,29603300,2111951
2023-01-11,54593933350,1757,45459600,2111951
2023-01-12,54593933350,513,13196500,2111951
2023-01-13,54382738250,1797,46592050,2111951
2023-01-16,54382738250,947,24356050,2111951
2023-01-17,55121921100,3579,91754300,2111951
2023-01-18,55016323550,686,17797300,2111951
2023-01-19,55333116200,769,20159050,2111951
2023-01-20,57550664750,3945,105255750,2111951
2023-01-25,56811481900,1470,39637550,2111951
2023-01-26,57022677000,839,22576350,2111951
2023-01-27,57339469650,1518,41077300,2111951
2023-01-30,56389091700,1797,47979250,2111951
2023-01-31,56811481900,1592,42740850,2111951
2023-02-01,56600286800,2171,58264700,2111951
2023-02-02,56600286800,938,25123900,2111951
2023-02-03,56600286800,889,23720150,2111951
2023-02-06,55121921100,1882,49505300,2111951
2023-02-07,54171543150,1837,47203850,2111951
2023-02-08,54699530900,2039,52685800,2111951
2023-02-09,53854750500,1873,48055100,2111951
2023-02-10,53854750500,1461,38592850,2111951
2023-02-13,53643555400,1258,31988100,2111951
2023-02-14,53854750500,1643,41777850,2111951
2023-02-15,52798775000,2033,51064150,2111951
2023-02-16,52904372550,1079,27193650,2111951
2023-02-17,52798775000,889,22216550,2111951
2023-02-20,52693177450,4265,105906450,2111951
2023-02-21,54488335800,2828,71875650,2111951
2023-02-22,53009970100,4293,107437550,2111951
2023-02-23,53537957850,2977,74739650,2111951
2023-02-24,51742799500,3447,85435650,2111951
2023-02-27,50686824000,2224,53404800,2111951
2023-02-28,50686824000,2188,52350400,2111951
2023-03-02,49736446050,4263,101651950,2111951
2023-03-03,50158836250,2032,48086700,2111951
2023-03-06,49630848500,2059,48444050,2111951
2023-03-07,49842043600,2517,59143100,2111951
2023-03-08,49630848500,1776,41563800,2111951
2023-03-09,50898019100,3389,81684400,2111951
2023-03-10,50898019100,3342,80308950,2111951
2023-03-13,48786068100,11909,275190750,2111951
2023-03-14,47518897500,5704,128544350,2111951
2023-03-15,48046885250,11696,264213200,2111951
2023-03-16,47941287700,3849,86511850,2111951
2023-03-17,48574873000,5263,120021700,2111951
2023-03-20,47624495050,5660,128612950,2111951
2023-03-21,47624495050,2665,60145550,2111951
2023-03-22,46990909750,3637,81715850,2111951
2023-03-23,46990909750,3149,69420000,2111951
2023-03-24,46568519550,2939,64627150,2111951
2023-03-27,45934934250,4642,101732450,2111951
2023-03-28,45829336700,4012,87327250,2111951
2023-03-29,46990909750,5773,126425850,2111951
2023-03-30,47202104850,5068,112843250,2111951
2023-03-31,47202104850,4699,106203300,2111951
